"Date","HUM","Price"
2007-11-09,13,72.12
2007-11-16,14,72.56
2007-11-23,14,71.19
2007-11-30,15,77.03
2007-12-07,15,76.65
2007-12-14,14,75.5
2007-12-21,14,76.7
2007-12-28,16,76.04
2008-01-04,15,79.47
2008-01-11,14,84.28
2008-01-18,15,84.35
2008-01-25,15,77.96
2008-02-01,14,81.84
2008-02-08,16,73.09
2008-02-15,17,68.78
2008-02-22,18,68.87
2008-02-29,16,68.33
2008-03-07,18,63.52
2008-03-14,18,43.98
2008-03-28,17,45.2
2008-04-04,18,44.12
2008-04-11,28,42.21
2008-04-18,34,43.5
2008-04-25,25,44.88
2008-05-02,22,47.77
2008-05-09,19,45.46
2008-05-16,17,44.22
2008-05-23,17,48.91
2008-05-30,16,51.05
2008-06-06,15,48.55
2008-06-13,15,46.99
2008-06-20,15,41.97
2008-06-27,16,41.27
2008-07-11,16,37.27
2008-07-18,17,38.66
2008-07-25,17,42.91
2008-08-01,16,44.64
2008-08-08,17,49.08
2008-08-15,16,50
2008-08-22,15,47.74
2008-08-29,15,46.4
2008-09-05,14,43.36
2008-09-12,14,47.72
2008-09-19,16,43.25
2008-09-26,17,42.7
2008-10-03,18,39.31
2008-10-10,18,31.37
2008-10-17,19,35.8
2008-10-24,17,36.27
2008-10-31,18,29.59
2008-11-07,18,35.58
2008-11-14,18,30.63
2008-11-21,17,24.56
2008-11-28,17,30.23
2008-12-05,18,29.59
2008-12-12,19,31.8
2008-12-19,19,36.15
2008-12-26,22,35.31
2009-01-02,20,37.27
2009-01-09,18,36.89
2009-01-16,20,33.28
2009-01-23,20,37.15
2009-01-30,20,37.93
2009-02-06,20,44.55
2009-02-13,19,42.75
2009-02-20,19,40.54
2009-02-27,20,23.67
2009-03-06,21,19.54
2009-03-13,21,24.83
2009-03-20,22,24.43
2009-03-27,21,25.06
2009-04-03,22,25.46
2009-04-17,23,28.95
2009-04-24,21,27.36
2009-05-01,21,28.92
2009-05-08,22,32.62
2009-05-15,22,31.58
2009-05-22,24,30.43
2009-05-29,24,31.33
2009-06-05,24,30.96
2009-06-12,25,29.41
2009-06-19,24,31.59
2009-06-26,24,31.71
2009-07-10,23,30.36
2009-07-17,24,28.98
2009-07-24,24,31.53
2009-07-31,25,32.85
2009-08-07,25,33.5
2009-08-14,27,34.69
2009-08-21,24,36.05
2009-08-28,25,36.23
2009-09-04,26,37.79
2009-09-11,24,39.49
2009-09-18,24,39.89
2009-09-25,23,37.6
2009-10-02,23,36.68
2009-10-09,23,37.29
2009-10-16,23,36.95
2009-10-23,22,37.54
2009-10-30,22,37.58
2009-11-06,23,40.45
2009-11-13,23,41.1
2009-11-20,23,40.44
2009-11-27,23,41.73
2009-12-04,23,40.31
2009-12-11,24,41.84
2009-12-18,25,43.53
2010-01-08,22,47.51
2010-01-15,23,48.51
2010-01-22,22,51
2010-01-29,24,48.62
2010-02-05,25,47.02
2010-02-12,23,45.95
2010-02-19,25,45.35
2010-02-26,24,47.33
2010-03-05,23,48.14
2010-03-12,25,47.97
2010-03-19,25,50
2010-03-26,27,47.2
2010-04-09,27,45.13
2010-04-16,25,43.93
2010-04-23,26,45.53
2010-04-30,26,45.72
2010-05-07,24,44.35
2010-05-14,25,45.75
2010-05-21,24,44.71
2010-05-28,26,46.05
2010-06-04,28,47.39
2010-06-11,28,47.95
2010-06-18,25,49.25
2010-06-25,25,48.1
2010-07-02,27,44.34
2010-07-09,26,46.2
2010-07-16,26,45.66
2010-07-23,27,46.02
2010-07-30,28,47.02
2010-08-06,29,50.61
2010-08-13,30,49.33
2010-08-20,29,48.51
2010-08-27,28,48.94
2010-09-03,27,51.08
2010-09-10,26,52.78
2010-09-17,26,50.37
2010-09-24,27,50.25
2010-10-01,28,50.13
2010-10-08,27,50.85
2010-10-15,28,54.84
2010-10-22,27,56.97
2010-10-29,29,58.29
2010-11-05,28,59.56
2010-11-12,28,59.2
2010-11-19,28,56.03
2010-11-26,27,56.79
2010-12-03,33,57.04
2010-12-10,32,56.51
2010-12-17,29,55.36
2010-12-31,32,54.74
2011-01-07,28,56.83
2011-01-14,29,59.35
2011-01-21,28,58.01
2011-01-28,30,58.18
2011-02-04,31,60.54
2011-02-11,31,58.31
2011-02-18,30,61.44
2011-02-25,29,62.6
2011-03-04,29,64.56
2011-03-11,28,64.45
2011-03-18,28,64.91
2011-03-25,30,66.08
2011-04-01,30,69.99
2011-04-08,30,70.13
2011-04-15,30,70.78
2011-04-29,31,76.12
2011-05-06,30,76.95
2011-05-13,31,78.33
2011-05-20,31,79.79
2011-05-27,32,79.4
2011-06-03,35,78.02
2011-06-10,33,78.19
2011-06-17,35,77.51
2011-06-24,34,80.38
2011-07-01,33,83.12
2011-07-08,33,80.82
2011-07-15,35,80.55
2011-07-22,34,79.59
2011-07-29,35,74.58
2011-08-05,35,70.92
2011-08-12,36,74.21
2011-08-19,40,69.76
2011-08-26,39,73.29
2011-09-02,42,74.18
2011-09-09,39,72.46
2011-09-16,40,79.4
2011-09-23,40,77.08
2011-09-30,45,72.73
2011-10-07,45,70.11
2011-10-14,44,75.17
2011-10-21,43,76.29
2011-10-28,42,80.35
2011-11-04,43,86.58
2011-11-11,45,88.11
2011-11-18,45,85.12
2011-11-25,43,80.89
2011-12-02,44,89.11
2011-12-09,47,86.85
2011-12-16,47,84.75
2011-12-23,48,89.6
2011-12-30,55,87.61
2012-01-06,56,92.25
2012-01-13,53,94.71
2012-01-20,50,92.15
2012-01-27,51,88.26
2012-02-03,49,90.12
2012-02-10,50,85.74
2012-02-17,49,88.61
2012-02-24,52,89
2012-03-02,49,87.24
2012-03-09,48,87.06
2012-03-16,49,86.64
2012-03-23,47,85.91
2012-03-30,49,92.48
2012-04-13,48,88.61
2012-04-20,45,90
2012-04-27,47,87.82
2012-05-04,47,80.23
2012-05-11,46,78.32
2012-05-18,47,74.53
2012-05-25,49,77.28
2012-06-01,53,75.9
2012-06-08,51,79.41
2012-06-15,52,78.7
2012-06-22,54,79.58
2012-06-29,57,77.44
2012-07-06,61,76.48
2012-07-13,61,75.41
2012-07-20,61,73.62
2012-07-27,92,70.52
2012-08-03,100,62.7
2012-08-10,77,67.62
2012-08-17,70,67.8
2012-08-24,73,69.95
2012-08-31,64,70.08
2012-09-07,60,72.23
2012-09-14,61,71.12
2012-09-21,63,70.28
2012-09-28,60,70.15
2012-10-05,55,74.05
2012-10-12,52,74.82
2012-10-19,51,74.98
2012-10-26,49,74.47
2012-11-02,50,75.21
2012-11-09,48,68.77
2012-11-16,45,65.5
2012-11-23,49,66.69
2012-11-30,46,65.41
2012-12-07,46,66.65
2012-12-14,48,66.11
2012-12-21,48,68.39
2012-12-28,51,67.51
2013-01-04,50,67.47
2013-01-11,47,69.56
2013-01-18,48,71.4
2013-01-25,52,74.93
2013-02-01,45,75.35
2013-02-08,50,81.35
2013-02-15,52,77.99
2013-02-22,51,70.61
2013-03-01,51,67.88
2013-03-08,53,68.03
2013-03-15,53,69.79
2013-03-22,53,67.1
2013-04-05,51,78.27
2013-04-12,51,77.56
2013-04-19,51,73.05
2013-04-26,56,73.49
2013-05-03,63,73.93
2013-05-10,60,80.09
2013-05-17,55,80.45
2013-05-24,56,78.93
2013-05-31,59,80.78
2013-06-07,55,81.02
2013-06-14,59,80.93
2013-06-21,55,84.91
2013-06-28,55,84.38
2013-07-05,59,83.68
2013-07-12,56,85.53
2013-07-19,58,89.08
2013-07-26,58,89.74
2013-08-02,57,89.89
2013-08-09,56,93.39
2013-08-16,65,91.53
2013-08-23,58,94.33
2013-08-30,59,92.08
2013-09-06,61,95.64
2013-09-13,59,98.24
2013-09-20,58,95.53
2013-09-27,57,93.88
2013-10-04,57,96.54
2013-10-11,58,95.65
2013-10-18,54,91.23
2013-10-25,56,91.54
2013-11-01,53,93.01
2013-11-08,53,95.19
2013-11-15,55,98.27
2013-11-22,53,101.25
2013-11-29,55,103.99
2013-12-06,55,104
2013-12-13,56,99.91
2013-12-20,60,101.89
2013-12-27,67,103.05
2014-01-03,60,101.76
2014-01-10,59,96.96
2014-01-17,58,96.57
2014-01-24,63,96
2014-01-31,61,97.3
2014-02-07,56,95.97
2014-02-14,60,100.23
2014-02-21,60,102.82
2014-02-28,58,112.46
2014-03-07,62,110.92
2014-03-14,63,109.49
2014-03-21,58,116.99
2014-03-28,60,113.08
2014-04-04,61,112.21
2014-04-11,67,108.16
2014-04-25,69,109.18
