"Date","CELG","Price"
2008-06-20,22,59.58
2008-06-27,25,63.33
2008-07-11,27,71.66
2008-07-18,29,70.85
2008-07-25,26,74.54
2008-08-01,28,73.92
2008-08-08,29,75.15
2008-08-15,33,75.86
2008-08-22,23,73.04
2008-08-29,22,69.3
2008-09-05,28,66.21
2008-09-12,25,71.15
2008-09-19,24,67.95
2008-09-26,25,66.27
2008-10-03,25,60.46
2008-10-10,31,54.52
2008-10-17,22,55.18
2008-10-24,22,57.47
2008-10-31,23,64.26
2008-11-07,26,60.31
2008-11-14,27,58.86
2008-11-21,24,47.5
2008-11-28,22,52.1
2008-12-05,31,53.98
2008-12-12,27,49.58
2008-12-19,31,54.67
2008-12-26,23,54.01
2009-01-02,23,56.49
2009-01-09,42,50.27
2009-01-16,27,50.25
2009-01-23,23,49.55
2009-01-30,32,52.95
2009-02-06,34,55.35
2009-02-13,30,52.31
2009-02-20,25,53.99
2009-02-27,23,44.73
2009-03-06,28,41.16
2009-03-13,33,48.2
2009-03-20,24,45.52
2009-03-27,25,46.04
2009-04-03,31,42.15
2009-04-17,33,38.3
2009-04-24,26,39.86
2009-05-01,28,39.54
2009-05-08,33,41.42
2009-05-15,28,39.79
2009-05-22,27,39.43
2009-05-29,28,42.24
2009-06-05,32,44.35
2009-06-12,22,43.23
2009-06-19,30,46.94
2009-06-26,24,48.03
2009-07-10,29,46.1
2009-07-17,24,46.83
2009-07-24,35,54.64
2009-07-31,30,56.96
2009-08-07,36,54.92
2009-08-14,26,52.74
2009-08-21,26,53.15
2009-08-28,28,52.72
2009-09-04,33,51.74
2009-09-11,30,52.02
2009-09-18,25,52.54
2009-09-25,23,54.54
2009-10-02,31,54
2009-10-09,31,54.78
2009-10-16,23,56.42
2009-10-23,26,54.21
2009-10-30,27,51.05
2009-11-06,27,53.05
2009-11-13,26,53.48
2009-11-20,25,54.91
2009-11-27,21,54.97
2009-12-04,27,55.97
2009-12-11,28,52.76
2009-12-18,25,55.95
2010-01-08,37,57.27
2010-01-15,33,57.52
2010-01-22,27,58.57
2010-01-29,25,56.78
2010-02-05,29,55.16
2010-02-12,30,56.89
2010-02-19,21,60.04
2010-02-26,28,59.52
2010-03-05,33,61.91
2010-03-12,32,61.37
2010-03-19,25,64.32
2010-03-26,29,62.14
2010-04-09,34,61.89
2010-04-16,24,60.88
2010-04-23,26,59.81
2010-04-30,31,61.99
2010-05-07,31,57.49
2010-05-14,29,59.42
2010-05-21,23,56.15
2010-05-28,25,52.76
2010-06-04,25,51.55
2010-06-11,31,53.44
2010-06-18,28,55.35
2010-06-25,26,56.07
2010-07-02,33,50.74
2010-07-09,32,51.18
2010-07-16,27,52.04
2010-07-23,25,52.75
2010-07-30,27,55.15
2010-08-06,31,56.67
2010-08-13,33,55.67
2010-08-20,32,53.67
2010-08-27,29,51.84
2010-09-03,29,53.28
2010-09-10,27,55.45
2010-09-17,35,55.25
2010-09-24,27,58.46
2010-10-01,26,58.1
2010-10-08,32,57.83
2010-10-15,25,58.21
2010-10-22,22,58.74
2010-10-29,27,62.03
2010-11-05,25,61.22
2010-11-12,32,60.3
2010-11-19,24,60.61
2010-11-26,27,61.21
2010-12-03,30,60.59
2010-12-10,31,57.46
2010-12-17,25,59.27
2010-12-31,25,59.14
2011-01-07,32,59.16
2011-01-14,31,57.45
2011-01-21,30,56.03
2011-01-28,29,51.18
2011-02-04,25,51.29
2011-02-11,32,51.99
2011-02-18,27,53.47
2011-02-25,25,53.52
2011-03-04,30,54.26
2011-03-11,21,53.18
2011-03-18,26,52.98
2011-03-25,27,55.24
2011-04-01,26,57.3
2011-04-08,31,55.92
2011-04-15,30,56.98
2011-04-29,30,58.88
2011-05-06,29,59.3
2011-05-13,28,59.94
2011-05-20,28,60.49
2011-05-27,24,59.88
2011-06-03,29,58.86
2011-06-10,31,58.3
2011-06-17,27,57.87
2011-06-24,21,58.77
2011-07-01,29,60.88
2011-07-08,38,61.99
2011-07-15,29,60.67
2011-07-22,29,61.18
2011-07-29,30,59.3
2011-08-05,34,55.52
2011-08-12,31,54.43
2011-08-19,27,54.68
2011-08-26,27,57.3
2011-09-02,30,58.34
2011-09-09,30,59.77
2011-09-16,34,61.04
2011-09-23,32,62.67
2011-09-30,37,61.91
2011-10-07,39,62.95
2011-10-14,34,66.3
2011-10-21,32,66.93
2011-10-28,31,66.19
2011-11-04,32,63.73
2011-11-11,41,64.57
2011-11-18,33,63.04
2011-11-25,39,60.24
2011-12-02,41,61.21
2011-12-09,47,63.58
2011-12-16,36,63.69
2011-12-23,32,67.32
2011-12-30,31,67.6
2012-01-06,43,67.22
2012-01-13,40,72.63
2012-01-20,28,73.84
2012-01-27,32,73.37
2012-02-03,33,73.21
2012-02-10,37,71.74
2012-02-17,32,74.66
2012-02-24,26,74.89
2012-03-02,35,73.73
2012-03-09,41,75.18
2012-03-16,40,75.6
2012-03-23,32,76.83
2012-03-30,32,77.52
2012-04-13,37,78.32
2012-04-20,35,79.1
2012-04-27,30,73.38
2012-05-04,30,69.81
2012-05-11,36,70.79
2012-05-18,31,68.1
2012-05-25,27,68.9
2012-06-01,36,65.33
2012-06-08,31,65.04
2012-06-15,39,66.16
2012-06-22,38,61.63
2012-06-29,32,64.16
2012-07-06,35,64.77
2012-07-13,36,65.27
2012-07-20,32,66.42
2012-07-27,33,70.6
2012-08-03,36,69.3
2012-08-10,39,71.94
2012-08-17,32,69.11
2012-08-24,35,72.04
2012-08-31,29,72.04
2012-09-07,36,75.44
2012-09-14,39,76.27
2012-09-21,35,77.27
2012-09-28,38,76.4
2012-10-05,40,80.29
2012-10-12,34,78.42
2012-10-19,35,75.16
2012-10-26,35,75.2
2012-11-02,30,73.04
2012-11-09,42,71.5
2012-11-16,30,74.33
2012-11-23,38,78.51
2012-11-30,35,78.59
2012-12-07,39,78.68
2012-12-14,40,79.36
2012-12-21,36,79.7
2012-12-28,29,77.73
2013-01-04,35,82.09
2013-01-11,51,96.3
2013-01-18,41,100.03
2013-01-25,35,99.76
2013-02-01,38,101.44
2013-02-08,49,100.13
2013-02-15,38,98.77
2013-02-22,42,101.65
2013-03-01,43,105.62
2013-03-08,52,111.36
2013-03-15,43,112.4
2013-03-22,38,113.13
2013-04-05,52,116.43
2013-04-12,52,123
2013-04-19,40,122.36
2013-04-26,48,120.34
2013-05-03,44,121.64
2013-05-10,56,127.46
2013-05-17,49,124.91
2013-05-24,37,122.58
2013-05-31,35,123.65
2013-06-07,51,120.41
2013-06-14,49,119.36
2013-06-21,43,113.89
2013-06-28,38,116.98
2013-07-05,45,122.48
2013-07-12,51,134.56
2013-07-19,40,135.89
2013-07-26,40,143.94
2013-08-02,48,147.35
2013-08-09,50,142.07
2013-08-16,43,132.49
2013-08-23,50,138.27
2013-08-30,45,139.98
2013-09-06,49,146.97
2013-09-13,45,149.48
2013-09-20,44,149.86
2013-09-27,40,154.61
2013-10-04,55,157.27
2013-10-11,53,153.17
2013-10-18,45,160.55
2013-10-25,39,155.74
2013-11-01,42,151.31
2013-11-08,52,148.92
2013-11-15,44,151.11
2013-11-22,43,163.33
2013-11-29,40,161.77
2013-12-06,50,166.43
2013-12-13,49,164.9
2013-12-20,40,167.48
2013-12-27,30,168.93
2014-01-03,36,169.81
2014-01-10,63,169.81
2014-01-17,48,167.04
2014-01-24,43,161.22
2014-01-31,44,151.93
2014-02-07,45,156.88
2014-02-14,45,163.93
2014-02-21,39,160.97
2014-02-28,41,160.75
2014-03-07,43,156.56
2014-03-14,52,149.41
2014-03-21,43,144.4
2014-03-28,41,139.29
2014-04-04,46,137.38
2014-04-11,42,136.9
2014-04-25,39,142.06
