"Date","ESRX","Price"
2012-02-24,36,52.41
2012-03-02,37,53.65
2012-03-09,23,54.18
2012-03-16,23,54.34
2012-03-23,22,52.71
2012-03-30,36,54.18
2012-04-13,69,56.98
2012-04-20,64,57.88
2012-04-27,34,56
2012-05-04,35,54.23
2012-05-11,48,55.1
2012-05-18,27,50.88
2012-05-25,42,52.63
2012-06-01,22,50.67
2012-06-08,31,53.19
2012-06-15,24,54.34
2012-06-22,30,52.96
2012-06-29,25,55.83
2012-07-06,29,54.06
2012-07-13,26,57.35
2012-07-20,25,57.21
2012-07-27,41,57.95
2012-08-03,19,56.72
2012-08-10,45,61.92
2012-08-17,32,60.86
2012-08-24,19,61.76
2012-08-31,15,62.62
2012-09-07,15,63.3
2012-09-14,20,62.84
2012-09-21,33,63.36
2012-09-28,28,62.63
2012-10-05,27,64.96
2012-10-12,17,63.56
2012-10-19,23,62.56
2012-10-26,22,62.24
2012-11-02,14,62.02
2012-11-09,81,53.35
2012-11-16,46,52.13
2012-11-23,27,52.24
2012-11-30,31,53.85
2012-12-07,38,53.99
2012-12-14,31,54.76
2012-12-21,31,54.22
2012-12-28,21,52.93
2013-01-04,27,55
2013-01-11,27,55.6
2013-01-18,25,55.15
2013-01-25,19,54.16
2013-02-01,37,54.81
2013-02-08,33,55.74
2013-02-15,39,55.57
2013-02-22,51,55.63
2013-03-01,26,57.36
2013-03-08,42,58.81
2013-03-15,28,59.77
2013-03-22,38,57.93
2013-04-05,37,57
2013-04-12,39,56.3
2013-04-19,30,55.35
2013-04-26,27,57.91
2013-05-03,55,61.56
2013-05-10,42,61.4
2013-05-17,36,61.87
2013-05-24,33,62.68
2013-05-31,30,62.12
2013-06-07,33,62.5
2013-06-14,26,61.94
2013-06-21,23,61.96
2013-06-28,24,61.74
2013-07-05,18,62.95
2013-07-12,26,65.3
2013-07-19,33,66.5
2013-07-26,35,67.66
2013-08-02,65,65.15
2013-08-09,33,65.18
2013-08-16,29,64.61
2013-08-23,18,64.84
2013-08-30,28,63.88
2013-09-06,23,65.52
2013-09-13,31,65.73
2013-09-20,57,62.05
2013-09-27,32,61.93
2013-10-04,37,62.53
2013-10-11,29,63.06
2013-10-18,32,63.76
2013-10-25,43,60.88
2013-11-01,40,62.37
2013-11-08,29,64.2
2013-11-15,24,65.34
2013-11-22,36,66.39
2013-11-29,20,67.35
2013-12-06,28,66.95
2013-12-13,30,66.62
2013-12-20,24,68.96
2013-12-27,26,70.6
2014-01-03,23,70
2014-01-10,27,72.86
2014-01-17,25,73.62
2014-01-24,32,73.32
2014-01-31,28,74.69
2014-02-07,30,74.38
2014-02-14,33,76.75
2014-02-21,59,74.01
2014-02-28,37,75.31
2014-03-07,37,78.3
2014-03-14,33,77.36
2014-03-21,27,76.99
2014-03-28,25,75.52
2014-04-04,26,73.28
2014-04-11,33,72.15
2014-04-25,30,71.04
