"Date","STJ","Price"
2010-01-29,60,37.73
2010-02-05,62,37.63
2010-02-12,65,37.34
2010-02-19,43,39.05
2010-02-26,69,38.22
2010-03-05,73,39.09
2010-03-12,82,37.5
2010-03-19,80,39.41
2010-03-26,79,40.92
2010-04-09,79,41.24
2010-04-16,81,40.88
2010-04-23,68,40.9
2010-04-30,83,40.82
2010-05-07,75,37.15
2010-05-14,84,38.59
2010-05-21,86,37.18
2010-05-28,87,37.34
2010-06-04,73,36.55
2010-06-11,85,36.88
2010-06-18,75,37.39
2010-06-25,73,37.06
2010-07-02,68,35.48
2010-07-09,71,36.7
2010-07-16,74,35.68
2010-07-23,87,36.81
2010-07-30,88,36.77
2010-08-06,83,38.51
2010-08-13,89,37.23
2010-08-20,91,36.58
2010-08-27,100,35.47
2010-09-03,91,35.92
2010-09-10,80,35.96
2010-09-17,93,37.05
2010-09-24,100,38.09
2010-10-01,93,39.48
2010-10-08,81,39.76
2010-10-15,71,39.9
2010-10-22,84,38.83
2010-10-29,82,38.3
2010-11-05,64,38.69
2010-11-12,82,38.66
2010-11-19,74,39.55
2010-11-26,83,39.11
2010-12-03,73,40.47
2010-12-10,67,40.85
2010-12-17,64,42.56
2010-12-31,31,42.75
2011-01-07,40,40.55
2011-01-14,55,41.47
2011-01-21,55,42.56
2011-01-28,59,41
2011-02-04,63,41.96
2011-02-11,67,47.09
2011-02-18,71,48.51
2011-02-25,72,48.01
2011-03-04,73,49.39
2011-03-11,51,48.78
2011-03-18,76,48.09
2011-03-25,79,50.78
2011-04-01,80,52.19
2011-04-08,85,52.26
2011-04-15,81,52.96
2011-04-29,80,53.44
2011-05-06,81,52.36
2011-05-13,81,51.97
2011-05-20,82,50.82
2011-05-27,87,50.56
2011-06-03,83,48.07
2011-06-10,78,48.84
2011-06-17,79,48.19
2011-06-24,63,46.3
2011-07-01,82,48.58
2011-07-08,72,47.49
2011-07-15,70,45.92
2011-07-22,69,49.42
2011-07-29,69,46.5
2011-08-05,73,43.94
2011-08-12,78,42.72
2011-08-19,82,41.13
2011-08-26,83,45
2011-09-02,80,43.9
2011-09-09,70,42.66
2011-09-16,82,43.57
2011-09-23,88,37.9
2011-09-30,86,36.19
2011-10-07,78,36.85
2011-10-14,72,38.48
2011-10-21,82,40.03
2011-10-28,85,40.08
2011-11-04,71,38.59
2011-11-11,80,39.75
2011-11-18,68,36.53
2011-11-25,80,34.78
2011-12-02,80,35.83
2011-12-09,70,35.17
2011-12-16,68,32.95
2011-12-23,44,34.85
2011-12-30,30,34.3
2012-01-06,38,34.61
2012-01-13,50,37.24
2012-01-20,51,38.56
2012-01-27,56,41.27
2012-02-03,61,42.51
2012-02-10,70,42.78
2012-02-17,72,43.08
2012-02-24,49,43.23
2012-03-02,76,41.76
2012-03-09,76,41.8
2012-03-16,78,42.87
2012-03-23,78,43.47
2012-03-30,92,44.31
2012-04-13,79,38.58
2012-04-20,78,38.02
2012-04-27,73,38.63
2012-05-04,64,37.95
2012-05-11,78,38.88
2012-05-18,74,37.97
2012-05-25,78,39.43
2012-06-01,78,37.63
2012-06-08,62,38.97
2012-06-15,75,35.55
2012-06-22,77,37.9
2012-06-29,75,39.91
2012-07-06,74,39.49
2012-07-13,66,38.91
2012-07-20,65,37.8
2012-07-27,65,37.53
2012-08-03,70,37.9
2012-08-10,73,38.43
2012-08-17,81,37.45
2012-08-24,86,37.56
2012-08-31,81,37.76
2012-09-07,66,39.5
2012-09-14,77,41.91
2012-09-21,75,43.03
2012-09-28,77,42.13
2012-10-05,76,43.69
2012-10-12,66,42.59
2012-10-19,71,39.5
2012-10-26,72,38.29
2012-11-02,62,38.51
2012-11-09,72,37.01
2012-11-16,59,35.03
2012-11-23,67,32.03
2012-11-30,65,34.28
2012-12-07,62,34.96
2012-12-14,57,35.35
2012-12-21,46,36.24
2012-12-28,23,35.47
2013-01-04,25,37.07
2013-01-11,43,38.29
2013-01-18,47,39.45
2013-01-25,53,40.88
2013-02-01,53,41.17
2013-02-08,58,42.6
2013-02-15,38,41.53
2013-02-22,58,41.18
2013-03-01,61,41.4
2013-03-08,61,42.25
2013-03-15,64,42.24
2013-03-22,68,42.36
2013-04-05,66,41.94
2013-04-12,65,42.48
2013-04-19,63,40.9
2013-04-26,62,40.99
2013-05-03,56,40.81
2013-05-10,67,44.18
2013-05-17,65,47
2013-05-24,68,45.15
2013-05-31,58,43.23
2013-06-07,68,43.99
2013-06-14,64,45.06
2013-06-21,63,44.67
2013-06-28,61,45.63
2013-07-05,61,46.38
2013-07-12,55,48.41
2013-07-19,59,51.69
2013-07-26,54,52.4
2013-08-02,58,52.96
2013-08-09,63,53.85
2013-08-16,65,51.47
2013-08-23,69,51.92
2013-08-30,72,50.41
2013-09-06,68,52.52
2013-09-13,69,52.82
2013-09-20,67,53.67
2013-09-27,71,52.39
2013-10-04,67,56.23
2013-10-11,64,55.16
2013-10-18,65,56.84
2013-10-25,63,57.27
2013-11-01,62,58.14
2013-11-08,66,56.99
2013-11-15,57,57.37
2013-11-22,65,58.06
2013-11-29,61,58.42
2013-12-06,55,59.75
2013-12-13,57,57.99
2013-12-20,49,61.89
2013-12-27,20,62.25
2014-01-03,18,61.19
2014-01-10,40,66
2014-01-17,43,65.9
2014-01-24,48,62.11
2014-01-31,48,60.73
2014-02-07,57,62
2014-02-14,58,66.47
2014-02-21,60,67.25
2014-02-28,64,67.32
2014-03-07,41,67.07
2014-03-14,64,65.35
2014-03-21,71,65.62
2014-03-28,77,64.78
2014-04-04,76,65.04
2014-04-11,71,61.64
2014-04-25,56,61.97
