"Date","MDT","Price"
2007-09-14,22,54.49
2007-09-21,25,56.57
2007-09-28,27,56.41
2007-10-05,24,55.9
2007-10-12,22,56.33
2007-10-19,29,47.48
2007-10-26,28,47.82
2007-11-02,26,46.88
2007-11-09,25,46.04
2007-11-16,20,45.77
2007-11-23,23,48.32
2007-11-30,26,50.85
2007-12-07,26,50.54
2007-12-14,20,49.4
2007-12-21,18,50.43
2007-12-28,16,50.22
2008-01-04,21,49.18
2008-01-11,23,50.08
2008-01-18,19,46.99
2008-01-25,23,46.12
2008-02-01,24,47.85
2008-02-08,25,46.73
2008-02-15,22,49.12
2008-02-22,25,48.54
2008-02-29,33,49.36
2008-03-07,35,47.6
2008-03-14,28,47.18
2008-03-28,24,47.86
2008-04-04,24,49.65
2008-04-11,25,49.8
2008-04-18,25,49.99
2008-04-25,25,49.42
2008-05-02,23,49.25
2008-05-09,25,47.79
2008-05-16,24,46.98
2008-05-23,25,50.13
2008-05-30,24,50.67
2008-06-06,24,50.37
2008-06-13,23,51.54
2008-06-20,25,50.87
2008-06-27,25,51.24
2008-07-11,25,52.36
2008-07-18,24,53.43
2008-07-25,26,53.59
2008-08-01,27,52.18
2008-08-08,23,53.74
2008-08-15,26,54.07
2008-08-22,27,56.5
2008-08-29,25,54.6
2008-09-05,24,53.28
2008-09-12,23,53.96
2008-09-19,27,52.47
2008-09-26,23,51.13
2008-10-03,23,49.61
2008-10-10,26,40
2008-10-17,24,38.9
2008-10-24,26,37.81
2008-10-31,24,40.33
2008-11-07,22,39.81
2008-11-14,23,37.45
2008-11-21,24,30.98
2008-11-28,21,30.52
2008-12-05,21,31.67
2008-12-12,24,29.91
2008-12-19,21,32.17
2008-12-26,20,30.78
2009-01-02,18,32.61
2009-01-09,23,32.57
2009-01-16,24,32.72
2009-01-23,23,32.33
2009-01-30,26,33.49
2009-02-06,21,33.39
2009-02-13,24,32.81
2009-02-20,26,34
2009-02-27,24,29.59
2009-03-06,33,24.92
2009-03-13,26,28.58
2009-03-20,26,27.76
2009-03-27,27,28.78
2009-04-03,26,29.83
2009-04-17,21,32.3
2009-04-24,20,29.58
2009-05-01,22,32.16
2009-05-08,26,34.22
2009-05-15,24,33.4
2009-05-22,24,32.14
2009-05-29,20,34.35
2009-06-05,27,33.95
2009-06-12,23,33.62
2009-06-19,22,33.96
2009-06-26,20,34.97
2009-07-10,25,32.8
2009-07-17,24,34.67
2009-07-24,24,35.05
2009-07-31,25,35.42
2009-08-07,24,35.73
2009-08-14,21,37.01
2009-08-21,25,37.8
2009-08-28,25,38.67
2009-09-04,22,38.71
2009-09-11,24,37.9
2009-09-18,24,37.46
2009-09-25,25,36.79
2009-10-02,25,36.46
2009-10-09,24,37.2
2009-10-16,24,37.42
2009-10-23,24,36.37
2009-10-30,24,35.7
2009-11-06,25,37.97
2009-11-13,22,39.46
2009-11-20,22,39.62
2009-11-27,22,42.99
2009-12-04,25,43.06
2009-12-11,24,43.48
2009-12-18,23,43.22
2010-01-08,21,45.99
2010-01-15,23,45.61
2010-01-22,24,43.3
2010-01-29,22,42.89
2010-02-05,21,41.67
2010-02-12,25,42.44
2010-02-19,24,43.7
2010-02-26,28,43.4
2010-03-05,28,45.5
2010-03-12,26,43.94
2010-03-19,27,44.79
2010-03-26,27,44.49
2010-04-09,26,45.43
2010-04-16,24,44.9
2010-04-23,25,44.21
2010-04-30,26,43.69
2010-05-07,28,41.25
2010-05-14,25,42.39
2010-05-21,25,40.33
2010-05-28,25,39.18
2010-06-04,25,38
2010-06-11,26,38.13
2010-06-18,25,38.87
2010-06-25,26,36.86
2010-07-02,26,36.03
2010-07-09,22,37.23
2010-07-16,25,37.27
2010-07-23,30,36.58
2010-07-30,27,36.97
2010-08-06,25,37.81
2010-08-13,24,35.57
2010-08-20,26,34.77
2010-08-27,24,32.52
2010-09-03,26,32.98
2010-09-10,22,33.34
2010-09-17,24,33.3
2010-09-24,24,33.84
2010-10-01,25,33.63
2010-10-08,25,33.45
2010-10-15,23,33.29
2010-10-22,25,35.75
2010-10-29,24,35.23
2010-11-05,24,35.35
2010-11-12,24,34.63
2010-11-19,24,34.6
2010-11-26,21,33.84
2010-12-03,21,34.21
2010-12-10,22,35.94
2010-12-17,23,37.4
2010-12-31,17,37.09
2011-01-07,21,36.41
2011-01-14,23,37.2
2011-01-21,24,38.51
2011-01-28,23,38.05
2011-02-04,24,39.24
2011-02-11,23,39.69
2011-02-18,24,41.27
2011-02-25,25,39.88
2011-03-04,25,39.26
2011-03-11,23,38.08
2011-03-18,25,37.51
2011-03-25,26,38.36
2011-04-01,27,39.5
2011-04-08,26,39.67
2011-04-15,24,41.05
2011-04-29,23,41.75
2011-05-06,24,42.69
2011-05-13,25,42.03
2011-05-20,26,42.21
2011-05-27,25,40.31
2011-06-03,26,39.27
2011-06-10,24,38.02
2011-06-17,23,38.19
2011-06-24,23,38.4
2011-07-01,22,39.12
2011-07-08,23,38
2011-07-15,24,37.12
2011-07-22,26,37.07
2011-07-29,23,36.05
2011-08-05,24,33.31
2011-08-12,23,31.54
2011-08-19,22,31.29
2011-08-26,23,34.05
2011-09-02,23,34.21
2011-09-09,22,33.38
2011-09-16,23,35.02
2011-09-23,24,33.06
2011-09-30,23,33.24
2011-10-07,22,32.83
2011-10-14,23,33.1
2011-10-21,22,34.29
2011-10-28,24,35.48
2011-11-04,21,34.38
2011-11-11,21,35.1
2011-11-18,21,33.94
2011-11-25,22,33.68
2011-12-02,20,34.61
2011-12-09,19,35.92
2011-12-16,18,35.3
2011-12-23,18,37.84
2011-12-30,14,38.25
2012-01-06,16,39.03
2012-01-13,21,38.65
2012-01-20,19,39.94
2012-01-27,21,39.28
2012-02-03,22,40.2
2012-02-10,19,39.73
2012-02-17,20,39.94
2012-02-24,22,38.12
2012-03-02,21,37.91
2012-03-09,21,37.67
2012-03-16,24,39.68
2012-03-23,24,38.7
2012-03-30,22,39.19
2012-04-13,21,37.51
2012-04-20,22,37.61
2012-04-27,24,37.69
2012-05-04,24,38.15
2012-05-11,22,38.03
2012-05-18,23,36.96
2012-05-25,26,36.88
2012-06-01,21,36.11
2012-06-08,24,37.33
2012-06-15,23,37.77
2012-06-22,24,38.16
2012-06-29,24,38.73
2012-07-06,22,37.96
2012-07-13,23,37.56
2012-07-20,24,38.22
2012-07-27,25,39.03
2012-08-03,23,39.81
2012-08-10,21,40.26
2012-08-17,22,40.84
2012-08-24,23,40.58
2012-08-31,24,40.66
2012-09-07,24,41.61
2012-09-14,23,43.05
2012-09-21,25,43.35
2012-09-28,24,43.12
2012-10-05,22,44.67
2012-10-12,100,43.05
2012-10-19,39,42
2012-10-26,24,41.6
2012-11-02,22,42
2012-11-09,20,41.16
2012-11-16,20,41.1
2012-11-23,19,43.27
2012-11-30,21,42.11
2012-12-07,20,42.56
2012-12-14,19,41.86
2012-12-21,19,42.02
2012-12-28,13,40.75
2013-01-04,16,42.66
2013-01-11,20,44.07
2013-01-18,20,45.67
2013-01-25,19,46.42
2013-02-01,22,46.92
2013-02-08,21,47.1
2013-02-15,20,47.12
2013-02-22,20,44.72
2013-03-01,22,45.23
2013-03-08,22,45.6
2013-03-15,22,45.42
2013-03-22,22,45.99
2013-04-05,22,46.28
2013-04-12,22,47.2
2013-04-19,22,46.03
2013-04-26,23,46.36
2013-05-03,21,47.72
2013-05-10,22,49.17
2013-05-17,22,49.84
2013-05-24,24,51.33
2013-05-31,23,51.01
2013-06-07,22,52.08
2013-06-14,22,52.92
2013-06-21,21,52.49
2013-06-28,21,51.47
2013-07-05,22,52.41
2013-07-12,23,53.44
2013-07-19,23,55.02
2013-07-26,22,55.6
2013-08-02,22,54.94
2013-08-09,22,55.37
2013-08-16,22,53.91
2013-08-23,21,52.74
2013-08-30,20,51.75
2013-09-06,20,53.46
2013-09-13,23,53.58
2013-09-20,22,53.71
2013-09-27,22,53
2013-10-04,21,53.35
2013-10-11,22,54.99
2013-10-18,23,56.59
2013-10-25,24,57.36
2013-11-01,24,57.26
2013-11-08,21,58.03
2013-11-15,22,58.55
2013-11-22,21,57.6
2013-11-29,19,57.32
2013-12-06,19,58.14
2013-12-13,20,55.89
2013-12-20,18,56.89
2013-12-27,14,57.4
2014-01-03,14,58.34
2014-01-10,20,59.95
2014-01-17,20,59.51
2014-01-24,20,57.16
2014-01-31,22,56.56
2014-02-07,22,55.59
2014-02-14,21,56.88
2014-02-21,21,57.12
2014-02-28,21,59.26
2014-03-07,22,59.91
2014-03-14,26,58.86
2014-03-21,23,58.83
2014-03-28,25,60.41
2014-04-04,25,61.57
2014-04-11,24,59.2
2014-04-25,22,58.21
