"Date","CAH","Price"
2006-12-29,23,64.43
2007-01-05,30,63.93
2007-01-12,27,66.92
2007-01-19,39,69.44
2007-01-26,40,71.43
2007-02-02,43,71.8
2007-02-09,40,71.25
2007-02-16,56,72.73
2007-02-23,45,72.44
2007-03-02,34,69.57
2007-03-09,34,72.33
2007-03-16,28,70.86
2007-03-23,33,72.42
2007-03-30,34,72.95
2007-04-13,41,74.27
2007-04-20,41,74.66
2007-04-27,40,70.58
2007-05-04,35,70.75
2007-05-11,36,69.07
2007-05-18,49,71.77
2007-05-25,38,72.31
2007-06-01,45,72.94
2007-06-08,38,72.3
2007-06-15,36,69.95
2007-06-22,31,69.62
2007-06-29,33,70.64
2007-07-06,34,69.88
2007-07-13,27,70.35
2007-07-20,32,68.35
2007-07-27,35,65.4
2007-08-03,35,66.02
2007-08-10,37,67.84
2007-08-17,37,69.21
2007-08-24,44,69.75
2007-08-31,30,68.38
2007-09-07,34,67.01
2007-09-14,35,64.67
2007-09-21,41,63.1
2007-09-28,36,62.53
2007-10-05,36,63.32
2007-10-12,31,65.32
2007-10-19,35,64.56
2007-10-26,39,65.55
2007-11-02,40,66.91
2007-11-09,35,60.05
2007-11-16,38,58.54
2007-11-23,33,56.98
2007-11-30,40,60.55
2007-12-07,46,60.6
2007-12-14,36,58.48
2007-12-21,39,58.55
2007-12-28,29,57.44
2008-01-04,31,56.27
2008-01-11,36,61.26
2008-01-18,40,59.51
2008-01-25,38,56.42
2008-02-01,35,59.71
2008-02-08,40,60.44
2008-02-15,39,60.31
2008-02-22,36,60.78
2008-02-29,40,59.14
2008-03-07,38,55.67
2008-03-14,35,50.32
2008-03-28,36,52.57
2008-04-04,38,54.87
2008-04-11,43,51.72
2008-04-18,40,52.58
2008-04-25,43,52.63
2008-05-02,49,55.41
2008-05-09,38,54.15
2008-05-16,40,55.67
2008-05-23,46,54.93
2008-05-30,37,56.54
2008-06-06,43,55.98
2008-06-13,38,54.74
2008-06-20,43,51.66
2008-06-27,34,50.63
2008-07-11,36,51.5
2008-07-18,40,52.79
2008-07-25,45,53.49
2008-08-01,47,53.38
2008-08-08,47,53.79
2008-08-15,38,56.13
2008-08-22,44,56.3
2008-08-29,40,54.98
2008-09-05,41,53.89
2008-09-12,41,52.07
2008-09-19,43,50.9
2008-09-26,48,49.84
2008-10-03,43,50.07
2008-10-10,52,38.2
2008-10-17,52,39.2
2008-10-24,43,35.89
2008-10-31,44,38.2
2008-11-07,37,39.88
2008-11-14,42,36.09
2008-11-21,41,30.23
2008-11-28,41,32.52
2008-12-05,44,31.35
2008-12-12,47,32.54
2008-12-19,42,33.27
2008-12-26,40,33.2
2009-01-02,40,35.22
2009-01-09,45,36.87
2009-01-16,41,38.09
2009-01-23,49,35.96
2009-01-30,39,37.65
2009-02-06,45,39.53
2009-02-13,47,38.1
2009-02-20,48,35.92
2009-02-27,47,32.45
2009-03-06,57,29.82
2009-03-13,44,31.54
2009-03-20,47,31.01
2009-03-27,51,32.43
2009-04-03,49,32.46
2009-04-17,45,34.26
2009-04-24,48,33.84
2009-05-01,51,33.83
2009-05-08,61,36.95
2009-05-15,48,34.88
2009-05-22,45,34.23
2009-05-29,46,35.75
2009-06-05,51,30.8
2009-06-12,53,30.96
2009-06-19,54,31.67
2009-06-26,48,30.96
2009-07-10,44,29.33
2009-07-17,52,30.99
2009-07-24,38,32.72
2009-07-31,52,33.3
2009-08-07,53,33.57
2009-08-14,45,32.9
2009-08-21,47,35.63
2009-08-28,48,34.26
2009-09-04,51,25.76
2009-09-11,52,26.49
2009-09-18,51,27.89
2009-09-25,53,27.32
2009-10-02,46,26.25
2009-10-09,53,27.32
2009-10-16,52,28.68
2009-10-23,52,28.66
2009-10-30,49,28.34
2009-11-06,47,29.5
2009-11-13,49,31.08
2009-11-20,45,31.77
2009-11-27,49,32.03
2009-12-04,50,32.14
2009-12-11,50,32.2
2009-12-18,49,32.14
2010-01-08,53,31.6
2010-01-15,54,32.34
2010-01-22,48,31.97
2010-01-29,50,33.07
2010-02-05,51,32.47
2010-02-12,47,33.38
2010-02-19,48,33.83
2010-02-26,53,33.97
2010-03-05,44,35.5
2010-03-12,54,34.91
2010-03-19,52,35.85
2010-03-26,52,35.42
2010-04-09,56,36.45
2010-04-16,54,35.07
2010-04-23,59,36.2
2010-04-30,53,34.69
2010-05-07,53,33.79
2010-05-14,58,33.82
2010-05-21,54,33.21
2010-05-28,45,34.49
2010-06-04,51,34.24
2010-06-11,54,35.07
2010-06-18,42,35.77
2010-06-25,52,34.24
2010-07-02,58,34.01
2010-07-09,54,34.61
2010-07-16,43,35.15
2010-07-23,52,33.44
2010-07-30,48,32.27
2010-08-06,55,33.1
2010-08-13,53,31.36
2010-08-20,57,31.14
2010-08-27,60,30.82
2010-09-03,52,31.29
2010-09-10,54,31.6
2010-09-17,61,32.64
2010-09-24,59,33.45
2010-10-01,54,32.85
2010-10-08,51,32.61
2010-10-15,56,33.22
2010-10-22,100,31.99
2010-10-29,68,34.69
2010-11-05,62,35.21
2010-11-12,61,35.02
2010-11-19,56,36.2
2010-11-26,58,35.88
2010-12-03,47,37.24
2010-12-10,58,37.15
2010-12-17,53,38.71
2010-12-31,52,38.31
2011-01-07,59,38.8
2011-01-14,57,40.59
2011-01-21,61,41.3
2011-01-28,57,41.07
2011-02-04,54,41.86
2011-02-11,56,41.57
2011-02-18,58,42.14
2011-02-25,61,41.26
2011-03-04,57,42.53
2011-03-11,63,40.63
2011-03-18,56,40.45
2011-03-25,52,41.32
2011-04-01,54,42.21
2011-04-08,58,42.18
2011-04-15,58,40.97
2011-04-29,65,43.69
2011-05-06,59,44.58
2011-05-13,62,44.45
2011-05-20,59,44.92
2011-05-27,57,45.35
2011-06-03,65,44.05
2011-06-10,59,43.26
2011-06-17,62,43.88
2011-06-24,59,44
2011-07-01,58,46.32
2011-07-08,54,46.45
2011-07-15,54,46.28
2011-07-22,60,46.04
2011-07-29,55,43.76
2011-08-05,59,40.13
2011-08-12,59,40.87
2011-08-19,61,39.98
2011-08-26,58,41.04
2011-09-02,58,41.41
2011-09-09,59,40.18
2011-09-16,63,43.12
2011-09-23,65,41.72
2011-09-30,64,41.88
2011-10-07,66,40.26
2011-10-14,69,42.09
2011-10-21,64,44
2011-10-28,63,45.49
2011-11-04,62,43.75
2011-11-11,67,44.91
2011-11-18,68,41.88
2011-11-25,60,40.29
2011-12-02,60,41.44
2011-12-09,69,41.89
2011-12-16,62,40.94
2011-12-23,54,40.96
2011-12-30,58,40.61
2012-01-06,60,41.56
2012-01-13,62,41.25
2012-01-20,59,42.64
2012-01-27,60,42.34
2012-02-03,65,42.05
2012-02-10,69,41.88
2012-02-17,63,41.52
2012-02-24,62,42.05
2012-03-02,64,41.04
2012-03-09,64,42.22
2012-03-16,60,41.59
2012-03-23,64,42.18
2012-03-30,63,43.11
2012-04-13,64,40.53
2012-04-20,63,41.55
2012-04-27,63,42.31
2012-05-04,59,42.7
2012-05-11,59,42.49
2012-05-18,63,40.96
2012-05-25,66,41.67
2012-06-01,62,40.53
2012-06-08,62,41.9
2012-06-15,63,42.47
2012-06-22,59,41.68
2012-06-29,54,42
2012-07-06,55,41.77
2012-07-13,56,42.51
2012-07-20,61,43.1
2012-07-27,64,42.34
2012-08-03,67,39.24
2012-08-10,67,40.27
2012-08-17,63,39.7
2012-08-24,58,39.72
2012-08-31,60,39.55
2012-09-07,65,38.31
2012-09-14,71,38.37
2012-09-21,67,38.61
2012-09-28,66,38.97
2012-10-05,65,40.52
2012-10-12,58,40.89
2012-10-19,62,41.26
2012-10-26,62,40.43
2012-11-02,59,41.1
2012-11-09,65,40
2012-11-16,62,39.37
2012-11-23,56,39.99
2012-11-30,59,40.45
2012-12-07,61,40.9
2012-12-14,64,42.32
2012-12-21,60,42.03
2012-12-28,54,40.72
2013-01-04,53,42.45
2013-01-11,58,43.06
2013-01-18,61,44.64
2013-01-25,61,44.9
2013-02-01,61,43.88
2013-02-08,56,45.18
2013-02-15,54,46.7
2013-02-22,60,45.56
2013-03-01,60,46.51
2013-03-08,61,46.28
2013-03-15,60,46.58
2013-03-22,63,42.09
2013-04-05,63,42.45
2013-04-12,68,43.27
2013-04-19,62,43.07
2013-04-26,66,43.98
2013-05-03,66,46.39
2013-05-10,65,46.36
2013-05-17,62,47.79
2013-05-24,63,47.17
2013-05-31,62,46.96
2013-06-07,66,46.9
2013-06-14,65,47.83
2013-06-21,65,47.23
2013-06-28,53,47.2
2013-07-05,57,47.58
2013-07-12,55,49.61
2013-07-19,62,50.52
2013-07-26,61,51.06
2013-08-02,59,51.11
2013-08-09,57,51.57
2013-08-16,60,51.32
2013-08-23,60,51.24
2013-08-30,57,50.28
2013-09-06,62,50.39
2013-09-13,65,53.02
2013-09-20,63,53.44
2013-09-27,63,52.28
2013-10-04,63,53.85
2013-10-11,56,54.67
2013-10-18,62,55.92
2013-10-25,58,54.95
2013-11-01,60,60.25
2013-11-08,62,62.3
2013-11-15,64,64.84
2013-11-22,63,65.02
2013-11-29,58,64.6
2013-12-06,61,63.93
2013-12-13,65,65.68
2013-12-20,58,66.56
2013-12-27,55,67.14
2014-01-03,57,66.79
2014-01-10,62,69.32
2014-01-17,65,67.68
2014-01-24,65,65.42
2014-01-31,63,68.02
2014-02-07,60,67.54
2014-02-14,63,70.27
2014-02-21,61,71.75
2014-02-28,63,71.53
2014-03-07,68,72.3
2014-03-14,66,72.29
2014-03-21,68,70.24
2014-03-28,66,69.68
2014-04-04,65,69.01
2014-04-11,66,66.14
2014-04-25,70,67.2
