"Date","AGN","Price"
2006-01-06,26,110.3
2006-01-13,50,115
2006-01-20,56,112.07
2006-01-27,45,114.32
2006-02-03,43,112.98
2006-02-10,29,105.92
2006-02-17,50,109.61
2006-02-24,41,110.36
2006-03-03,47,111.38
2006-03-10,52,116.07
2006-03-17,55,117.48
2006-03-24,45,111.92
2006-03-31,52,108.5
2006-04-07,53,104.09
2006-04-21,59,101.43
2006-04-28,42,102.72
2006-05-05,44,100.66
2006-05-12,51,95.62
2006-05-19,59,95.67
2006-05-26,62,95.78
2006-06-02,43,98.5
2006-06-09,51,103.04
2006-06-16,61,104.67
2006-06-23,46,103.79
2006-06-30,42,107.26
2006-07-07,40,106.08
2006-07-14,70,104
2006-07-21,55,105.15
2006-07-28,49,107.79
2006-08-04,38,109.12
2006-08-11,47,109.43
2006-08-18,41,112.31
2006-08-25,64,113.58
2006-09-01,53,114.15
2006-09-08,54,112.25
2006-09-15,45,113.24
2006-09-22,44,112.89
2006-09-29,53,112.61
2006-10-06,51,115.82
2006-10-13,65,114.85
2006-10-20,45,116.82
2006-10-27,55,115.25
2006-11-03,31,111.85
2006-11-10,55,107.72
2006-11-17,51,112.5
2006-11-24,64,119.3
2006-12-01,68,116.37
2006-12-08,44,121.01
2006-12-15,55,122.19
2006-12-22,35,119.39
2006-12-29,36,119.74
2007-01-05,36,119.63
2007-01-12,42,117.03
2007-01-19,48,117.78
2007-01-26,34,117.17
2007-02-02,56,116.6
2007-02-09,52,114.05
2007-02-16,48,112.63
2007-02-23,44,112.35
2007-03-02,47,109.67
2007-03-09,47,108.1
2007-03-16,43,110.71
2007-03-23,47,112.58
2007-03-30,49,110.82
2007-04-13,48,117.85
2007-04-20,48,119.56
2007-04-27,52,121.26
2007-05-04,41,121.31
2007-05-11,59,123.74
2007-05-18,53,122.32
2007-05-25,65,123.08
2007-06-01,53,124
2007-06-08,60,119.37
2007-06-15,59,118.21
2007-06-22,58,114.47
2007-06-29,50,57.64
2007-07-06,61,57.56
2007-07-13,65,58.43
2007-07-20,66,60.45
2007-07-27,59,57.86
2007-08-03,69,63.57
2007-08-10,67,62.24
2007-08-17,53,58.86
2007-08-24,51,60.1
2007-08-31,60,60.01
2007-09-07,59,60.73
2007-09-14,61,62.68
2007-09-21,66,62.61
2007-09-28,55,64.47
2007-10-05,65,66.8
2007-10-12,53,66.8
2007-10-19,47,63.49
2007-10-26,62,65.84
2007-11-02,54,66.84
2007-11-09,50,65.78
2007-11-16,65,64.62
2007-11-23,53,62.61
2007-11-30,58,67.04
2007-12-07,55,68.45
2007-12-14,61,65
2007-12-21,45,64.95
2007-12-28,50,64.96
2008-01-04,47,62.07
2008-01-11,61,67.65
2008-01-18,64,67.93
2008-01-25,66,63.78
2008-02-01,60,67.64
2008-02-08,66,63.3
2008-02-15,60,63.89
2008-02-22,57,62.45
2008-02-29,54,59.23
2008-03-07,57,55.08
2008-03-14,74,55.74
2008-03-28,65,56.33
2008-04-04,62,59.47
2008-04-11,61,55.7
2008-04-18,58,56.19
2008-04-25,63,55.46
2008-05-02,41,54.51
2008-05-09,79,52.87
2008-05-16,66,54.11
2008-05-23,65,53.86
2008-05-30,47,57.62
2008-06-06,51,57.42
2008-06-13,50,57.17
2008-06-20,72,54.51
2008-06-27,67,51.58
2008-07-11,61,51.77
2008-07-18,65,52.36
2008-07-25,63,53.65
2008-08-01,59,50.65
2008-08-08,52,57.02
2008-08-15,61,57.5
2008-08-22,59,57.17
2008-08-29,78,55.87
2008-09-05,71,54.48
2008-09-12,67,59.74
2008-09-19,60,58.68
2008-09-26,66,55.29
2008-10-03,60,46.65
2008-10-10,64,39.8
2008-10-17,75,40.46
2008-10-24,68,35.18
2008-10-31,68,39.67
2008-11-07,66,40.23
2008-11-14,69,35.66
2008-11-21,59,31.57
2008-11-28,58,37.68
2008-12-05,73,38.54
2008-12-12,62,34.44
2008-12-19,63,36.43
2008-12-26,53,37.18
2009-01-02,65,41.49
2009-01-09,63,40.28
2009-01-16,67,40.67
2009-01-23,73,37.73
2009-01-30,73,38.12
2009-02-06,66,41.26
2009-02-13,73,43.68
2009-02-20,73,40.16
2009-02-27,72,38.74
2009-03-06,76,36.52
2009-03-13,72,41.32
2009-03-20,73,39.54
2009-03-27,83,47.01
2009-04-03,76,48.58
2009-04-17,75,49.49
2009-04-24,78,47.08
2009-05-01,79,43.79
2009-05-08,77,48.81
2009-05-15,92,45.44
2009-05-22,75,43.75
2009-05-29,90,44.13
2009-06-05,84,45.63
2009-06-12,83,46.28
2009-06-19,86,46.48
2009-06-26,85,46.16
2009-07-10,82,45.36
2009-07-17,81,47.8
2009-07-24,83,52.68
2009-07-31,91,53.43
2009-08-07,91,55.17
2009-08-14,93,54.38
2009-08-21,99,55.43
2009-08-28,82,55.1
2009-09-04,72,54.92
2009-09-11,90,56.39
2009-09-18,84,57.43
2009-09-25,86,56.42
2009-10-02,80,54.96
2009-10-09,84,56.75
2009-10-16,86,57.92
2009-10-23,87,56.73
2009-10-30,77,56.25
2009-11-06,96,59.25
2009-11-13,88,59.63
2009-11-20,87,58.62
2009-11-27,85,58.29
2009-12-04,88,59.16
2009-12-11,76,60.36
2009-12-18,71,60.64
2010-01-08,81,60.47
2010-01-15,92,60.04
2010-01-22,100,58.71
2010-01-29,87,57.5
2010-02-05,96,58.03
2010-02-12,96,59.45
2010-02-19,91,59.53
2010-02-26,84,58.43
2010-03-05,86,62.1
2010-03-12,79,62.31
2010-03-19,87,64
2010-03-26,80,64.12
2010-04-09,83,63.33
2010-04-16,83,61.71
2010-04-23,80,62.4
2010-04-30,87,63.69
2010-05-07,78,59.31
2010-05-14,76,61.06
2010-05-21,82,58.05
2010-05-28,78,60.19
2010-06-04,80,58.56
2010-06-11,78,59.85
2010-06-18,83,61.27
2010-06-25,93,59.81
2010-07-02,79,62.29
2010-07-09,81,65.49
2010-07-16,81,64
2010-07-23,84,61.07
2010-07-30,76,61.06
2010-08-06,80,64.76
2010-08-13,85,63.66
2010-08-20,79,62.96
2010-08-27,79,63.17
2010-09-03,76,63.87
2010-09-10,91,65.8
2010-09-17,81,65.21
2010-09-24,77,66.36
2010-10-01,82,66.25
2010-10-08,87,67.32
2010-10-15,74,68.86
2010-10-22,89,71.83
2010-10-29,83,72.41
2010-11-05,81,70.87
2010-11-12,86,68.61
2010-11-19,67,68.44
2010-11-26,69,67.78
2010-12-03,72,68.8
2010-12-10,70,69.27
2010-12-17,69,70.85
2010-12-31,69,68.67
2011-01-07,83,69.56
2011-01-14,78,71.04
2011-01-21,71,71.36
2011-01-28,72,69.08
2011-02-04,76,71.61
2011-02-11,74,73.91
2011-02-18,81,75.02
2011-02-25,76,74.51
2011-03-04,73,72.2
2011-03-11,79,71.49
2011-03-18,81,70.25
2011-03-25,68,69.85
2011-04-01,76,72.45
2011-04-08,72,74.77
2011-04-15,74,77
2011-04-29,77,79.56
2011-05-06,76,81.06
2011-05-13,71,80.7
2011-05-20,68,83.51
2011-05-27,82,82.62
2011-06-03,72,79.82
2011-06-10,68,79.14
2011-06-17,69,80.84
2011-06-24,69,80.87
2011-07-01,74,84.57
2011-07-08,71,84.85
2011-07-15,68,83.37
2011-07-22,68,84.36
2011-07-29,69,81.31
2011-08-05,75,76.98
2011-08-12,74,74.47
2011-08-19,74,72.35
2011-08-26,71,78.11
2011-09-02,71,79.03
2011-09-09,65,78.57
2011-09-16,70,83.2
2011-09-23,67,82.12
2011-09-30,71,82.38
2011-10-07,67,81.5
2011-10-14,72,86.21
2011-10-21,75,88.38
2011-10-28,61,84.4
2011-11-04,64,83.61
2011-11-11,65,85.02
2011-11-18,60,82.4
2011-11-25,66,78.68
2011-12-02,69,83.57
2011-12-09,62,83.49
2011-12-16,67,83.66
2011-12-23,56,87.42
2011-12-30,61,87.74
2012-01-06,70,87.07
2012-01-13,72,88.16
2012-01-20,68,87.77
2012-01-27,68,88.82
2012-02-03,67,86.08
2012-02-10,65,87.05
2012-02-17,69,87.91
2012-02-24,55,87.42
2012-03-02,69,89.24
2012-03-09,68,91.87
2012-03-16,62,93
2012-03-23,64,93.61
2012-03-30,61,95.43
2012-04-13,59,94.65
2012-04-20,65,95.58
2012-04-27,64,96.59
2012-05-04,62,92.9
2012-05-11,56,92.97
2012-05-18,59,88.78
2012-05-25,62,90.53
2012-06-01,54,88.09
2012-06-08,60,91.48
2012-06-15,59,92.45
2012-06-22,60,91.59
2012-06-29,52,92.57
2012-07-06,61,93.7
2012-07-13,60,90.75
2012-07-20,62,85.15
2012-07-27,56,86.25
2012-08-03,62,85.45
2012-08-10,61,85.61
2012-08-17,58,86.61
2012-08-24,56,85.25
2012-08-31,66,86.13
2012-09-07,66,88.95
2012-09-14,61,89.15
2012-09-21,54,91.5
2012-09-28,65,91.58
2012-10-05,58,93.63
2012-10-12,59,92.26
2012-10-19,57,92.21
2012-10-26,52,91.64
2012-11-02,52,91.51
2012-11-09,50,90.44
2012-11-16,52,88.71
2012-11-23,57,91.99
2012-11-30,49,92.75
2012-12-07,53,91.79
2012-12-14,52,91.61
2012-12-21,50,91.95
2012-12-28,47,90.13
2013-01-04,46,97.87
2013-01-11,53,103.19
2013-01-18,56,104.98
2013-01-25,56,107.21
2013-02-01,56,106.85
2013-02-08,63,107.63
2013-02-15,53,108.02
2013-02-22,54,107.92
2013-03-01,51,108.6
2013-03-08,53,109.45
2013-03-15,55,108.98
2013-03-22,58,111.89
2013-04-05,53,112.51
2013-04-12,62,116.02
2013-04-19,52,113.74
2013-04-26,52,111.98
2013-05-03,53,104.77
2013-05-10,48,104.18
2013-05-17,51,101.41
2013-05-24,51,98.02
2013-05-31,55,99.49
2013-06-07,50,99.75
2013-06-14,47,101.14
2013-06-21,48,92.7
2013-06-28,47,84.24
2013-07-05,57,84.35
2013-07-12,51,90.51
2013-07-19,53,91.97
2013-07-26,55,92.26
2013-08-02,60,91.77
2013-08-09,52,91.1
2013-08-16,56,87.93
2013-08-23,53,89.54
2013-08-30,50,88.38
2013-09-06,50,89.21
2013-09-13,57,88.77
2013-09-20,52,92.63
2013-09-27,47,91.04
2013-10-04,53,90.66
2013-10-11,46,89.96
2013-10-18,52,90.74
2013-10-25,50,92.82
2013-11-01,53,90.49
2013-11-08,50,89.95
2013-11-15,52,96.41
2013-11-22,53,98.57
2013-11-29,57,97.05
2013-12-06,44,98.2
2013-12-13,45,96.57
2013-12-20,46,107.73
2013-12-27,44,110.85
2014-01-03,44,112.06
2014-01-10,47,115.19
2014-01-17,55,120.15
2014-01-24,53,114.87
2014-01-31,49,114.6
2014-02-07,49,118.84
2014-02-14,49,124.57
2014-02-21,53,125.07
2014-02-28,54,127
2014-03-07,56,127.99
2014-03-14,56,128.34
2014-03-21,62,125.05
2014-03-28,61,121.05
2014-04-04,65,124.12
2014-04-11,58,120.89
2014-04-25,88,168.15
