"Date","BCR","Price"
2008-03-28,60,97.51
2008-04-04,62,98.61
2008-04-11,63,95.43
2008-04-18,60,97.38
2008-04-25,57,92.76
2008-05-02,49,93.47
2008-05-09,62,91.22
2008-05-16,63,91.25
2008-05-23,53,90.51
2008-05-30,59,91.2
2008-06-06,57,89.43
2008-06-13,54,90.9
2008-06-20,55,88.29
2008-06-27,58,88.15
2008-07-11,60,88.17
2008-07-18,69,91.14
2008-07-25,57,95.26
2008-08-01,58,92.07
2008-08-08,62,93.36
2008-08-15,63,93.94
2008-08-22,62,95.71
2008-08-29,58,93.45
2008-09-05,69,93.98
2008-09-12,74,96.17
2008-09-19,60,94.98
2008-09-26,61,98.6
2008-10-03,69,93.8
2008-10-10,74,82
2008-10-17,70,78.58
2008-10-24,69,81.18
2008-10-31,76,88.25
2008-11-07,67,87.14
2008-11-14,73,82.91
2008-11-21,70,81.01
2008-11-28,70,82.03
2008-12-05,68,84.2
2008-12-12,81,81.03
2008-12-19,84,79.75
2008-12-26,56,81.02
2009-01-02,57,85.01
2009-01-09,84,83.32
2009-01-16,87,86.01
2009-01-23,74,85.79
2009-01-30,77,85.57
2009-02-06,72,86.6
2009-02-13,71,86.98
2009-02-20,71,85.68
2009-02-27,66,80.26
2009-03-06,69,72.38
2009-03-13,72,74.94
2009-03-20,69,76.26
2009-03-27,70,79.97
2009-04-03,76,78.09
2009-04-17,77,80.1
2009-04-24,64,71.2
2009-05-01,67,72.22
2009-05-08,72,73.52
2009-05-15,81,70.81
2009-05-22,71,71.46
2009-05-29,72,71.49
2009-06-05,76,74.17
2009-06-12,70,74.05
2009-06-19,76,74.35
2009-06-26,75,73.86
2009-07-10,85,72.76
2009-07-17,86,73.54
2009-07-24,73,71.5
2009-07-31,88,73.57
2009-08-07,85,73.31
2009-08-14,79,73.62
2009-08-21,80,75.56
2009-08-28,79,80.31
2009-09-04,84,80.45
2009-09-11,80,80.51
2009-09-18,82,80.15
2009-09-25,82,78.06
2009-10-02,79,77.39
2009-10-09,72,77.94
2009-10-16,81,76.19
2009-10-23,78,76.74
2009-10-30,79,75.07
2009-11-06,79,78.39
2009-11-13,77,80.76
2009-11-20,78,80.72
2009-11-27,81,81.86
2009-12-04,80,83.04
2009-12-11,76,83.05
2009-12-18,81,78.49
2010-01-08,78,80.51
2010-01-15,82,82.62
2010-01-22,80,79.44
2010-01-29,75,82.89
2010-02-05,81,79.92
2010-02-12,78,81.97
2010-02-19,78,83.44
2010-02-26,76,83.78
2010-03-05,75,84.71
2010-03-12,81,81.98
2010-03-19,84,83.82
2010-03-26,78,85.77
2010-04-09,72,85.21
2010-04-16,87,85.81
2010-04-23,71,85.94
2010-04-30,76,86.53
2010-05-07,79,82.97
2010-05-14,84,82.7
2010-05-21,83,79.57
2010-05-28,79,80.97
2010-06-04,84,78.97
2010-06-11,82,80.07
2010-06-18,82,80.3
2010-06-25,79,78.5
2010-07-02,92,76.48
2010-07-09,80,79.1
2010-07-16,85,77.58
2010-07-23,76,78.72
2010-07-30,81,78.53
2010-08-06,75,80.7
2010-08-13,85,79.92
2010-08-20,80,78.82
2010-08-27,80,77.98
2010-09-03,82,78.29
2010-09-10,83,77.31
2010-09-17,93,80.2
2010-09-24,88,79.84
2010-10-01,80,81.76
2010-10-08,78,82.98
2010-10-15,84,84.37
2010-10-22,82,83.01
2010-10-29,82,83.12
2010-11-05,77,85
2010-11-12,83,85.47
2010-11-19,87,84.74
2010-11-26,85,85.01
2010-12-03,87,86.33
2010-12-10,85,86.54
2010-12-17,94,95.72
2010-12-31,75,91.77
2011-01-07,81,90.92
2011-01-14,85,91.25
2011-01-21,83,92.95
2011-01-28,82,93.06
2011-02-04,79,93.32
2011-02-11,84,97.75
2011-02-18,88,98.71
2011-02-25,79,97.26
2011-03-04,85,97.22
2011-03-11,82,95.75
2011-03-18,90,95.26
2011-03-25,84,97.45
2011-04-01,94,100.88
2011-04-08,89,99.88
2011-04-15,100,102.05
2011-04-29,84,106.75
2011-05-06,89,106.64
2011-05-13,93,109.56
2011-05-20,87,111.62
2011-05-27,85,110.89
2011-06-03,90,108.29
2011-06-10,84,108.98
2011-06-17,87,108.67
2011-06-24,85,107.52
2011-07-01,95,111.69
2011-07-08,88,112.82
2011-07-15,95,111.8
2011-07-22,91,99.58
2011-07-29,87,98.68
2011-08-05,84,90.42
2011-08-12,91,91.72
2011-08-19,81,87.47
2011-08-26,82,91.46
2011-09-02,91,91.85
2011-09-09,87,89.62
2011-09-16,94,91.64
2011-09-23,90,85.81
2011-09-30,96,87.54
2011-10-07,92,83.93
2011-10-14,92,86.57
2011-10-21,83,87.27
2011-10-28,82,87.81
2011-11-04,85,87.3
2011-11-11,81,88.89
2011-11-18,88,85.25
2011-11-25,85,83.37
2011-12-02,87,85.71
2011-12-09,93,85.7
2011-12-16,100,86.16
2011-12-23,88,85.12
2011-12-30,73,85.5
2012-01-06,70,85.68
2012-01-13,84,85.45
2012-01-20,78,90.01
2012-01-27,75,93.32
2012-02-03,74,93.48
2012-02-10,71,95.67
2012-02-17,77,95.53
2012-02-24,66,94.07
2012-03-02,80,93.3
2012-03-09,73,94.07
2012-03-16,76,97.28
2012-03-23,72,96.56
2012-03-30,78,98.72
2012-04-13,84,96.03
2012-04-20,74,98.07
2012-04-27,74,98.71
2012-05-04,78,99.38
2012-05-11,74,101.18
2012-05-18,82,96.78
2012-05-25,72,99.9
2012-06-01,80,95.6
2012-06-08,73,99.61
2012-06-15,79,102.42
2012-06-22,70,104.43
2012-06-29,79,107.44
2012-07-06,78,106.68
2012-07-13,77,107.71
2012-07-20,79,105.71
2012-07-27,73,99.59
2012-08-03,75,97.46
2012-08-10,76,98.57
2012-08-17,79,98.4
2012-08-24,79,97.95
2012-08-31,80,98.11
2012-09-07,79,100.8
2012-09-14,80,102.23
2012-09-21,75,104.74
2012-09-28,73,104.65
2012-10-05,74,105.6
2012-10-12,76,100.98
2012-10-19,77,99.72
2012-10-26,73,96.44
2012-11-02,78,96.07
2012-11-09,75,94.73
2012-11-16,80,95.78
2012-11-23,74,98.54
2012-11-30,77,99.01
2012-12-07,84,97.46
2012-12-14,84,96.22
2012-12-21,89,98.18
2012-12-28,69,95.99
2013-01-04,60,100.93
2013-01-11,77,103.13
2013-01-18,86,101.59
2013-01-25,73,103.44
2013-02-01,77,99.35
2013-02-08,68,101.19
2013-02-15,74,100.79
2013-02-22,64,98.27
2013-03-01,71,98.8
2013-03-08,65,100.67
2013-03-15,70,101.88
2013-03-22,64,100.62
2013-04-05,67,100.11
2013-04-12,72,103.05
2013-04-19,71,99.53
2013-04-26,64,98.55
2013-05-03,66,101.57
2013-05-10,61,104.61
2013-05-17,72,107.41
2013-05-24,62,105.14
2013-05-31,70,103.09
2013-06-07,65,105.4
2013-06-14,75,111.04
2013-06-21,65,110.1
2013-06-28,66,108.68
2013-07-05,69,108.41
2013-07-12,69,111.16
2013-07-19,71,114.17
2013-07-26,65,114.46
2013-08-02,66,115.77
2013-08-09,64,117.37
2013-08-16,70,111.82
2013-08-23,65,114.51
2013-08-30,66,114.87
2013-09-06,62,117.81
2013-09-13,65,118.62
2013-09-20,64,118.45
2013-09-27,63,115.74
2013-10-04,66,115.86
2013-10-11,62,119.08
2013-10-18,70,124.5
2013-10-25,59,134.55
2013-11-01,65,136.38
2013-11-08,60,137.62
2013-11-15,66,139.05
2013-11-22,61,139.85
2013-11-29,62,138.88
2013-12-06,65,137.44
2013-12-13,66,133.6
2013-12-20,69,132.15
2013-12-27,48,133.29
2014-01-03,45,131.13
2014-01-10,61,134.41
2014-01-17,64,135.21
2014-01-24,55,133.09
2014-01-31,58,129.59
2014-02-07,63,131.02
2014-02-14,61,139.19
2014-02-21,60,141.57
2014-02-28,64,144.16
2014-03-07,59,143.71
2014-03-14,66,144.92
2014-03-21,59,145.84
2014-03-28,58,145.5
2014-04-04,62,148.06
2014-04-11,60,137.27
2014-04-25,56,136.24
