"Date","WAT","Price"
2011-08-26,66,78.34
2011-09-02,65,75.84
2011-09-09,69,74.62
2011-09-16,75,82.43
2011-09-23,74,75.09
2011-09-30,69,75.49
2011-10-07,71,72.78
2011-10-14,73,77.25
2011-10-21,70,80.59
2011-10-28,73,82.22
2011-11-04,73,78.55
2011-11-11,73,80.03
2011-11-18,72,74.77
2011-11-25,73,72.55
2011-12-02,72,79.88
2011-12-09,72,74.82
2011-12-16,71,71.61
2011-12-23,68,74.59
2011-12-30,63,74.05
2012-01-06,68,74.15
2012-01-13,73,76.06
2012-01-20,74,77.99
2012-01-27,75,86.82
2012-02-03,74,89.49
2012-02-10,73,87.8
2012-02-17,76,88.63
2012-02-24,70,88.56
2012-03-02,73,89.34
2012-03-09,78,90.98
2012-03-16,73,92.96
2012-03-23,71,90.89
2012-03-30,71,92.66
2012-04-13,73,87.56
2012-04-20,73,88.75
2012-04-27,71,83.82
2012-05-04,65,83.51
2012-05-11,71,84.82
2012-05-18,70,80.81
2012-05-25,69,82.1
2012-06-01,70,77.07
2012-06-08,71,78.78
2012-06-15,71,80.56
2012-06-22,71,81.09
2012-06-29,68,79.47
2012-07-06,65,77.31
2012-07-13,67,76.63
2012-07-20,65,76.48
2012-07-27,60,79.06
2012-08-03,64,77.11
2012-08-10,65,78.65
2012-08-17,67,75.26
2012-08-24,71,77.72
2012-08-31,70,80.19
2012-09-07,72,83.18
2012-09-14,74,85.04
2012-09-21,74,84.69
2012-09-28,75,83.33
2012-10-05,77,84.35
2012-10-12,74,80.38
2012-10-19,72,79.88
2012-10-26,72,81.56
2012-11-02,76,83.49
2012-11-09,74,82.97
2012-11-16,74,81.21
2012-11-23,75,83.64
2012-11-30,74,84.55
2012-12-07,72,85.5
2012-12-14,71,87.35
2012-12-21,69,88.42
2012-12-28,65,86.25
2013-01-04,71,86.82
2013-01-11,75,90.61
2013-01-18,75,91.89
2013-01-25,75,92.61
2013-02-01,75,93.09
2013-02-08,72,92.53
2013-02-15,71,92.61
2013-02-22,72,92.65
2013-03-01,73,93.77
2013-03-08,76,94.48
2013-03-15,76,94.82
2013-03-22,74,93.26
2013-04-05,74,92.39
2013-04-12,74,94.33
2013-04-19,74,88.45
2013-04-26,69,92.3
2013-05-03,64,93
2013-05-10,69,96.91
2013-05-17,75,98
2013-05-24,74,97.79
2013-05-31,73,96.71
2013-06-07,73,98.38
2013-06-14,76,98.6
2013-06-21,75,99.26
2013-06-28,71,100.05
2013-07-05,66,102.01
2013-07-12,66,104.53
2013-07-19,70,104.74
2013-07-26,67,100.16
2013-08-02,65,102.09
2013-08-09,68,103.41
2013-08-16,76,98.47
2013-08-23,73,99.63
2013-08-30,74,98.85
2013-09-06,76,101.62
2013-09-13,78,104.19
2013-09-20,78,106.54
2013-09-27,76,107.28
2013-10-04,78,105
2013-10-11,78,104.48
2013-10-18,79,106.48
2013-10-25,76,101.99
2013-11-01,79,100.58
2013-11-08,78,100.12
2013-11-15,79,102.12
2013-11-22,80,101.09
2013-11-29,79,99.53
2013-12-06,77,98.21
2013-12-13,76,96.03
2013-12-20,76,99.58
2013-12-27,71,99.36
2014-01-03,77,98.04
2014-01-10,83,101.46
2014-01-17,83,104.4
2014-01-24,84,103.02
2014-01-31,83,108.27
2014-02-07,81,108.72
2014-02-14,80,112.48
2014-02-21,78,113.31
2014-02-28,80,111.4
2014-03-07,77,112.72
2014-03-14,80,113.04
2014-03-21,80,110.74
2014-03-28,78,107.68
2014-04-04,76,111.03
2014-04-11,77,108
2014-04-25,76,108.7
