"Date","FDO","Price"
2010-03-19,54,35.82
2010-03-26,48,36.93
2010-04-09,55,38.49
2010-04-16,58,38.41
2010-04-23,65,40.28
2010-04-30,68,39.56
2010-05-07,56,38.96
2010-05-14,52,40.2
2010-05-21,60,41.26
2010-05-28,60,40.74
2010-06-04,62,38.17
2010-06-11,56,38.57
2010-06-18,63,39.4
2010-06-25,49,38.16
2010-07-02,59,38.62
2010-07-09,51,36
2010-07-16,53,38.12
2010-07-23,51,39.47
2010-07-30,47,41.35
2010-08-06,54,42
2010-08-13,58,42.92
2010-08-20,66,42.83
2010-08-27,62,43.34
2010-09-03,54,42.51
2010-09-10,45,42.6
2010-09-17,43,43.46
2010-09-24,51,43.4
2010-10-01,55,44.3
2010-10-08,53,45.51
2010-10-15,50,45.57
2010-10-22,56,45.42
2010-10-29,47,46.17
2010-11-05,42,48.43
2010-11-12,53,48.36
2010-11-19,50,48.84
2010-11-26,43,50.67
2010-12-03,41,51.07
2010-12-10,42,49.76
2010-12-17,50,49.58
2010-12-31,34,49.71
2011-01-07,65,43.9
2011-01-14,53,43.22
2011-01-21,54,43.8
2011-01-28,42,42.48
2011-02-04,55,41.51
2011-02-11,53,44.16
2011-02-18,76,52.55
2011-02-25,47,50.54
2011-03-04,57,50.55
2011-03-11,58,51.27
2011-03-18,45,51.26
2011-03-25,54,52.02
2011-04-01,53,51.53
2011-04-08,57,51.75
2011-04-15,58,51.99
2011-04-29,45,54.21
2011-05-06,54,53.05
2011-05-13,54,51.94
2011-05-20,59,53.65
2011-05-27,52,55.56
2011-06-03,42,52.38
2011-06-10,41,52.36
2011-06-17,50,52.6
2011-06-24,53,52.26
2011-07-01,49,54.01
2011-07-08,50,54.49
2011-07-15,49,52.4
2011-07-22,54,54.14
2011-07-29,50,53.11
2011-08-05,50,48.53
2011-08-12,45,49.19
2011-08-19,44,48.61
2011-08-26,56,47.55
2011-09-02,61,51.91
2011-09-09,49,50.28
2011-09-16,53,53.43
2011-09-23,53,54.64
2011-09-30,59,50.86
2011-10-07,52,52.82
2011-10-14,59,54.4
2011-10-21,51,59.1
2011-10-28,51,58.02
2011-11-04,59,58.97
2011-11-11,54,58.73
2011-11-18,47,56.72
2011-11-25,52,55.8
2011-12-02,52,58.7
2011-12-09,41,57.86
2011-12-16,55,57.92
2011-12-23,49,58.76
2011-12-30,52,57.66
2012-01-06,49,53.63
2012-01-13,51,53.79
2012-01-20,47,54.78
2012-01-27,55,55.68
2012-02-03,56,57.51
2012-02-10,83,57.65
2012-02-17,100,54.88
2012-02-24,55,54.33
2012-03-02,59,54.49
2012-03-09,57,57.48
2012-03-16,52,56.67
2012-03-23,55,57.68
2012-03-30,62,63.28
2012-04-13,52,64.26
2012-04-20,60,68.34
2012-04-27,42,69
2012-05-04,60,68.07
2012-05-11,73,69.27
2012-05-18,44,64.16
2012-05-25,51,67.6
2012-06-01,55,67.15
2012-06-08,54,69.58
2012-06-15,52,73.26
2012-06-22,55,70.43
2012-06-29,42,66.48
2012-07-06,56,69.58
2012-07-13,55,67.47
2012-07-20,56,66.77
2012-07-27,51,66.63
2012-08-03,50,66.17
2012-08-10,35,63.71
2012-08-17,43,64.93
2012-08-24,59,62.35
2012-08-31,51,63.64
2012-09-07,49,63.27
2012-09-14,49,64.2
2012-09-21,51,64.15
2012-09-28,50,66.3
2012-10-05,51,69.02
2012-10-12,43,66.4
2012-10-19,44,65.1
2012-10-26,67,65.6
2012-11-02,46,65.93
2012-11-09,48,66.5
2012-11-16,42,66.54
2012-11-23,41,70.1
2012-11-30,40,71.2
2012-12-07,44,71
2012-12-14,44,65.86
2012-12-21,40,63.04
2012-12-28,32,62.7
2013-01-04,44,56.65
2013-01-11,56,56.44
2013-01-18,51,58.37
2013-01-25,45,58.55
2013-02-01,49,56.09
2013-02-08,44,57.35
2013-02-15,42,55.94
2013-02-22,43,56.68
2013-03-01,44,58.69
2013-03-08,47,58.78
2013-03-15,52,59.42
2013-03-22,52,61.37
2013-04-05,46,59.4
2013-04-12,47,61.05
2013-04-19,45,62.59
2013-04-26,52,62.94
2013-05-03,56,62.37
2013-05-10,46,63.08
2013-05-17,51,64.3
2013-05-24,45,63.65
2013-05-31,38,61.15
2013-06-07,42,62.01
2013-06-14,41,63.23
2013-06-21,45,62.08
2013-06-28,45,62.31
2013-07-05,38,63.82
2013-07-12,49,68.4
2013-07-19,45,67.7
2013-07-26,37,68.52
2013-08-02,39,70.56
2013-08-09,33,71.47
2013-08-16,43,71.25
2013-08-23,42,72.28
2013-08-30,41,71.19
2013-09-06,35,70.78
2013-09-13,33,72.1
2013-09-20,39,73.34
2013-09-27,42,72.58
2013-10-04,42,72.55
2013-10-11,41,69.71
2013-10-18,37,69.56
2013-10-25,38,69.58
2013-11-01,42,69.55
2013-11-08,44,67.5
2013-11-15,42,70.02
2013-11-22,37,70.54
2013-11-29,39,69.77
2013-12-06,45,65.98
2013-12-13,36,63.96
2013-12-20,33,64.49
2013-12-27,33,64.99
2014-01-03,36,66.41
2014-01-10,46,67.48
2014-01-17,45,65.56
2014-01-24,36,62.95
2014-01-31,38,61.82
2014-02-07,41,62.66
2014-02-14,38,63.43
2014-02-21,45,65.71
2014-02-28,53,65.5
2014-03-07,45,63.02
2014-03-14,44,60.29
2014-03-21,38,60.2
2014-03-28,40,57.76
2014-04-04,41,58.04
2014-04-11,45,56.1
2014-04-25,43,58.31
