"Date","GRMN","Price"
2013-09-20,4,43.61
2013-09-27,3,45.19
2013-10-04,4,47.13
2013-10-11,3,47.61
2013-10-18,3,48.86
2013-10-25,3,48.9
2013-11-01,4,46.61
2013-11-08,2,46.25
2013-11-15,2,47.77
2013-11-22,4,48.08
2013-11-29,2,48.56
2013-12-06,3,48.83
2013-12-13,2,46.58
2013-12-20,2,46.03
2013-12-27,3,46.67
2014-01-03,3,46.58
2014-01-10,3,45.05
2014-01-17,4,46.66
2014-01-24,3,45.21
2014-01-31,3,45.05
2014-02-07,3,45.53
2014-02-14,2,46.08
2014-02-21,5,51.97
2014-02-28,5,53.66
2014-03-07,3,53.61
2014-03-14,3,52.19
2014-03-21,2,55.1
2014-03-28,2,55.57
2014-04-04,3,55.71
2014-04-11,3,54.86
2014-04-25,2,54.24
