"Date","LB","Price"
2008-08-22,42,20.87
2008-08-29,41,20.8
2008-09-05,42,20.69
2008-09-12,42,20.71
2008-09-19,44,19.45
2008-09-26,44,18.78
2008-10-03,42,15.88
2008-10-10,45,12.76
2008-10-17,45,12.41
2008-10-24,46,10.51
2008-10-31,42,11.98
2008-11-07,42,10.31
2008-11-14,43,9.01
2008-11-21,42,7.65
2008-11-28,54,9.31
2008-12-05,46,9.34
2008-12-12,46,8.64
2008-12-19,43,9.39
2008-12-26,45,9.5
2009-01-02,42,10.73
2009-01-09,45,9.57
2009-01-16,46,8.77
2009-01-23,46,8.55
2009-01-30,47,7.92
2009-02-06,45,8.85
2009-02-13,44,8.14
2009-02-20,44,7.84
2009-02-27,48,7.69
2009-03-06,47,6.26
2009-03-13,44,8.23
2009-03-20,46,8.05
2009-03-27,46,9.12
2009-04-03,44,10.19
2009-04-17,46,10.82
2009-04-24,42,11.05
2009-05-01,44,11.1
2009-05-08,47,12.38
2009-05-15,44,11.01
2009-05-22,45,12.02
2009-05-29,44,12.51
2009-06-05,44,12.92
2009-06-12,47,12.81
2009-06-19,43,11.84
2009-06-26,43,11.7
2009-07-10,45,10.58
2009-07-17,50,11.67
2009-07-24,44,12.59
2009-07-31,43,12.94
2009-08-07,44,14.96
2009-08-14,45,14.18
2009-08-21,43,15.35
2009-08-28,45,15.08
2009-09-04,46,15.36
2009-09-11,46,15.43
2009-09-18,47,16.86
2009-09-25,55,17.06
2009-10-02,50,16.13
2009-10-09,45,18.26
2009-10-16,46,18.83
2009-10-23,43,19.22
2009-10-30,42,17.6
2009-11-06,43,18.18
2009-11-13,44,18.09
2009-11-20,46,17.25
2009-11-27,60,16.92
2009-12-04,47,18.32
2009-12-11,44,18.66
2009-12-18,42,18.9
2010-01-08,45,19.59
2010-01-15,43,19.39
2010-01-22,43,18.38
2010-01-29,44,19.02
2010-02-05,44,20.47
2010-02-12,45,20.48
2010-02-19,43,21.4
2010-02-26,42,22.11
2010-03-05,43,23.28
2010-03-12,41,23.74
2010-03-19,43,24.67
2010-03-26,42,25.54
2010-04-09,42,26.62
2010-04-16,43,27.07
2010-04-23,44,28.48
2010-04-30,44,26.8
2010-05-07,43,24.93
2010-05-14,44,25.45
2010-05-21,43,24.82
2010-05-28,41,24.86
2010-06-04,43,24.7
2010-06-11,42,25.08
2010-06-18,42,24.66
2010-06-25,39,23.09
2010-07-02,43,22.58
2010-07-09,41,24.42
2010-07-16,42,23.5
2010-07-23,43,25.62
2010-07-30,43,25.64
2010-08-06,43,26.13
2010-08-13,43,24.89
2010-08-20,42,25.56
2010-08-27,43,24.96
2010-09-03,43,26.21
2010-09-10,44,25.38
2010-09-17,44,26.77
2010-09-24,44,27.18
2010-10-01,45,26.82
2010-10-08,44,28.81
2010-10-15,43,29.26
2010-10-22,43,29.06
2010-10-29,43,29.39
2010-11-05,42,31.81
2010-11-12,44,31.64
2010-11-19,48,33.01
2010-11-26,65,33.75
2010-12-03,45,31.83
2010-12-10,46,31.54
2010-12-17,46,31.24
2010-12-31,41,30.73
2011-01-07,48,28.68
2011-01-14,46,29.11
2011-01-21,47,28.68
2011-01-28,48,28.92
2011-02-04,45,31.87
2011-02-11,48,33.03
2011-02-18,48,33.5
2011-02-25,46,32.32
2011-03-04,47,32.31
2011-03-11,45,31.64
2011-03-18,43,30.48
2011-03-25,46,32.28
2011-04-01,48,32.99
2011-04-08,48,37.17
2011-04-15,49,37.88
2011-04-29,49,41.16
2011-05-06,48,41.07
2011-05-13,47,41.84
2011-05-20,47,39.66
2011-05-27,48,39.55
2011-06-03,47,37.44
2011-06-10,47,35.62
2011-06-17,46,35.47
2011-06-24,46,37.17
2011-07-01,51,38.91
2011-07-08,45,40.62
2011-07-15,57,39.84
2011-07-22,47,40.18
2011-07-29,48,37.86
2011-08-05,44,34.74
2011-08-12,46,34.57
2011-08-19,47,33.17
2011-08-26,47,36.41
2011-09-02,48,35.85
2011-09-09,47,36.6
2011-09-16,49,40.28
2011-09-23,49,40.37
2011-09-30,48,38.51
2011-10-07,48,40.43
2011-10-14,49,42.66
2011-10-21,49,42.71
2011-10-28,49,43.89
2011-11-04,45,42.63
2011-11-11,47,43.94
2011-11-18,50,40.86
2011-11-25,79,38.33
2011-12-02,52,42.61
2011-12-09,49,40.83
2011-12-16,48,38.4
2011-12-23,55,40.25
2011-12-30,51,40.35
2012-01-06,46,38.87
2012-01-13,50,40.49
2012-01-20,50,41.22
2012-01-27,50,41.46
2012-02-03,54,44.26
2012-02-10,51,44.96
2012-02-17,51,46.5
2012-02-24,52,46.26
2012-03-02,52,46.23
2012-03-09,52,46.74
2012-03-16,49,46.93
2012-03-23,47,48.55
2012-03-30,49,48
2012-04-13,52,47.67
2012-04-20,49,49.26
2012-04-27,53,50.96
2012-05-04,52,50.27
2012-05-11,49,48.42
2012-05-18,47,45.11
2012-05-25,48,46.41
2012-06-01,47,42.89
2012-06-08,49,42.8
2012-06-15,48,42.65
2012-06-22,49,41.72
2012-06-29,49,42.53
2012-07-06,49,45.82
2012-07-13,47,46.05
2012-07-20,49,46.31
2012-07-27,52,47.12
2012-08-03,53,49.14
2012-08-10,53,49.29
2012-08-17,52,49.51
2012-08-24,53,48.83
2012-08-31,52,48.6
2012-09-07,52,48.51
2012-09-14,54,50.31
2012-09-21,53,51.74
2012-09-28,53,49.26
2012-10-05,53,50.56
2012-10-12,53,48.26
2012-10-19,50,48.6
2012-10-26,51,47.6
2012-11-02,49,48.04
2012-11-09,50,46.48
2012-11-16,54,46.2
2012-11-23,89,48.74
2012-11-30,54,52.15
2012-12-07,54,51.18
2012-12-14,51,50.42
2012-12-21,52,47.24
2012-12-28,66,45.9
2013-01-04,53,44.88
2013-01-11,53,44.38
2013-01-18,52,46.91
2013-01-25,54,48.28
2013-02-01,53,47.25
2013-02-08,53,45.81
2013-02-15,51,44.06
2013-02-22,52,43.48
2013-03-01,49,45.02
2013-03-08,53,45.29
2013-03-15,51,45.21
2013-03-22,53,44.06
2013-04-05,56,46.2
2013-04-12,53,50.43
2013-04-19,51,48.42
2013-04-26,55,50.49
2013-05-03,53,51.17
2013-05-10,50,51.64
2013-05-17,51,50.29
2013-05-24,51,49.79
2013-05-31,50,50.01
2013-06-07,52,50.88
2013-06-14,53,50.79
2013-06-21,50,51.51
2013-06-28,50,49.25
2013-07-05,50,49.67
2013-07-12,51,51.82
2013-07-19,53,52.49
2013-07-26,55,53.68
2013-08-02,56,58.4
2013-08-09,54,61.27
2013-08-16,55,59.08
2013-08-23,61,59.21
2013-08-30,57,57.36
2013-09-06,54,56.45
2013-09-13,55,58.57
2013-09-20,54,59.99
2013-09-27,53,61.11
2013-10-04,52,62.08
2013-10-11,57,56.31
2013-10-18,54,59.23
2013-10-25,52,61.54
2013-11-01,53,62.56
2013-11-08,55,62.93
2013-11-15,56,64.66
2013-11-22,63,63.94
2013-11-29,100,64.99
2013-12-06,57,63.34
2013-12-13,55,61.17
2013-12-20,55,61.04
2013-12-27,70,60.87
2014-01-03,55,61.48
2014-01-10,59,57.86
2014-01-17,58,55.17
2014-01-24,60,52.64
2014-01-31,59,52.36
2014-02-07,61,54.58
2014-02-14,57,55.03
2014-02-21,59,53.53
2014-02-28,59,56.33
2014-03-07,58,57.37
2014-03-14,60,56.93
2014-03-21,61,58.63
2014-03-28,59,56.55
2014-04-04,57,58.21
2014-04-11,58,54.05
2014-04-25,63,53.84
