"Date","TWC","Price"
2009-07-17,38,30.61
2009-07-24,34,33.42
2009-07-31,40,33.06
2009-08-07,39,35.25
2009-08-14,32,33.66
2009-08-21,37,35.92
2009-08-28,40,37.36
2009-09-04,31,37.29
2009-09-11,33,40.75
2009-09-18,32,42.67
2009-09-25,32,41.28
2009-10-02,32,40.21
2009-10-09,35,41.64
2009-10-16,34,40.58
2009-10-23,32,41.24
2009-10-30,30,39.44
2009-11-06,28,41.99
2009-11-13,29,42.18
2009-11-20,30,42.39
2009-11-27,24,42.42
2009-12-04,34,42.74
2009-12-11,37,42.38
2009-12-18,38,42.14
2010-01-08,43,41.51
2010-01-15,32,46.04
2010-01-22,34,43.84
2010-01-29,35,43.59
2010-02-05,37,45.12
2010-02-12,40,45.15
2010-02-19,35,46.89
2010-02-26,36,46.69
2010-03-05,33,48.29
2010-03-12,32,48.57
2010-03-19,32,48.76
2010-03-26,31,51.18
2010-04-09,34,52.68
2010-04-16,31,51.64
2010-04-23,34,54.22
2010-04-30,36,56.25
2010-05-07,32,49.47
2010-05-14,37,51.6
2010-05-21,34,50.87
2010-05-28,34,54.73
2010-06-04,38,53.87
2010-06-11,41,53.57
2010-06-18,38,55.16
2010-06-25,39,54.2
2010-07-02,39,52.13
2010-07-09,40,55.59
2010-07-16,42,54.1
2010-07-23,50,57.06
2010-07-30,45,57.17
2010-08-06,47,55.81
2010-08-13,46,54.34
2010-08-20,48,53.79
2010-08-27,41,51.67
2010-09-03,52,55.74
2010-09-10,41,55.75
2010-09-17,43,50.96
2010-09-24,38,53.11
2010-10-01,44,54.66
2010-10-08,37,55.51
2010-10-15,37,56.6
2010-10-22,37,57.39
2010-10-29,41,57.87
2010-11-05,43,62.05
2010-11-12,40,62.7
2010-11-19,39,62.69
2010-11-26,39,61.29
2010-12-03,41,66.08
2010-12-10,43,65.36
2010-12-17,50,65.3
2010-12-31,55,66.03
2011-01-07,50,66.75
2011-01-14,54,65.61
2011-01-21,48,67.28
2011-01-28,49,67.12
2011-02-04,57,69.15
2011-02-11,43,71.11
2011-02-18,37,71.89
2011-02-25,43,71.29
2011-03-04,39,72.01
2011-03-11,40,68.79
2011-03-18,39,67.87
2011-03-25,43,70.67
2011-04-01,44,72.13
2011-04-08,48,72.85
2011-04-15,42,72.81
2011-04-29,54,78.13
2011-05-06,42,76.71
2011-05-13,41,77.26
2011-05-20,40,77.99
2011-05-27,49,77.29
2011-06-03,40,75.8
2011-06-10,43,73.81
2011-06-17,42,74.64
2011-06-24,46,74.5
2011-07-01,40,79.5
2011-07-08,43,79.24
2011-07-15,45,77.29
2011-07-22,45,78.78
2011-07-29,48,73.31
2011-08-05,46,68
2011-08-12,45,65.51
2011-08-19,44,61.76
2011-08-26,72,63.51
2011-09-02,59,63.55
2011-09-09,50,60.85
2011-09-16,45,65.66
2011-09-23,42,64.79
2011-09-30,45,62.67
2011-10-07,39,67.52
2011-10-14,42,69.82
2011-10-21,40,70.87
2011-10-28,39,62.48
2011-11-04,39,61.29
2011-11-11,38,61.03
2011-11-18,39,60.43
2011-11-25,35,57.64
2011-12-02,38,63.8
2011-12-09,39,62.47
2011-12-16,39,62.21
2011-12-23,41,63.85
2011-12-30,42,63.57
2012-01-06,50,64.03
2012-01-13,50,65.43
2012-01-20,52,69.05
2012-01-27,44,73.77
2012-02-03,41,75.66
2012-02-10,42,75.47
2012-02-17,45,77.66
2012-02-24,43,78.21
2012-03-02,49,78.96
2012-03-09,40,79.68
2012-03-16,39,79.31
2012-03-23,42,80.86
2012-03-30,40,81.5
2012-04-13,39,80.38
2012-04-20,45,81.89
2012-04-27,43,80.65
2012-05-04,45,78.77
2012-05-11,44,77.15
2012-05-18,41,74.07
2012-05-25,42,76.42
2012-06-01,45,74.15
2012-06-08,47,76.07
2012-06-15,44,77.93
2012-06-22,42,77.86
2012-06-29,48,82.1
2012-07-06,46,81.89
2012-07-13,53,83.46
2012-07-20,50,84.8
2012-07-27,52,84.47
2012-08-03,50,89.2
2012-08-10,49,89.43
2012-08-17,49,89.79
2012-08-24,55,89.55
2012-08-31,66,88.82
2012-09-07,53,90.82
2012-09-14,48,92.38
2012-09-21,55,94.46
2012-09-28,56,95.06
2012-10-05,59,99.25
2012-10-12,60,96.86
2012-10-19,52,99.7
2012-10-26,63,99.52
2012-11-02,85,98.17
2012-11-09,61,93.1
2012-11-16,58,90.48
2012-11-23,52,93.55
2012-11-30,56,94.89
2012-12-07,54,94.89
2012-12-14,54,94.07
2012-12-21,54,95.53
2012-12-28,65,95.18
2013-01-04,57,97.75
2013-01-11,56,97.88
2013-01-18,59,100.54
2013-01-25,59,100.6
2013-02-01,60,90.27
2013-02-08,59,88.85
2013-02-15,53,86.94
2013-02-22,54,86.39
2013-03-01,57,88.69
2013-03-08,59,89.77
2013-03-15,52,92.23
2013-03-22,54,95.79
2013-04-05,54,97.57
2013-04-12,56,93.67
2013-04-19,54,91.28
2013-04-26,50,93.43
2013-05-03,55,96.34
2013-05-10,53,98.04
2013-05-17,52,97.95
2013-05-24,58,95.03
2013-05-31,58,95.51
2013-06-07,61,94.93
2013-06-14,61,103.93
2013-06-21,56,101.83
2013-06-28,61,112.48
2013-07-05,65,112.36
2013-07-12,66,115.16
2013-07-19,72,116.47
2013-07-26,75,116.85
2013-08-02,79,117.1
2013-08-09,90,115
2013-08-16,87,109.94
2013-08-23,81,108.73
2013-08-30,87,107.35
2013-09-06,85,109.07
2013-09-13,88,111.21
2013-09-20,81,113.59
2013-09-27,74,112.17
2013-10-04,78,112.79
2013-10-11,74,115.79
2013-10-18,74,118.2
2013-10-25,69,119.44
2013-11-01,76,123.51
2013-11-08,71,121.08
2013-11-15,76,120.88
2013-11-22,75,132.92
2013-11-29,73,138.22
2013-12-06,88,131
2013-12-13,87,131.41
2013-12-20,76,132.46
2013-12-27,75,134.46
2014-01-03,96,133.4
2014-01-10,91,133.36
2014-01-17,86,135.71
2014-01-24,88,133.7
2014-01-31,94,133.27
2014-02-07,85,135.35
2014-02-14,100,146
2014-02-21,79,140.54
2014-02-28,83,140.35
2014-03-07,89,140.21
2014-03-14,84,138.02
2014-03-21,84,136.65
2014-03-28,78,135.87
2014-04-04,79,139.17
2014-04-11,79,133.08
2014-04-25,76,139.41
