"Date","AMZN","Price"
2007-03-16,8,37.85
2007-03-23,6,38.98
2007-03-30,8,39.79
2007-04-13,11,42.41
2007-04-20,19,44.95
2007-04-27,100,62.6
2007-05-04,53,63.23
2007-05-11,27,61.56
2007-05-18,36,63.3
2007-05-25,41,68.55
2007-06-01,29,68.58
2007-06-08,43,73.24
2007-06-15,26,72.4
2007-06-22,19,68.86
2007-06-29,22,68.41
2007-07-06,19,68.97
2007-07-13,21,75.1
2007-07-20,32,71.63
2007-07-27,94,84.04
2007-08-03,37,76.8
2007-08-10,33,74.78
2007-08-17,29,75.02
2007-08-24,19,79.25
2007-08-31,21,79.91
2007-09-07,21,84.52
2007-09-14,19,87.77
2007-09-21,21,91.3
2007-09-28,29,93.15
2007-10-05,24,93.43
2007-10-12,29,92.37
2007-10-19,28,89.76
2007-10-26,98,90
2007-11-02,38,85.98
2007-11-09,28,78.89
2007-11-16,25,78.6
2007-11-23,27,81.43
2007-11-30,32,90.56
2007-12-07,26,94.31
2007-12-14,31,89.08
2007-12-21,22,91.26
2007-12-28,28,94.45
2008-01-04,32,88.79
2008-01-11,21,81.08
2008-01-18,26,79.76
2008-01-25,30,77.6
2008-02-01,54,74.63
2008-02-08,26,73.5
2008-02-15,23,72.96
2008-02-22,19,72.08
2008-02-29,20,64.47
2008-03-07,18,64.09
2008-03-14,18,68.22
2008-03-28,15,69.76
2008-04-04,22,76.87
2008-04-11,15,71.99
2008-04-18,17,80.1
2008-04-25,35,80.86
2008-05-02,22,77.31
2008-05-09,18,72.41
2008-05-16,13,76.46
2008-05-23,26,78.35
2008-05-30,18,81.62
2008-06-06,20,80.63
2008-06-13,17,79.17
2008-06-20,13,81.1
2008-06-27,15,74.66
2008-07-11,13,68.54
2008-07-18,19,69.12
2008-07-25,41,78.31
2008-08-01,16,75.75
2008-08-08,15,80.51
2008-08-15,20,86.4
2008-08-22,12,85.26
2008-08-29,17,80.81
2008-09-05,8,79.19
2008-09-12,10,78.3
2008-09-19,20,81
2008-09-26,17,70.7
2008-10-03,21,67
2008-10-10,26,56.25
2008-10-17,27,50.65
2008-10-24,37,48.96
2008-10-31,21,57.24
2008-11-07,23,49.21
2008-11-14,22,41.75
2008-11-21,17,37.87
2008-11-28,18,42.7
2008-12-05,21,48.26
2008-12-12,18,51.25
2008-12-19,14,51.56
2008-12-26,23,51.78
2009-01-02,18,54.36
2009-01-09,15,55.51
2009-01-16,16,51.59
2009-01-23,16,50.63
2009-01-30,36,58.82
2009-02-06,27,66.55
2009-02-13,24,63.26
2009-02-20,19,63.86
2009-02-27,17,64.79
2009-03-06,20,61.69
2009-03-13,16,68.63
2009-03-20,18,69.96
2009-03-27,19,70.52
2009-04-03,18,78.17
2009-04-17,18,78.05
2009-04-24,31,84.46
2009-05-01,19,78.96
2009-05-08,24,77.95
2009-05-15,18,73.6
2009-05-22,15,75.64
2009-05-29,16,77.99
2009-06-05,15,87.56
2009-06-12,15,84.08
2009-06-19,12,82.96
2009-06-26,14,83.88
2009-07-10,10,77.63
2009-07-17,12,85.85
2009-07-24,38,86.49
2009-07-31,19,85.76
2009-08-07,14,85.32
2009-08-14,12,83.58
2009-08-21,13,85
2009-08-28,11,82.76
2009-09-04,10,78.87
2009-09-11,9,84.54
2009-09-18,17,90.28
2009-09-25,11,90.52
2009-10-02,12,89.85
2009-10-09,12,95.71
2009-10-16,14,95.32
2009-10-23,56,118.49
2009-10-30,36,118.81
2009-11-06,22,126.2
2009-11-13,24,132.97
2009-11-20,22,129.66
2009-11-27,18,131.74
2009-12-04,30,137.58
2009-12-11,20,134.15
2009-12-18,22,128.48
2010-01-08,18,133.52
2010-01-15,22,127.14
2010-01-22,19,121.43
2010-01-29,41,125.41
2010-02-05,31,117.39
2010-02-12,15,119.66
2010-02-19,11,117.52
2010-02-26,12,118.4
2010-03-05,14,128.91
2010-03-12,14,131.82
2010-03-19,13,130.35
2010-03-26,16,135.06
2010-04-09,16,140.06
2010-04-16,15,142.17
2010-04-23,38,143.63
2010-04-30,19,137.1
2010-05-07,21,124.98
2010-05-14,17,128.53
2010-05-21,16,122.72
2010-05-28,19,125.46
2010-06-04,11,122.77
2010-06-11,12,123.03
2010-06-18,10,125.83
2010-06-25,11,121
2010-07-02,13,109.14
2010-07-09,10,117.26
2010-07-16,14,118.49
2010-07-23,35,118.87
2010-07-30,17,117.89
2010-08-06,17,128.32
2010-08-13,14,124.69
2010-08-20,12,127.76
2010-08-27,11,126.64
2010-09-03,13,138.79
2010-09-10,13,142.44
2010-09-17,14,148.32
2010-09-24,18,160.73
2010-10-01,18,153.71
2010-10-08,16,155.55
2010-10-15,18,164.64
2010-10-22,32,169.13
2010-10-29,17,165.23
2010-11-05,18,170.77
2010-11-12,20,165.68
2010-11-19,21,164.82
2010-11-26,18,177.2
2010-12-03,22,175.68
2010-12-10,16,175.62
2010-12-17,14,177.58
2010-12-31,14,180
2011-01-07,15,185.49
2011-01-14,17,188.75
2011-01-21,15,177.42
2011-01-28,44,171.14
2011-02-04,24,175.93
2011-02-11,20,189.25
2011-02-18,15,186.5
2011-02-25,17,177.24
2011-03-04,15,171.67
2011-03-11,13,168.07
2011-03-18,14,161.82
2011-03-25,15,170.98
2011-04-01,19,180.13
2011-04-08,14,184.71
2011-04-15,13,180.01
2011-04-29,42,195.81
2011-05-06,23,197.6
2011-05-13,19,202.56
2011-05-20,22,198.65
2011-05-27,15,194.13
2011-06-03,13,188.32
2011-06-10,10,186.53
2011-06-17,11,186.37
2011-06-24,11,192.55
2011-07-01,19,209.49
2011-07-08,17,218.28
2011-07-15,21,212.87
2011-07-22,18,216.52
2011-07-29,43,222.52
2011-08-05,28,202.7
2011-08-12,31,202.3
2011-08-19,22,178.93
2011-08-26,20,199.27
2011-09-02,23,210
2011-09-09,19,211.39
2011-09-16,20,239.3
2011-09-23,32,223.61
2011-09-30,54,216.23
2011-10-07,28,224.74
2011-10-14,24,246.71
2011-10-21,25,234.78
2011-10-28,86,217.32
2011-11-04,30,216.48
2011-11-11,23,217.39
2011-11-18,31,197.14
2011-11-25,29,182.4
2011-12-02,33,196.03
2011-12-09,27,193.03
2011-12-16,28,181.26
2011-12-23,25,177.28
2011-12-30,23,173.1
2012-01-06,23,182.61
2012-01-13,25,178.42
2012-01-20,25,190.93
2012-01-27,28,195.37
2012-02-03,70,187.68
2012-02-10,27,185.54
2012-02-17,29,182.5
2012-02-24,19,179.13
2012-03-02,22,179.3
2012-03-09,22,184.32
2012-03-16,18,185.05
2012-03-23,22,195.04
2012-03-30,27,202.51
2012-04-13,19,188.46
2012-04-20,20,189.98
2012-04-27,57,226.85
2012-05-04,42,223.99
2012-05-11,24,227.68
2012-05-18,27,213.85
2012-05-25,21,212.89
2012-06-01,18,208.22
2012-06-08,16,218.48
2012-06-15,14,218.35
2012-06-22,12,222.16
2012-06-29,18,228.35
2012-07-06,14,225.05
2012-07-13,15,218.39
2012-07-20,18,228.29
2012-07-27,38,237.32
2012-08-03,21,234.97
2012-08-10,17,232.75
2012-08-17,19,241.17
2012-08-24,20,245.74
2012-08-31,21,248.27
2012-09-07,34,259.14
2012-09-14,30,261.27
2012-09-21,21,257.47
2012-09-28,21,254.32
2012-10-05,18,258.51
2012-10-12,19,242.36
2012-10-19,19,240
2012-10-26,47,238.24
2012-11-02,18,232.42
2012-11-09,21,226.31
2012-11-16,16,225.23
2012-11-23,18,239.88
2012-11-30,23,252.05
2012-12-07,22,253.27
2012-12-14,19,249.19
2012-12-21,20,256.92
2012-12-28,19,245.18
2013-01-04,21,259.15
2013-01-11,27,267.94
2013-01-18,23,272.12
2013-01-25,27,283.99
2013-02-01,75,265
2013-02-08,28,261.95
2013-02-15,26,265.09
2013-02-22,19,265.42
2013-03-01,20,265.74
2013-03-08,21,274.19
2013-03-15,21,261.82
2013-03-22,19,257.75
2013-04-05,19,255.48
2013-04-12,20,272.87
2013-04-19,19,260.32
2013-04-26,47,254.81
2013-05-03,33,258.05
2013-05-10,25,263.63
2013-05-17,23,269.9
2013-05-24,21,261.74
2013-05-31,18,269.2
2013-06-07,19,276.87
2013-06-14,19,273.99
2013-06-21,16,273.36
2013-06-28,15,277.69
2013-07-05,16,285.88
2013-07-12,27,307.55
2013-07-19,26,305.23
2013-07-26,45,312.01
2013-08-02,29,304.21
2013-08-09,27,297.26
2013-08-16,22,284.82
2013-08-23,24,290.01
2013-08-30,19,280.98
2013-09-06,18,295.86
2013-09-13,19,297.92
2013-09-20,22,316.34
2013-09-27,24,316.01
2013-10-04,24,319.04
2013-10-11,26,310.89
2013-10-18,31,328.93
2013-10-25,66,363.39
2013-11-01,39,359
2013-11-08,33,350.31
2013-11-15,37,369.17
2013-11-22,31,372.31
2013-11-29,30,393.62
2013-12-06,49,386.95
2013-12-13,28,384.24
2013-12-20,33,402.2
2013-12-27,32,398.08
2014-01-03,29,396.44
2014-01-10,31,397.66
2014-01-17,31,399.61
2014-01-24,34,387.6
2014-01-31,92,358.69
2014-02-07,58,361.08
2014-02-14,42,357.35
2014-02-21,35,346.76
2014-02-28,36,362.1
2014-03-07,32,372.06
2014-03-14,37,373.74
2014-03-21,29,360.62
2014-03-28,34,338.29
2014-04-04,46,323
2014-04-11,41,311.73
2014-04-25,81,303.83
