"Date","HOG","Price"
2008-08-01,27,37.86
2008-08-08,26,41.75
2008-08-15,28,42.56
2008-08-22,26,39.78
2008-08-29,24,39.78
2008-09-05,23,39.2
2008-09-12,23,40.49
2008-09-19,24,42.8
2008-09-26,24,40.04
2008-10-03,22,32.6
2008-10-10,22,29.54
2008-10-17,23,25.81
2008-10-24,24,19.88
2008-10-31,23,24.48
2008-11-07,22,21.31
2008-11-14,23,15.35
2008-11-21,23,12.04
2008-11-28,22,17.01
2008-12-05,24,16.6
2008-12-12,25,16.31
2008-12-19,24,16.59
2008-12-26,22,15.82
2009-01-02,25,18.4
2009-01-09,23,16
2009-01-16,24,13.7
2009-01-23,24,11.5
2009-01-30,31,12.18
2009-02-06,62,14.42
2009-02-13,24,12.3
2009-02-20,23,10.82
2009-02-27,23,10.1
2009-03-06,24,8.33
2009-03-13,23,10.74
2009-03-20,25,12.7
2009-03-27,24,14.46
2009-04-03,23,16.56
2009-04-17,24,18.92
2009-04-24,24,20.44
2009-05-01,27,21.52
2009-05-08,25,20.2
2009-05-15,25,17.48
2009-05-22,25,16.46
2009-05-29,26,16.97
2009-06-05,25,17.47
2009-06-12,24,16.68
2009-06-19,26,16.56
2009-06-26,24,16.67
2009-07-10,24,16.18
2009-07-17,26,18.92
2009-07-24,24,21.74
2009-07-31,24,22.6
2009-08-07,26,23.76
2009-08-14,25,22.7
2009-08-21,25,22.21
2009-08-28,23,23.33
2009-09-04,23,23.29
2009-09-11,24,25.04
2009-09-18,22,24.91
2009-09-25,23,22.97
2009-10-02,21,21.01
2009-10-09,21,23.75
2009-10-16,21,27.86
2009-10-23,22,27.73
2009-10-30,21,24.92
2009-11-06,20,25.73
2009-11-13,20,27
2009-11-20,20,27.84
2009-11-27,20,28.69
2009-12-04,23,28.52
2009-12-11,21,27.64
2009-12-18,23,25.99
2010-01-08,22,25.53
2010-01-15,22,25.08
2010-01-22,22,23.59
2010-01-29,23,22.74
2010-02-05,50,22.57
2010-02-12,23,23.49
2010-02-19,22,24.43
2010-02-26,22,24.61
2010-03-05,21,26.82
2010-03-12,22,26.85
2010-03-19,21,28.31
2010-03-26,21,27.92
2010-04-09,21,32.92
2010-04-16,21,33.08
2010-04-23,22,35.49
2010-04-30,23,33.83
2010-05-07,23,30.18
2010-05-14,22,32.34
2010-05-21,23,30.87
2010-05-28,22,30.21
2010-06-04,22,27.35
2010-06-11,24,27.05
2010-06-18,24,26.81
2010-06-25,23,24.49
2010-07-02,23,21.86
2010-07-09,24,23.79
2010-07-16,26,23.55
2010-07-23,26,28.36
2010-07-30,24,27.23
2010-08-06,26,28
2010-08-13,26,25.57
2010-08-20,24,25.21
2010-08-27,26,25
2010-09-03,23,27.13
2010-09-10,24,26.61
2010-09-17,23,28.28
2010-09-24,23,28.5
2010-10-01,22,28.57
2010-10-08,21,31.69
2010-10-15,21,32.3
2010-10-22,21,31.32
2010-10-29,21,30.66
2010-11-05,20,33.63
2010-11-12,21,31.7
2010-11-19,22,31.9
2010-11-26,21,31.33
2010-12-03,21,33.25
2010-12-10,21,33.69
2010-12-17,21,34.5
2010-12-31,24,34.67
2011-01-07,23,36.5
2011-01-14,21,36.99
2011-01-21,23,35.99
2011-01-28,24,39.37
2011-02-04,54,41.11
2011-02-11,23,43.11
2011-02-18,22,42.12
2011-02-25,21,40.87
2011-03-04,22,39.75
2011-03-11,21,40.96
2011-03-18,20,40.29
2011-03-25,21,40.96
2011-04-01,22,42.15
2011-04-08,22,39.56
2011-04-15,22,40.55
2011-04-29,23,37.26
2011-05-06,22,37.78
2011-05-13,24,38.12
2011-05-20,24,36.56
2011-05-27,24,36.86
2011-06-03,23,35.87
2011-06-10,23,35.4
2011-06-17,23,36.74
2011-06-24,23,38.07
2011-07-01,23,42.09
2011-07-08,23,42.94
2011-07-15,24,41.84
2011-07-22,22,45.91
2011-07-29,23,43.39
2011-08-05,23,39.09
2011-08-12,22,37.59
2011-08-19,23,32.11
2011-08-26,22,35.24
2011-09-02,22,36
2011-09-09,21,34.63
2011-09-16,21,37.5
2011-09-23,22,33.89
2011-09-30,20,34.33
2011-10-07,20,33.48
2011-10-14,20,37.87
2011-10-21,22,37.6
2011-10-28,21,39.66
2011-11-04,21,38.99
2011-11-11,20,39.48
2011-11-18,23,36.34
2011-11-25,22,34.8
2011-12-02,22,37.8
2011-12-09,23,38.64
2011-12-16,22,36.69
2011-12-23,23,39.19
2011-12-30,23,38.87
2012-01-06,24,39.58
2012-01-13,22,42.03
2012-01-20,21,41.96
2012-01-27,23,44.34
2012-02-03,61,46.11
2012-02-10,22,46.09
2012-02-17,22,46.05
2012-02-24,22,47.04
2012-03-02,21,46.86
2012-03-09,21,46.88
2012-03-16,21,49.39
2012-03-23,20,49.06
2012-03-30,20,49.08
2012-04-13,21,48.16
2012-04-20,21,51.7
2012-04-27,23,52.89
2012-05-04,22,51.89
2012-05-11,22,48.79
2012-05-18,20,45.27
2012-05-25,21,47.52
2012-06-01,22,46.27
2012-06-08,23,48.66
2012-06-15,21,49.01
2012-06-22,22,49.08
2012-06-29,21,45.73
2012-07-06,21,46.12
2012-07-13,22,43.95
2012-07-20,22,43.91
2012-07-27,21,44.64
2012-08-03,21,42.39
2012-08-10,21,41.36
2012-08-17,22,42.28
2012-08-24,22,42.55
2012-08-31,23,41.96
2012-09-07,22,43.97
2012-09-14,23,46.33
2012-09-21,23,44.09
2012-09-28,22,42.37
2012-10-05,24,41.99
2012-10-12,21,41.42
2012-10-19,21,43.88
2012-10-26,21,46.12
2012-11-02,20,47.29
2012-11-09,20,45.29
2012-11-16,20,46.22
2012-11-23,21,48.26
2012-11-30,21,46.96
2012-12-07,21,46.46
2012-12-14,20,47.83
2012-12-21,19,48.69
2012-12-28,21,47.27
2013-01-04,24,48.69
2013-01-11,21,50.14
2013-01-18,22,52.11
2013-01-25,21,53.94
2013-02-01,44,52.76
2013-02-08,30,52.86
2013-02-15,22,52.66
2013-02-22,20,51.21
2013-03-01,21,52.02
2013-03-08,21,54.82
2013-03-15,20,55.41
2013-03-22,21,52.79
2013-04-05,20,50.71
2013-04-12,21,52
2013-04-19,21,51.83
2013-04-26,22,54.04
2013-05-03,22,54.35
2013-05-10,21,57.37
2013-05-17,22,59.48
2013-05-24,22,55.44
2013-05-31,22,54.54
2013-06-07,23,53.92
2013-06-14,22,53.13
2013-06-21,22,50.54
2013-06-28,21,54.82
2013-07-05,22,55.25
2013-07-12,22,55.96
2013-07-19,22,55.87
2013-07-26,21,55.37
2013-08-02,22,58.6
2013-08-09,23,58.77
2013-08-16,23,58.44
2013-08-23,22,59.84
2013-08-30,24,59.98
2013-09-06,22,61.97
2013-09-13,21,63.3
2013-09-20,21,64.27
2013-09-27,21,64.65
2013-10-04,21,65.3
2013-10-11,20,65.75
2013-10-18,21,65.75
2013-10-25,21,64.98
2013-11-01,21,64.76
2013-11-08,21,64.26
2013-11-15,21,66.72
2013-11-22,21,67.22
2013-11-29,22,67.02
2013-12-06,21,68.53
2013-12-13,21,67.51
2013-12-20,21,68.05
2013-12-27,22,69.05
2014-01-03,25,68.91
2014-01-10,21,69.62
2014-01-17,23,67.58
2014-01-24,23,64.02
2014-01-31,27,61.69
2014-02-07,47,64.98
2014-02-14,22,64.98
2014-02-21,21,64.32
2014-02-28,21,66.06
2014-03-07,21,68.11
2014-03-14,25,67.22
2014-03-21,22,67.66
2014-03-28,22,66.17
2014-04-04,22,67.83
2014-04-11,22,65.51
2014-04-25,24,71.65
