"Date","CBS","Price"
2008-06-06,30,21.36
2008-06-13,23,20.68
2008-06-20,23,20
2008-06-27,22,19.76
2008-07-11,23,17.21
2008-07-18,25,16.96
2008-07-25,26,17.03
2008-08-01,27,15.98
2008-08-08,27,16.75
2008-08-15,29,18.04
2008-08-22,29,16.79
2008-08-29,33,16.18
2008-09-05,40,16.56
2008-09-12,49,16.85
2008-09-19,42,15.69
2008-09-26,55,15.4
2008-10-03,58,12.89
2008-10-10,48,8.1
2008-10-17,45,9.41
2008-10-24,40,7.79
2008-10-31,41,9.71
2008-11-07,54,8.16
2008-11-14,38,6.62
2008-11-21,39,4.98
2008-11-28,36,6.66
2008-12-05,38,7.39
2008-12-12,36,8.2
2008-12-19,35,7.71
2008-12-26,30,7.72
2009-01-02,30,8.91
2009-01-09,28,8.4
2009-01-16,28,7.2
2009-01-23,34,6.5
2009-01-30,28,5.72
2009-02-06,26,6.4
2009-02-13,31,5.81
2009-02-20,27,4.89
2009-02-27,26,4.27
2009-03-06,27,3.36
2009-03-13,28,3.88
2009-03-20,73,4.05
2009-03-27,47,4.61
2009-04-03,34,4.85
2009-04-17,28,6.7
2009-04-24,26,6.22
2009-05-01,27,7.19
2009-05-08,26,8.55
2009-05-15,26,6.7
2009-05-22,28,7.01
2009-05-29,22,7.38
2009-06-05,21,8.78
2009-06-12,22,8.14
2009-06-19,21,7.34
2009-06-26,23,7.07
2009-07-10,26,5.97
2009-07-17,23,6.75
2009-07-24,23,7.83
2009-07-31,23,8.19
2009-08-07,24,10.81
2009-08-14,25,10.23
2009-08-21,28,10.74
2009-08-28,27,10.78
2009-09-04,30,10.6
2009-09-11,36,11.76
2009-09-18,43,12.6
2009-09-25,42,11.62
2009-10-02,36,11.49
2009-10-09,34,12.36
2009-10-16,31,13.09
2009-10-23,30,13.04
2009-10-30,30,11.77
2009-11-06,32,12.72
2009-11-13,31,13.01
2009-11-20,29,12.84
2009-11-27,31,13.17
2009-12-04,31,13.46
2009-12-11,30,14.06
2009-12-18,27,13.87
2010-01-08,24,14.15
2010-01-15,22,13.26
2010-01-22,22,13.3
2010-01-29,23,12.93
2010-02-05,27,12.95
2010-02-12,35,12.91
2010-02-19,23,13.83
2010-02-26,22,12.99
2010-03-05,22,14.65
2010-03-12,22,14.6
2010-03-19,59,13.98
2010-03-26,39,13.93
2010-04-09,30,15.18
2010-04-16,23,15.51
2010-04-23,23,16.48
2010-04-30,21,16.21
2010-05-07,20,14.21
2010-05-14,22,14.67
2010-05-21,26,14.32
2010-05-28,21,14.56
2010-06-04,18,13.93
2010-06-11,19,14.41
2010-06-18,18,14.93
2010-06-25,18,14.13
2010-07-02,18,12.82
2010-07-09,19,14.04
2010-07-16,20,13.53
2010-07-23,19,14.62
2010-07-30,19,14.78
2010-08-06,20,15.36
2010-08-13,22,13.95
2010-08-20,24,13.61
2010-08-27,23,13.92
2010-09-03,27,15.23
2010-09-10,32,15.5
2010-09-17,37,15.12
2010-09-24,41,16.17
2010-10-01,36,16.38
2010-10-08,33,17.23
2010-10-15,32,17.54
2010-10-22,32,17.18
2010-10-29,31,16.93
2010-11-05,33,17.01
2010-11-12,33,16.62
2010-11-19,31,16.49
2010-11-26,32,16.45
2010-12-03,33,17.53
2010-12-10,30,18.05
2010-12-17,30,18.77
2010-12-31,28,19.05
2011-01-07,29,19.25
2011-01-14,28,19.94
2011-01-21,24,20.7
2011-01-28,25,19.28
2011-02-04,25,20.22
2011-02-11,22,21.94
2011-02-18,33,22.91
2011-02-25,24,23.54
2011-03-04,24,23.96
2011-03-11,28,23.8
2011-03-18,60,23.23
2011-03-25,41,24.67
2011-04-01,28,24.79
2011-04-08,30,24.27
2011-04-15,23,24.34
2011-04-29,25,25.22
2011-05-06,26,26.57
2011-05-13,23,25.94
2011-05-20,26,26.99
2011-05-27,21,27.98
2011-06-03,17,27.2
2011-06-10,17,26.2
2011-06-17,17,25.88
2011-06-24,16,26.79
2011-07-01,16,28.55
2011-07-08,17,28.67
2011-07-15,19,27.65
2011-07-22,18,29.54
2011-07-29,20,27.37
2011-08-05,21,23.76
2011-08-12,22,24.93
2011-08-19,21,22.04
2011-08-26,26,23.17
2011-09-02,28,23.36
2011-09-09,32,22.14
2011-09-16,39,24.2
2011-09-23,45,21.44
2011-09-30,39,20.38
2011-10-07,36,21.51
2011-10-14,31,23.59
2011-10-21,31,24.91
2011-10-28,33,25.8
2011-11-04,32,25.18
2011-11-11,34,26.25
2011-11-18,34,24.78
2011-11-25,34,23.55
2011-12-02,35,25.56
2011-12-09,29,26.64
2011-12-16,29,24.84
2011-12-23,30,26.89
2011-12-30,22,27.14
2012-01-06,26,27.79
2012-01-13,28,27.75
2012-01-20,26,28.04
2012-01-27,27,28.84
2012-02-03,22,29.48
2012-02-10,23,29.9
2012-02-17,28,29.59
2012-02-24,23,29.75
2012-03-02,23,30.29
2012-03-09,24,30.81
2012-03-16,55,31.59
2012-03-23,35,31.84
2012-03-30,26,33.91
2012-04-13,23,32.51
2012-04-20,20,33.31
2012-04-27,21,34.33
2012-05-04,21,33.22
2012-05-11,21,32.8
2012-05-18,24,30.56
2012-05-25,18,31.56
2012-06-01,17,30.33
2012-06-08,17,32.24
2012-06-15,16,31.62
2012-06-22,16,31.45
2012-06-29,17,32.78
2012-07-06,17,32.56
2012-07-13,17,31.29
2012-07-20,19,31.49
2012-07-27,18,33.57
2012-08-03,18,35.06
2012-08-10,19,35.69
2012-08-17,20,35.96
2012-08-24,24,36.55
2012-08-31,27,36.34
2012-09-07,31,37.02
2012-09-14,36,37.15
2012-09-21,34,37.9
2012-09-28,37,36.33
2012-10-05,37,36.49
2012-10-12,32,33.77
2012-10-19,34,33.74
2012-10-26,34,32.87
2012-11-02,39,33.21
2012-11-09,40,34.88
2012-11-16,30,33.6
2012-11-23,32,35.85
2012-11-30,30,35.98
2012-12-07,34,35.94
2012-12-14,33,34.83
2012-12-21,29,37.28
2012-12-28,23,36.85
2013-01-04,25,38.65
2013-01-11,25,38.57
2013-01-18,24,40.42
2013-01-25,23,42.19
2013-02-01,22,42.41
2013-02-08,36,42.83
2013-02-15,27,44.64
2013-02-22,23,43.37
2013-03-01,21,43.55
2013-03-08,22,46
2013-03-15,24,46.76
2013-03-22,55,45.98
2013-04-05,27,45.2
2013-04-12,29,46.57
2013-04-19,33,46.06
2013-04-26,21,46.27
2013-05-03,20,47.4
2013-05-10,21,47.75
2013-05-17,22,51.53
2013-05-24,20,50.75
2013-05-31,16,49.5
2013-06-07,16,48.03
2013-06-14,16,47.72
2013-06-21,15,46.89
2013-06-28,19,48.87
2013-07-05,18,50.06
2013-07-12,18,52.89
2013-07-19,18,52.5
2013-07-26,18,53.5
2013-08-02,20,54.53
2013-08-09,23,53.55
2013-08-16,21,51.68
2013-08-23,23,53.2
2013-08-30,27,51.1
2013-09-06,31,53.62
2013-09-13,35,55.46
2013-09-20,31,56.08
2013-09-27,35,55.5
2013-10-04,33,56.38
2013-10-11,31,56.25
2013-10-18,30,59.2
2013-10-25,28,59.8
2013-11-01,28,59.94
2013-11-08,29,58.74
2013-11-15,29,60.55
2013-11-22,29,58.63
2013-11-29,29,58.56
2013-12-06,28,58.9
2013-12-13,30,58.42
2013-12-20,23,60.7
2013-12-27,20,63.04
2014-01-03,23,63.14
2014-01-10,25,62.99
2014-01-17,25,60.49
2014-01-24,24,58.39
2014-01-31,23,58.72
2014-02-07,21,60.5
2014-02-14,23,64.96
2014-02-21,17,66.06
2014-02-28,19,67.08
2014-03-07,20,67.4
2014-03-14,22,65.37
2014-03-21,50,65.69
2014-03-28,32,62.03
2014-04-04,26,61.56
2014-04-11,24,58.68
2014-04-25,17,58.05
