"Date","ROST","Price"
2007-02-02,49,32.6
2007-02-09,49,32.76
2007-02-16,41,34.81
2007-02-23,49,34.12
2007-03-02,48,32.32
2007-03-09,56,32.47
2007-03-16,51,31.62
2007-03-23,58,34.49
2007-03-30,94,34.4
2007-04-13,46,33.59
2007-04-20,49,34.65
2007-04-27,53,33.71
2007-05-04,52,33.24
2007-05-11,53,33.7
2007-05-18,59,34.52
2007-05-25,55,32.26
2007-06-01,49,32.85
2007-06-08,52,31.35
2007-06-15,49,31.18
2007-06-22,52,31.31
2007-06-29,43,30.8
2007-07-06,50,31.13
2007-07-13,51,31.86
2007-07-20,43,30.99
2007-07-27,52,29.25
2007-08-03,60,27.58
2007-08-10,58,28.35
2007-08-17,55,27.53
2007-08-24,48,27.93
2007-08-31,52,27.83
2007-09-07,49,26.52
2007-09-14,48,26.62
2007-09-21,47,26.54
2007-09-28,42,25.64
2007-10-05,45,27.51
2007-10-12,45,29
2007-10-19,49,26.14
2007-10-26,42,26.42
2007-11-02,52,25.82
2007-11-09,47,25.04
2007-11-16,48,26
2007-11-23,44,26.22
2007-11-30,48,26.38
2007-12-07,39,27.54
2007-12-14,49,25.01
2007-12-21,45,25.88
2007-12-28,44,25.34
2008-01-04,41,23.14
2008-01-11,44,24.36
2008-01-18,40,25.03
2008-01-25,50,26.44
2008-02-01,52,29.89
2008-02-08,44,27.53
2008-02-15,46,27.52
2008-02-22,46,28.32
2008-02-29,49,27.85
2008-03-07,44,27.74
2008-03-14,45,28.15
2008-03-28,40,29.17
2008-04-04,46,31.38
2008-04-11,51,31.32
2008-04-18,51,33.4
2008-04-25,53,34.24
2008-05-02,46,34.22
2008-05-09,52,34.96
2008-05-16,43,35.51
2008-05-23,46,35.35
2008-05-30,46,36.62
2008-06-06,41,36.55
2008-06-13,45,37.3
2008-06-20,52,37.28
2008-06-27,50,36.39
2008-07-11,46,37.77
2008-07-18,46,38.92
2008-07-25,46,37.36
2008-08-01,40,37.75
2008-08-08,52,39.57
2008-08-15,49,39.32
2008-08-22,48,39.53
2008-08-29,44,40.21
2008-09-05,47,40.21
2008-09-12,47,39.04
2008-09-19,45,37.44
2008-09-26,50,36.9
2008-10-03,42,33.72
2008-10-10,45,28.26
2008-10-17,51,28.99
2008-10-24,53,28.78
2008-10-31,47,32.69
2008-11-07,50,29.27
2008-11-14,54,26.23
2008-11-21,53,23.65
2008-11-28,46,26.5
2008-12-05,48,29.33
2008-12-12,51,27.96
2008-12-19,50,29.21
2008-12-26,54,29.21
2009-01-02,50,30.81
2009-01-09,46,30
2009-01-16,49,30.84
2009-01-23,50,31.21
2009-01-30,54,29.42
2009-02-06,50,32.58
2009-02-13,51,30.7
2009-02-20,50,30.79
2009-02-27,48,29.52
2009-03-06,47,29.45
2009-03-13,49,33.01
2009-03-20,54,33.93
2009-03-27,55,36.68
2009-04-03,55,36.95
2009-04-17,55,39.15
2009-04-24,58,39.03
2009-05-01,54,37.99
2009-05-08,56,36.47
2009-05-15,55,35.19
2009-05-22,53,38.98
2009-05-29,47,39.16
2009-06-05,52,39.36
2009-06-12,50,39.43
2009-06-19,52,38.66
2009-06-26,50,38.35
2009-07-10,50,40.84
2009-07-17,46,43.42
2009-07-24,51,44.49
2009-07-31,49,44.07
2009-08-07,52,45.49
2009-08-14,55,44.4
2009-08-21,53,46.8
2009-08-28,49,47.14
2009-09-04,48,46.99
2009-09-11,49,46.55
2009-09-18,46,47.39
2009-09-25,46,47.03
2009-10-02,47,46.01
2009-10-09,47,45.2
2009-10-16,47,45.72
2009-10-23,49,46.12
2009-10-30,47,44.01
2009-11-06,47,45.62
2009-11-13,49,46.01
2009-11-20,45,43.81
2009-11-27,47,44.29
2009-12-04,44,43.63
2009-12-11,50,43.53
2009-12-18,50,42.9
2010-01-08,46,45.06
2010-01-15,49,44.88
2010-01-22,52,43.83
2010-01-29,46,45.93
2010-02-05,43,45.97
2010-02-12,47,46.43
2010-02-19,50,47.1
2010-02-26,50,48.92
2010-03-05,57,51.14
2010-03-12,47,52.92
2010-03-19,52,54.07
2010-03-26,53,53.61
2010-04-09,62,55.88
2010-04-16,52,56.42
2010-04-23,67,58.51
2010-04-30,62,56
2010-05-07,56,51.5
2010-05-14,50,52.29
2010-05-21,53,52.55
2010-05-28,51,52.4
2010-06-04,51,54.63
2010-06-11,48,57.33
2010-06-18,47,57.31
2010-06-25,46,54.51
2010-07-02,48,54.26
2010-07-09,45,54.09
2010-07-16,45,53.05
2010-07-23,47,55.65
2010-07-30,48,52.66
2010-08-06,48,50.22
2010-08-13,50,49.03
2010-08-20,51,49.81
2010-08-27,51,50.95
2010-09-03,46,52.6
2010-09-10,53,52.15
2010-09-17,51,53.91
2010-09-24,49,56.44
2010-10-01,51,55.02
2010-10-08,48,55.74
2010-10-15,51,56.79
2010-10-22,51,57.62
2010-10-29,54,58.99
2010-11-05,50,64.25
2010-11-12,48,63.89
2010-11-19,49,64.05
2010-11-26,49,65.67
2010-12-03,43,65.13
2010-12-10,42,65.12
2010-12-17,49,62.96
2010-12-31,42,63.25
2011-01-07,44,63.95
2011-01-14,45,63.85
2011-01-21,46,64.92
2011-01-28,48,65.46
2011-02-04,46,69.89
2011-02-11,50,71.77
2011-02-18,50,71.82
2011-02-25,50,71.67
2011-03-04,48,71.91
2011-03-11,51,71.7
2011-03-18,69,69.6
2011-03-25,52,70.23
2011-04-01,55,71.55
2011-04-08,55,70.6
2011-04-15,55,71.21
2011-04-29,54,73.69
2011-05-06,62,78.19
2011-05-13,53,82.64
2011-05-20,52,80.79
2011-05-27,56,81.71
2011-06-03,47,79.11
2011-06-10,47,76.23
2011-06-17,50,75.18
2011-06-24,52,77.6
2011-07-01,47,81.27
2011-07-08,52,80.08
2011-07-15,54,77.67
2011-07-22,51,78.16
2011-07-29,50,75.77
2011-08-05,51,73.56
2011-08-12,50,71.68
2011-08-19,50,70.03
2011-08-26,47,73.65
2011-09-02,51,73.6
2011-09-09,51,74.09
2011-09-16,49,80.67
2011-09-23,56,79.53
2011-09-30,48,78.69
2011-10-07,48,81.99
2011-10-14,47,85
2011-10-21,49,87.21
2011-10-28,50,87.57
2011-11-04,47,89.41
2011-11-11,43,89.77
2011-11-18,45,86.1
2011-11-25,49,85.43
2011-12-02,45,92.42
2011-12-09,44,93.58
2011-12-16,44,47
2011-12-23,47,48.24
2011-12-30,42,47.53
2012-01-06,45,50.74
2012-01-13,47,51.15
2012-01-20,42,51.53
2012-01-27,43,51.09
2012-02-03,46,51.76
2012-02-10,45,51.95
2012-02-17,43,51.83
2012-02-24,48,52.79
2012-03-02,51,53.9
2012-03-09,50,55.98
2012-03-16,51,55.79
2012-03-23,52,57.11
2012-03-30,52,58.1
2012-04-13,48,59.06
2012-04-20,52,60.03
2012-04-27,50,62.22
2012-05-04,52,62.44
2012-05-11,46,61.59
2012-05-18,49,60.66
2012-05-25,46,62.47
2012-06-01,48,61.59
2012-06-08,45,64.5
2012-06-15,46,66.61
2012-06-22,44,66.48
2012-06-29,45,62.47
2012-07-06,46,67.12
2012-07-13,50,68.21
2012-07-20,45,67.41
2012-07-27,45,67.26
2012-08-03,47,68.12
2012-08-10,50,67.16
2012-08-17,49,69.47
2012-08-24,49,69.89
2012-08-31,50,69.19
2012-09-07,49,68.13
2012-09-14,49,68.04
2012-09-21,47,65.91
2012-09-28,49,64.59
2012-10-05,48,66.1
2012-10-12,50,61.73
2012-10-19,44,61.88
2012-10-26,47,60.92
2012-11-02,45,56.87
2012-11-09,43,55.22
2012-11-16,45,53.74
2012-11-23,48,55.91
2012-11-30,45,57.08
2012-12-07,43,55.49
2012-12-14,42,53.2
2012-12-21,44,53.93
2012-12-28,47,53.21
2013-01-04,56,57.95
2013-01-11,85,56.57
2013-01-18,82,58.22
2013-01-25,65,61.09
2013-02-01,68,59.43
2013-02-08,62,61.06
2013-02-15,59,59.91
2013-02-22,57,58.16
2013-03-01,58,58.13
2013-03-08,61,56.2
2013-03-15,52,56.28
2013-03-22,53,59.21
2013-04-05,55,59.32
2013-04-12,58,64.67
2013-04-19,58,62.86
2013-04-26,58,65.12
2013-05-03,54,65.7
2013-05-10,58,65.85
2013-05-17,54,65.59
2013-05-24,55,65.84
2013-05-31,52,64.32
2013-06-07,51,64.87
2013-06-14,54,64.86
2013-06-21,51,63.8
2013-06-28,53,64.81
2013-07-05,50,66.12
2013-07-12,48,67.05
2013-07-19,52,66.79
2013-07-26,54,67.14
2013-08-02,55,68.93
2013-08-09,56,67.01
2013-08-16,62,64.76
2013-08-23,53,69.86
2013-08-30,49,67.26
2013-09-06,49,68.76
2013-09-13,56,70.15
2013-09-20,49,71.58
2013-09-27,49,72.55
2013-10-04,47,73.48
2013-10-11,50,72.75
2013-10-18,45,74.3
2013-10-25,46,75.87
2013-11-01,47,77.63
2013-11-08,53,78.09
2013-11-15,50,81.64
2013-11-22,50,75.67
2013-11-29,50,76.46
2013-12-06,45,72.14
2013-12-13,45,71.74
2013-12-20,42,74.02
2013-12-27,47,73.75
2014-01-03,44,74.33
2014-01-10,51,74.65
2014-01-17,47,71.39
2014-01-24,48,67.83
2014-01-31,46,67.91
2014-02-07,45,69.36
2014-02-14,47,69.42
2014-02-21,47,67.45
2014-02-28,45,72.8
2014-03-07,49,72.05
2014-03-14,52,72.67
2014-03-21,53,72.97
2014-03-28,46,72.1
2014-04-04,52,72.38
2014-04-11,50,69.05
2014-04-25,52,67.77
