"Date","VFC","Price"
2009-09-11,80,71.34
2009-09-18,84,72.65
2009-09-25,71,70.27
2009-10-02,67,69.16
2009-10-09,72,74.76
2009-10-16,82,76.14
2009-10-23,84,78.32
2009-10-30,72,71.04
2009-11-06,78,74.47
2009-11-13,74,74.48
2009-11-20,87,72.46
2009-11-27,74,72.32
2009-12-04,73,72.6
2009-12-11,78,73.38
2009-12-18,69,72.34
2010-01-08,74,75.52
2010-01-15,73,74.62
2010-01-22,76,72.44
2010-01-29,75,72.03
2010-02-05,70,71.52
2010-02-12,64,73.94
2010-02-19,71,76.64
2010-02-26,67,77.38
2010-03-05,68,78.78
2010-03-12,64,79.63
2010-03-19,67,79.71
2010-03-26,62,80.51
2010-04-09,63,83.66
2010-04-16,76,82.52
2010-04-23,78,86.66
2010-04-30,67,86.42
2010-05-07,76,78.89
2010-05-14,74,81.82
2010-05-21,70,77.89
2010-05-28,69,77.35
2010-06-04,73,74.43
2010-06-11,68,77.77
2010-06-18,65,79.16
2010-06-25,55,75.33
2010-07-02,57,70.62
2010-07-09,73,74.9
2010-07-16,65,72.87
2010-07-23,69,79.78
2010-07-30,65,79.33
2010-08-06,76,80.58
2010-08-13,69,76.51
2010-08-20,67,75.54
2010-08-27,75,73.88
2010-09-03,70,75.58
2010-09-10,82,75.51
2010-09-17,59,77.48
2010-09-24,66,79.02
2010-10-01,64,80.82
2010-10-08,66,84.33
2010-10-15,63,85.97
2010-10-22,69,86
2010-10-29,61,83.24
2010-11-05,70,84.97
2010-11-12,59,79.36
2010-11-19,66,82.55
2010-11-26,56,83.82
2010-12-03,56,84.96
2010-12-10,62,86.04
2010-12-17,62,89.21
2010-12-31,54,86.18
2011-01-07,66,82.11
2011-01-14,68,83.95
2011-01-21,72,82.06
2011-01-28,69,81.45
2011-02-04,70,86.93
2011-02-11,59,87.13
2011-02-18,61,89.8
2011-02-25,68,95.98
2011-03-04,62,95.69
2011-03-11,59,98.17
2011-03-18,66,93
2011-03-25,68,95.42
2011-04-01,74,98.9
2011-04-08,73,97.27
2011-04-15,56,100.95
2011-04-29,67,100.56
2011-05-06,67,99.73
2011-05-13,67,101.02
2011-05-20,70,97.44
2011-05-27,67,98.82
2011-06-03,70,95.01
2011-06-10,62,91.8
2011-06-17,79,102.8
2011-06-24,61,105.14
2011-07-01,62,111.41
2011-07-08,67,113.32
2011-07-15,65,111.85
2011-07-22,76,120.5
2011-07-29,72,116.8
2011-08-05,74,111.37
2011-08-12,72,111.15
2011-08-19,69,104.21
2011-08-26,66,114.07
2011-09-02,64,112.55
2011-09-09,66,113.4
2011-09-16,69,124.68
2011-09-23,66,125.09
2011-09-30,60,121.52
2011-10-07,69,129.48
2011-10-14,63,133.95
2011-10-21,64,132.69
2011-10-28,68,140.17
2011-11-04,63,136.96
2011-11-11,68,136.15
2011-11-18,67,131.75
2011-11-25,63,126.24
2011-12-02,73,138.57
2011-12-09,64,136.65
2011-12-16,66,128.48
2011-12-23,62,129.01
2011-12-30,61,126.99
2012-01-06,65,133.67
2012-01-13,64,131.94
2012-01-20,68,133.53
2012-01-27,68,130.81
2012-02-03,68,133.39
2012-02-10,69,141.02
2012-02-17,66,147.05
2012-02-24,63,146.42
2012-03-02,69,147.26
2012-03-09,57,145.8
2012-03-16,64,147.72
2012-03-23,66,147
2012-03-30,66,145.98
2012-04-13,65,149.04
2012-04-20,67,151.03
2012-04-27,70,154.2
2012-05-04,70,148.61
2012-05-11,60,139.34
2012-05-18,67,133.83
2012-05-25,65,141.2
2012-06-01,57,134.35
2012-06-08,71,139.68
2012-06-15,71,140.91
2012-06-22,60,143.56
2012-06-29,60,133.45
2012-07-06,64,135
2012-07-13,57,139.87
2012-07-20,54,150.45
2012-07-27,63,150.15
2012-08-03,54,149.06
2012-08-10,59,147.33
2012-08-17,62,153.03
2012-08-24,67,150.22
2012-08-31,69,152.68
2012-09-07,64,153.87
2012-09-14,66,164.33
2012-09-21,70,158.49
2012-09-28,75,159.36
2012-10-05,78,162.81
2012-10-12,72,161.73
2012-10-19,70,166.77
2012-10-26,71,154.64
2012-11-02,64,157.96
2012-11-09,65,152.93
2012-11-16,58,155.82
2012-11-23,62,158.53
2012-11-30,70,160.51
2012-12-07,62,152.61
2012-12-14,62,148.18
2012-12-21,69,150.1
2012-12-28,58,148.29
2013-01-04,60,153.81
2013-01-11,70,149
2013-01-18,70,147.94
2013-01-25,68,148.97
2013-02-01,65,147.87
2013-02-08,67,153.03
2013-02-15,69,157.88
2013-02-22,75,158.54
2013-03-01,69,160.69
2013-03-08,72,162.82
2013-03-15,68,165.26
2013-03-22,70,166.12
2013-04-05,76,169.07
2013-04-12,72,171.6
2013-04-19,72,169.15
2013-04-26,69,174.82
2013-05-03,69,177.55
2013-05-10,66,183.12
2013-05-17,66,183.73
2013-05-24,64,183.82
2013-05-31,67,183.86
2013-06-07,64,187.17
2013-06-14,65,187.14
2013-06-21,59,186.02
2013-06-28,66,193.06
2013-07-05,65,196.28
2013-07-12,61,199.56
2013-07-19,65,196.94
2013-07-26,63,199.09
2013-08-02,71,202.3
2013-08-09,60,198.89
2013-08-16,64,192.75
2013-08-23,67,191.09
2013-08-30,64,187.21
2013-09-06,63,191.26
2013-09-13,71,195.5
2013-09-20,61,203.32
2013-09-27,65,198.48
2013-10-04,66,196.51
2013-10-11,60,196.1
2013-10-18,57,204.3
2013-10-25,69,212.23
2013-11-01,67,215.5
2013-11-08,62,218.74
2013-11-15,59,225.56
2013-11-22,65,232.1
2013-11-29,60,234.58
2013-12-06,58,233.57
2013-12-13,67,234.48
2013-12-20,64,245.79
2013-12-27,70,61.58
2014-01-03,67,62.11
2014-01-10,72,62.47
2014-01-17,65,58.79
2014-01-24,70,57.77
2014-01-31,66,58.45
2014-02-07,67,58.75
2014-02-14,71,56.85
2014-02-21,67,58.49
2014-02-28,59,58.59
2014-03-07,69,61.38
2014-03-14,70,60.72
2014-03-21,65,62.3
2014-03-28,67,61.37
2014-04-04,68,60.36
2014-04-11,68,57.7
2014-04-25,64,61.44
