"Date","TYC","Price"
2009-02-06,37,24.21
2009-02-13,38,23.79
2009-02-20,31,21.85
2009-02-27,30,20.05
2009-03-06,35,17.99
2009-03-13,35,18.89
2009-03-20,35,19.46
2009-03-27,33,19.91
2009-04-03,45,21.04
2009-04-17,36,22.27
2009-04-24,43,23.24
2009-05-01,34,24.89
2009-05-08,37,26.25
2009-05-15,39,25.5
2009-05-22,37,25.96
2009-05-29,39,27.61
2009-06-05,38,27.85
2009-06-12,37,27.47
2009-06-19,34,26.87
2009-06-26,32,26.55
2009-07-10,44,26.28
2009-07-17,39,28.51
2009-07-24,41,29.38
2009-07-31,44,30.22
2009-08-07,40,31.13
2009-08-14,53,31.11
2009-08-21,42,31.98
2009-08-28,38,31.79
2009-09-04,45,32.15
2009-09-11,53,32.94
2009-09-18,36,34.18
2009-09-25,32,33.98
2009-10-02,37,33.32
2009-10-09,45,35.06
2009-10-16,45,35.12
2009-10-23,28,35.12
2009-10-30,35,33.55
2009-11-06,30,34.27
2009-11-13,31,36.5
2009-11-20,28,36.86
2009-11-27,28,36
2009-12-04,33,35.66
2009-12-11,31,36.51
2009-12-18,29,35.47
2010-01-08,24,36.35
2010-01-15,25,37.54
2010-01-22,30,37.05
2010-01-29,29,35.43
2010-02-05,31,34.5
2010-02-12,30,34.51
2010-02-19,29,35.61
2010-02-26,25,36.06
2010-03-05,48,37.51
2010-03-12,26,37.66
2010-03-19,26,36.79
2010-03-26,30,36.86
2010-04-09,32,39.74
2010-04-16,31,39.92
2010-04-23,30,40.54
2010-04-30,29,38.79
2010-05-07,37,36.66
2010-05-14,40,38.48
2010-05-21,36,36.71
2010-05-28,37,36.19
2010-06-04,34,35.72
2010-06-11,65,36.84
2010-06-18,89,38.81
2010-06-25,70,37.11
2010-07-02,75,34.43
2010-07-09,34,36.57
2010-07-16,28,35.95
2010-07-23,27,37.12
2010-07-30,29,38.28
2010-08-06,29,37.68
2010-08-13,35,36.48
2010-08-20,28,38.7
2010-08-27,30,38.5
2010-09-03,35,38.79
2010-09-10,39,39.73
2010-09-17,31,39.42
2010-09-24,27,38.55
2010-10-01,23,37.33
2010-10-08,27,37.37
2010-10-15,24,37.98
2010-10-22,22,38.54
2010-10-29,18,38.28
2010-11-05,18,38.89
2010-11-12,23,37.77
2010-11-19,32,37.95
2010-11-26,22,37.89
2010-12-03,25,41.18
2010-12-10,24,41.17
2010-12-17,21,41.75
2010-12-31,18,41.44
2011-01-07,19,43.13
2011-01-14,21,45.24
2011-01-21,28,44.43
2011-01-28,22,44.7
2011-02-04,25,46.13
2011-02-11,33,46.29
2011-02-18,25,47.33
2011-02-25,24,44.74
2011-03-04,24,45.26
2011-03-11,24,45.03
2011-03-18,25,43.9
2011-03-25,25,44.79
2011-04-01,24,45.25
2011-04-08,26,47.15
2011-04-15,26,51.7
2011-04-29,27,48.74
2011-05-06,27,48.76
2011-05-13,26,50.78
2011-05-20,27,49.24
2011-05-27,29,48.63
2011-06-03,29,47.04
2011-06-10,26,46.48
2011-06-17,28,46.49
2011-06-24,39,46.61
2011-07-01,46,49.58
2011-07-08,35,49.74
2011-07-15,33,47.49
2011-07-22,26,47.38
2011-07-29,25,44.29
2011-08-05,23,41.38
2011-08-12,26,40.58
2011-08-19,26,37.83
2011-08-26,21,40.37
2011-09-02,27,39.73
2011-09-09,25,39.68
2011-09-16,31,43.7
2011-09-23,24,42.98
2011-09-30,22,40.75
2011-10-07,23,42.38
2011-10-14,21,44.57
2011-10-21,23,44.74
2011-10-28,30,47.05
2011-11-04,18,45.35
2011-11-11,19,46.12
2011-11-18,20,46.71
2011-11-25,18,44.33
2011-12-02,27,47.48
2011-12-09,22,47.08
2011-12-16,16,44.86
2011-12-23,13,47.1
2011-12-30,13,46.71
2012-01-06,11,48.21
2012-01-13,13,48.55
2012-01-20,15,49.82
2012-01-27,18,49.2
2012-02-03,15,50.86
2012-02-10,18,49.25
2012-02-17,17,49.95
2012-02-24,18,51.15
2012-03-02,24,51.65
2012-03-09,18,52.92
2012-03-16,18,53.62
2012-03-23,20,52.86
2012-03-30,19,56.18
2012-04-13,21,54.42
2012-04-20,21,55.29
2012-04-27,20,57.57
2012-05-04,20,55.24
2012-05-11,20,54.92
2012-05-18,21,52.3
2012-05-25,21,54.6
2012-06-01,20,51.48
2012-06-08,20,53.49
2012-06-15,21,53.87
2012-06-22,20,52.28
2012-06-29,23,52.85
2012-07-06,20,52.67
2012-07-13,16,51.83
2012-07-20,17,52.52
2012-07-27,31,53.96
2012-08-03,64,56.22
2012-08-10,52,56.87
2012-08-17,27,57.31
2012-08-24,20,56.47
2012-08-31,19,56.38
2012-09-07,19,56.63
2012-09-14,27,55.24
2012-09-21,28,56.03
2012-09-28,16,56.26
2012-10-05,18,28.21
2012-10-12,18,27.08
2012-10-19,16,27.58
2012-10-26,17,26.87
2012-11-02,17,27.81
2012-11-09,17,27.56
2012-11-16,22,26.77
2012-11-23,17,27.66
2012-11-30,15,28.37
2012-12-07,14,28.66
2012-12-14,16,28.55
2012-12-21,13,29.38
2012-12-28,12,28.57
2013-01-04,11,29.78
2013-01-11,14,30.25
2013-01-18,17,31.37
2013-01-25,16,31.23
2013-02-01,18,30.25
2013-02-08,27,30.76
2013-02-15,15,32.05
2013-02-22,15,31.85
2013-03-01,17,31.67
2013-03-08,16,32.08
2013-03-15,18,31.62
2013-03-22,17,31.24
2013-04-05,19,31.11
2013-04-12,19,32.25
2013-04-19,17,31.32
2013-04-26,20,31.42
2013-05-03,23,32.03
2013-05-10,18,33.87
2013-05-17,18,34.26
2013-05-24,17,34.27
2013-05-31,21,33.81
2013-06-07,19,34.28
2013-06-14,22,33.31
2013-06-21,18,32.41
2013-06-28,18,32.95
2013-07-05,20,34.57
2013-07-12,16,35.08
2013-07-19,17,35.52
2013-07-26,18,34.59
2013-08-02,19,35.69
2013-08-09,18,35.16
2013-08-16,19,34.26
2013-08-23,16,33.83
2013-08-30,17,33.04
2013-09-06,18,33.61
2013-09-13,21,33.89
2013-09-20,16,34.89
2013-09-27,15,34.95
2013-10-04,14,34.86
2013-10-11,17,35.61
2013-10-18,15,35.96
2013-10-25,16,36.49
2013-11-01,14,36.55
2013-11-08,15,36.4
2013-11-15,17,37.12
2013-11-22,16,38.43
2013-11-29,13,38.14
2013-12-06,22,37.75
2013-12-13,16,37.35
2013-12-20,13,39.6
2013-12-27,10,41.21
2014-01-03,10,40.44
2014-01-10,11,41.12
2014-01-17,12,41.38
2014-01-24,12,39.4
2014-01-31,23,40.49
2014-02-07,16,41.55
2014-02-14,13,41.93
2014-02-21,15,42.29
2014-02-28,13,42.18
2014-03-07,20,43.82
2014-03-14,15,42.89
2014-03-21,15,42.71
2014-03-28,15,41.81
2014-04-04,16,42.28
2014-04-11,16,40.62
2014-04-25,16,41.29
