"Date","LMT","Price"
2006-07-28,47,80.49
2006-08-04,36,83.54
2006-08-11,52,81.82
2006-08-18,45,83.55
2006-08-25,42,83.08
2006-09-01,61,83.68
2006-09-08,51,83.42
2006-09-15,52,83
2006-09-22,46,82.85
2006-09-29,53,86.06
2006-10-06,47,87.38
2006-10-13,45,88.6
2006-10-20,48,87
2006-10-27,47,84.61
2006-11-03,37,87
2006-11-10,50,85.75
2006-11-17,51,89.15
2006-11-24,50,89.33
2006-12-01,47,90.35
2006-12-08,47,91.82
2006-12-15,46,90.04
2006-12-22,51,91.7
2006-12-29,45,92.07
2007-01-05,54,92.02
2007-01-12,53,96.31
2007-01-19,39,97.27
2007-01-26,54,96.67
2007-02-02,48,98.46
2007-02-09,52,101.16
2007-02-16,63,101.95
2007-02-23,52,102.11
2007-03-02,54,95.44
2007-03-09,45,96.89
2007-03-16,55,97.8
2007-03-23,50,99.15
2007-03-30,50,97.02
2007-04-13,52,96.24
2007-04-20,49,95.4
2007-04-27,50,96.69
2007-05-04,42,96.64
2007-05-11,47,98.84
2007-05-18,44,98.16
2007-05-25,51,97.01
2007-06-01,42,97.43
2007-06-08,40,96.89
2007-06-15,53,96.55
2007-06-22,43,93.39
2007-06-29,45,94.13
2007-07-06,45,96.63
2007-07-13,48,97.34
2007-07-20,47,97.89
2007-07-27,54,99.28
2007-08-03,46,99.37
2007-08-10,53,94.31
2007-08-17,49,96.22
2007-08-24,48,100.02
2007-08-31,49,99.14
2007-09-07,48,96.64
2007-09-14,49,101.34
2007-09-21,50,103.2
2007-09-28,44,108.49
2007-10-05,55,108.7
2007-10-12,50,111.67
2007-10-19,53,106.16
2007-10-26,42,108.61
2007-11-02,52,110.12
2007-11-09,50,109.35
2007-11-16,47,111.37
2007-11-23,50,111.01
2007-11-30,57,110.67
2007-12-07,53,111.01
2007-12-14,46,110.48
2007-12-21,45,110.48
2007-12-28,44,106.78
2008-01-04,48,106.5
2008-01-11,43,109.46
2008-01-18,45,101.88
2008-01-25,55,105.49
2008-02-01,50,108.12
2008-02-08,51,105.76
2008-02-15,56,105.76
2008-02-22,47,105.12
2008-02-29,51,103.2
2008-03-07,55,103.18
2008-03-14,56,100.54
2008-03-28,46,100.18
2008-04-04,55,100.81
2008-04-11,49,103.01
2008-04-18,51,106.24
2008-04-25,55,107.63
2008-05-02,45,106.93
2008-05-09,56,105.84
2008-05-16,56,109.16
2008-05-23,53,107.42
2008-05-30,50,109.44
2008-06-06,49,103.75
2008-06-13,49,104.07
2008-06-20,55,102.07
2008-06-27,49,99.62
2008-07-11,60,102.68
2008-07-18,55,100.99
2008-07-25,45,104.62
2008-08-01,52,103.97
2008-08-08,57,112.06
2008-08-15,54,116.67
2008-08-22,48,115.77
2008-08-29,50,116.44
2008-09-05,48,115.72
2008-09-12,50,117.27
2008-09-19,63,110.88
2008-09-26,62,112.55
2008-10-03,68,105.01
2008-10-10,60,87.48
2008-10-17,63,90.75
2008-10-24,63,75.84
2008-10-31,56,85.05
2008-11-07,62,78.75
2008-11-14,58,72.26
2008-11-21,63,72.68
2008-11-28,52,77.11
2008-12-05,63,80.19
2008-12-12,57,77.8
2008-12-19,55,80.01
2008-12-26,53,81.11
2009-01-02,55,85.55
2009-01-09,59,80.76
2009-01-16,52,82.16
2009-01-23,53,80.98
2009-01-30,56,82.04
2009-02-06,48,79.37
2009-02-13,69,78.47
2009-02-20,59,77.75
2009-02-27,62,63.11
2009-03-06,63,58.85
2009-03-13,55,61.2
2009-03-20,52,67.78
2009-03-27,63,71.28
2009-04-03,56,67.31
2009-04-17,51,76.94
2009-04-24,56,77.08
2009-05-01,55,81.59
2009-05-08,54,82.46
2009-05-15,54,79.93
2009-05-22,65,81.44
2009-05-29,61,83.63
2009-06-05,55,86.17
2009-06-12,66,82.77
2009-06-19,58,82.55
2009-06-26,54,80.97
2009-07-10,54,77.91
2009-07-17,54,81.09
2009-07-24,60,74.08
2009-07-31,57,74.76
2009-08-07,53,76.76
2009-08-14,58,74.59
2009-08-21,61,74.92
2009-08-28,52,74.95
2009-09-04,51,75.28
2009-09-11,52,75.64
2009-09-18,51,80.08
2009-09-25,54,77.89
2009-10-02,52,75.37
2009-10-09,55,75.82
2009-10-16,55,75.44
2009-10-23,53,72.19
2009-10-30,50,68.79
2009-11-06,56,73.77
2009-11-13,49,76.07
2009-11-20,45,76.1
2009-11-27,47,77.1
2009-12-04,53,78.21
2009-12-11,59,76.78
2009-12-18,57,76.34
2010-01-08,50,75.61
2010-01-15,50,76.76
2010-01-22,57,75.58
2010-01-29,49,74.52
2010-02-05,56,75.72
2010-02-12,53,75.58
2010-02-19,54,77.21
2010-02-26,55,77.76
2010-03-05,59,81.27
2010-03-12,58,83.09
2010-03-19,51,86.9
2010-03-26,50,84.24
2010-04-09,60,82.79
2010-04-16,56,82.99
2010-04-23,55,86.92
2010-04-30,53,84.89
2010-05-07,50,81.27
2010-05-14,53,80.79
2010-05-21,56,81.16
2010-05-28,59,79.92
2010-06-04,57,77.39
2010-06-11,58,78.75
2010-06-18,57,80.69
2010-06-25,50,78.05
2010-07-02,59,74.44
2010-07-09,56,75.24
2010-07-16,52,73.93
2010-07-23,51,73.95
2010-07-30,54,75.15
2010-08-06,54,75.07
2010-08-13,61,72.72
2010-08-20,58,73.2
2010-08-27,52,72.27
2010-09-03,55,70.72
2010-09-10,56,70.38
2010-09-17,57,69.75
2010-09-24,54,73.13
2010-10-01,55,69.61
2010-10-08,56,70.1
2010-10-15,58,70.02
2010-10-22,63,71.78
2010-10-29,57,71.29
2010-11-05,63,73.27
2010-11-12,64,69.49
2010-11-19,63,69.43
2010-11-26,88,68.8
2010-12-03,70,69.18
2010-12-10,73,68.84
2010-12-17,100,70.07
2010-12-31,70,69.91
2011-01-07,64,73.63
2011-01-14,61,74.5
2011-01-21,61,79.22
2011-01-28,67,78.2
2011-02-04,84,80.71
2011-02-11,73,81.69
2011-02-18,69,81.81
2011-02-25,67,80.11
2011-03-04,66,79.85
2011-03-11,62,80.47
2011-03-18,60,80.53
2011-03-25,63,80.37
2011-04-01,64,80.98
2011-04-08,63,80.5
2011-04-15,66,78.19
2011-04-29,60,79.25
2011-05-06,59,79.95
2011-05-13,62,79.59
2011-05-20,63,79.75
2011-05-27,67,77.26
2011-06-03,65,76.28
2011-06-10,65,77.3
2011-06-17,69,80.01
2011-06-24,64,79.2
2011-07-01,67,81.97
2011-07-08,64,80.51
2011-07-15,67,78.37
2011-07-22,61,79.6
2011-07-29,69,75.73
2011-08-05,65,72.82
2011-08-12,73,69.12
2011-08-19,70,69.39
2011-08-26,69,73.25
2011-09-02,76,71.37
2011-09-09,75,71.57
2011-09-16,71,76.03
2011-09-23,76,72.09
2011-09-30,65,72.64
2011-10-07,71,74
2011-10-14,64,75.99
2011-10-21,62,77.4
2011-10-28,78,75.43
2011-11-04,68,76.52
2011-11-11,69,77.42
2011-11-18,70,75.1
2011-11-25,83,75.39
2011-12-02,86,77.82
2011-12-09,89,77.42
2011-12-16,93,77.1
2011-12-23,78,81.41
2011-12-30,77,80.9
2012-01-06,67,79.98
2012-01-13,67,81.52
2012-01-20,64,82.78
2012-01-27,71,82.02
2012-02-03,73,84.59
2012-02-10,65,87.51
2012-02-17,67,87.99
2012-02-24,70,89.53
2012-03-02,74,88.5
2012-03-09,65,88.91
2012-03-16,68,89.32
2012-03-23,64,89.77
2012-03-30,68,89.86
2012-04-13,62,89.3
2012-04-20,61,90.84
2012-04-27,63,91.3
2012-05-04,57,87.83
2012-05-11,64,85.21
2012-05-18,61,82.78
2012-05-25,62,82.71
2012-06-01,64,81.22
2012-06-08,70,83.29
2012-06-15,67,83.45
2012-06-22,69,85.35
2012-06-29,72,87.08
2012-07-06,70,86.86
2012-07-13,75,87.25
2012-07-20,65,87.71
2012-07-27,69,90.2
2012-08-03,67,89.39
2012-08-10,69,91.03
2012-08-17,69,92.4
2012-08-24,65,92.45
2012-08-31,70,91.14
2012-09-07,79,92.18
2012-09-14,77,92.52
2012-09-21,72,91.29
2012-09-28,66,93.38
2012-10-05,70,94.37
2012-10-12,68,92.96
2012-10-19,66,92.89
2012-10-26,64,92.84
2012-11-02,61,93.72
2012-11-09,73,89.98
2012-11-16,72,88.46
2012-11-23,71,91.83
2012-11-30,76,93.3
2012-12-07,71,91.9
2012-12-14,80,88.96
2012-12-21,79,93.13
2012-12-28,73,91.34
2013-01-04,71,93.9
2013-01-11,73,93.71
2013-01-18,64,93.97
2013-01-25,69,92.39
2013-02-01,70,87.22
2013-02-08,71,88.01
2013-02-15,73,87.87
2013-02-22,65,88.12
2013-03-01,74,88.17
2013-03-08,72,89.99
2013-03-15,62,92.74
2013-03-22,70,92.26
2013-04-05,68,94.53
2013-04-12,63,97.18
2013-04-19,60,96.28
2013-04-26,66,98.97
2013-05-03,70,102.01
2013-05-10,69,101.94
2013-05-17,66,106.41
2013-05-24,66,107.06
2013-05-31,73,105.83
2013-06-07,77,107.36
2013-06-14,72,107.7
2013-06-21,71,105.06
2013-06-28,69,108.46
2013-07-05,70,108.66
2013-07-12,72,112.53
2013-07-19,69,115.55
2013-07-26,71,120
2013-08-02,66,123.77
2013-08-09,66,124.02
2013-08-16,71,122.2
2013-08-23,66,126
2013-08-30,70,122.42
2013-09-06,69,123.73
2013-09-13,68,127.25
2013-09-20,66,128
2013-09-27,61,129.24
2013-10-04,64,122.5
2013-10-11,67,126.17
2013-10-18,59,128.9
2013-10-25,64,134
2013-11-01,66,134.55
2013-11-08,66,138.11
2013-11-15,64,137.45
2013-11-22,65,140.88
2013-11-29,68,141.67
2013-12-06,72,138.19
2013-12-13,75,139.03
2013-12-20,67,144.21
2013-12-27,63,148.13
2014-01-03,63,147.06
2014-01-10,65,149.45
2014-01-17,66,153.82
2014-01-24,63,147.76
2014-01-31,60,150.91
2014-02-07,60,155.13
2014-02-14,62,162.89
2014-02-21,61,164.33
2014-02-28,61,162.3
2014-03-07,65,166.57
2014-03-14,57,162.42
2014-03-21,59,157.4
2014-03-28,57,160.54
2014-04-04,56,159.61
2014-04-11,60,153.82
2014-04-25,57,161.09
