"Date","RTN","Price"
2012-07-06,34,55.88
2012-07-13,30,55.93
2012-07-20,34,56.11
2012-07-27,31,55.67
2012-08-03,35,55.2
2012-08-10,37,56.11
2012-08-17,34,56.23
2012-08-24,34,55.8
2012-08-31,41,56.52
2012-09-07,35,57.82
2012-09-14,38,57.81
2012-09-21,37,58.11
2012-09-28,38,57.16
2012-10-05,39,55.48
2012-10-12,37,54.88
2012-10-19,35,55.87
2012-10-26,40,55.71
2012-11-02,34,57.03
2012-11-09,38,56.06
2012-11-16,37,54.46
2012-11-23,32,56.2
2012-11-30,39,57.13
2012-12-07,38,57.4
2012-12-14,42,57.49
2012-12-21,39,59.23
2012-12-28,31,56.7
2013-01-04,36,59.01
2013-01-11,40,57.99
2013-01-18,36,58.1
2013-01-25,43,55.88
2013-02-01,39,52.67
2013-02-08,42,54.16
2013-02-15,44,53.98
2013-02-22,36,54.44
2013-03-01,38,54.67
2013-03-08,42,56.03
2013-03-15,40,57.93
2013-03-22,38,57.04
2013-04-05,40,58.18
2013-04-12,43,58.34
2013-04-19,39,57.15
2013-04-26,42,60.2
2013-05-03,44,63.04
2013-05-10,38,64.27
2013-05-17,44,66.89
2013-05-24,40,66.73
2013-05-31,39,66.64
2013-06-07,38,67.41
2013-06-14,40,67.41
2013-06-21,38,66.11
2013-06-28,43,66.12
2013-07-05,38,65.84
2013-07-12,42,69.47
2013-07-19,41,69.8
2013-07-26,34,70.01
2013-08-02,39,75.65
2013-08-09,39,76.98
2013-08-16,39,76.74
2013-08-23,59,77.65
2013-08-30,45,75.41
2013-09-06,38,75.61
2013-09-13,37,78.48
2013-09-20,41,79
2013-09-27,40,78.74
2013-10-04,39,74.25
2013-10-11,36,76.23
2013-10-18,39,76.86
2013-10-25,36,79.96
2013-11-01,39,83.75
2013-11-08,37,85.36
2013-11-15,40,85.28
2013-11-22,36,87.36
2013-11-29,35,88.68
2013-12-06,40,86.68
2013-12-13,38,86.44
2013-12-20,39,88.39
2013-12-27,32,90.85
2014-01-03,32,88.82
2014-01-10,41,90.66
2014-01-17,37,90.07
2014-01-24,38,88.13
2014-01-31,40,95.07
2014-02-07,40,94.27
2014-02-14,39,95.93
2014-02-21,41,96.6
2014-02-28,39,97.91
2014-03-07,46,101.27
2014-03-14,39,100.09
2014-03-21,43,97.5
2014-03-28,40,98.65
2014-04-04,42,97.61
2014-04-11,40,96.4
2014-04-25,41,94.9
