"Date","GD","Price"
2005-11-04,60,116.38
2005-11-11,52,116.35
2005-11-18,60,117.21
2005-11-25,54,115.9
2005-12-02,55,113.55
2005-12-09,59,112.78
2005-12-16,56,114.43
2005-12-23,55,114.95
2005-12-30,55,114.05
2006-01-06,55,116.17
2006-01-13,54,117.2
2006-01-20,55,115.09
2006-01-27,57,118.5
2006-02-03,59,116.83
2006-02-10,60,119.89
2006-02-17,57,121.33
2006-02-24,57,121.9
2006-03-03,53,127.81
2006-03-10,57,126.3
2006-03-17,56,130.66
2006-03-24,55,131.27
2006-03-31,54,63.98
2006-04-07,52,64.94
2006-04-21,53,67.88
2006-04-28,52,65.62
2006-05-05,51,68.65
2006-05-12,54,65.2
2006-05-19,53,64.47
2006-05-26,53,62.7
2006-06-02,56,64.07
2006-06-09,55,63.37
2006-06-16,51,66.12
2006-06-23,51,65.4
2006-06-30,47,65.46
2006-07-07,52,66.52
2006-07-14,50,68.61
2006-07-21,49,67.44
2006-07-28,50,67.26
2006-08-04,49,67.76
2006-08-11,52,67.63
2006-08-18,53,68.76
2006-08-25,53,67.36
2006-09-01,50,68.16
2006-09-08,45,69.37
2006-09-15,48,71.69
2006-09-22,48,70.61
2006-09-29,52,71.67
2006-10-06,46,75.36
2006-10-13,54,76.09
2006-10-20,50,72.17
2006-10-27,49,70.91
2006-11-03,50,70.53
2006-11-10,49,70.35
2006-11-17,50,73.91
2006-11-24,49,73.65
2006-12-01,49,74.81
2006-12-08,46,74.14
2006-12-15,48,72.52
2006-12-22,49,73.98
2006-12-29,44,74.35
2007-01-05,51,74.59
2007-01-12,52,80.09
2007-01-19,48,79.53
2007-01-26,52,78.05
2007-02-02,48,78.67
2007-02-09,54,79.56
2007-02-16,53,79.25
2007-02-23,48,79.05
2007-03-02,50,75.46
2007-03-09,49,77.32
2007-03-16,51,77.55
2007-03-23,52,77.63
2007-03-30,51,76.4
2007-04-13,48,76.72
2007-04-20,47,79.55
2007-04-27,48,80.27
2007-05-04,48,79.69
2007-05-11,46,80.15
2007-05-18,48,81.26
2007-05-25,53,78.86
2007-06-01,49,79.88
2007-06-08,51,80.58
2007-06-15,54,80.25
2007-06-22,49,78.02
2007-06-29,48,78.22
2007-07-06,47,79.75
2007-07-13,47,79.98
2007-07-20,47,80.65
2007-07-27,55,79.33
2007-08-03,45,79.48
2007-08-10,47,77.31
2007-08-17,45,77.48
2007-08-24,46,79.2
2007-08-31,47,78.56
2007-09-07,43,78.14
2007-09-14,48,81.12
2007-09-21,50,82.96
2007-09-28,47,84.47
2007-10-05,45,84.06
2007-10-12,47,89.01
2007-10-19,46,85.47
2007-10-26,44,91.23
2007-11-02,46,90.13
2007-11-09,46,88.24
2007-11-16,47,89.75
2007-11-23,52,88.5
2007-11-30,52,88.78
2007-12-07,50,93.68
2007-12-14,49,91.44
2007-12-21,48,89.24
2007-12-28,43,89.05
2008-01-04,44,86
2008-01-11,49,86.56
2008-01-18,50,80.8
2008-01-25,49,81.13
2008-02-01,49,85.34
2008-02-08,47,83.37
2008-02-15,50,83.43
2008-02-22,50,83.65
2008-02-29,50,81.85
2008-03-07,52,82.81
2008-03-14,48,84.39
2008-03-28,52,83.36
2008-04-04,49,85.42
2008-04-11,49,83.65
2008-04-18,46,88.98
2008-04-25,50,90.92
2008-05-02,50,90.69
2008-05-09,46,90.92
2008-05-16,45,92.93
2008-05-23,44,90.37
2008-05-30,44,92.15
2008-06-06,44,86.65
2008-06-13,51,86.45
2008-06-20,44,85.5
2008-06-27,46,83.28
2008-07-11,45,81.05
2008-07-18,47,82.07
2008-07-25,48,89.19
2008-08-01,46,89.58
2008-08-08,42,92.81
2008-08-15,43,93.41
2008-08-22,46,92
2008-08-29,46,92.3
2008-09-05,44,85.64
2008-09-12,45,84.93
2008-09-19,47,82.39
2008-09-26,47,74.92
2008-10-03,47,68.2
2008-10-10,43,57.39
2008-10-17,44,57.12
2008-10-24,46,54.7
2008-10-31,43,60.32
2008-11-07,44,61.43
2008-11-14,46,55.51
2008-11-21,43,51.95
2008-11-28,44,51.67
2008-12-05,45,51.5
2008-12-12,45,53.28
2008-12-19,44,55.86
2008-12-26,41,55.91
2009-01-02,41,59.76
2009-01-09,49,57.92
2009-01-16,47,54.59
2009-01-23,49,53.32
2009-01-30,49,56.73
2009-02-06,50,57.21
2009-02-13,51,54.49
2009-02-20,55,50.82
2009-02-27,55,43.82
2009-03-06,53,36.49
2009-03-13,50,37.6
2009-03-20,51,37.65
2009-03-27,49,43.12
2009-04-03,51,42.66
2009-04-17,50,46.55
2009-04-24,49,49.18
2009-05-01,47,52.38
2009-05-08,49,55.88
2009-05-15,49,55.01
2009-05-22,48,55.7
2009-05-29,54,56.9
2009-06-05,53,60.45
2009-06-12,49,59.76
2009-06-19,63,58.74
2009-06-26,51,55.46
2009-07-10,51,51.59
2009-07-17,50,53.56
2009-07-24,55,52.49
2009-07-31,51,55.39
2009-08-07,48,57.54
2009-08-14,54,56.24
2009-08-21,55,58.49
2009-08-28,55,59.77
2009-09-04,56,60.48
2009-09-11,55,63.34
2009-09-18,57,64.61
2009-09-25,57,62.99
2009-10-02,57,63.08
2009-10-09,59,66.16
2009-10-16,58,67.75
2009-10-23,60,66.6
2009-10-30,60,62.7
2009-11-06,58,65.58
2009-11-13,58,67.68
2009-11-20,58,66.47
2009-11-27,62,67.08
2009-12-04,61,67.54
2009-12-11,65,69.01
2009-12-18,68,68.24
2010-01-08,62,69.44
2010-01-15,62,70.61
2010-01-22,63,67.02
2010-01-29,61,66.85
2010-02-05,64,66.66
2010-02-12,68,67.95
2010-02-19,64,72.61
2010-02-26,68,72.55
2010-03-05,68,73.73
2010-03-12,70,73.76
2010-03-19,72,75.49
2010-03-26,72,76.92
2010-04-09,70,77.54
2010-04-16,63,76.04
2010-04-23,68,78.6
2010-04-30,67,76.36
2010-05-07,68,70.5
2010-05-14,63,71.71
2010-05-21,66,67.45
2010-05-28,71,67.9
2010-06-04,70,65.18
2010-06-11,67,64.58
2010-06-18,74,66.9
2010-06-25,72,63.22
2010-07-02,73,58.7
2010-07-09,68,60.84
2010-07-16,67,58.9
2010-07-23,62,61.29
2010-07-30,59,61.25
2010-08-06,61,63.78
2010-08-13,61,60.67
2010-08-20,62,60.23
2010-08-27,59,57.37
2010-09-03,59,59.72
2010-09-10,59,61.13
2010-09-17,61,62.69
2010-09-24,60,63.68
2010-10-01,56,62.46
2010-10-08,59,63.37
2010-10-15,59,63.93
2010-10-22,59,64.5
2010-10-29,58,68.12
2010-11-05,52,69.66
2010-11-12,60,66.5
2010-11-19,59,66.6
2010-11-26,58,67.12
2010-12-03,59,67.58
2010-12-10,61,69.56
2010-12-17,70,70.28
2010-12-31,70,70.96
2011-01-07,78,72.01
2011-01-14,73,72.18
2011-01-21,70,72.97
2011-01-28,70,74.13
2011-02-04,72,75.62
2011-02-11,71,77.45
2011-02-18,69,78.11
2011-02-25,65,75.94
2011-03-04,68,76.32
2011-03-11,64,76.13
2011-03-18,64,74.38
2011-03-25,63,76.51
2011-04-01,62,77.42
2011-04-08,66,74.51
2011-04-15,66,71.88
2011-04-29,65,72.82
2011-05-06,65,74.44
2011-05-13,65,74.37
2011-05-20,65,73.03
2011-05-27,61,71.26
2011-06-03,64,70.6
2011-06-10,61,69.37
2011-06-17,66,71.67
2011-06-24,61,72.29
2011-07-01,65,75.81
2011-07-08,69,74.66
2011-07-15,66,70.36
2011-07-22,65,70.8
2011-07-29,68,68.14
2011-08-05,65,64.44
2011-08-12,64,61.18
2011-08-19,60,57.47
2011-08-26,60,61.28
2011-09-02,58,60.94
2011-09-09,59,59
2011-09-16,67,60.6
2011-09-23,74,55.92
2011-09-30,73,56.89
2011-10-07,77,59.55
2011-10-14,78,62.04
2011-10-21,76,65.32
2011-10-28,73,65.47
2011-11-04,72,63.45
2011-11-11,72,65.72
2011-11-18,70,63.84
2011-11-25,75,61.13
2011-12-02,74,65.72
2011-12-09,72,65.07
2011-12-16,72,63.2
2011-12-23,71,66.36
2011-12-30,76,66.41
2012-01-06,73,67.62
2012-01-13,73,70.6
2012-01-20,73,72.47
2012-01-27,72,70.35
2012-02-03,78,70.51
2012-02-10,80,70.3
2012-02-17,77,70.88
2012-02-24,77,72.4
2012-03-02,75,72.65
2012-03-09,78,71.78
2012-03-16,80,72.9
2012-03-23,84,72.78
2012-03-30,81,73.38
2012-04-13,82,68.88
2012-04-20,84,69.76
2012-04-27,80,67.58
2012-05-04,82,67.05
2012-05-11,82,66.53
2012-05-18,75,63.34
2012-05-25,82,63.58
2012-06-01,85,62.72
2012-06-08,93,64.06
2012-06-15,95,64.86
2012-06-22,85,63.26
2012-06-29,80,65.96
2012-07-06,81,65.24
2012-07-13,79,64.86
2012-07-20,78,64.97
2012-07-27,82,63.83
2012-08-03,81,63.1
2012-08-10,79,63.58
2012-08-17,80,65.7
2012-08-24,89,66.09
2012-08-31,91,65.51
2012-09-07,85,67.2
2012-09-14,85,66.78
2012-09-21,94,66.15
2012-09-28,84,66.12
2012-10-05,90,67.29
2012-10-12,87,66.1
2012-10-19,89,67.17
2012-10-26,82,67.32
2012-11-02,80,68.81
2012-11-09,80,64.45
2012-11-16,73,62.13
2012-11-23,76,65.41
2012-11-30,75,66.5
2012-12-07,85,67.19
2012-12-14,85,67.49
2012-12-21,82,70.4
2012-12-28,83,67.88
2013-01-04,84,71.07
2013-01-11,79,70.74
2013-01-18,79,70.66
2013-01-25,78,70.96
2013-02-01,79,65.88
2013-02-08,78,66.82
2013-02-15,83,66.4
2013-02-22,79,67.32
2013-03-01,80,67.73
2013-03-08,80,68.89
2013-03-15,78,69.91
2013-03-22,81,69.29
2013-04-05,85,69.56
2013-04-12,82,70.6
2013-04-19,82,67
2013-04-26,84,73.3
2013-05-03,78,75.24
2013-05-10,80,75.7
2013-05-17,79,78.29
2013-05-24,76,77.34
2013-05-31,77,77.1
2013-06-07,75,79.12
2013-06-14,76,78
2013-06-21,79,76.2
2013-06-28,76,78.33
2013-07-05,82,79.42
2013-07-12,81,82.6
2013-07-19,78,84.4
2013-07-26,76,85.86
2013-08-02,76,87.49
2013-08-09,74,86.92
2013-08-16,73,83.75
2013-08-23,74,84.61
2013-08-30,75,83.25
2013-09-06,83,84.57
2013-09-13,80,87.13
2013-09-20,77,88.15
2013-09-27,81,88.29
2013-10-04,83,85.91
2013-10-11,81,87.76
2013-10-18,77,88.4
2013-10-25,73,88.26
2013-11-01,71,87.15
2013-11-08,70,87.2
2013-11-15,74,88.71
2013-11-22,75,92.15
2013-11-29,85,91.66
2013-12-06,84,90.79
2013-12-13,76,90.26
2013-12-20,75,93.37
2013-12-27,76,95
2014-01-03,75,94.74
2014-01-10,75,95.1
2014-01-17,70,95.47
2014-01-24,74,98.31
2014-01-31,69,101.31
2014-02-07,67,104.19
2014-02-14,70,106.35
2014-02-21,72,107.45
2014-02-28,73,109.54
2014-03-07,72,111.49
2014-03-14,74,107.63
2014-03-21,71,107.08
2014-03-28,76,107.7
2014-04-04,72,108.29
2014-04-11,71,104.99
2014-04-25,75,109.01
