"Date","CHRW","Price"
2009-12-18,26,58.19
2010-01-08,23,57.55
2010-01-15,31,57.72
2010-01-22,21,57.35
2010-01-29,23,56.63
2010-02-05,41,52.44
2010-02-12,27,52.12
2010-02-19,31,53.5
2010-02-26,30,53.33
2010-03-05,19,53.25
2010-03-12,22,53.87
2010-03-19,20,56.6
2010-03-26,30,55.56
2010-04-09,27,56.45
2010-04-16,31,58.38
2010-04-23,33,61.58
2010-04-30,32,60.32
2010-05-07,23,57.83
2010-05-14,22,59.61
2010-05-21,25,58.18
2010-05-28,21,58.11
2010-06-04,24,55.9
2010-06-11,35,58.21
2010-06-18,25,59.06
2010-06-25,33,57.23
2010-07-02,21,55.05
2010-07-09,18,57.06
2010-07-16,28,57.45
2010-07-23,28,60.88
2010-07-30,53,65.2
2010-08-06,40,66.89
2010-08-13,44,64.6
2010-08-20,42,66.16
2010-08-27,21,65.92
2010-09-03,37,67.56
2010-09-10,29,67.5
2010-09-17,29,68.45
2010-09-24,46,68.6
2010-10-01,55,69.64
2010-10-08,45,71.21
2010-10-15,45,72.24
2010-10-22,33,72.52
2010-10-29,50,70.48
2010-11-05,46,71.79
2010-11-12,23,71.2
2010-11-19,22,72.85
2010-11-26,24,74.11
2010-12-03,27,76.35
2010-12-10,34,78.12
2010-12-17,37,79
2010-12-31,36,80.19
2011-01-07,45,79.56
2011-01-14,35,78.88
2011-01-21,41,77.62
2011-01-28,29,76.03
2011-02-04,27,74.06
2011-02-11,27,75.07
2011-02-18,32,74.99
2011-02-25,19,72.55
2011-03-04,33,72.84
2011-03-11,36,72.75
2011-03-18,21,72.66
2011-03-25,29,72.52
2011-04-01,28,74.9
2011-04-08,27,74.28
2011-04-15,21,76.64
2011-04-29,48,80.18
2011-05-06,24,79.53
2011-05-13,26,79.77
2011-05-20,27,80.57
2011-05-27,25,79.92
2011-06-03,22,77.76
2011-06-10,23,75.83
2011-06-17,27,76.88
2011-06-24,32,76.09
2011-07-01,20,80.62
2011-07-08,27,81.48
2011-07-15,26,78.56
2011-07-22,27,80.43
2011-07-29,40,72.31
2011-08-05,48,68.13
2011-08-12,46,68.4
2011-08-19,38,63.67
2011-08-26,33,67.99
2011-09-02,33,66.99
2011-09-09,24,66.55
2011-09-16,40,70.32
2011-09-23,27,66.02
2011-09-30,34,68.47
2011-10-07,42,70.87
2011-10-14,39,73.5
2011-10-21,30,75
2011-10-28,43,70.4
2011-11-04,34,68.72
2011-11-11,27,68.76
2011-11-18,35,66.01
2011-11-25,26,63.63
2011-12-02,22,67.98
2011-12-09,36,68.44
2011-12-16,29,66.59
2011-12-23,29,70.02
2011-12-30,22,69.78
2012-01-06,42,67.98
2012-01-13,38,66.73
2012-01-20,27,67.66
2012-01-27,20,68.52
2012-02-03,38,64.42
2012-02-10,25,63.5
2012-02-17,28,66.11
2012-02-24,19,67.21
2012-03-02,26,66.22
2012-03-09,25,66.35
2012-03-16,17,65.67
2012-03-23,20,64.42
2012-03-30,26,65.49
2012-04-13,27,64.13
2012-04-20,31,66.52
2012-04-27,38,59.02
2012-05-04,31,60.62
2012-05-11,31,60.81
2012-05-18,31,58.88
2012-05-25,27,59.69
2012-06-01,19,56.89
2012-06-08,20,57.92
2012-06-15,17,58.56
2012-06-22,29,57.37
2012-06-29,27,58.53
2012-07-06,35,60.51
2012-07-13,28,60.3
2012-07-20,39,56.96
2012-07-27,42,53.35
2012-08-03,42,53.6
2012-08-10,29,54.23
2012-08-17,26,57.04
2012-08-24,24,57.16
2012-08-31,34,56.61
2012-09-07,29,57.45
2012-09-14,24,57.27
2012-09-21,29,57.62
2012-09-28,36,58.58
2012-10-05,40,60.31
2012-10-12,40,59.94
2012-10-19,30,60.72
2012-10-26,44,59.41
2012-11-02,39,61.48
2012-11-09,45,61.48
2012-11-16,36,59.16
2012-11-23,25,60.98
2012-11-30,35,61.74
2012-12-07,30,60.6
2012-12-14,33,61.52
2012-12-21,27,63.6
2012-12-28,16,62.15
2013-01-04,23,63.04
2013-01-11,30,64.54
2013-01-18,30,65.51
2013-01-25,25,67.19
2013-02-01,24,66.89
2013-02-08,32,59.72
2013-02-15,24,57.78
2013-02-22,21,57.97
2013-03-01,33,57.06
2013-03-08,35,57
2013-03-15,23,59.34
2013-03-22,19,58.1
2013-04-05,26,58.98
2013-04-12,23,59
2013-04-19,30,56.33
2013-04-26,32,58.44
2013-05-03,27,60.47
2013-05-10,37,57
2013-05-17,25,58.32
2013-05-24,23,58.7
2013-05-31,27,56.7
2013-06-07,20,57.16
2013-06-14,30,56.5
2013-06-21,22,54.79
2013-06-28,19,56.31
2013-07-05,18,57.4
2013-07-12,24,57.83
2013-07-19,23,60.6
2013-07-26,24,59.39
2013-08-02,26,59.71
2013-08-09,36,56.79
2013-08-16,21,56.13
2013-08-23,22,57.2
2013-08-30,21,56.87
2013-09-06,20,57.7
2013-09-13,27,59.13
2013-09-20,26,62.09
2013-09-27,26,60.45
2013-10-04,25,58.48
2013-10-11,21,58.9
2013-10-18,24,60.21
2013-10-25,30,60.76
2013-11-01,24,59.94
2013-11-08,22,59.66
2013-11-15,28,59.98
2013-11-22,26,58.68
2013-11-29,17,58.65
2013-12-06,27,57.89
2013-12-13,21,56.4
2013-12-20,22,56.54
2013-12-27,20,57.72
2014-01-03,15,57.28
2014-01-10,20,57.7
2014-01-17,15,59.13
2014-01-24,14,57.21
2014-01-31,26,58.54
2014-02-07,41,52.39
2014-02-14,27,54.64
2014-02-21,23,54.12
2014-02-28,23,51.86
2014-03-07,19,52.27
2014-03-14,19,51.14
2014-03-21,17,51.03
2014-03-28,21,50.89
2014-04-04,22,52.41
2014-04-11,25,54.87
2014-04-25,25,56.28
