"Date","PCAR","Price"
2012-08-10,36,41.34
2012-08-17,44,41.88
2012-08-24,32,40.27
2012-08-31,45,39.91
2012-09-07,21,41.71
2012-09-14,38,43.05
2012-09-21,36,41.48
2012-09-28,39,40.02
2012-10-05,36,41.39
2012-10-12,36,40.15
2012-10-19,38,40.41
2012-10-26,39,43.34
2012-11-02,38,45.01
2012-11-09,42,43.01
2012-11-16,45,41.84
2012-11-23,37,43.05
2012-11-30,38,43.94
2012-12-07,35,43.84
2012-12-14,36,43.91
2012-12-21,52,44.84
2012-12-28,49,44.43
2013-01-04,45,46.8
2013-01-11,33,46.03
2013-01-18,37,46.37
2013-01-25,40,48.23
2013-02-01,52,47.55
2013-02-08,46,47.5
2013-02-15,48,48.09
2013-02-22,43,46.86
2013-03-01,43,46.97
2013-03-08,42,50.46
2013-03-15,54,50.96
2013-03-22,50,50.04
2013-04-05,50,48.19
2013-04-12,37,50.23
2013-04-19,49,48.2
2013-04-26,54,49.52
2013-05-03,57,52.54
2013-05-10,66,52.61
2013-05-17,60,54.54
2013-05-24,49,53.35
2013-05-31,52,53.6
2013-06-07,54,54.35
2013-06-14,53,53.22
2013-06-21,52,52.33
2013-06-28,46,53.66
2013-07-05,62,54.37
2013-07-12,51,56.65
2013-07-19,76,57.63
2013-07-26,68,56.1
2013-08-02,65,56.94
2013-08-09,56,55.93
2013-08-16,67,54.74
2013-08-23,57,55.21
2013-08-30,41,53.61
2013-09-06,50,54.24
2013-09-13,51,56.28
2013-09-20,68,57.65
2013-09-27,59,55.8
2013-10-04,61,55.52
2013-10-11,59,56.2
2013-10-18,55,57.56
2013-10-25,69,58.55
2013-11-01,65,56.22
2013-11-08,59,56.84
2013-11-15,65,57
2013-11-22,59,56.64
2013-11-29,75,57.31
2013-12-06,72,56.95
2013-12-13,75,56.16
2013-12-20,70,57.62
2013-12-27,81,58.47
2014-01-03,78,58.63
2014-01-10,75,59.19
2014-01-17,100,59.53
2014-01-24,70,56.24
2014-01-31,92,56
2014-02-07,74,59.15
2014-02-14,81,61.54
2014-02-21,90,62.37
2014-02-28,95,65.84
2014-03-07,91,65.93
2014-03-14,89,65
2014-03-21,82,67.39
2014-03-28,76,66.56
2014-04-04,90,65.73
2014-04-11,77,64.13
2014-04-25,97,65.66
