"Date","PNR","Price"
2008-06-20,14,34.44
2008-06-27,13,33.87
2008-07-11,13,32.03
2008-07-18,13,34.76
2008-07-25,12,35.02
2008-08-01,11,33.71
2008-08-08,14,36.25
2008-08-15,21,37.33
2008-08-22,17,37.22
2008-08-29,12,36.75
2008-09-05,12,35.15
2008-09-12,13,36.75
2008-09-19,12,39.47
2008-09-26,16,38.52
2008-10-03,19,32.17
2008-10-10,18,28.68
2008-10-17,18,27.49
2008-10-24,26,25.01
2008-10-31,16,27.64
2008-11-07,17,25.95
2008-11-14,16,23.28
2008-11-21,17,19.87
2008-11-28,16,24.86
2008-12-05,16,23.18
2008-12-12,18,23.74
2008-12-19,19,23.36
2008-12-26,25,23.52
2009-01-02,19,24.78
2009-01-09,16,25.15
2009-01-16,15,23.75
2009-01-23,15,23.04
2009-01-30,13,22.87
2009-02-06,13,25.78
2009-02-13,17,25.06
2009-02-20,17,22.22
2009-02-27,16,20.87
2009-03-06,17,17.95
2009-03-13,16,19.15
2009-03-20,16,20.33
2009-03-27,16,22.05
2009-04-03,19,24.69
2009-04-17,32,25.07
2009-04-24,32,26.82
2009-05-01,33,26.67
2009-05-08,32,27.9
2009-05-15,35,25.26
2009-05-22,35,24.02
2009-05-29,34,25.03
2009-06-05,32,27.94
2009-06-12,30,27.97
2009-06-19,27,25.58
2009-06-26,24,25.54
2009-07-10,21,24.01
2009-07-17,20,26.96
2009-07-24,20,28.28
2009-07-31,22,27.32
2009-08-07,26,27.61
2009-08-14,26,27.17
2009-08-21,21,28.04
2009-08-28,21,28.66
2009-09-04,20,29.27
2009-09-11,20,30.39
2009-09-18,30,30.69
2009-09-25,33,29.26
2009-10-02,30,28.53
2009-10-09,31,30.95
2009-10-16,36,32.73
2009-10-23,32,32.05
2009-10-30,27,29.1
2009-11-06,25,30.7
2009-11-13,25,31.22
2009-11-20,31,30.5
2009-11-27,36,30.34
2009-12-04,32,31.14
2009-12-11,33,31.48
2009-12-18,35,31.87
2010-01-08,32,33.99
2010-01-15,32,32.73
2010-01-22,31,31.69
2010-01-29,26,30.54
2010-02-05,29,30.32
2010-02-12,33,31.13
2010-02-19,37,32.39
2010-02-26,38,32.56
2010-03-05,29,34.34
2010-03-12,31,34.16
2010-03-19,33,34.13
2010-03-26,35,34.64
2010-04-09,44,36.6
2010-04-16,45,36.46
2010-04-23,45,38.69
2010-04-30,48,36.16
2010-05-07,51,32.04
2010-05-14,59,34.58
2010-05-21,65,32.49
2010-05-28,64,34.36
2010-06-04,63,32.87
2010-06-11,57,33.48
2010-06-18,58,34.31
2010-06-25,51,33.38
2010-07-02,49,31.57
2010-07-09,44,33.05
2010-07-16,40,31.92
2010-07-23,34,34.36
2010-07-30,32,34.2
2010-08-06,33,33.98
2010-08-13,36,31.62
2010-08-20,44,31.11
2010-08-27,39,31.02
2010-09-03,33,31.82
2010-09-10,40,32.29
2010-09-17,34,32.83
2010-09-24,33,33.2
2010-10-01,36,33.57
2010-10-08,46,34.67
2010-10-15,51,34.7
2010-10-22,52,34.39
2010-10-29,54,32.73
2010-11-05,59,33.87
2010-11-12,61,32.82
2010-11-19,56,32.53
2010-11-26,54,33.11
2010-12-03,48,34.04
2010-12-10,54,35.5
2010-12-17,57,36.39
2010-12-31,61,36.51
2011-01-07,49,36.52
2011-01-14,50,36.98
2011-01-21,49,35.57
2011-01-28,42,35.77
2011-02-04,49,38.18
2011-02-11,59,38.14
2011-02-18,57,38.58
2011-02-25,50,37.21
2011-03-04,49,36.7
2011-03-11,59,36.16
2011-03-18,59,36.12
2011-03-25,48,37.29
2011-04-01,46,38
2011-04-08,54,38.89
2011-04-15,60,37.84
2011-04-29,72,40.16
2011-05-06,83,39.07
2011-05-13,86,39.41
2011-05-20,80,39.01
2011-05-27,80,39.85
2011-06-03,81,38.26
2011-06-10,75,37
2011-06-17,68,37.79
2011-06-24,66,38.74
2011-07-01,61,41.27
2011-07-08,60,42.06
2011-07-15,60,40.53
2011-07-22,50,40.48
2011-07-29,51,36.81
2011-08-05,52,33.53
2011-08-12,72,32.84
2011-08-19,59,30.26
2011-08-26,58,33.01
2011-09-02,66,32.15
2011-09-09,66,31.31
2011-09-16,62,33.97
2011-09-23,65,31.66
2011-09-30,83,32.01
2011-10-07,78,34.15
2011-10-14,73,36.34
2011-10-21,89,36.31
2011-10-28,84,36.83
2011-11-04,85,36.96
2011-11-11,78,37.76
2011-11-18,78,36.83
2011-11-25,79,34.57
2011-12-02,76,37.11
2011-12-09,76,36.74
2011-12-16,77,33.19
2011-12-23,95,33.51
2011-12-30,89,33.29
2012-01-06,77,35.25
2012-01-13,74,36.48
2012-01-20,75,37.22
2012-01-27,75,36.69
2012-02-03,71,38.26
2012-02-10,72,38.07
2012-02-17,74,39.13
2012-02-24,76,38.83
2012-03-02,81,38.36
2012-03-09,92,38.69
2012-03-16,79,39.83
2012-03-23,72,38.87
2012-03-30,66,47.61
2012-04-13,78,44.05
2012-04-20,76,44.8
2012-04-27,83,43.64
2012-05-04,83,42.67
2012-05-11,79,43.47
2012-05-18,85,40.53
2012-05-25,90,41.6
2012-06-01,87,39.85
2012-06-08,88,39.81
2012-06-15,81,38.98
2012-06-22,81,38.59
2012-06-29,78,38.28
2012-07-06,73,39.29
2012-07-13,67,38.85
2012-07-20,65,39.75
2012-07-27,61,44.75
2012-08-03,65,43.69
2012-08-10,63,42.87
2012-08-17,65,43.8
2012-08-24,59,43.17
2012-08-31,52,42.5
2012-09-07,53,43.3
2012-09-14,54,42.99
2012-09-21,54,44.04
2012-09-28,60,44.51
2012-10-05,61,45.46
2012-10-12,68,43.63
2012-10-19,88,42.58
2012-10-26,82,41.09
2012-11-02,84,45.75
2012-11-09,98,44.41
2012-11-16,86,44.84
2012-11-23,91,47.66
2012-11-30,84,48.49
2012-12-07,80,48.04
2012-12-14,78,47.96
2012-12-21,87,48.23
2012-12-28,90,47.51
2013-01-04,76,49.94
2013-01-11,76,50.39
2013-01-18,71,52.58
2013-01-25,73,53.25
2013-02-01,64,51.01
2013-02-08,69,51.05
2013-02-15,72,52.91
2013-02-22,60,51.56
2013-03-01,55,52.23
2013-03-08,60,51.69
2013-03-15,63,52.69
2013-03-22,72,53.39
2013-04-05,70,51.99
2013-04-12,74,53.35
2013-04-19,77,50.24
2013-04-26,85,53.8
2013-05-03,88,54.22
2013-05-10,98,55.75
2013-05-17,100,57.82
2013-05-24,96,57.47
2013-05-31,95,58.24
2013-06-07,86,59.05
2013-06-14,82,59.72
2013-06-21,74,56.87
2013-06-28,70,57.69
2013-07-05,72,58.78
2013-07-12,70,60.97
2013-07-19,62,60.74
2013-07-26,52,60.63
2013-08-02,51,62.53
2013-08-09,66,63.43
2013-08-16,73,62.11
2013-08-23,66,61.77
2013-08-30,57,60.11
2013-09-06,66,61.64
2013-09-13,62,64.09
2013-09-20,60,65.82
2013-09-27,64,65.52
2013-10-04,71,66.31
2013-10-11,88,66.39
2013-10-18,83,65.24
2013-10-25,78,66.67
2013-11-01,94,67.48
2013-11-08,87,67.36
2013-11-15,87,70.48
2013-11-22,80,70.37
2013-11-29,76,70.72
2013-12-06,78,70.95
2013-12-13,80,70.01
2013-12-20,91,75.4
2013-12-27,93,77.57
2014-01-03,87,76.63
2014-01-10,83,77.02
2014-01-17,77,77.6
2014-01-24,71,72.22
2014-01-31,67,74.33
2014-02-07,74,76.37
2014-02-14,79,78.38
2014-02-21,73,79.17
2014-02-28,68,80.81
2014-03-07,73,82.81
2014-03-14,87,77.43
2014-03-21,73,78.25
2014-03-28,74,77.66
2014-04-04,75,78.23
2014-04-11,82,77.05
2014-04-25,93,73.83
