"Date","ETN","Price"
2006-09-15,48,69.05
2006-09-22,44,67.41
2006-09-29,39,68.85
2006-10-06,49,70.47
2006-10-13,45,70.3
2006-10-20,53,72.41
2006-10-27,41,72.99
2006-11-03,47,71.44
2006-11-10,45,74.8
2006-11-17,51,75.6
2006-11-24,39,76.52
2006-12-01,48,76.84
2006-12-08,48,78.38
2006-12-15,48,74.8
2006-12-22,59,74.46
2006-12-29,60,75.14
2007-01-05,44,74.62
2007-01-12,35,74.52
2007-01-19,50,77.65
2007-01-26,47,75.65
2007-02-02,45,78.62
2007-02-09,41,77.43
2007-02-16,42,79.48
2007-02-23,48,84.04
2007-03-02,44,79.73
2007-03-09,57,83.03
2007-03-16,69,82.52
2007-03-23,54,85.53
2007-03-30,71,83.56
2007-04-13,60,85.16
2007-04-20,44,87.07
2007-04-27,53,90.6
2007-05-04,43,90.6
2007-05-11,58,90.99
2007-05-18,53,92.4
2007-05-25,53,92.49
2007-06-01,57,93.51
2007-06-08,62,89.13
2007-06-15,59,94.12
2007-06-22,55,92.95
2007-06-29,67,93
2007-07-06,67,94.46
2007-07-13,77,98.1
2007-07-20,81,100.56
2007-07-27,66,94.67
2007-08-03,69,96.74
2007-08-10,65,93.45
2007-08-17,66,90.14
2007-08-24,56,94.6
2007-08-31,53,94.22
2007-09-07,51,91.38
2007-09-14,63,92.53
2007-09-21,53,98.82
2007-09-28,54,99.04
2007-10-05,63,100.86
2007-10-12,60,96.4
2007-10-19,63,92.42
2007-10-26,57,92.49
2007-11-02,63,90.83
2007-11-09,56,88.5
2007-11-16,68,87.38
2007-11-23,68,87.96
2007-11-30,67,89.31
2007-12-07,77,94.64
2007-12-14,59,89.62
2007-12-21,68,99.41
2007-12-28,66,97.72
2008-01-04,58,92.12
2008-01-11,59,86.04
2008-01-18,57,81.08
2008-01-25,55,82.72
2008-02-01,53,86.02
2008-02-08,50,80.48
2008-02-15,65,79.22
2008-02-22,63,80.55
2008-02-29,65,80.63
2008-03-07,69,78.71
2008-03-14,83,81.85
2008-03-28,65,79.35
2008-04-04,61,82.33
2008-04-11,58,78.94
2008-04-18,63,90.63
2008-04-25,70,86.49
2008-05-02,78,88.69
2008-05-09,63,85.66
2008-05-16,63,88.43
2008-05-23,64,88.45
2008-05-30,70,96.68
2008-06-06,62,93.37
2008-06-13,64,96.04
2008-06-20,70,93.44
2008-06-27,74,84.2
2008-07-11,89,80.93
2008-07-18,85,72.92
2008-07-25,87,71
2008-08-01,90,69.44
2008-08-08,77,72.65
2008-08-15,69,73.52
2008-08-22,67,71.94
2008-08-29,56,73.18
2008-09-05,66,69.67
2008-09-12,73,71.45
2008-09-19,60,69.33
2008-09-26,66,58.06
2008-10-03,67,49.2
2008-10-10,67,48
2008-10-17,64,44.42
2008-10-24,68,41.75
2008-10-31,65,44.96
2008-11-07,65,44.25
2008-11-14,74,41.15
2008-11-21,68,41.76
2008-11-28,68,46.34
2008-12-05,68,42.69
2008-12-12,63,44.5
2008-12-19,76,45.57
2008-12-26,82,47.02
2009-01-02,76,51.82
2009-01-09,70,50.17
2009-01-16,61,48.56
2009-01-23,60,45.33
2009-01-30,73,44.02
2009-02-06,51,44.87
2009-02-13,56,43.8
2009-02-20,64,40.28
2009-02-27,71,36.15
2009-03-06,60,31.11
2009-03-13,76,33.61
2009-03-20,68,34.12
2009-03-27,70,38.9
2009-04-03,93,42.01
2009-04-17,81,44.75
2009-04-24,75,44
2009-05-01,53,43.62
2009-05-08,48,47.69
2009-05-15,68,45.31
2009-05-22,68,44.15
2009-05-29,67,43.5
2009-06-05,72,48.07
2009-06-12,75,49.18
2009-06-19,71,45.57
2009-06-26,74,45.18
2009-07-10,90,40.94
2009-07-17,92,44.95
2009-07-24,99,51.2
2009-07-31,100,51.92
2009-08-07,95,54.76
2009-08-14,90,54.11
2009-08-21,85,55.37
2009-08-28,75,54.81
2009-09-04,76,54.44
2009-09-11,77,58.06
2009-09-18,70,59.76
2009-09-25,71,56.4
2009-10-02,68,54.06
2009-10-09,71,57.36
2009-10-16,74,60.42
2009-10-23,72,63.1
2009-10-30,71,60.45
2009-11-06,66,64.31
2009-11-13,79,64.53
2009-11-20,59,63.19
2009-11-27,71,64.27
2009-12-04,71,66.21
2009-12-11,75,64.47
2009-12-18,87,63.27
2010-01-08,69,66.05
2010-01-15,61,67.75
2010-01-22,68,65.88
2010-01-29,72,61.24
2010-02-05,57,62
2010-02-12,65,65.02
2010-02-19,67,67.72
2010-02-26,67,68.12
2010-03-05,65,73.14
2010-03-12,77,74.42
2010-03-19,72,74.15
2010-03-26,88,74.57
2010-04-09,72,80.21
2010-04-16,67,79.39
2010-04-23,68,79.21
2010-04-30,75,77.16
2010-05-07,74,70.25
2010-05-14,69,73.92
2010-05-21,69,69.32
2010-05-28,70,69.95
2010-06-04,67,67.18
2010-06-11,71,70.53
2010-06-18,68,74.32
2010-06-25,78,70.2
2010-07-02,81,63.7
2010-07-09,79,67.5
2010-07-16,87,67.2
2010-07-23,93,77.23
2010-07-30,87,78.46
2010-08-06,94,79.15
2010-08-13,87,75.27
2010-08-20,77,73.04
2010-08-27,77,71.86
2010-09-03,78,76.5
2010-09-10,71,78.56
2010-09-17,79,79.85
2010-09-24,68,82.42
2010-10-01,72,82.53
2010-10-08,70,83.21
2010-10-15,76,83.88
2010-10-22,76,87.87
2010-10-29,78,88.83
2010-11-05,79,93.88
2010-11-12,77,94.26
2010-11-19,69,96.48
2010-11-26,70,97.99
2010-12-03,71,99.64
2010-12-10,80,98.91
2010-12-17,78,100.04
2010-12-31,90,101.51
2011-01-07,73,102.6
2011-01-14,68,104.15
2011-01-21,65,102.45
2011-01-28,67,104.26
2011-02-04,76,109.56
2011-02-11,66,112.44
2011-02-18,63,110.92
2011-02-25,72,106.93
2011-03-04,72,54.35
2011-03-11,71,51.62
2011-03-18,82,51.75
2011-03-25,67,54.01
2011-04-01,71,55.91
2011-04-08,79,54.26
2011-04-15,100,52.35
2011-04-29,79,53.56
2011-05-06,69,51.78
2011-05-13,75,51.92
2011-05-20,69,50.97
2011-05-27,71,51.38
2011-06-03,70,48.91
2011-06-10,68,45.81
2011-06-17,78,47
2011-06-24,73,48.19
2011-07-01,77,52.65
2011-07-08,78,52.53
2011-07-15,83,51.33
2011-07-22,93,51.16
2011-07-29,86,47.95
2011-08-05,87,42.35
2011-08-12,84,41.81
2011-08-19,81,37.9
2011-08-26,80,40.23
2011-09-02,79,40.32
2011-09-09,81,38.66
2011-09-16,78,39.74
2011-09-23,82,34.73
2011-09-30,82,35.5
2011-10-07,77,38.63
2011-10-14,82,42.17
2011-10-21,75,42.25
2011-10-28,79,46.97
2011-11-04,74,45.94
2011-11-11,72,45.64
2011-11-18,83,43.92
2011-11-25,75,40.55
2011-12-02,72,44.83
2011-12-09,79,44.35
2011-12-16,83,42.19
2011-12-23,90,44.36
2011-12-30,89,43.53
2012-01-06,77,45.29
2012-01-13,69,48.71
2012-01-20,74,48.38
2012-01-27,74,49.57
2012-02-03,76,50.93
2012-02-10,64,51.44
2012-02-17,69,50.82
2012-02-24,73,51.75
2012-03-02,74,51.27
2012-03-09,82,49.01
2012-03-16,90,51.02
2012-03-23,82,49.3
2012-03-30,96,49.83
2012-04-13,79,46.87
2012-04-20,70,47.44
2012-04-27,70,49.07
2012-05-04,65,45.37
2012-05-11,66,44.71
2012-05-18,69,42.4
2012-05-25,70,43.3
2012-06-01,66,40.24
2012-06-08,68,41.24
2012-06-15,72,39.84
2012-06-22,73,38.26
2012-06-29,73,39.63
2012-07-06,80,39.5
2012-07-13,89,38.09
2012-07-20,89,39.06
2012-07-27,93,44.05
2012-08-03,84,44.23
2012-08-10,77,46.15
2012-08-17,75,46.36
2012-08-24,72,46.44
2012-08-31,68,44.72
2012-09-07,69,47.43
2012-09-14,73,47.23
2012-09-21,66,48.13
2012-09-28,66,47.27
2012-10-05,68,47.28
2012-10-12,69,44.97
2012-10-19,67,45.81
2012-10-26,66,45.12
2012-11-02,65,49.2
2012-11-09,67,49.05
2012-11-16,77,48.94
2012-11-23,65,51.58
2012-11-30,61,52.16
2012-12-07,68,52.47
2012-12-14,69,52.57
2012-12-21,84,53.84
2012-12-28,70,53.09
2013-01-04,64,56.75
2013-01-11,55,55.75
2013-01-18,60,56.67
2013-01-25,61,57.52
2013-02-01,63,57.52
2013-02-08,59,58.92
2013-02-15,60,60.87
2013-02-22,58,59.75
2013-03-01,60,62.66
2013-03-08,63,63.35
2013-03-15,67,62.57
2013-03-22,79,63.27
2013-04-05,65,59.32
2013-04-12,60,60.3
2013-04-19,65,56.96
2013-04-26,64,58.65
2013-05-03,61,61.65
2013-05-10,63,64.93
2013-05-17,62,66.86
2013-05-24,66,68.23
2013-05-31,63,66.06
2013-06-07,64,65.62
2013-06-14,67,64.58
2013-06-21,62,63.96
2013-06-28,70,65.81
2013-07-05,73,67.72
2013-07-12,81,68.34
2013-07-19,81,68.28
2013-07-26,76,68.03
2013-08-02,75,66.06
2013-08-09,73,65.62
2013-08-16,66,65.44
2013-08-23,64,66.89
2013-08-30,59,63.32
2013-09-06,59,65.63
2013-09-13,64,67.33
2013-09-20,51,70.57
2013-09-27,54,69.69
2013-10-04,57,69.05
2013-10-11,62,69.3
2013-10-18,65,68.73
2013-10-25,60,71.64
2013-11-01,58,70.67
2013-11-08,62,70.6
2013-11-15,66,72.3
2013-11-22,60,73
2013-11-29,55,72.66
2013-12-06,63,72.42
2013-12-13,68,70.97
2013-12-20,77,75.72
2013-12-27,69,76.75
2014-01-03,57,75.71
2014-01-10,51,76.32
2014-01-17,51,76.85
2014-01-24,55,73.13
2014-01-31,61,73.09
2014-02-07,50,70.62
2014-02-14,51,72.72
2014-02-21,54,73.5
2014-02-28,55,74.71
2014-03-07,59,76.15
2014-03-14,69,71.27
2014-03-21,59,72.65
2014-03-28,62,74.23
2014-04-04,61,75.57
2014-04-11,70,70.92
2014-04-25,70,73.95
