"Date","BTU","Price"
2006-11-10,32,41.47
2006-11-17,36,42
2006-11-24,32,42.65
2006-12-01,38,46.99
2006-12-08,37,47.66
2006-12-15,34,43.84
2006-12-22,30,40.7
2006-12-29,29,40.41
2007-01-05,33,37.22
2007-01-12,33,40
2007-01-19,36,40.83
2007-01-26,35,40.35
2007-02-02,43,42.02
2007-02-09,37,40.87
2007-02-16,39,41.03
2007-02-23,36,44.44
2007-03-02,36,38.94
2007-03-09,34,38.85
2007-03-16,37,37.95
2007-03-23,35,40.84
2007-03-30,39,40.24
2007-04-13,41,46.18
2007-04-20,41,46.55
2007-04-27,51,48.92
2007-05-04,44,48.91
2007-05-11,55,50.53
2007-05-18,52,53.51
2007-05-25,61,53.96
2007-06-01,69,54.7
2007-06-08,60,51.48
2007-06-15,65,52.29
2007-06-22,64,49.18
2007-06-29,74,48.38
2007-07-06,51,50.26
2007-07-13,64,49.56
2007-07-20,47,46.21
2007-07-27,53,41.08
2007-08-03,48,39.43
2007-08-10,45,45.34
2007-08-17,44,41.48
2007-08-24,39,42.6
2007-08-31,39,42.51
2007-09-07,45,45.11
2007-09-14,36,47.42
2007-09-21,36,48.1
2007-09-28,36,47.87
2007-10-05,37,48.79
2007-10-12,36,51.22
2007-10-19,37,50.58
2007-10-26,37,57.93
2007-11-02,40,51.36
2007-11-09,39,55.87
2007-11-16,35,52.41
2007-11-23,38,52.61
2007-11-30,41,55.64
2007-12-07,41,58.89
2007-12-14,37,60
2007-12-21,34,60.39
2007-12-28,27,61.37
2008-01-04,35,57.78
2008-01-11,34,55.44
2008-01-18,36,49.35
2008-01-25,40,56.07
2008-02-01,38,55.63
2008-02-08,36,53.88
2008-02-15,38,55.63
2008-02-22,37,58.24
2008-02-29,37,56.62
2008-03-07,36,52.98
2008-03-14,38,52.36
2008-03-28,35,51.15
2008-04-04,39,57.07
2008-04-11,44,61.07
2008-04-18,43,66.67
2008-04-25,47,64.01
2008-05-02,44,62.4
2008-05-09,47,68.6
2008-05-16,48,78.83
2008-05-23,49,73.2
2008-05-30,52,73.92
2008-06-06,68,77.74
2008-06-13,92,77.59
2008-06-20,56,80.31
2008-06-27,71,84.05
2008-07-11,61,76.85
2008-07-18,50,64.1
2008-07-25,53,66.44
2008-08-01,47,64.77
2008-08-08,46,58.58
2008-08-15,42,57.08
2008-08-22,41,64.51
2008-08-29,42,62.95
2008-09-05,39,53.3
2008-09-12,42,53.99
2008-09-19,38,57.29
2008-09-26,38,48.63
2008-10-03,38,36.12
2008-10-10,39,28.65
2008-10-17,40,32.03
2008-10-24,37,29.68
2008-10-31,42,34.51
2008-11-07,38,29.28
2008-11-14,38,27.07
2008-11-21,42,18.75
2008-11-28,33,23.43
2008-12-05,39,18.44
2008-12-12,36,23.92
2008-12-19,33,23.13
2008-12-26,26,22.07
2009-01-02,28,25.06
2009-01-09,37,27.09
2009-01-16,41,23.91
2009-01-23,36,23.67
2009-01-30,37,25
2009-02-06,35,28.9
2009-02-13,36,28.25
2009-02-20,35,23.98
2009-02-27,37,23.67
2009-03-06,38,21.84
2009-03-13,36,24.54
2009-03-20,34,26.81
2009-03-27,35,26.23
2009-04-03,36,28.88
2009-04-17,36,25.18
2009-04-24,43,27.16
2009-05-01,45,28.98
2009-05-08,44,32.93
2009-05-15,44,28.94
2009-05-22,50,30.69
2009-05-29,51,33.98
2009-06-05,48,35.36
2009-06-12,47,35.66
2009-06-19,50,31.39
2009-06-26,59,30.49
2009-07-10,49,28.92
2009-07-17,49,33.16
2009-07-24,50,34.19
2009-07-31,59,33.11
2009-08-07,45,35.65
2009-08-14,43,36.3
2009-08-21,50,35.84
2009-08-28,41,33.73
2009-09-04,40,33.43
2009-09-11,36,36.64
2009-09-18,36,38.74
2009-09-25,39,36.74
2009-10-02,37,35.2
2009-10-09,38,40.07
2009-10-16,42,41.9
2009-10-23,38,43.22
2009-10-30,34,39.59
2009-11-06,40,42.21
2009-11-13,40,43.55
2009-11-20,37,45.39
2009-11-27,37,44.56
2009-12-04,40,42.85
2009-12-11,38,42.47
2009-12-18,34,44.54
2010-01-08,41,50.86
2010-01-15,40,48.28
2010-01-22,35,45.1
2010-01-29,41,42.12
2010-02-05,40,41.91
2010-02-12,38,44.45
2010-02-19,37,47.04
2010-02-26,36,45.97
2010-03-05,35,49.23
2010-03-12,36,48.69
2010-03-19,38,47
2010-03-26,38,44.59
2010-04-09,44,46.35
2010-04-16,39,46.02
2010-04-23,41,49.21
2010-04-30,44,46.72
2010-05-07,51,40.93
2010-05-14,46,41.81
2010-05-21,46,37.4
2010-05-28,66,38.96
2010-06-04,59,36.68
2010-06-11,58,39.78
2010-06-18,60,41.26
2010-06-25,60,43.55
2010-07-02,60,38.99
2010-07-09,94,43.29
2010-07-16,74,41.81
2010-07-23,65,45.43
2010-07-30,49,45.15
2010-08-06,51,48.64
2010-08-13,51,45.63
2010-08-20,46,44.92
2010-08-27,41,43.18
2010-09-03,41,46.09
2010-09-10,36,45.99
2010-09-17,33,47
2010-09-24,37,49.19
2010-10-01,34,50.89
2010-10-08,37,51.76
2010-10-15,39,51.78
2010-10-22,38,51.04
2010-10-29,38,52.9
2010-11-05,37,57.75
2010-11-12,36,57.65
2010-11-19,36,59.24
2010-11-26,35,58.34
2010-12-03,40,63.28
2010-12-10,41,61.98
2010-12-17,38,60.53
2010-12-31,30,63.98
2011-01-07,34,62.07
2011-01-14,39,62.01
2011-01-21,39,58.17
2011-01-28,38,61.09
2011-02-04,41,63.48
2011-02-11,39,62.84
2011-02-18,37,65.02
2011-02-25,35,65.3
2011-03-04,34,69.35
2011-03-11,33,63.14
2011-03-18,35,70.21
2011-03-25,36,72.63
2011-04-01,37,72.71
2011-04-08,40,68.11
2011-04-15,40,65.57
2011-04-29,42,66.82
2011-05-06,42,62.22
2011-05-13,49,58.45
2011-05-20,44,58.8
2011-05-27,57,61.62
2011-06-03,74,58.76
2011-06-10,73,55.33
2011-06-17,51,53.87
2011-06-24,51,57.04
2011-07-01,50,59.39
2011-07-08,56,59.95
2011-07-15,61,59.61
2011-07-22,77,61.37
2011-07-29,57,57.47
2011-08-05,53,46.87
2011-08-12,38,48.23
2011-08-19,38,42.91
2011-08-26,39,47.1
2011-09-02,38,45.79
2011-09-09,37,46.81
2011-09-16,37,46.09
2011-09-23,37,36.77
2011-09-30,38,33.88
2011-10-07,35,34.65
2011-10-14,36,39.46
2011-10-21,39,38.89
2011-10-28,39,46.84
2011-11-04,37,43.57
2011-11-11,36,40.43
2011-11-18,35,36.06
2011-11-25,33,32.78
2011-12-02,38,38.22
2011-12-09,36,36.72
2011-12-16,33,32.98
2011-12-23,29,34.23
2011-12-30,27,33.11
2012-01-06,32,35.99
2012-01-13,35,35.68
2012-01-20,37,37.85
2012-01-27,34,36.14
2012-02-03,34,37.99
2012-02-10,36,35.77
2012-02-17,34,36.14
2012-02-24,33,36.33
2012-03-02,37,32.89
2012-03-09,35,31.2
2012-03-16,37,33.25
2012-03-23,40,30.19
2012-03-30,38,28.96
2012-04-13,36,28.38
2012-04-20,44,29.8
2012-04-27,42,30.2
2012-05-04,47,29.14
2012-05-11,42,28.48
2012-05-18,46,23.77
2012-05-25,56,23.88
2012-06-01,65,22.94
2012-06-08,45,24.27
2012-06-15,55,23.83
2012-06-22,77,22.58
2012-06-29,68,24.52
2012-07-06,81,24.86
2012-07-13,68,22.51
2012-07-20,63,22.66
2012-07-27,60,20.8
2012-08-03,52,21.29
2012-08-10,50,23.23
2012-08-17,45,22.3
2012-08-24,43,23.37
2012-08-31,41,21.63
2012-09-07,40,23.71
2012-09-14,40,25.61
2012-09-21,41,24.03
2012-09-28,38,22.29
2012-10-05,38,22.38
2012-10-12,37,25.71
2012-10-19,38,25.89
2012-10-26,38,28.22
2012-11-02,41,28.15
2012-11-09,39,26.17
2012-11-16,38,25
2012-11-23,35,25.15
2012-11-30,36,25.11
2012-12-07,36,26.88
2012-12-14,39,27.68
2012-12-21,32,26.35
2012-12-28,30,25.36
2013-01-04,30,27.24
2013-01-11,35,25.17
2013-01-18,35,25.97
2013-01-25,36,25.82
2013-02-01,36,25.07
2013-02-08,34,23.73
2013-02-15,35,24.4
2013-02-22,35,22.68
2013-03-01,36,20.56
2013-03-08,35,22
2013-03-15,35,21.84
2013-03-22,36,20.97
2013-04-05,41,20.17
2013-04-12,42,20.77
2013-04-19,40,19.19
2013-04-26,41,19.17
2013-05-03,48,20.67
2013-05-10,45,21.01
2013-05-17,50,20.21
2013-05-24,57,20.44
2013-05-31,64,19.67
2013-06-07,53,18.74
2013-06-14,48,16.78
2013-06-21,61,16
2013-06-28,72,14.64
2013-07-05,67,14.65
2013-07-12,64,15.99
2013-07-19,74,16.48
2013-07-26,53,16.83
2013-08-02,45,16.12
2013-08-09,43,17.9
2013-08-16,39,17.44
2013-08-23,38,17.85
2013-08-30,40,17.2
2013-09-06,40,18.22
2013-09-13,39,17.98
2013-09-20,39,18.16
2013-09-27,38,17.49
2013-10-04,36,17.37
2013-10-11,38,17.4
2013-10-18,38,18.5
2013-10-25,40,19.16
2013-11-01,36,20.05
2013-11-08,36,20.87
2013-11-15,42,20.1
2013-11-22,40,18.45
2013-11-29,40,18.2
2013-12-06,40,18.64
2013-12-13,41,18.41
2013-12-20,36,18.23
2013-12-27,28,19.25
2014-01-03,36,18.78
2014-01-10,43,17.55
2014-01-17,38,17.97
2014-01-24,42,16.87
2014-01-31,45,17.05
2014-02-07,45,16.47
2014-02-14,42,16.65
2014-02-21,37,16.98
2014-02-28,38,17.56
2014-03-07,36,16.69
2014-03-14,35,15.48
2014-03-21,37,15.74
2014-03-28,38,16.12
2014-04-04,41,17.22
2014-04-11,42,16.97
2014-04-25,44,18
