"Date","MRO","Price"
2013-03-01,31,32.89
2013-03-08,30,33.51
2013-03-15,31,35.07
2013-03-22,30,34.16
2013-04-05,30,32.48
2013-04-12,33,32.54
2013-04-19,33,29.85
2013-04-26,29,31.72
2013-05-03,28,33.53
2013-05-10,30,34.35
2013-05-17,28,36.15
2013-05-24,29,35.15
2013-05-31,23,34.39
2013-06-07,27,34.73
2013-06-14,25,34.38
2013-06-21,26,34.27
2013-06-28,28,34.58
2013-07-05,24,35.62
2013-07-12,28,36.84
2013-07-19,31,37.48
2013-07-26,30,36.41
2013-08-02,28,37.56
2013-08-09,25,34.55
2013-08-16,28,34.26
2013-08-23,27,33.38
2013-08-30,28,34.43
2013-09-06,28,35.69
2013-09-13,27,35.57
2013-09-20,29,35.9
2013-09-27,34,34.9
2013-10-04,31,34.79
2013-10-11,29,34.86
2013-10-18,26,35.28
2013-10-25,28,35.59
2013-11-01,27,35.27
2013-11-08,27,36.39
2013-11-15,29,36.73
2013-11-22,27,37.61
2013-11-29,25,36.04
2013-12-06,26,36.56
2013-12-13,28,35.8
2013-12-20,28,35.16
2013-12-27,20,35.63
2014-01-03,21,34.52
2014-01-10,31,34.64
2014-01-17,28,33.96
2014-01-24,29,33
2014-01-31,30,32.79
2014-02-07,29,32.6
2014-02-14,28,33.22
2014-02-21,31,33.26
2014-02-28,32,33.5
2014-03-07,31,34.24
2014-03-14,37,33.08
2014-03-21,32,34.39
2014-03-28,33,35.22
2014-04-04,31,35.59
2014-04-11,35,35.07
2014-04-25,29,36.08
