"Date","APC","Price"
2006-06-30,64,47.69
2006-07-07,66,45.79
2006-07-14,68,45.05
2006-07-21,69,41.66
2006-07-28,72,44.45
2006-08-04,71,46.68
2006-08-11,70,46.41
2006-08-18,65,45.34
2006-08-25,64,46.91
2006-09-01,62,47.52
2006-09-08,66,46.4
2006-09-15,65,43.71
2006-09-22,64,41.78
2006-09-29,66,43.83
2006-10-06,59,42.1
2006-10-13,57,43.82
2006-10-20,61,45.65
2006-10-27,59,46.52
2006-11-03,65,47.43
2006-11-10,60,47.25
2006-11-17,60,46.83
2006-11-24,57,47.41
2006-12-01,60,48.9
2006-12-08,59,48.97
2006-12-15,58,45.5
2006-12-22,60,42.14
2006-12-29,52,43.52
2007-01-05,52,41.31
2007-01-12,57,41.83
2007-01-19,57,42.95
2007-01-26,57,41.92
2007-02-02,57,43.83
2007-02-09,57,41.55
2007-02-16,58,41.33
2007-02-23,56,40.84
2007-03-02,57,39.42
2007-03-09,54,40.75
2007-03-16,56,39.45
2007-03-23,57,41.73
2007-03-30,60,42.98
2007-04-13,53,46.11
2007-04-20,60,46.22
2007-04-27,58,47.33
2007-05-04,49,45.97
2007-05-11,56,45.57
2007-05-18,57,48.94
2007-05-25,61,48.38
2007-06-01,55,49.65
2007-06-08,55,50.18
2007-06-15,58,53.85
2007-06-22,58,54.03
2007-06-29,63,51.99
2007-07-06,56,52.23
2007-07-13,62,52.42
2007-07-20,63,53.95
2007-07-27,59,49.59
2007-08-03,61,49.89
2007-08-10,58,48.57
2007-08-17,59,48.55
2007-08-24,58,49.39
2007-08-31,61,48.98
2007-09-07,54,49.77
2007-09-14,54,50.58
2007-09-21,60,53.55
2007-09-28,52,53.75
2007-10-05,55,54.72
2007-10-12,55,56.43
2007-10-19,53,56.94
2007-10-26,57,59.23
2007-11-02,55,57.61
2007-11-09,53,57.61
2007-11-16,54,57.03
2007-11-23,51,57.42
2007-11-30,55,56.6
2007-12-07,54,61.44
2007-12-14,53,62.29
2007-12-21,53,66.2
2007-12-28,42,66.97
2008-01-04,44,63.96
2008-01-11,58,62.2
2008-01-18,58,55.73
2008-01-25,55,55.35
2008-02-01,57,60.04
2008-02-08,55,56.46
2008-02-15,51,58.94
2008-02-22,54,62.22
2008-02-29,54,63.74
2008-03-07,57,63.81
2008-03-14,54,64.5
2008-03-28,51,62.9
2008-04-04,54,63.78
2008-04-11,54,63.8
2008-04-18,54,68.9
2008-04-25,58,68.38
2008-05-02,53,67.1
2008-05-09,52,76.33
2008-05-16,56,78.15
2008-05-23,52,76.02
2008-05-30,54,74.97
2008-06-06,55,76.72
2008-06-13,57,77.33
2008-06-20,56,76.15
2008-06-27,57,74.36
2008-07-11,56,69.12
2008-07-18,55,63.24
2008-07-25,60,58.98
2008-08-01,55,58.71
2008-08-08,56,53.78
2008-08-15,54,57.61
2008-08-22,55,58.65
2008-08-29,56,61.73
2008-09-05,53,58.28
2008-09-12,52,56.89
2008-09-19,54,57.78
2008-09-26,57,52.73
2008-10-03,53,41.54
2008-10-10,54,27.5
2008-10-17,51,33.5
2008-10-24,50,29.35
2008-10-31,53,35.3
2008-11-07,49,36.33
2008-11-14,50,37.82
2008-11-21,50,33.07
2008-11-28,49,41.05
2008-12-05,51,33.95
2008-12-12,53,37.03
2008-12-19,54,37.16
2008-12-26,38,36.31
2009-01-02,39,40.62
2009-01-09,52,40.54
2009-01-16,51,37.48
2009-01-23,54,37.88
2009-01-30,50,36.74
2009-02-06,49,41.78
2009-02-13,50,39.91
2009-02-20,49,35.57
2009-02-27,50,34.95
2009-03-06,51,33.07
2009-03-13,50,36.38
2009-03-20,48,40.69
2009-03-27,50,41.01
2009-04-03,49,43.47
2009-04-17,51,43.59
2009-04-24,46,44.06
2009-05-01,45,45.63
2009-05-08,49,51.96
2009-05-15,50,42.67
2009-05-22,50,43.15
2009-05-29,47,47.78
2009-06-05,49,48.46
2009-06-12,49,50.57
2009-06-19,51,45.54
2009-06-26,54,46.07
2009-07-10,51,42.49
2009-07-17,49,46.05
2009-07-24,50,49.19
2009-07-31,54,48.2
2009-08-07,49,49.39
2009-08-14,51,51.5
2009-08-21,51,53.89
2009-08-28,52,54.66
2009-09-04,49,54.78
2009-09-11,47,58.58
2009-09-18,49,63.14
2009-09-25,51,61.95
2009-10-02,48,59.73
2009-10-09,51,67.39
2009-10-16,49,67.11
2009-10-23,50,65.34
2009-10-30,49,60.93
2009-11-06,47,64.83
2009-11-13,47,62.57
2009-11-20,47,61.29
2009-11-27,46,60.67
2009-12-04,47,60.25
2009-12-11,47,57.99
2009-12-18,47,61.15
2010-01-08,48,67.06
2010-01-15,49,65.89
2010-01-22,49,63.13
2010-01-29,50,63.78
2010-02-05,48,62.95
2010-02-12,47,65.32
2010-02-19,43,70.18
2010-02-26,46,70.13
2010-03-05,46,72.11
2010-03-12,46,72.05
2010-03-19,47,69.99
2010-03-26,45,69.4
2010-04-09,45,73.3
2010-04-16,46,73.5
2010-04-23,46,74.11
2010-04-30,45,62.16
2010-05-07,45,58.88
2010-05-14,47,57.32
2010-05-21,46,54.83
2010-05-28,47,52.33
2010-06-04,46,45.12
2010-06-11,48,41.79
2010-06-18,47,42.57
2010-06-25,47,37.68
2010-07-02,44,38.07
2010-07-09,43,45.41
2010-07-16,48,47.46
2010-07-23,45,48.77
2010-07-30,46,49.16
2010-08-06,46,55.68
2010-08-13,45,52.37
2010-08-20,45,48.7
2010-08-27,44,47.41
2010-09-03,43,52.06
2010-09-10,44,52.91
2010-09-17,46,54.14
2010-09-24,44,57.02
2010-10-01,43,57.06
2010-10-08,46,58.19
2010-10-15,42,57.64
2010-10-22,44,62.51
2010-10-29,44,61.57
2010-11-05,43,67.61
2010-11-12,44,63.98
2010-11-19,45,63.63
2010-11-26,42,63.56
2010-12-03,42,69.08
2010-12-10,44,69.02
2010-12-17,44,66
2010-12-31,37,76.16
2011-01-07,43,74.67
2011-01-14,45,79.48
2011-01-21,44,77.2
2011-01-28,43,74.18
2011-02-04,43,78.32
2011-02-11,43,78.49
2011-02-18,43,80.96
2011-02-25,40,81.22
2011-03-04,41,81.02
2011-03-11,41,77.25
2011-03-18,43,77.27
2011-03-25,45,82.88
2011-04-01,43,82.88
2011-04-08,45,84.71
2011-04-15,42,80.42
2011-04-29,40,78.94
2011-05-06,39,75.14
2011-05-13,42,74.06
2011-05-20,43,74.58
2011-05-27,43,78.66
2011-06-03,41,76.98
2011-06-10,42,72.79
2011-06-17,42,70.45
2011-06-24,46,72.46
2011-07-01,44,77.91
2011-07-08,42,79.34
2011-07-15,44,80.19
2011-07-22,43,83.3
2011-07-29,41,82.56
2011-08-05,44,71.51
2011-08-12,44,71.71
2011-08-19,40,66.09
2011-08-26,42,69.27
2011-09-02,42,69.71
2011-09-09,41,69.88
2011-09-16,40,74.77
2011-09-23,39,66.58
2011-09-30,43,63.05
2011-10-07,39,65.12
2011-10-14,40,70.57
2011-10-21,41,79.04
2011-10-28,40,83.74
2011-11-04,38,82.46
2011-11-11,39,80.72
2011-11-18,41,76.7
2011-11-25,38,71.84
2011-12-02,40,80.48
2011-12-09,38,80.25
2011-12-16,41,72.94
2011-12-23,36,76.67
2011-12-30,33,76.33
2012-01-06,37,80.27
2012-01-13,40,78.01
2012-01-20,38,79.02
2012-01-27,37,79.32
2012-02-03,38,84.34
2012-02-10,39,87.04
2012-02-17,41,88.05
2012-02-24,39,87.3
2012-03-02,40,82.55
2012-03-09,40,85.25
2012-03-16,38,84.68
2012-03-23,37,79.41
2012-03-30,38,78.34
2012-04-13,37,74.96
2012-04-20,37,71.73
2012-04-27,37,73.79
2012-05-04,35,69.01
2012-05-11,36,68.31
2012-05-18,37,62.88
2012-05-25,40,63.08
2012-06-01,37,58.13
2012-06-08,39,63.84
2012-06-15,38,65.37
2012-06-22,38,61.93
2012-06-29,40,66.2
2012-07-06,39,65.51
2012-07-13,40,68.81
2012-07-20,40,72.06
2012-07-27,39,71.41
2012-08-03,38,68.41
2012-08-10,38,69.68
2012-08-17,38,70.34
2012-08-24,38,69.57
2012-08-31,40,69.27
2012-09-07,39,72.29
2012-09-14,38,75.59
2012-09-21,38,71.93
2012-09-28,39,69.92
2012-10-05,39,69.05
2012-10-12,37,69.18
2012-10-19,38,70.34
2012-10-26,38,66.49
2012-11-02,37,70.26
2012-11-09,38,70.65
2012-11-16,37,70.09
2012-11-23,37,74.55
2012-11-30,38,73.19
2012-12-07,37,76.32
2012-12-14,38,74.59
2012-12-21,37,75.8
2012-12-28,29,72.31
2013-01-04,31,78.27
2013-01-11,37,77.84
2013-01-18,37,77.55
2013-01-25,36,81
2013-02-01,36,81.18
2013-02-08,36,84.45
2013-02-15,35,82.08
2013-02-22,35,81.75
2013-03-01,35,79.82
2013-03-08,37,83.09
2013-03-15,35,85.35
2013-03-22,37,86.58
2013-04-05,35,85.03
2013-04-12,36,85.29
2013-04-19,36,79.99
2013-04-26,36,83.84
2013-05-03,33,86.6
2013-05-10,35,86.45
2013-05-17,37,90.03
2013-05-24,37,89.34
2013-05-31,36,87.47
2013-06-07,36,87.98
2013-06-14,37,86.11
2013-06-21,36,83.44
2013-06-28,38,85.93
2013-07-05,37,88.38
2013-07-12,39,90.7
2013-07-19,47,92.85
2013-07-26,40,88.51
2013-08-02,37,90.46
2013-08-09,37,89.8
2013-08-16,38,91.52
2013-08-23,37,89.8
2013-08-30,36,91.42
2013-09-06,38,93.01
2013-09-13,39,94.7
2013-09-20,37,93.69
2013-09-27,38,94.53
2013-10-04,39,93.9
2013-10-11,40,95.46
2013-10-18,39,97.42
2013-10-25,37,96.15
2013-11-01,36,94.39
2013-11-08,37,90.97
2013-11-15,38,90.93
2013-11-22,39,92.04
2013-11-29,41,88.82
2013-12-06,38,86.65
2013-12-13,39,78.3
2013-12-20,39,78.77
2013-12-27,31,79.4
2014-01-03,31,78.31
2014-01-10,41,79.83
2014-01-17,39,80.06
2014-01-24,42,81.09
2014-01-31,41,80.69
2014-02-07,41,80.17
2014-02-14,40,81.54
2014-02-21,37,82.31
2014-02-28,36,84.16
2014-03-07,36,85.26
2014-03-14,36,82
2014-03-21,36,83.59
2014-03-28,36,84.94
2014-04-04,39,101.05
2014-04-11,38,96.48
2014-04-25,36,99.5
