"Date","ESV","Price"
2006-11-03,75,50.23
2006-11-10,64,51.14
2006-11-17,63,49.49
2006-11-24,70,50.78
2006-12-01,64,54.2
2006-12-08,62,53.18
2006-12-15,74,55.28
2006-12-22,60,51.47
2006-12-29,57,50.06
2007-01-05,54,48.36
2007-01-12,73,48.17
2007-01-19,72,49.3
2007-01-26,69,49.38
2007-02-02,69,51.45
2007-02-09,61,50.26
2007-02-16,66,49.54
2007-02-23,69,51.16
2007-03-02,65,49.24
2007-03-09,76,51.57
2007-03-16,75,51.22
2007-03-23,74,55.79
2007-03-30,72,54.4
2007-04-13,66,55.73
2007-04-20,65,53.67
2007-04-27,69,56.84
2007-05-04,78,58.35
2007-05-11,79,58.03
2007-05-18,62,59.99
2007-05-25,58,59.43
2007-06-01,68,60.74
2007-06-08,60,58.99
2007-06-15,73,62.75
2007-06-22,71,62.85
2007-06-29,67,61.01
2007-07-06,58,64.27
2007-07-13,78,61.53
2007-07-20,69,63.26
2007-07-27,62,61.67
2007-08-03,68,56.45
2007-08-10,65,57.4
2007-08-17,59,54.87
2007-08-24,77,57.3
2007-08-31,79,54.22
2007-09-07,78,55.19
2007-09-14,84,53.29
2007-09-21,76,56.79
2007-09-28,78,56.1
2007-10-05,71,54.76
2007-10-12,86,57.69
2007-10-19,75,53.53
2007-10-26,71,55.45
2007-11-02,82,55.1
2007-11-09,74,56.53
2007-11-16,70,53.14
2007-11-23,79,54.29
2007-11-30,83,53.85
2007-12-07,89,55.57
2007-12-14,59,55.72
2007-12-21,63,59.84
2007-12-28,63,60.02
2008-01-04,65,59.03
2008-01-11,85,54.61
2008-01-18,74,50.32
2008-01-25,77,50.63
2008-02-01,68,52.11
2008-02-08,72,52.47
2008-02-15,73,55.66
2008-02-22,75,56.41
2008-02-29,86,59.84
2008-03-07,67,60.99
2008-03-14,80,63.33
2008-03-28,70,59.9
2008-04-04,71,65.49
2008-04-11,65,64.62
2008-04-18,80,69.91
2008-04-25,74,66.32
2008-05-02,73,64.53
2008-05-09,71,68.09
2008-05-16,68,73.93
2008-05-23,69,72.26
2008-05-30,67,71.83
2008-06-06,70,74.4
2008-06-13,74,76
2008-06-20,66,79.15
2008-06-27,65,80.68
2008-07-11,69,74.7
2008-07-18,70,73.48
2008-07-25,71,69.6
2008-08-01,74,70.23
2008-08-08,73,64.01
2008-08-15,85,64.63
2008-08-22,69,68.59
2008-08-29,73,67.78
2008-09-05,80,61.91
2008-09-12,81,61.22
2008-09-19,79,60.89
2008-09-26,92,58.98
2008-10-03,74,50.68
2008-10-10,81,33.27
2008-10-17,100,37.23
2008-10-24,91,32.34
2008-10-31,89,38.01
2008-11-07,82,35.2
2008-11-14,92,32.37
2008-11-21,78,27.08
2008-11-28,79,32.41
2008-12-05,76,25.72
2008-12-12,91,31.85
2008-12-19,79,27.61
2008-12-26,76,27.47
2009-01-02,84,30.33
2009-01-09,83,28.63
2009-01-16,79,27.17
2009-01-23,79,28.06
2009-01-30,77,27.36
2009-02-06,77,28.6
2009-02-13,77,27.01
2009-02-20,84,25.13
2009-02-27,82,24.58
2009-03-06,80,23.64
2009-03-13,83,25.37
2009-03-20,79,28.12
2009-03-27,78,28.62
2009-04-03,84,30.08
2009-04-17,71,32.05
2009-04-24,81,32.58
2009-05-01,79,29.99
2009-05-08,77,34.33
2009-05-15,74,30.55
2009-05-22,78,34.86
2009-05-29,71,38.89
2009-06-05,64,38.65
2009-06-12,76,40.81
2009-06-19,76,36.63
2009-06-26,71,35.33
2009-07-10,76,34.86
2009-07-17,72,37.43
2009-07-24,73,40.05
2009-07-31,74,37.89
2009-08-07,68,38.41
2009-08-14,80,37.48
2009-08-21,85,38.85
2009-08-28,74,38.14
2009-09-04,88,37.29
2009-09-11,77,40.89
2009-09-18,85,41.25
2009-09-25,88,41.25
2009-10-02,82,40
2009-10-09,80,45.06
2009-10-16,83,47.29
2009-10-23,84,50.32
2009-10-30,76,45.79
2009-11-06,82,48.03
2009-11-13,79,45.94
2009-11-20,86,44.34
2009-11-27,80,44.5
2009-12-04,79,41.95
2009-12-11,77,41.67
2009-12-18,77,41.82
2010-01-08,76,44.92
2010-01-15,85,44.58
2010-01-22,76,40.98
2010-01-29,78,39.03
2010-02-05,75,38.94
2010-02-12,73,40.48
2010-02-19,67,43.04
2010-02-26,81,44.17
2010-03-05,79,45.92
2010-03-12,70,45.82
2010-03-19,74,43.29
2010-03-26,79,42.47
2010-04-09,67,46.98
2010-04-16,76,47.18
2010-04-23,77,51.95
2010-04-30,75,47.18
2010-05-07,78,41.44
2010-05-14,75,40.21
2010-05-21,75,38.76
2010-05-28,64,37.4
2010-06-04,68,35.1
2010-06-11,67,38.31
2010-06-18,67,40.82
2010-06-25,73,38.75
2010-07-02,70,40.76
2010-07-09,72,40.2
2010-07-16,72,40.26
2010-07-23,74,41.83
2010-07-30,76,41.81
2010-08-06,74,45.12
2010-08-13,73,43.71
2010-08-20,85,41.51
2010-08-27,79,41.55
2010-09-03,82,42.87
2010-09-10,81,44.12
2010-09-17,79,44.63
2010-09-24,84,45.34
2010-10-01,84,44.84
2010-10-08,79,44.85
2010-10-15,81,47.54
2010-10-22,79,46.37
2010-10-29,74,46.34
2010-11-05,99,50.14
2010-11-12,86,48.16
2010-11-19,82,49.79
2010-11-26,76,47.58
2010-12-03,79,50.08
2010-12-10,79,50.06
2010-12-17,80,52.91
2010-12-31,70,53.38
2011-01-07,89,52
2011-01-14,78,53.85
2011-01-21,80,52.16
2011-01-28,83,54.04
2011-02-04,77,54.41
2011-02-11,83,52.93
2011-02-18,78,53.29
2011-02-25,85,55.41
2011-03-04,81,56.99
2011-03-11,72,55.23
2011-03-18,78,55.71
2011-03-25,77,57.99
2011-04-01,87,58.82
2011-04-08,78,57.71
2011-04-15,78,55.77
2011-04-29,79,59.57
2011-05-06,75,54.52
2011-05-13,77,54.07
2011-05-20,82,55.64
2011-05-27,81,53.99
2011-06-03,76,56.27
2011-06-10,78,53.25
2011-06-17,77,51.14
2011-06-24,70,51.44
2011-07-01,73,52.89
2011-07-08,91,53.13
2011-07-15,76,52.08
2011-07-22,73,53.23
2011-07-29,69,53.25
2011-08-05,76,45.58
2011-08-12,75,46.79
2011-08-19,69,42.32
2011-08-26,84,46.22
2011-09-02,84,47.14
2011-09-09,81,49.24
2011-09-16,82,48.68
2011-09-23,86,43.1
2011-09-30,80,40.43
2011-10-07,83,41.17
2011-10-14,79,45.97
2011-10-21,74,48.44
2011-10-28,75,51.55
2011-11-04,75,51.95
2011-11-11,83,52.26
2011-11-18,74,49.95
2011-11-25,74,47.56
2011-12-02,75,51.2
2011-12-09,78,50.04
2011-12-16,70,46.23
2011-12-23,59,48.79
2011-12-30,68,46.92
2012-01-06,83,47.72
2012-01-13,84,47.55
2012-01-20,82,51.28
2012-01-27,82,53.05
2012-02-03,80,55.65
2012-02-10,76,55.8
2012-02-17,78,55.17
2012-02-24,77,59.4
2012-03-02,76,57.12
2012-03-09,75,56.07
2012-03-16,73,57.65
2012-03-23,73,54.45
2012-03-30,67,52.93
2012-04-13,68,51.52
2012-04-20,75,52.95
2012-04-27,78,54.37
2012-05-04,68,51.5
2012-05-11,76,48.95
2012-05-18,70,47.47
2012-05-25,74,48.54
2012-06-01,63,44.19
2012-06-08,63,44.55
2012-06-15,67,43.85
2012-06-22,68,44.04
2012-06-29,71,46.97
2012-07-06,68,47.25
2012-07-13,66,49.23
2012-07-20,72,52.19
2012-07-27,70,54.47
2012-08-03,73,55.66
2012-08-10,68,55.14
2012-08-17,68,57.88
2012-08-24,79,56.75
2012-08-31,69,57.37
2012-09-07,73,57.05
2012-09-14,77,58.13
2012-09-21,77,58.23
2012-09-28,82,54.56
2012-10-05,78,54.21
2012-10-12,71,55.07
2012-10-19,74,59.02
2012-10-26,71,58.13
2012-11-02,63,59.59
2012-11-09,76,55.62
2012-11-16,68,54.67
2012-11-23,68,57.26
2012-11-30,73,58.23
2012-12-07,67,57.94
2012-12-14,68,57.38
2012-12-21,62,59.68
2012-12-28,57,57.61
2013-01-04,69,62.73
2013-01-11,72,60.88
2013-01-18,70,61.82
2013-01-25,72,62.11
2013-02-01,67,64.37
2013-02-08,65,63.72
2013-02-15,64,64.35
2013-02-22,68,61.49
2013-03-01,71,59.71
2013-03-08,67,57.7
2013-03-15,68,59.49
2013-03-22,71,58.52
2013-04-05,69,57.93
2013-04-12,67,56.98
2013-04-19,71,53.39
2013-04-26,72,55.41
2013-05-03,71,60.15
2013-05-10,70,60.74
2013-05-17,68,62.15
2013-05-24,67,61.64
2013-05-31,67,60.17
2013-06-07,64,60.26
2013-06-14,68,58.08
2013-06-21,61,57.35
2013-06-28,63,58.12
2013-07-05,64,57.83
2013-07-12,65,60.25
2013-07-19,67,61.23
2013-07-26,63,58.85
2013-08-02,64,58.45
2013-08-09,70,58.85
2013-08-16,66,56.01
2013-08-23,72,57.33
2013-08-30,74,55.56
2013-09-06,74,56.2
2013-09-13,69,55.48
2013-09-20,72,54.76
2013-09-27,73,54.5
2013-10-04,71,55.32
2013-10-11,75,54.77
2013-10-18,73,55.04
2013-10-25,74,57.02
2013-11-01,72,57.39
2013-11-08,69,61.48
2013-11-15,75,61.88
2013-11-22,68,61.09
2013-11-29,64,59.08
2013-12-06,66,59.05
2013-12-13,68,57.65
2013-12-20,63,54.98
2013-12-27,53,56.59
2014-01-03,65,56.57
2014-01-10,72,56.94
2014-01-17,71,54.6
2014-01-24,67,51.34
2014-01-31,64,50.37
2014-02-07,66,50.45
2014-02-14,72,51.24
2014-02-21,68,52.42
2014-02-28,70,52.66
2014-03-07,65,51.94
2014-03-14,70,48.35
2014-03-21,68,50.99
2014-03-28,75,52.89
2014-04-04,69,51.1
2014-04-11,71,48.59
2014-04-25,70,51.66
