"Date","NOV","Price"
2009-01-02,5,26.83
2009-01-09,5,27.06
2009-01-16,5,24.25
2009-01-23,5,25.63
2009-01-30,5,26.44
2009-02-06,4,29.19
2009-02-13,4,28.43
2009-02-20,5,25.96
2009-02-27,4,26.73
2009-03-06,4,24.96
2009-03-13,4,28.9
2009-03-20,4,30.25
2009-03-27,4,31.27
2009-04-03,4,32.42
2009-04-17,3,34.98
2009-04-24,3,31.5
2009-05-01,3,31.22
2009-05-08,3,36.04
2009-05-15,3,32.67
2009-05-22,3,35.35
2009-05-29,3,38.62
2009-06-05,3,37.96
2009-06-12,3,38.69
2009-06-19,3,34.33
2009-06-26,3,33.1
2009-07-10,3,30.47
2009-07-17,3,34.16
2009-07-24,3,37.6
2009-07-31,4,35.94
2009-08-07,4,36.59
2009-08-14,4,36.44
2009-08-21,4,39.39
2009-08-28,4,37.23
2009-09-04,5,37.41
2009-09-11,5,39.17
2009-09-18,6,43.68
2009-09-25,6,41.94
2009-10-02,6,40.89
2009-10-09,8,45.25
2009-10-16,9,48.23
2009-10-23,13,46.89
2009-10-30,21,40.99
2009-11-06,77,43.68
2009-11-13,78,44.17
2009-11-20,73,42.79
2009-11-27,64,43.3
2009-12-04,31,42.28
2009-12-11,10,43.94
2009-12-18,7,43.28
2010-01-08,7,47.11
2010-01-15,5,46.24
2010-01-22,5,42.53
2010-01-29,5,40.9
2010-02-05,7,42.3
2010-02-12,4,43.36
2010-02-19,4,45.11
2010-02-26,4,43.47
2010-03-05,4,43.66
2010-03-12,4,43.94
2010-03-19,4,42.46
2010-03-26,4,39.92
2010-04-09,3,42.93
2010-04-16,3,42.48
2010-04-23,3,46.26
2010-04-30,3,44.03
2010-05-07,3,39.11
2010-05-14,3,39.91
2010-05-21,3,36.89
2010-05-28,3,38.13
2010-06-04,3,34.66
2010-06-11,3,37.53
2010-06-18,3,38.1
2010-06-25,3,35.3
2010-07-02,3,33.35
2010-07-09,3,35.51
2010-07-16,3,35.26
2010-07-23,4,38.04
2010-07-30,4,39.16
2010-08-06,4,41.63
2010-08-13,4,39.49
2010-08-20,5,38.23
2010-08-27,4,37.97
2010-09-03,5,40.55
2010-09-10,5,41.1
2010-09-17,6,41.28
2010-09-24,6,44.21
2010-10-01,7,45.18
2010-10-08,8,46.61
2010-10-15,11,48.6
2010-10-22,14,48.59
2010-10-29,21,53.76
2010-11-05,91,58.77
2010-11-12,100,57.65
2010-11-19,93,61.73
2010-11-26,85,61.52
2010-12-03,52,63
2010-12-10,12,62.66
2010-12-17,8,63.58
2010-12-31,6,67.25
2011-01-07,6,65.04
2011-01-14,6,69.31
2011-01-21,7,67.51
2011-01-28,6,71.46
2011-02-04,7,76.45
2011-02-11,7,77.86
2011-02-18,5,80.18
2011-02-25,5,79.83
2011-03-04,4,80.74
2011-03-11,4,76.05
2011-03-18,4,76.81
2011-03-25,4,80.65
2011-04-01,4,80.68
2011-04-08,4,79.63
2011-04-15,4,76.5
2011-04-29,4,76.69
2011-05-06,4,68.6
2011-05-13,4,68.02
2011-05-20,4,67.76
2011-05-27,4,72.86
2011-06-03,4,73.34
2011-06-10,4,70.74
2011-06-17,3,69.05
2011-06-24,4,70.1
2011-07-01,4,78.31
2011-07-08,3,80.21
2011-07-15,4,78.56
2011-07-22,4,83.31
2011-07-29,4,80.57
2011-08-05,4,67.48
2011-08-12,5,66.78
2011-08-19,5,60.71
2011-08-26,5,63.73
2011-09-02,5,63.64
2011-09-09,5,62.66
2011-09-16,6,65.03
2011-09-23,7,53.23
2011-09-30,7,51.22
2011-10-07,9,58.81
2011-10-14,11,66.41
2011-10-21,13,65.72
2011-10-28,18,75.73
2011-11-04,71,71.08
2011-11-11,96,71.05
2011-11-18,85,67.5
2011-11-25,79,64.52
2011-12-02,55,71.05
2011-12-09,13,73.4
2011-12-16,9,65.53
2011-12-23,7,68.47
2011-12-30,7,67.99
2012-01-06,9,70.81
2012-01-13,8,73.11
2012-01-20,8,74.8
2012-01-27,7,77.4
2012-02-03,7,82.14
2012-02-10,9,82.66
2012-02-17,5,83.8
2012-02-24,5,86.04
2012-03-02,5,82.24
2012-03-09,4,81.38
2012-03-16,4,83.56
2012-03-23,4,80.58
2012-03-30,4,79.47
2012-04-13,4,78.52
2012-04-20,4,77.68
2012-04-27,4,75.59
2012-05-04,4,71.13
2012-05-11,4,68.43
2012-05-18,4,63.42
2012-05-25,4,68.1
2012-06-01,3,65
2012-06-08,4,66.59
2012-06-15,4,67.85
2012-06-22,4,63.09
2012-06-29,4,64.44
2012-07-06,4,66.66
2012-07-13,4,67.66
2012-07-20,4,69.21
2012-07-27,4,73.66
2012-08-03,4,75.36
2012-08-10,5,77.36
2012-08-17,6,78.51
2012-08-24,6,77.03
2012-08-31,6,78.8
2012-09-07,6,81.92
2012-09-14,6,84.83
2012-09-21,7,81.72
2012-09-28,7,80.11
2012-10-05,9,79.92
2012-10-12,10,78.22
2012-10-19,12,80.7
2012-10-26,16,74.57
2012-11-02,57,71.65
2012-11-09,99,68.97
2012-11-16,94,70.61
2012-11-23,88,72.6
2012-11-30,78,68.3
2012-12-07,18,68.28
2012-12-14,10,64.87
2012-12-21,8,68.33
2012-12-28,11,65.88
2013-01-04,7,71.75
2013-01-11,6,70.89
2013-01-18,6,72.76
2013-01-25,7,74
2013-02-01,6,71.26
2013-02-08,9,69.08
2013-02-15,6,69.33
2013-02-22,5,68.1
2013-03-01,5,66.96
2013-03-08,5,68.19
2013-03-15,4,70.53
2013-03-22,4,68.26
2013-04-05,4,67.62
2013-04-12,4,68.86
2013-04-19,4,64.31
2013-04-26,4,66.32
2013-05-03,4,66.88
2013-05-10,4,68.22
2013-05-17,4,68.53
2013-05-24,4,69.98
2013-05-31,4,70.3
2013-06-07,4,70.2
2013-06-14,4,69.58
2013-06-21,4,68.21
2013-06-28,4,68.9
2013-07-05,4,71.85
2013-07-12,4,72.96
2013-07-19,4,74.05
2013-07-26,4,71.58
2013-08-02,5,72.31
2013-08-09,5,72.49
2013-08-16,5,72.73
2013-08-23,6,72.54
2013-08-30,5,74.3
2013-09-06,6,78.01
2013-09-13,6,78.24
2013-09-20,7,78.81
2013-09-27,7,78.01
2013-10-04,8,79.54
2013-10-11,11,79.32
2013-10-18,12,82.16
2013-10-25,16,82.72
2013-11-01,45,80.83
2013-11-08,92,82.2
2013-11-15,89,84.3
2013-11-22,85,83.66
2013-11-29,79,81.5
2013-12-06,22,81.59
2013-12-13,9,78.74
2013-12-20,7,78.37
2013-12-27,6,79.44
2014-01-03,6,78.75
2014-01-10,6,78.05
2014-01-17,8,76.97
2014-01-24,8,74
2014-01-31,10,75.01
2014-02-07,5,75.07
2014-02-14,5,76.42
2014-02-21,5,74.8
2014-02-28,5,77.04
2014-03-07,5,79.06
2014-03-14,4,74.6
2014-03-21,4,74.47
2014-03-28,4,77.67
2014-04-04,4,78.96
2014-04-11,4,78.16
2014-04-25,4,83.47
