"Date","BHI","Price"
2006-11-03,20,68.9
2006-11-10,18,68.92
2006-11-17,17,68.5
2006-11-24,18,70.39
2006-12-01,18,73.05
2006-12-08,18,72.98
2006-12-15,19,78.25
2006-12-22,17,75.46
2006-12-29,21,74.66
2007-01-05,21,67.77
2007-01-12,17,67.97
2007-01-19,19,67.04
2007-01-26,17,66.63
2007-02-02,17,71.06
2007-02-09,16,70.81
2007-02-16,19,65.05
2007-02-23,20,65.36
2007-03-02,19,64.75
2007-03-09,19,64.93
2007-03-16,21,62.74
2007-03-23,18,66.21
2007-03-30,23,66.13
2007-04-13,20,70.36
2007-04-20,20,72.5
2007-04-27,22,81.01
2007-05-04,20,82.27
2007-05-11,20,80.37
2007-05-18,24,82.6
2007-05-25,22,81.67
2007-06-01,21,83.17
2007-06-08,25,83.02
2007-06-15,28,88.01
2007-06-22,23,88.62
2007-06-29,24,84.13
2007-07-06,22,87.63
2007-07-13,27,84
2007-07-20,27,82.4
2007-07-27,26,79.43
2007-08-03,26,75.84
2007-08-10,28,80.53
2007-08-17,26,78.61
2007-08-24,20,81.65
2007-08-31,22,83.86
2007-09-07,20,85.31
2007-09-14,19,87.07
2007-09-21,19,90.73
2007-09-28,19,90.37
2007-10-05,20,92.39
2007-10-12,23,96.6
2007-10-19,21,90.79
2007-10-26,21,90.05
2007-11-02,20,85.2
2007-11-09,19,85.25
2007-11-16,21,80.55
2007-11-23,22,82.31
2007-11-30,19,80.27
2007-12-07,22,83.45
2007-12-14,22,82.75
2007-12-21,23,82.04
2007-12-28,22,82.6
2008-01-04,22,79.61
2008-01-11,22,79.31
2008-01-18,20,71.76
2008-01-25,22,72.17
2008-02-01,24,64.22
2008-02-08,23,63.9
2008-02-15,23,66.89
2008-02-22,22,68.98
2008-02-29,20,67.29
2008-03-07,23,67.87
2008-03-14,23,67.83
2008-03-28,22,67.35
2008-04-04,22,72.16
2008-04-11,25,71.81
2008-04-18,25,80.8
2008-04-25,26,81.88
2008-05-02,26,77.17
2008-05-09,26,80.65
2008-05-16,24,85.35
2008-05-23,24,85.47
2008-05-30,26,88.62
2008-06-06,24,87.22
2008-06-13,23,85.6
2008-06-20,24,84.43
2008-06-27,23,87.75
2008-07-11,28,81.36
2008-07-18,28,81.86
2008-07-25,24,83.03
2008-08-01,26,83.85
2008-08-08,26,77.2
2008-08-15,27,77.76
2008-08-22,22,80.47
2008-08-29,24,80.01
2008-09-05,24,72.49
2008-09-12,26,65.29
2008-09-19,25,67.27
2008-09-26,24,63.4
2008-10-03,22,49.33
2008-10-10,27,32.8
2008-10-17,30,35.04
2008-10-24,25,31.43
2008-10-31,23,34.95
2008-11-07,41,34.23
2008-11-14,50,30.94
2008-11-21,34,29.32
2008-11-28,29,34.83
2008-12-05,28,27.17
2008-12-12,25,30.47
2008-12-19,25,29.99
2008-12-26,25,29.62
2009-01-02,26,34.33
2009-01-09,23,34.39
2009-01-16,23,31.88
2009-01-23,25,32.19
2009-01-30,24,33.32
2009-02-06,25,36.44
2009-02-13,21,33.26
2009-02-20,23,30.15
2009-02-27,24,29.31
2009-03-06,24,26.58
2009-03-13,25,29.33
2009-03-20,25,31.03
2009-03-27,29,31.31
2009-04-03,25,31.5
2009-04-17,25,33.24
2009-04-24,27,35.46
2009-05-01,25,36.91
2009-05-08,27,39.2
2009-05-15,26,35.32
2009-05-22,25,35.86
2009-05-29,29,39.06
2009-06-05,29,39.13
2009-06-12,30,41.72
2009-06-19,30,37.69
2009-06-26,29,36.88
2009-07-10,30,34.53
2009-07-17,28,38.55
2009-07-24,27,41.46
2009-07-31,29,40.5
2009-08-07,28,37.37
2009-08-14,30,36.97
2009-08-21,28,38.71
2009-08-28,30,38.09
2009-09-04,29,35.62
2009-09-11,28,37.58
2009-09-18,29,44.01
2009-09-25,29,42.37
2009-10-02,28,40.66
2009-10-09,26,44.88
2009-10-16,25,47.03
2009-10-23,28,45.36
2009-10-30,30,42.07
2009-11-06,30,41.18
2009-11-13,28,41.45
2009-11-20,29,40.49
2009-11-27,29,40.36
2009-12-04,27,39.09
2009-12-11,27,39.3
2009-12-18,27,40.51
2010-01-08,27,47.1
2010-01-15,29,47.28
2010-01-22,30,44.27
2010-01-29,28,45.28
2010-02-05,28,44.73
2010-02-12,31,46.5
2010-02-19,33,48.86
2010-02-26,31,47.92
2010-03-05,32,50.89
2010-03-12,31,50.04
2010-03-19,36,47.53
2010-03-26,32,44.87
2010-04-09,37,48.84
2010-04-16,38,47.51
2010-04-23,37,54.18
2010-04-30,34,49.76
2010-05-07,35,44.25
2010-05-14,35,45.37
2010-05-21,35,41.83
2010-05-28,35,38.14
2010-06-04,35,38.47
2010-06-11,36,42.61
2010-06-18,36,44.67
2010-06-25,33,42.75
2010-07-02,35,42.3
2010-07-09,38,46.26
2010-07-16,39,46
2010-07-23,37,49.07
2010-07-30,42,48.27
2010-08-06,42,41.73
2010-08-13,39,39.79
2010-08-20,45,39.01
2010-08-27,40,38.72
2010-09-03,42,39.49
2010-09-10,42,39.39
2010-09-17,38,39.88
2010-09-24,41,41.06
2010-10-01,43,43.53
2010-10-08,43,44.56
2010-10-15,39,45.62
2010-10-22,39,46.57
2010-10-29,40,46.42
2010-11-05,37,49.94
2010-11-12,39,48.52
2010-11-19,37,50.16
2010-11-26,39,49.81
2010-12-03,37,55.06
2010-12-10,39,53.92
2010-12-17,39,56.25
2010-12-31,43,57.17
2011-01-07,39,56.6
2011-01-14,38,59.58
2011-01-21,43,58.97
2011-01-28,46,67.29
2011-02-04,45,67.81
2011-02-11,46,67.13
2011-02-18,44,70.83
2011-02-25,41,71.5
2011-03-04,46,69.73
2011-03-11,46,68.99
2011-03-18,47,68.5
2011-03-25,45,71.08
2011-04-01,43,72.41
2011-04-08,49,71.57
2011-04-15,46,70.48
2011-04-29,49,77.41
2011-05-06,48,69.27
2011-05-13,48,69.27
2011-05-20,50,70.12
2011-05-27,52,73.46
2011-06-03,65,74.58
2011-06-10,60,72.09
2011-06-17,62,69.35
2011-06-24,58,67.27
2011-07-01,60,72.93
2011-07-08,60,75.07
2011-07-15,66,75.49
2011-07-22,61,79.9
2011-07-29,63,77.38
2011-08-05,61,64.54
2011-08-12,63,61.76
2011-08-19,60,54.82
2011-08-26,58,56.59
2011-09-02,56,58.27
2011-09-09,58,56.79
2011-09-16,59,59.15
2011-09-23,62,49.61
2011-09-30,64,46.15
2011-10-07,67,49.32
2011-10-14,70,56.67
2011-10-21,68,54.49
2011-10-28,63,60.89
2011-11-04,62,56.15
2011-11-11,71,58.2
2011-11-18,85,54.05
2011-11-25,79,48.87
2011-12-02,72,53.62
2011-12-09,68,50.39
2011-12-16,69,45.93
2011-12-23,75,49.89
2011-12-30,89,48.64
2012-01-06,78,51.26
2012-01-13,73,48.02
2012-01-20,72,49.28
2012-01-27,76,49.31
2012-02-03,72,51
2012-02-10,72,47.62
2012-02-17,77,50.06
2012-02-24,76,51.96
2012-03-02,75,49.03
2012-03-09,70,48.79
2012-03-16,68,48.95
2012-03-23,68,43.71
2012-03-30,69,41.94
2012-04-13,63,41.05
2012-04-20,65,40.46
2012-04-27,65,42.91
2012-05-04,69,41.18
2012-05-11,62,41.72
2012-05-18,64,40.43
2012-05-25,61,41.54
2012-06-01,62,40.74
2012-06-08,63,39.25
2012-06-15,63,40.38
2012-06-22,64,39.14
2012-06-29,64,41.1
2012-07-06,62,40.28
2012-07-13,61,39.3
2012-07-20,70,45.59
2012-07-27,64,47.35
2012-08-03,63,46.98
2012-08-10,70,48.69
2012-08-17,73,47.32
2012-08-24,67,47.51
2012-08-31,67,45.6
2012-09-07,65,46.74
2012-09-14,68,50.04
2012-09-21,68,46.91
2012-09-28,67,45.23
2012-10-05,65,43.49
2012-10-12,65,44.77
2012-10-19,61,44.75
2012-10-26,59,43.42
2012-11-02,67,41.59
2012-11-09,84,40.71
2012-11-16,68,40.23
2012-11-23,72,41.83
2012-11-30,71,43.15
2012-12-07,73,42.26
2012-12-14,76,41.09
2012-12-21,77,40.66
2012-12-28,83,39.93
2013-01-04,78,43.53
2013-01-11,72,43.01
2013-01-18,73,44.3
2013-01-25,79,45.61
2013-02-01,74,45.03
2013-02-08,81,45.65
2013-02-15,78,46.58
2013-02-22,78,45.8
2013-03-01,75,44.39
2013-03-08,82,46.08
2013-03-15,80,47.96
2013-03-22,81,45.25
2013-04-05,73,44.7
2013-04-12,80,46
2013-04-19,81,43.58
2013-04-26,80,44.13
2013-05-03,79,46.58
2013-05-10,79,46.84
2013-05-17,74,47.53
2013-05-24,72,47.17
2013-05-31,73,45.48
2013-06-07,79,46.49
2013-06-14,81,46.03
2013-06-21,78,44.87
2013-06-28,78,46.13
2013-07-05,80,48.09
2013-07-12,75,49.16
2013-07-19,77,47.8
2013-07-26,76,47.98
2013-08-02,80,48.42
2013-08-09,83,47.44
2013-08-16,91,46.86
2013-08-23,82,47.51
2013-08-30,80,46.49
2013-09-06,82,48.99
2013-09-13,85,49.7
2013-09-20,86,49.84
2013-09-27,86,49.53
2013-10-04,81,49.45
2013-10-11,81,50.23
2013-10-18,78,55.55
2013-10-25,77,58.23
2013-11-01,76,58.29
2013-11-08,74,57.92
2013-11-15,80,58.27
2013-11-22,81,57.91
2013-11-29,89,56.96
2013-12-06,87,53.83
2013-12-13,88,52.71
2013-12-20,91,53.81
2013-12-27,96,54.77
2014-01-03,97,53.59
2014-01-10,100,53.06
2014-01-17,93,54.14
2014-01-24,94,56.43
2014-01-31,92,56.64
2014-02-07,88,59.51
2014-02-14,91,59.68
2014-02-21,89,61.02
2014-02-28,90,63.28
2014-03-07,89,63.3
2014-03-14,94,61.8
2014-03-21,92,62.11
2014-03-28,95,65.27
2014-04-04,93,65.68
2014-04-11,96,63.37
2014-04-25,93,69.68
