Date,du Pont,Price
2007-01-26,75,49.19
2007-02-02,63,50.25
2007-02-09,67,51.07
2007-02-16,61,52.47
2007-02-23,58,52.99
2007-03-02,62,50.09
2007-03-09,62,51.14
2007-03-16,75,49.96
2007-03-23,71,51.03
2007-03-30,73,49.43
2007-04-06,67,
2007-04-13,64,49.31
2007-04-20,66,49.28
2007-04-27,68,49.69
2007-05-04,79,51.24
2007-05-11,71,50.42
2007-05-18,80,52.38
2007-05-25,79,51.46
2007-06-01,73,53.10
2007-06-08,75,51.13
2007-06-15,76,51.47
2007-06-22,64,52.30
2007-06-29,66,50.84
2007-07-06,78,51.97
2007-07-13,79,51.55
2007-07-20,84,52.62
2007-07-27,89,46.82
2007-08-03,85,46.35
2007-08-10,72,48.59
2007-08-17,65,47.31
2007-08-24,59,49.08
2007-08-31,65,48.75
2007-09-07,64,47.50
2007-09-14,65,48.04
2007-09-21,61,49.69
2007-09-28,63,49.56
2007-10-05,61,49.55
2007-10-12,54,49.06
2007-10-19,61,46.87
2007-10-26,61,48.37
2007-11-02,53,47.96
2007-11-09,54,46.79
2007-11-16,60,45.31
2007-11-23,55,44.69
2007-11-30,55,46.15
2007-12-07,56,47.19
2007-12-14,47,44.73
2007-12-21,50,45.35
2007-12-28,42,44.30
2008-01-04,54,43.38
2008-01-11,55,44.66
2008-01-18,54,42.70
2008-01-25,55,44.72
2008-02-01,64,45.95
2008-02-08,62,45.44
2008-02-15,66,45.49
2008-02-22,63,45.96
2008-02-29,67,46.42
2008-03-07,61,45.00
2008-03-14,70,46.98
2008-03-21,69,
2008-03-28,64,46.44
2008-04-04,69,49.50
2008-04-11,69,49.33
2008-04-18,71,52.02
2008-04-25,83,49.88
2008-05-02,85,49.86
2008-05-09,92,48.44
2008-05-16,74,49.63
2008-05-23,74,47.62
2008-05-30,72,47.91
2008-06-06,87,46.32
2008-06-13,82,47.20
2008-06-20,67,46.23
2008-06-27,73,42.69
2008-07-04,87,
2008-07-11,74,41.47
2008-07-18,75,44.20
2008-07-25,83,43.81
2008-08-01,70,43.31
2008-08-08,68,45.31
2008-08-15,61,45.70
2008-08-22,54,44.79
2008-08-29,61,44.44
2008-09-05,59,44.25
2008-09-12,56,46.39
2008-09-19,62,48.04
2008-09-26,62,41.99
2008-10-03,57,38.80
2008-10-10,58,33.40
2008-10-17,61,33.77
2008-10-24,61,29.33
2008-10-31,61,32.04
2008-11-07,58,30.46
2008-11-14,52,27.43
2008-11-21,53,23.03
2008-11-28,52,25.06
2008-12-05,60,24.12
2008-12-12,54,26.61
2008-12-19,55,25.60
2008-12-26,37,24.98
2009-01-02,46,26.18
2009-01-09,51,25.41
2009-01-16,54,24.97
2009-01-23,55,24.16
2009-01-30,56,22.96
2009-02-06,54,24.57
2009-02-13,57,22.40
2009-02-20,59,20.38
2009-02-27,57,18.76
2009-03-06,62,16.87
2009-03-13,63,19.49
2009-03-20,62,20.66
2009-03-27,67,22.70
2009-04-03,68,25.97
2009-04-10,63,
2009-04-17,67,28.42
2009-04-24,65,28.78
2009-05-01,69,27.87
2009-05-08,67,28.38
2009-05-15,68,26.93
2009-05-22,69,27.77
2009-05-29,68,28.47
2009-06-05,66,27.00
2009-06-12,70,27.00
2009-06-19,68,24.97
2009-06-26,63,25.38
2009-07-03,65,
2009-07-10,68,24.61
2009-07-17,74,27.57
2009-07-24,76,30.04
2009-07-31,67,30.93
2009-08-07,70,32.83
2009-08-14,66,32.36
2009-08-21,61,32.71
2009-08-28,61,32.56
2009-09-04,58,31.71
2009-09-11,62,31.81
2009-09-18,57,33.74
2009-09-25,65,31.74
2009-10-02,59,30.54
2009-10-09,66,32.95
2009-10-16,65,34.10
2009-10-23,58,33.23
2009-10-30,54,31.82
2009-11-06,59,33.38
2009-11-13,61,34.31
2009-11-20,61,34.51
2009-11-27,61,34.40
2009-12-04,62,32.34
2009-12-11,62,32.23
2009-12-18,54,31.87
2009-12-25,40,
2010-01-01,42,
2010-01-08,57,33.94
2010-01-15,58,34.01
2010-01-22,61,32.50
2010-01-29,61,32.61
2010-02-05,60,32.73
2010-02-12,61,32.28
2010-02-19,56,34.03
2010-02-26,58,33.72
2010-03-05,64,34.97
2010-03-12,66,35.49
2010-03-19,68,36.86
2010-03-26,65,37.69
2010-04-02,71,
2010-04-09,66,39.19
2010-04-16,66,38.66
2010-04-23,69,40.22
2010-04-30,69,39.84
2010-05-07,71,36.23
2010-05-14,69,37.65
2010-05-21,77,36.10
2010-05-28,76,36.17
2010-06-04,81,34.41
2010-06-11,76,37.61
2010-06-18,76,38.36
2010-06-25,68,36.66
2010-07-02,65,34.06
2010-07-09,68,36.90
2010-07-16,71,35.98
2010-07-23,74,38.34
2010-07-30,81,40.67
2010-08-06,74,42.13
2010-08-13,68,40.32
2010-08-20,73,40.34
2010-08-27,65,41.01
2010-09-03,58,42.51
2010-09-10,66,42.29
2010-09-17,62,43.95
2010-09-24,61,45.58
2010-10-01,64,44.85
2010-10-08,61,46.66
2010-10-15,63,46.67
2010-10-22,62,46.83
2010-10-29,52,47.28
2010-11-05,64,48.18
2010-11-12,60,46.52
2010-11-19,64,47.10
2010-11-26,54,46.31
2010-12-03,52,49.24
2010-12-10,60,48.62
2010-12-17,58,49.86
2010-12-24,45,
2010-12-31,45,49.88
2011-01-07,60,49.76
2011-01-14,64,49.80
2011-01-21,59,48.35
2011-01-28,62,50.29
2011-02-04,59,52.53
2011-02-11,59,54.58
2011-02-18,62,55.98
2011-02-25,60,54.07
2011-03-04,55,53.87
2011-03-11,56,52.90
2011-03-18,56,52.99
2011-03-25,63,54.10
2011-04-01,58,55.19
2011-04-08,62,55.40
2011-04-15,64,54.89
2011-04-22,63,
2011-04-29,63,56.79
2011-05-06,67,54.63
2011-05-13,69,52.91
2011-05-20,69,52.74
2011-05-27,71,52.56
2011-06-03,76,50.29
2011-06-10,75,49.78
2011-06-17,75,49.57
2011-06-24,71,51.96
2011-07-01,68,54.47
2011-07-08,85,55.42
2011-07-15,74,54.09
2011-07-22,73,54.85
2011-07-29,79,51.42
2011-08-05,71,47.27
2011-08-12,66,47.36
2011-08-19,71,43.79
2011-08-26,61,46.09
2011-09-02,60,46.76
2011-09-09,58,45.27
2011-09-16,60,47.12
2011-09-23,59,40.46
2011-09-30,64,39.97
2011-10-07,63,41.90
2011-10-14,59,45.09
2011-10-21,61,45.15
2011-10-28,56,49.36
2011-11-04,62,48.70
2011-11-11,56,48.52
2011-11-18,57,46.41
2011-11-25,57,43.86
2011-12-02,55,47.02
2011-12-09,53,45.04
2011-12-16,52,43.98
2011-12-23,47,46.17
2011-12-30,42,45.78
2012-01-06,53,46.04
2012-01-13,54,48.40
2012-01-20,55,49.42
2012-01-27,55,50.72
2012-02-03,53,52.01
2012-02-10,58,51.15
2012-02-17,55,51.48
2012-02-24,55,50.99
2012-03-02,56,51.45
2012-03-09,59,51.50
2012-03-16,58,53.38
2012-03-23,57,52.63
2012-03-30,60,52.90
2012-04-06,62,
2012-04-13,61,52.02
2012-04-20,65,52.62
2012-04-27,64,53.72
2012-05-04,65,52.89
2012-05-11,69,51.57
2012-05-18,64,47.97
2012-05-25,65,48.40
2012-06-01,63,47.21
2012-06-08,67,49.50
2012-06-15,69,50.24
2012-06-22,62,49.96
2012-06-29,62,50.57
2012-07-06,68,48.90
2012-07-13,80,47.63
2012-07-20,70,48.87
2012-07-27,68,49.71
2012-08-03,65,49.47
2012-08-10,60,51.08
2012-08-17,67,50.65
2012-08-24,63,50.35
2012-08-31,62,49.75
2012-09-07,58,50.56
2012-09-14,60,52.24
2012-09-21,60,51.80
2012-09-28,55,50.27
2012-10-05,56,50.35
2012-10-12,51,48.69
2012-10-19,56,49.34
2012-10-26,56,45.18
2012-11-02,51,44.15
2012-11-09,50,43.34
2012-11-16,50,41.95
2012-11-23,50,43.12
2012-11-30,48,43.14
2012-12-07,48,43.18
2012-12-14,50,44.09
2012-12-21,44,44.93
2012-12-28,41,44.71
2013-01-04,46,45.73
2013-01-11,52,46.15
2013-01-18,52,46.99
2013-01-25,51,48.33
2013-02-01,54,47.98
2013-02-08,51,47.50
2013-02-15,53,46.94
2013-02-22,52,47.24
2013-03-01,51,48.09
2013-03-08,54,49.15
2013-03-15,56,49.90
2013-03-22,60,49.27
2013-03-29,61,
2013-04-05,59,48.69
2013-04-12,59,49.82
2013-04-19,59,49.19
2013-04-26,58,52.90
2013-05-03,78,53.94
2013-05-10,71,55.46
2013-05-17,70,55.89
2013-05-24,65,55.35
2013-05-31,69,55.79
2013-06-07,75,55.44
2013-06-14,71,52.68
2013-06-21,63,52.91
2013-06-28,65,52.50
2013-07-05,70,53.00
2013-07-12,83,54.41
2013-07-19,72,57.14
2013-07-26,75,57.66
2013-08-02,65,59.92
2013-08-09,71,59.74
2013-08-16,66,58.28
2013-08-23,60,57.90
2013-08-30,58,56.62
2013-09-06,57,57.11
2013-09-13,57,58.88
2013-09-20,57,59.42
2013-09-27,57,59.01
2013-10-04,55,58.65
2013-10-11,55,57.93
2013-10-18,55,59.62
2013-10-25,50,61.90
2013-11-01,53,61.09
2013-11-08,53,62.00
2013-11-15,50,62.11
2013-11-22,52,61.70
2013-11-29,49,61.38
2013-12-06,50,61.34
2013-12-13,51,60.24
2013-12-20,49,62.55
2013-12-27,39,64.25
2014-01-03,47,63.78
2014-01-10,51,63.54
2014-01-17,54,64.02
2014-01-24,55,59.97
2014-01-31,53,61.01
2014-02-07,56,63.45
2014-02-14,57,64.50
2014-02-21,58,64.87
2014-02-28,55,66.62
2014-03-07,55,67.24
2014-03-14,54,65.77
2014-03-21,61,66.98
2014-03-28,66,66.62
2014-04-04,78,67.34
2014-04-11,63,66.09
2014-04-18,66,
2014-04-25,63,66.66
2014-05-02,72,
