Date,Boeing,Price
2007-11-16,34,89.99
2007-11-23,29,89.54
2007-11-30,31,92.54
2007-12-07,29,93.16
2007-12-14,32,88.42
2007-12-21,29,89.07
2007-12-28,30,88.25
2008-01-04,33,85.82
2008-01-11,36,80.52
2008-01-18,44,78.40
2008-01-25,37,77.03
2008-02-01,33,82.76
2008-02-08,34,79.33
2008-02-15,33,85.18
2008-02-22,33,83.04
2008-02-29,39,82.79
2008-03-07,39,76.60
2008-03-14,36,76.23
2008-03-21,32,
2008-03-28,32,73.47
2008-04-04,34,75.65
2008-04-11,39,76.86
2008-04-18,33,78.66
2008-04-25,32,84.84
2008-05-02,29,85.69
2008-05-09,30,84.06
2008-05-16,32,85.17
2008-05-23,31,81.48
2008-05-30,32,82.77
2008-06-06,31,73.16
2008-06-13,31,75.12
2008-06-20,33,75.83
2008-06-27,31,66.92
2008-07-04,29,
2008-07-11,33,63.28
2008-07-18,34,68.14
2008-07-25,34,63.83
2008-08-01,33,62.01
2008-08-08,32,67.86
2008-08-15,31,64.45
2008-08-22,34,65.55
2008-08-29,35,65.56
2008-09-05,36,62.89
2008-09-12,34,63.30
2008-09-19,34,59.76
2008-09-26,30,58.32
2008-10-03,30,53.83
2008-10-10,30,41.80
2008-10-17,30,44.55
2008-10-24,33,45.24
2008-10-31,31,52.42
2008-11-07,29,46.58
2008-11-14,28,41.04
2008-11-21,27,39.58
2008-11-28,24,42.63
2008-12-05,26,39.53
2008-12-12,27,39.20
2008-12-19,23,41.24
2008-12-26,25,40.53
2009-01-02,24,45.25
2009-01-09,27,44.45
2009-01-16,29,42.46
2009-01-23,26,41.98
2009-01-30,29,42.31
2009-02-06,25,42.92
2009-02-13,26,40.48
2009-02-20,26,36.31
2009-02-27,32,31.44
2009-03-06,28,30.10
2009-03-13,28,33.40
2009-03-20,26,32.55
2009-03-27,26,37.53
2009-04-03,28,37.69
2009-04-10,27,
2009-04-17,26,38.32
2009-04-24,25,38.72
2009-05-01,28,41.21
2009-05-08,26,45.83
2009-05-15,27,43.00
2009-05-22,26,42.94
2009-05-29,24,44.85
2009-06-05,38,52.65
2009-06-12,35,51.44
2009-06-19,33,48.44
2009-06-26,36,41.88
2009-07-03,31,
2009-07-10,29,39.65
2009-07-17,31,41.36
2009-07-24,29,42.37
2009-07-31,28,42.91
2009-08-07,29,46.69
2009-08-14,28,44.87
2009-08-21,27,45.87
2009-08-28,32,51.04
2009-09-04,28,49.15
2009-09-11,26,51.35
2009-09-18,25,53.02
2009-09-25,26,51.52
2009-10-02,26,51.40
2009-10-09,26,52.69
2009-10-16,25,53.19
2009-10-23,26,49.89
2009-10-30,28,47.80
2009-11-06,25,49.68
2009-11-13,24,50.68
2009-11-20,26,51.70
2009-11-27,23,52.45
2009-12-04,25,54.68
2009-12-11,27,55.60
2009-12-18,76,53.44
2009-12-25,30,
2010-01-01,26,
2010-01-08,28,61.60
2010-01-15,27,60.82
2010-01-22,26,57.77
2010-01-29,30,60.60
2010-02-05,27,58.40
2010-02-12,31,59.65
2010-02-19,25,63.59
2010-02-26,25,63.16
2010-03-05,26,67.93
2010-03-12,26,69.83
2010-03-19,26,70.72
2010-03-26,25,72.59
2010-04-02,27,
2010-04-09,27,72.42
2010-04-16,31,70.79
2010-04-23,30,75.13
2010-04-30,27,72.43
2010-05-07,25,66.72
2010-05-14,27,69.82
2010-05-21,27,64.56
2010-05-28,28,64.18
2010-06-04,26,61.15
2010-06-11,26,65.38
2010-06-18,24,67.96
2010-06-25,25,68.77
2010-07-02,24,61.94
2010-07-09,24,64.66
2010-07-16,28,61.90
2010-07-23,42,67.93
2010-07-30,28,68.14
2010-08-06,29,68.70
2010-08-13,27,64.84
2010-08-20,27,64.60
2010-08-27,28,63.16
2010-09-03,26,64.64
2010-09-10,25,63.84
2010-09-17,28,62.95
2010-09-24,26,64.60
2010-10-01,26,66.83
2010-10-08,24,69.23
2010-10-15,24,70.11
2010-10-22,26,71.26
2010-10-29,24,70.64
2010-11-05,28,71.27
2010-11-12,31,63.09
2010-11-19,26,63.59
2010-11-26,22,64.80
2010-12-03,23,66.54
2010-12-10,22,64.16
2010-12-17,23,65.03
2010-12-24,22,
2010-12-31,21,65.26
2011-01-07,24,69.38
2011-01-14,27,70.07
2011-01-21,28,71.68
2011-01-28,25,69.23
2011-02-04,23,71.38
2011-02-11,24,72.14
2011-02-18,34,73.04
2011-02-25,32,72.30
2011-03-04,26,71.80
2011-03-11,26,71.64
2011-03-18,23,69.10
2011-03-25,30,73.34
2011-04-01,25,74.01
2011-04-08,28,73.47
2011-04-15,25,72.60
2011-04-22,25,
2011-04-29,25,79.78
2011-05-06,25,79.31
2011-05-13,25,79.03
2011-05-20,24,77.52
2011-05-27,24,76.99
2011-06-03,23,74.84
2011-06-10,25,72.69
2011-06-17,27,74.16
2011-06-24,38,71.26
2011-07-01,26,74.27
2011-07-08,27,75.07
2011-07-15,27,71.28
2011-07-22,27,72.67
2011-07-29,27,70.47
2011-08-05,28,62.75
2011-08-12,28,61.75
2011-08-19,26,57.54
2011-08-26,28,62.80
2011-09-02,25,64.03
2011-09-09,25,61.79
2011-09-16,27,65.38
2011-09-23,25,59.51
2011-09-30,44,60.51
2011-10-07,26,61.81
2011-10-14,23,63.89
2011-10-21,24,64.59
2011-10-28,31,68.17
2011-11-04,34,65.80
2011-11-11,25,66.92
2011-11-18,30,67.46
2011-11-25,21,62.78
2011-12-02,24,71.30
2011-12-09,23,71.93
2011-12-16,24,71.01
2011-12-23,22,73.97
2011-12-30,22,73.35
2012-01-06,26,73.98
2012-01-13,25,74.60
2012-01-20,24,75.52
2012-01-27,25,74.55
2012-02-03,23,76.34
2012-02-10,25,74.95
2012-02-17,27,75.35
2012-02-24,24,76.06
2012-03-02,23,74.90
2012-03-09,24,73.29
2012-03-16,24,75.20
2012-03-23,22,73.97
2012-03-30,24,74.37
2012-04-06,23,
2012-04-13,25,72.92
2012-04-20,27,73.55
2012-04-27,27,77.27
2012-05-04,28,75.84
2012-05-11,26,73.56
2012-05-18,24,69.15
2012-05-25,24,70.00
2012-06-01,24,67.24
2012-06-08,28,69.94
2012-06-15,24,71.99
2012-06-22,23,71.96
2012-06-29,23,74.30
2012-07-06,24,73.69
2012-07-13,28,73.51
2012-07-20,26,73.89
2012-07-27,25,75.51
2012-08-03,25,72.81
2012-08-10,24,74.21
2012-08-17,24,73.91
2012-08-24,26,71.09
2012-08-31,24,71.40
2012-09-07,25,72.89
2012-09-14,26,71.28
2012-09-21,24,69.97
2012-09-28,24,69.60
2012-10-05,24,70.89
2012-10-12,23,71.85
2012-10-19,22,74.01
2012-10-26,22,71.11
2012-11-02,21,70.05
2012-11-09,24,73.25
2012-11-16,24,70.77
2012-11-23,21,73.74
2012-11-30,21,74.28
2012-12-07,22,74.64
2012-12-14,21,74.02
2012-12-21,20,76.17
2012-12-28,19,74.69
2013-01-04,22,77.69
2013-01-11,32,75.16
2013-01-18,50,75.04
2013-01-25,29,75.03
2013-02-01,26,74.87
2013-02-08,26,76.56
2013-02-15,24,75.03
2013-02-22,23,76.66
2013-03-01,23,77.28
2013-03-08,22,81.23
2013-03-15,23,86.43
2013-03-22,24,84.82
2013-03-29,24,
2013-04-05,23,86.17
2013-04-12,24,88.89
2013-04-19,23,87.96
2013-04-26,24,92.85
2013-05-03,32,93.74
2013-05-10,23,94.24
2013-05-17,23,98.92
2013-05-24,22,100.00
2013-05-31,23,99.02
2013-06-07,22,102.49
2013-06-14,25,101.83
2013-06-21,27,99.98
2013-06-28,24,102.44
2013-07-05,41,104.20
2013-07-12,56,101.87
2013-07-19,29,106.96
2013-07-26,26,105.60
2013-08-02,26,107.90
2013-08-09,24,105.33
2013-08-16,24,103.47
2013-08-23,24,105.48
2013-08-30,24,103.92
2013-09-06,22,106.07
2013-09-13,22,111.33
2013-09-20,25,116.63
2013-09-27,24,118.74
2013-10-04,22,117.20
2013-10-11,23,117.98
2013-10-18,23,122.52
2013-10-25,24,131.19
2013-11-01,22,133.03
2013-11-08,23,133.49
2013-11-15,26,136.08
2013-11-22,44,135.97
2013-11-29,23,134.25
2013-12-06,23,135.18
2013-12-13,25,133.83
2013-12-20,23,136.67
2013-12-27,22,136.90
2014-01-03,26,137.62
2014-01-10,27,141.90
2014-01-17,25,140.46
2014-01-24,24,136.65
2014-01-31,25,125.26
2014-02-07,23,127.02
2014-02-14,22,130.16
2014-02-21,22,128.28
2014-02-28,25,128.92
2014-03-07,43,128.54
2014-03-14,99,123.11
2014-03-21,80,122.58
2014-03-28,56,124.46
2014-04-04,39,127.38
2014-04-11,33,122.07
2014-04-18,28,
2014-04-25,27,128.66
2014-05-02,26,
