Date,Johnson & Johnson,Price
2007-01-19,24,67.76
2007-01-26,26,66.07
2007-02-02,25,66.58
2007-02-09,26,65.60
2007-02-16,26,65.51
2007-02-23,27,64.15
2007-03-02,25,61.95
2007-03-09,25,62.14
2007-03-16,24,60.51
2007-03-23,24,60.51
2007-03-30,25,60.26
2007-04-06,24,
2007-04-13,28,62.35
2007-04-20,26,65.12
2007-04-27,26,64.17
2007-05-04,26,64.48
2007-05-11,24,62.27
2007-05-18,24,63.42
2007-05-25,24,63.19
2007-06-01,23,63.41
2007-06-08,25,62.13
2007-06-15,24,62.77
2007-06-22,23,60.73
2007-06-29,25,61.62
2007-07-06,23,62.13
2007-07-13,27,63.43
2007-07-20,26,61.79
2007-07-27,24,59.77
2007-08-03,24,60.55
2007-08-10,25,61.15
2007-08-17,24,62.02
2007-08-24,24,61.88
2007-08-31,24,61.79
2007-09-07,23,61.68
2007-09-14,24,63.20
2007-09-21,24,65.12
2007-09-28,24,65.70
2007-10-05,24,66.25
2007-10-12,24,65.94
2007-10-19,23,64.23
2007-10-26,23,64.30
2007-11-02,23,64.78
2007-11-09,23,65.16
2007-11-16,22,67.75
2007-11-23,20,66.88
2007-11-30,23,67.74
2007-12-07,24,67.68
2007-12-14,23,67.59
2007-12-21,22,68.03
2007-12-28,21,67.38
2008-01-04,23,65.84
2008-01-11,24,67.88
2008-01-18,24,66.29
2008-01-25,24,62.46
2008-02-01,25,63.36
2008-02-08,29,62.03
2008-02-15,27,62.90
2008-02-22,27,63.18
2008-02-29,27,61.96
2008-03-07,27,61.51
2008-03-14,26,62.65
2008-03-21,26,
2008-03-28,25,64.18
2008-04-04,25,65.73
2008-04-11,25,66.00
2008-04-18,26,66.51
2008-04-25,26,67.31
2008-05-02,29,68.26
2008-05-09,26,66.55
2008-05-16,24,66.68
2008-05-23,24,64.92
2008-05-30,23,66.74
2008-06-06,26,65.76
2008-06-13,26,66.27
2008-06-20,25,64.06
2008-06-27,26,63.57
2008-07-04,24,
2008-07-11,25,66.26
2008-07-18,25,67.82
2008-07-25,25,69.03
2008-08-01,26,68.10
2008-08-08,26,71.55
2008-08-15,41,71.33
2008-08-22,44,71.42
2008-08-29,32,70.43
2008-09-05,28,70.67
2008-09-12,26,70.59
2008-09-19,24,69.99
2008-09-26,24,69.40
2008-10-03,24,66.16
2008-10-10,24,55.85
2008-10-17,23,62.65
2008-10-24,24,60.79
2008-10-31,23,61.34
2008-11-07,24,60.22
2008-11-14,23,60.05
2008-11-21,22,58.35
2008-11-28,21,58.58
2008-12-05,22,58.23
2008-12-12,24,57.25
2008-12-19,22,58.84
2008-12-26,20,58.56
2009-01-02,23,60.65
2009-01-09,24,59.05
2009-01-16,23,57.44
2009-01-23,23,55.97
2009-01-30,23,57.69
2009-02-06,23,58.51
2009-02-13,23,57.10
2009-02-20,23,54.65
2009-02-27,23,50.00
2009-03-06,23,47.97
2009-03-13,24,50.64
2009-03-20,23,51.67
2009-03-27,25,52.83
2009-04-03,26,52.15
2009-04-10,25,
2009-04-17,24,53.05
2009-04-24,24,50.92
2009-05-01,24,52.59
2009-05-08,23,54.98
2009-05-15,23,55.41
2009-05-22,26,54.77
2009-05-29,22,55.16
2009-06-05,23,55.93
2009-06-12,22,56.06
2009-06-19,24,56.09
2009-06-26,22,56.60
2009-07-03,21,
2009-07-10,23,56.93
2009-07-17,24,59.23
2009-07-24,23,61.51
2009-07-31,24,60.89
2009-08-07,23,59.90
2009-08-14,23,60.08
2009-08-21,25,61.03
2009-08-28,26,60.29
2009-09-04,22,60.32
2009-09-11,23,60.42
2009-09-18,22,60.78
2009-09-25,23,60.62
2009-10-02,23,59.73
2009-10-09,25,61.74
2009-10-16,24,60.46
2009-10-23,23,60.54
2009-10-30,26,59.05
2009-11-06,24,60.30
2009-11-13,24,61.43
2009-11-20,24,62.31
2009-11-27,23,62.89
2009-12-04,23,64.36
2009-12-11,25,64.85
2009-12-18,24,64.37
2009-12-25,21,
2010-01-01,22,
2010-01-08,46,64.21
2010-01-15,27,64.56
2010-01-22,24,63.20
2010-01-29,23,62.86
2010-02-05,25,62.64
2010-02-12,23,62.72
2010-02-19,24,63.81
2010-02-26,25,63.00
2010-03-05,22,64.04
2010-03-12,22,64.18
2010-03-19,22,65.11
2010-03-26,23,64.38
2010-04-02,25,
2010-04-09,29,65.14
2010-04-16,25,65.02
2010-04-23,24,65.04
2010-04-30,24,64.30
2010-05-07,24,63.31
2010-05-14,24,63.97
2010-05-21,23,60.88
2010-05-28,24,58.30
2010-06-04,24,58.01
2010-06-11,24,58.46
2010-06-18,23,59.18
2010-06-25,23,58.70
2010-07-02,23,59.08
2010-07-09,26,60.54
2010-07-16,25,59.44
2010-07-23,26,57.63
2010-07-30,23,58.09
2010-08-06,24,59.96
2010-08-13,24,58.15
2010-08-20,27,58.74
2010-08-27,25,57.60
2010-09-03,23,58.93
2010-09-10,24,59.98
2010-09-17,25,61.57
2010-09-24,25,62.14
2010-10-01,24,61.75
2010-10-08,23,63.23
2010-10-15,24,63.57
2010-10-22,24,63.81
2010-10-29,23,63.74
2010-11-05,23,64.65
2010-11-12,22,63.67
2010-11-19,26,63.83
2010-11-26,22,62.30
2010-12-03,28,62.56
2010-12-10,23,61.91
2010-12-17,23,62.54
2010-12-24,20,
2010-12-31,21,61.85
2011-01-07,23,62.60
2011-01-14,23,62.55
2011-01-21,23,62.66
2011-01-28,23,60.01
2011-02-04,22,60.84
2011-02-11,23,60.70
2011-02-18,23,61.11
2011-02-25,23,59.64
2011-03-04,22,61.06
2011-03-11,23,59.69
2011-03-18,21,58.57
2011-03-25,23,58.98
2011-04-01,23,59.49
2011-04-08,23,59.46
2011-04-15,24,60.56
2011-04-22,24,
2011-04-29,25,65.72
2011-05-06,26,65.27
2011-05-13,25,66.62
2011-05-20,26,65.69
2011-05-27,24,66.77
2011-06-03,23,66.09
2011-06-10,22,66.09
2011-06-17,22,66.29
2011-06-24,22,65.06
2011-07-01,22,67.30
2011-07-08,22,67.57
2011-07-15,22,67.45
2011-07-22,22,66.72
2011-07-29,23,64.79
2011-08-05,23,62.71
2011-08-12,23,63.36
2011-08-19,22,63.14
2011-08-26,23,64.28
2011-09-02,25,64.07
2011-09-09,22,63.64
2011-09-16,23,64.59
2011-09-23,22,61.59
2011-09-30,22,63.69
2011-10-07,24,63.13
2011-10-14,22,64.72
2011-10-21,22,63.78
2011-10-28,22,65.60
2011-11-04,23,64.12
2011-11-11,24,65.25
2011-11-18,22,63.85
2011-11-25,21,61.27
2011-12-02,23,63.47
2011-12-09,23,64.53
2011-12-16,21,64.30
2011-12-23,20,65.98
2011-12-30,20,65.58
2012-01-06,23,64.83
2012-01-13,23,65.26
2012-01-20,22,65.27
2012-01-27,22,65.56
2012-02-03,21,65.64
2012-02-10,23,64.60
2012-02-17,21,64.99
2012-02-24,23,64.46
2012-03-02,22,64.77
2012-03-09,22,64.74
2012-03-16,23,65.12
2012-03-23,22,64.55
2012-03-30,23,65.96
2012-04-06,24,
2012-04-13,23,63.54
2012-04-20,22,63.71
2012-04-27,22,64.84
2012-05-04,24,64.74
2012-05-11,23,64.34
2012-05-18,24,63.35
2012-05-25,22,62.51
2012-06-01,22,61.78
2012-06-08,25,62.98
2012-06-15,22,66.01
2012-06-22,22,66.63
2012-06-29,22,67.56
2012-07-06,23,67.64
2012-07-13,23,68.61
2012-07-20,24,68.63
2012-07-27,24,69.52
2012-08-03,32,69.12
2012-08-10,29,68.64
2012-08-17,35,67.80
2012-08-24,27,67.60
2012-08-31,25,67.43
2012-09-07,25,67.88
2012-09-14,24,68.47
2012-09-21,23,69.06
2012-09-28,23,68.91
2012-10-05,24,69.65
2012-10-12,24,67.97
2012-10-19,23,71.86
2012-10-26,22,70.90
2012-11-02,21,70.90
2012-11-09,27,69.87
2012-11-16,21,69.19
2012-11-23,20,69.56
2012-11-30,24,69.73
2012-12-07,21,70.45
2012-12-14,22,70.69
2012-12-21,20,70.27
2012-12-28,24,69.48
2013-01-04,22,71.55
2013-01-11,22,72.35
2013-01-18,24,73.23
2013-01-25,22,73.92
2013-02-01,22,74.18
2013-02-08,21,75.48
2013-02-15,21,76.16
2013-02-22,21,76.25
2013-03-01,22,76.70
2013-03-08,21,78.19
2013-03-15,20,79.19
2013-03-22,21,79.74
2013-03-29,23,
2013-04-05,24,82.04
2013-04-12,23,82.74
2013-04-19,21,84.49
2013-04-26,23,85.12
2013-05-03,24,85.75
2013-05-10,21,85.76
2013-05-17,21,88.09
2013-05-24,22,86.82
2013-05-31,22,84.18
2013-06-07,22,84.91
2013-06-14,23,84.91
2013-06-21,23,83.20
2013-06-28,23,85.86
2013-07-05,21,87.87
2013-07-12,21,89.99
2013-07-19,24,92.23
2013-07-26,22,92.83
2013-08-02,23,94.39
2013-08-09,23,92.36
2013-08-16,24,89.37
2013-08-23,24,88.41
2013-08-30,22,86.41
2013-09-06,41,87.16
2013-09-13,25,88.57
2013-09-20,23,89.68
2013-09-27,23,86.73
2013-10-04,22,87.31
2013-10-11,23,89.45
2013-10-18,25,91.63
2013-10-25,23,92.09
2013-11-01,23,93.37
2013-11-08,22,94.05
2013-11-15,23,94.39
2013-11-22,23,95.25
2013-11-29,21,94.66
2013-12-06,24,94.44
2013-12-13,23,91.35
2013-12-20,22,92.09
2013-12-27,20,92.35
2014-01-03,23,91.85
2014-01-10,23,94.74
2014-01-17,23,95.06
2014-01-24,23,90.61
2014-01-31,22,88.47
2014-02-07,23,90.04
2014-02-14,22,92.76
2014-02-21,22,91.52
2014-02-28,22,92.12
2014-03-07,22,93.32
2014-03-14,21,92.81
2014-03-21,21,95.93
2014-03-28,23,97.44
2014-04-04,24,98.42
2014-04-11,29,96.87
2014-04-18,30,
2014-04-25,23,99.79
2014-05-02,27,
