Date,Nike,Price
2011-05-20,55,85.05
2011-05-27,54,84.62
2011-06-03,55,80.36
2011-06-10,53,79.66
2011-06-17,52,81.11
2011-06-24,54,81.18
2011-07-01,52,91.82
2011-07-08,52,93.24
2011-07-15,53,91.70
2011-07-22,54,91.71
2011-07-29,57,90.15
2011-08-05,58,83.87
2011-08-12,60,84.24
2011-08-19,59,78.58
2011-08-26,58,86.29
2011-09-02,57,84.04
2011-09-09,65,82.50
2011-09-16,61,89.77
2011-09-23,56,88.64
2011-09-30,55,85.51
2011-10-07,55,88.15
2011-10-14,56,92.97
2011-10-21,55,94.35
2011-10-28,52,96.75
2011-11-04,52,94.38
2011-11-11,54,96.15
2011-11-18,54,92.75
2011-11-25,59,90.28
2011-12-02,60,96.25
2011-12-09,62,97.68
2011-12-16,59,93.67
2011-12-23,62,96.90
2011-12-30,61,96.37
2012-01-06,55,97.99
2012-01-13,55,98.30
2012-01-20,56,101.76
2012-01-27,58,102.11
2012-02-03,59,103.50
2012-02-10,59,105.41
2012-02-17,57,106.68
2012-02-24,68,106.29
2012-03-02,64,108.74
2012-03-09,66,109.98
2012-03-16,63,111.22
2012-03-23,64,107.42
2012-03-30,64,108.44
2012-04-06,83,
2012-04-13,66,109.17
2012-04-20,68,110.77
2012-04-27,65,110.64
2012-05-04,66,111.81
2012-05-11,61,108.26
2012-05-18,62,105.44
2012-05-25,63,108.79
2012-06-01,62,104.60
2012-06-08,65,108.64
2012-06-15,62,101.75
2012-06-22,63,99.40
2012-06-29,62,87.78
2012-07-06,63,91.38
2012-07-13,67,93.97
2012-07-20,67,93.08
2012-07-27,67,97.03
2012-08-03,73,94.57
2012-08-10,78,94.50
2012-08-17,75,96.26
2012-08-24,74,96.86
2012-08-31,72,97.36
2012-09-07,70,99.29
2012-09-14,66,96.64
2012-09-21,64,96.52
2012-09-28,63,94.91
2012-10-05,63,95.22
2012-10-12,62,94.42
2012-10-19,61,96.45
2012-10-26,61,91.15
2012-11-02,57,94.54
2012-11-09,60,92.31
2012-11-16,61,92.59
2012-11-23,67,96.75
2012-11-30,69,97.48
2012-12-07,67,98.59
2012-12-14,70,96.91
2012-12-21,67,105.10
2012-12-28,71,50.99
2013-01-04,64,52.88
2013-01-11,64,53.10
2013-01-18,64,53.29
2013-01-25,63,55.55
2013-02-01,63,53.70
2013-02-08,62,54.59
2013-02-15,63,54.95
2013-02-22,63,54.47
2013-03-01,64,54.82
2013-03-08,66,54.69
2013-03-15,67,54.78
2013-03-22,67,59.53
2013-03-29,70,
2013-04-05,68,58.97
2013-04-12,71,60.58
2013-04-19,69,60.92
2013-04-26,70,61.89
2013-05-03,73,64.55
2013-05-10,68,64.76
2013-05-17,67,65.32
2013-05-24,68,62.79
2013-05-31,74,61.66
2013-06-07,69,62.75
2013-06-14,68,61.89
2013-06-21,64,60.57
2013-06-28,67,63.68
2013-07-05,68,63.64
2013-07-12,66,63.67
2013-07-19,71,63.35
2013-07-26,70,62.53
2013-08-02,73,66.30
2013-08-09,74,66.31
2013-08-16,74,63.65
2013-08-23,74,64.21
2013-08-30,78,62.82
2013-09-06,76,64.98
2013-09-13,73,67.91
2013-09-20,67,69.37
2013-09-27,66,73.64
2013-10-04,68,72.14
2013-10-11,70,73.46
2013-10-18,70,75.93
2013-10-25,67,75.70
2013-11-01,66,76.06
2013-11-08,68,77.12
2013-11-15,73,79.22
2013-11-22,73,78.87
2013-11-29,84,79.14
2013-12-06,85,79.86
2013-12-13,82,76.40
2013-12-20,81,77.34
2013-12-27,84,78.16
2014-01-03,72,78.03
2014-01-10,77,76.92
2014-01-17,77,73.39
2014-01-24,76,71.65
2014-01-31,76,72.85
2014-02-07,78,72.69
2014-02-14,80,75.07
2014-02-21,84,76.48
2014-02-28,85,78.30
2014-03-07,92,79.46
2014-03-14,90,78.32
2014-03-21,88,75.21
2014-03-28,90,73.54
2014-04-04,90,72.84
2014-04-11,89,71.25
2014-04-18,92,
2014-04-25,90,72.70
2014-05-02,100,
