Date,JPM,Price
2006-08-18,34,45.71
2006-08-25,27,45.52
2006-09-01,27,45.73
2006-09-08,36,45.26
2006-09-15,32,46.95
2006-09-22,35,46.82
2006-09-29,39,46.96
2006-10-06,35,46.86
2006-10-13,41,48.16
2006-10-20,35,47.12
2006-10-27,34,47.29
2006-11-03,30,46.89
2006-11-10,34,47.61
2006-11-17,33,47.66
2006-11-24,32,47.27
2006-12-01,33,46.01
2006-12-08,29,46.76
2006-12-15,31,48.30
2006-12-22,30,47.89
2006-12-29,31,48.30
2007-01-05,29,47.79
2007-01-12,39,47.99
2007-01-19,39,48.76
2007-01-26,44,49.70
2007-02-02,34,50.93
2007-02-09,35,50.42
2007-02-16,37,51.25
2007-02-23,40,51.03
2007-03-02,38,48.19
2007-03-09,37,48.82
2007-03-16,43,47.03
2007-03-23,35,48.52
2007-03-30,36,48.38
2007-04-06,32,
2007-04-13,36,49.09
2007-04-20,43,52.54
2007-04-27,38,52.55
2007-05-04,36,52.63
2007-05-11,33,52.15
2007-05-18,34,52.54
2007-05-25,33,51.64
2007-06-01,37,51.90
2007-06-08,35,50.41
2007-06-15,41,50.56
2007-06-22,37,48.72
2007-06-29,36,48.45
2007-07-06,33,48.97
2007-07-13,32,50.05
2007-07-20,47,47.56
2007-07-27,32,44.23
2007-08-03,33,43.65
2007-08-10,36,44.25
2007-08-17,34,47.01
2007-08-24,37,45.95
2007-08-31,34,44.52
2007-09-07,30,43.52
2007-09-14,35,45.54
2007-09-21,33,47.13
2007-09-28,33,45.82
2007-10-05,39,47.58
2007-10-12,37,46.82
2007-10-19,38,45.02
2007-10-26,31,47.32
2007-11-02,37,43.15
2007-11-09,42,42.31
2007-11-16,39,43.09
2007-11-23,33,41.95
2007-11-30,33,45.62
2007-12-07,44,46.08
2007-12-14,35,45.20
2007-12-21,31,44.11
2007-12-28,33,43.26
2008-01-04,34,40.93
2008-01-11,40,40.86
2008-01-18,50,39.59
2008-01-25,51,43.64
2008-02-01,42,48.25
2008-02-08,35,43.82
2008-02-15,34,43.25
2008-02-22,34,43.93
2008-02-29,35,40.65
2008-03-07,40,37.56
2008-03-14,35,36.54
2008-03-21,100,
2008-03-28,56,42.71
2008-04-04,50,45.57
2008-04-11,38,42.53
2008-04-18,46,45.76
2008-04-25,40,47.79
2008-05-02,40,48.66
2008-05-09,35,46.57
2008-05-16,41,46.53
2008-05-23,37,42.32
2008-05-30,33,43.00
2008-06-06,43,40.09
2008-06-13,43,39.58
2008-06-20,41,37.86
2008-06-27,50,35.05
2008-07-04,39,
2008-07-11,42,33.16
2008-07-18,66,40.02
2008-07-25,41,39.52
2008-08-01,42,40.76
2008-08-08,37,41.07
2008-08-15,40,38.07
2008-08-22,38,37.67
2008-08-29,39,38.49
2008-09-05,35,39.60
2008-09-12,41,41.17
2008-09-19,65,47.05
2008-09-26,80,48.24
2008-10-03,78,45.90
2008-10-10,75,41.64
2008-10-17,74,39.33
2008-10-24,54,35.43
2008-10-31,49,41.25
2008-11-07,40,37.75
2008-11-14,52,34.47
2008-11-21,59,22.72
2008-11-28,49,31.66
2008-12-05,52,33.35
2008-12-12,46,30.94
2008-12-19,43,30.32
2008-12-26,28,29.80
2009-01-02,30,31.35
2009-01-09,43,25.97
2009-01-16,61,22.82
2009-01-23,64,24.28
2009-01-30,53,25.51
2009-02-06,53,27.63
2009-02-13,46,24.69
2009-02-20,53,19.90
2009-02-27,63,22.85
2009-03-06,62,15.93
2009-03-13,64,23.75
2009-03-20,57,23.15
2009-03-27,64,27.40
2009-04-03,49,29.28
2009-04-10,56,
2009-04-17,88,33.26
2009-04-24,60,33.38
2009-05-01,49,32.49
2009-05-08,56,38.94
2009-05-15,50,34.91
2009-05-22,43,34.41
2009-05-29,41,36.90
2009-06-05,49,34.55
2009-06-12,42,35.13
2009-06-19,44,35.00
2009-06-26,37,34.45
2009-07-03,35,
2009-07-10,40,32.34
2009-07-17,62,36.89
2009-07-24,42,37.92
2009-07-31,41,38.65
2009-08-07,46,42.36
2009-08-14,39,42.45
2009-08-21,40,43.66
2009-08-28,41,42.92
2009-09-04,37,42.34
2009-09-11,36,42.50
2009-09-18,43,44.95
2009-09-25,35,43.65
2009-10-02,41,41.86
2009-10-09,40,45.85
2009-10-16,57,46.06
2009-10-23,40,45.23
2009-10-30,37,41.77
2009-11-06,31,43.48
2009-11-13,32,42.90
2009-11-20,35,42.46
2009-11-27,31,41.33
2009-12-04,38,41.74
2009-12-11,38,40.96
2009-12-18,34,40.95
2009-12-25,27,
2010-01-01,25,
2010-01-08,39,44.68
2010-01-15,54,43.68
2010-01-22,46,39.16
2010-01-29,42,38.94
2010-02-05,35,38.30
2010-02-12,34,38.95
2010-02-19,35,40.03
2010-02-26,36,41.97
2010-03-05,36,42.81
2010-03-12,36,43.15
2010-03-19,38,43.45
2010-03-26,37,45.02
2010-04-02,33,
2010-04-09,34,45.98
2010-04-16,48,45.55
2010-04-23,34,44.94
2010-04-30,33,42.58
2010-05-07,39,40.76
2010-05-14,38,39.89
2010-05-21,36,40.05
2010-05-28,33,39.58
2010-06-04,35,37.62
2010-06-11,34,38.09
2010-06-18,32,39.18
2010-06-25,35,39.44
2010-07-02,34,35.83
2010-07-09,31,38.85
2010-07-16,45,39.00
2010-07-23,36,39.83
2010-07-30,35,40.28
2010-08-06,34,40.44
2010-08-13,33,37.50
2010-08-20,34,37.14
2010-08-27,29,36.60
2010-09-03,30,39.17
2010-09-10,32,39.76
2010-09-17,31,40.06
2010-09-24,32,39.75
2010-10-01,33,38.81
2010-10-08,35,39.31
2010-10-15,52,37.15
2010-10-22,44,37.70
2010-10-29,37,37.63
2010-11-05,38,40.94
2010-11-12,37,39.61
2010-11-19,32,39.41
2010-11-26,30,37.50
2010-12-03,33,39.61
2010-12-10,36,41.43
2010-12-17,32,39.67
2010-12-24,32,
2010-12-31,28,42.42
2011-01-07,38,43.64
2011-01-14,51,44.91
2011-01-21,38,45.29
2011-01-28,36,44.54
2011-02-04,33,44.59
2011-02-11,35,46.57
2011-02-18,35,48.00
2011-02-25,32,46.68
2011-03-04,34,45.52
2011-03-11,38,45.74
2011-03-18,33,45.74
2011-03-25,35,45.86
2011-04-01,31,46.35
2011-04-08,37,46.84
2011-04-15,42,44.89
2011-04-22,35,
2011-04-29,35,45.63
2011-05-06,31,45.04
2011-05-13,29,43.15
2011-05-20,31,43.13
2011-05-27,29,42.79
2011-06-03,28,41.57
2011-06-10,27,41.05
2011-06-17,39,40.80
2011-06-24,30,39.49
2011-07-01,30,41.58
2011-07-08,31,40.74
2011-07-15,37,39.98
2011-07-22,34,42.19
2011-07-29,28,40.45
2011-08-05,33,37.60
2011-08-12,42,35.91
2011-08-19,30,34.35
2011-08-26,38,36.21
2011-09-02,31,34.63
2011-09-09,37,32.08
2011-09-16,34,33.43
2011-09-23,37,29.59
2011-09-30,40,30.12
2011-10-07,38,30.70
2011-10-14,42,31.89
2011-10-21,34,33.42
2011-10-28,31,36.69
2011-11-04,31,33.97
2011-11-11,30,33.28
2011-11-18,31,30.62
2011-11-25,30,28.48
2011-12-02,33,32.33
2011-12-09,35,33.18
2011-12-16,32,31.89
2011-12-23,31,33.57
2011-12-30,26,33.25
2012-01-06,33,35.36
2012-01-13,41,35.92
2012-01-20,32,37.36
2012-01-27,32,37.21
2012-02-03,32,38.28
2012-02-10,31,37.61
2012-02-17,31,38.47
2012-02-24,30,38.28
2012-03-02,32,40.63
2012-03-09,32,41.03
2012-03-16,41,44.57
2012-03-23,34,45.16
2012-03-30,32,45.98
2012-04-06,31,
2012-04-13,37,43.21
2012-04-20,32,42.72
2012-04-27,29,43.34
2012-05-04,27,41.75
2012-05-11,75,36.96
2012-05-18,84,33.49
2012-05-25,53,33.50
2012-06-01,44,31.93
2012-06-08,39,33.68
2012-06-15,45,35.03
2012-06-22,39,35.99
2012-06-29,40,35.73
2012-07-06,35,33.90
2012-07-13,69,36.07
2012-07-20,38,33.90
2012-07-27,36,36.89
2012-08-03,31,36.09
2012-08-10,33,36.97
2012-08-17,26,36.98
2012-08-24,30,37.17
2012-08-31,28,37.14
2012-09-07,32,39.30
2012-09-14,36,41.57
2012-09-21,32,40.88
2012-09-28,31,40.48
2012-10-05,33,41.71
2012-10-12,39,41.62
2012-10-19,33,42.32
2012-10-26,26,41.16
2012-11-02,26,42.42
2012-11-09,31,40.62
2012-11-16,26,39.53
2012-11-23,25,41.09
2012-11-30,28,41.08
2012-12-07,37,42.56
2012-12-14,39,42.81
2012-12-21,32,44.00
2012-12-28,26,43.24
2013-01-04,36,45.36
2013-01-11,38,46.14
2013-01-18,43,46.46
2013-01-25,46,47.16
2013-02-01,36,47.85
2013-02-08,34,48.63
2013-02-15,29,48.88
2013-02-22,42,48.91
2013-03-01,35,48.91
2013-03-08,35,50.20
2013-03-15,41,50.02
2013-03-22,36,48.78
2013-03-29,31,
2013-04-05,33,47.91
2013-04-12,42,49.01
2013-04-19,34,47.23
2013-04-26,31,48.88
2013-05-03,34,47.57
2013-05-10,35,48.96
2013-05-17,38,52.30
2013-05-24,39,53.66
2013-05-31,35,54.59
2013-06-07,33,54.27
2013-06-14,35,53.13
2013-06-21,33,51.96
2013-06-28,34,52.79
2013-07-05,30,53.99
2013-07-12,44,54.97
2013-07-19,36,56.16
2013-07-26,34,56.05
2013-08-02,34,56.49
2013-08-09,33,54.52
2013-08-16,31,53.29
2013-08-23,33,52.32
2013-08-30,31,50.53
2013-09-06,25,52.56
2013-09-13,33,52.59
2013-09-20,37,52.80
2013-09-27,37,52.24
2013-10-04,31,52.67
2013-10-11,38,52.51
2013-10-18,35,54.30
2013-10-25,40,52.77
2013-11-01,32,52.51
2013-11-08,30,53.96
2013-11-15,36,54.87
2013-11-22,37,57.46
2013-11-29,32,57.22
2013-12-06,34,56.06
2013-12-13,29,56.17
2013-12-20,30,57.70
2013-12-27,28,58.14
2014-01-03,29,58.66
2014-01-10,38,58.49
2014-01-17,46,58.11
2014-01-24,34,55.09
2014-01-31,39,55.36
2014-02-07,36,56.62
2014-02-14,32,58.15
2014-02-21,33,57.61
2014-02-28,33,56.82
2014-03-07,32,59.40
2014-03-14,30,56.80
2014-03-21,33,60.17
2014-03-28,30,60.04
2014-04-04,31,59.81
2014-04-11,38,55.30
2014-04-18,34,
2014-04-25,29,55.70
2014-05-02,25,
