Date,Intel,Price
2006-07-21,83,17.15
2006-07-28,88,18.18
2006-08-04,85,17.49
2006-08-11,87,17.41
2006-08-18,88,18.40
2006-08-25,87,18.90
2006-09-01,86,19.88
2006-09-08,89,19.45
2006-09-15,85,19.51
2006-09-22,83,19.07
2006-09-29,86,20.57
2006-10-06,84,20.63
2006-10-13,82,21.60
2006-10-20,85,21.33
2006-10-27,82,21.10
2006-11-03,83,20.51
2006-11-10,82,20.58
2006-11-17,86,22.10
2006-11-24,83,21.59
2006-12-01,79,20.93
2006-12-08,77,20.68
2006-12-15,79,20.96
2006-12-22,79,20.08
2006-12-29,85,20.25
2007-01-05,78,21.10
2007-01-12,79,22.13
2007-01-19,80,20.82
2007-01-26,79,20.53
2007-02-02,85,21.23
2007-02-09,80,21.03
2007-02-16,80,21.23
2007-02-23,81,20.76
2007-03-02,75,19.22
2007-03-09,77,19.10
2007-03-16,76,19.15
2007-03-23,77,19.27
2007-03-30,76,19.13
2007-04-06,75,
2007-04-13,73,20.46
2007-04-20,74,22.16
2007-04-27,75,21.87
2007-05-04,71,21.90
2007-05-11,74,22.28
2007-05-18,75,22.70
2007-05-25,75,22.16
2007-06-01,73,22.36
2007-06-08,75,21.83
2007-06-15,72,24.24
2007-06-22,73,23.70
2007-06-29,77,23.74
2007-07-06,76,24.68
2007-07-13,76,25.97
2007-07-20,80,24.55
2007-07-27,82,23.54
2007-08-03,79,23.91
2007-08-10,80,23.98
2007-08-17,78,23.70
2007-08-24,81,24.79
2007-08-31,79,25.75
2007-09-07,80,25.47
2007-09-14,77,24.93
2007-09-21,79,25.87
2007-09-28,76,25.86
2007-10-05,75,25.54
2007-10-12,76,25.55
2007-10-19,76,26.30
2007-10-26,76,25.94
2007-11-02,81,26.80
2007-11-09,80,25.15
2007-11-16,82,25.51
2007-11-23,94,25.07
2007-11-30,90,26.08
2007-12-07,90,27.73
2007-12-14,78,26.29
2007-12-21,79,26.96
2007-12-28,86,26.76
2008-01-04,81,22.67
2008-01-11,84,21.99
2008-01-18,81,19.00
2008-01-25,78,20.00
2008-02-01,77,21.77
2008-02-08,77,20.27
2008-02-15,74,20.11
2008-02-22,73,19.82
2008-02-29,75,19.97
2008-03-07,73,20.07
2008-03-14,76,20.66
2008-03-21,74,
2008-03-28,73,20.79
2008-04-04,73,21.87
2008-04-11,72,21.24
2008-04-18,71,22.55
2008-04-25,68,22.56
2008-05-02,69,23.58
2008-05-09,67,23.37
2008-05-16,67,25.00
2008-05-23,67,23.41
2008-05-30,68,23.18
2008-06-06,70,22.90
2008-06-13,70,22.66
2008-06-20,68,22.37
2008-06-27,71,21.49
2008-07-04,71,
2008-07-11,71,20.64
2008-07-18,73,22.09
2008-07-25,75,22.01
2008-08-01,73,22.35
2008-08-08,78,24.23
2008-08-15,78,24.26
2008-08-22,79,23.49
2008-08-29,78,22.87
2008-09-05,74,20.61
2008-09-12,75,20.16
2008-09-19,75,19.23
2008-09-26,75,19.20
2008-10-03,73,17.31
2008-10-10,73,15.19
2008-10-17,72,15.50
2008-10-24,72,14.28
2008-10-31,72,16.03
2008-11-07,74,14.63
2008-11-14,76,13.32
2008-11-21,79,13.11
2008-11-28,76,13.80
2008-12-05,78,13.29
2008-12-12,76,14.75
2008-12-19,75,14.44
2008-12-26,80,14.18
2009-01-02,79,15.20
2009-01-09,79,14.15
2009-01-16,79,13.74
2009-01-23,79,13.12
2009-01-30,74,12.90
2009-02-06,75,14.73
2009-02-13,72,13.88
2009-02-20,72,12.78
2009-02-27,73,12.74
2009-03-06,72,12.41
2009-03-13,70,14.70
2009-03-20,69,14.65
2009-03-27,67,15.42
2009-04-03,68,15.95
2009-04-10,67,
2009-04-17,68,15.60
2009-04-24,67,15.62
2009-05-01,65,15.81
2009-05-08,66,15.29
2009-05-15,69,15.19
2009-05-22,68,15.05
2009-05-29,65,15.72
2009-06-05,66,15.92
2009-06-12,65,16.31
2009-06-19,65,16.01
2009-06-26,65,16.29
2009-07-03,61,
2009-07-10,66,16.04
2009-07-17,67,18.79
2009-07-24,67,19.36
2009-07-31,67,19.25
2009-08-07,70,18.50
2009-08-14,70,18.77
2009-08-21,68,18.89
2009-08-28,71,20.25
2009-09-04,71,19.64
2009-09-11,73,19.51
2009-09-18,72,19.56
2009-09-25,68,19.37
2009-10-02,68,18.97
2009-10-09,69,20.17
2009-10-16,68,20.18
2009-10-23,76,19.78
2009-10-30,76,19.11
2009-11-06,75,18.93
2009-11-13,76,19.82
2009-11-20,77,19.24
2009-11-27,78,19.11
2009-12-04,75,20.46
2009-12-11,74,19.90
2009-12-18,70,19.63
2009-12-25,72,
2010-01-01,75,
2010-01-08,72,20.83
2010-01-15,76,20.80
2010-01-22,75,19.91
2010-01-29,73,19.40
2010-02-05,76,19.47
2010-02-12,72,20.43
2010-02-19,70,20.82
2010-02-26,67,20.53
2010-03-05,69,20.79
2010-03-12,68,21.27
2010-03-19,68,21.99
2010-03-26,66,22.24
2010-04-02,65,
2010-04-09,64,22.55
2010-04-16,65,23.92
2010-04-23,61,24.04
2010-04-30,62,22.84
2010-05-07,60,21.31
2010-05-14,61,21.89
2010-05-21,59,20.91
2010-05-28,58,21.42
2010-06-04,61,20.95
2010-06-11,58,20.64
2010-06-18,60,21.40
2010-06-25,58,20.03
2010-07-02,56,19.20
2010-07-09,55,20.24
2010-07-16,57,21.02
2010-07-23,58,21.69
2010-07-30,61,20.60
2010-08-06,63,20.65
2010-08-13,62,19.15
2010-08-20,67,18.91
2010-08-27,64,18.37
2010-09-03,62,18.43
2010-09-10,60,17.97
2010-09-17,59,18.81
2010-09-24,60,19.42
2010-10-01,59,19.32
2010-10-08,57,19.52
2010-10-15,59,19.32
2010-10-22,58,19.84
2010-10-29,57,20.05
2010-11-05,57,21.24
2010-11-12,58,21.53
2010-11-19,61,21.14
2010-11-26,62,21.34
2010-12-03,59,21.69
2010-12-10,57,21.91
2010-12-17,57,21.46
2010-12-24,56,
2010-12-31,61,21.03
2011-01-07,63,20.66
2011-01-14,64,21.08
2011-01-21,60,20.82
2011-01-28,59,21.46
2011-02-04,63,21.68
2011-02-11,59,21.76
2011-02-18,57,22.14
2011-02-25,60,21.86
2011-03-04,57,21.56
2011-03-11,54,20.87
2011-03-18,55,19.93
2011-03-25,55,20.37
2011-04-01,54,19.72
2011-04-08,53,20.02
2011-04-15,53,19.75
2011-04-22,54,
2011-04-29,53,23.15
2011-05-06,54,23.25
2011-05-13,53,23.41
2011-05-20,52,23.22
2011-05-27,50,22.21
2011-06-03,52,21.73
2011-06-10,50,21.38
2011-06-17,51,21.19
2011-06-24,52,21.20
2011-07-01,52,22.53
2011-07-08,49,23.09
2011-07-15,51,22.37
2011-07-22,53,23.13
2011-07-29,53,22.33
2011-08-05,54,20.79
2011-08-12,54,20.65
2011-08-19,54,19.19
2011-08-26,53,19.77
2011-09-02,52,19.64
2011-09-09,52,19.70
2011-09-16,53,21.97
2011-09-23,52,22.16
2011-09-30,51,21.34
2011-10-07,50,22.29
2011-10-14,52,23.50
2011-10-21,52,24.03
2011-10-28,51,24.98
2011-11-04,50,23.74
2011-11-11,53,24.85
2011-11-18,57,24.29
2011-11-25,54,22.73
2011-12-02,55,24.64
2011-12-09,52,25.01
2011-12-16,53,23.23
2011-12-23,50,24.40
2011-12-30,54,24.25
2012-01-06,50,25.25
2012-01-13,52,25.14
2012-01-20,50,26.38
2012-01-27,48,26.73
2012-02-03,47,26.74
2012-02-10,47,26.70
2012-02-17,46,27.37
2012-02-24,47,26.70
2012-03-02,47,26.92
2012-03-09,50,27.07
2012-03-16,46,27.73
2012-03-23,45,27.88
2012-03-30,44,28.12
2012-04-06,45,
2012-04-13,45,28.09
2012-04-20,46,27.60
2012-04-27,47,28.38
2012-05-04,46,27.90
2012-05-11,44,27.63
2012-05-18,47,26.07
2012-05-25,45,25.74
2012-06-01,44,25.14
2012-06-08,46,26.41
2012-06-15,47,27.34
2012-06-22,46,26.94
2012-06-29,46,26.65
2012-07-06,46,26.16
2012-07-13,46,25.25
2012-07-20,47,25.52
2012-07-27,45,26.02
2012-08-03,44,26.23
2012-08-10,46,26.88
2012-08-17,46,26.33
2012-08-24,49,24.91
2012-08-31,48,24.83
2012-09-07,48,24.19
2012-09-14,49,23.37
2012-09-21,49,23.13
2012-09-28,48,22.66
2012-10-05,45,22.68
2012-10-12,45,21.48
2012-10-19,44,21.27
2012-10-26,47,21.95
2012-11-02,48,22.06
2012-11-09,48,20.80
2012-11-16,50,20.19
2012-11-23,53,19.72
2012-11-30,51,19.57
2012-12-07,48,20.16
2012-12-14,47,20.53
2012-12-21,47,20.77
2012-12-28,49,20.23
2013-01-04,46,21.16
2013-01-11,48,22.00
2013-01-18,47,21.25
2013-01-25,48,20.96
2013-02-01,47,21.36
2013-02-08,44,21.00
2013-02-15,44,21.12
2013-02-22,44,20.42
2013-03-01,45,21.03
2013-03-08,46,21.58
2013-03-15,44,21.38
2013-03-22,43,21.33
2013-03-29,43,
2013-04-05,41,20.94
2013-04-12,42,21.68
2013-04-19,40,22.44
2013-04-26,38,23.40
2013-05-03,39,23.96
2013-05-10,39,24.50
2013-05-17,38,24.04
2013-05-24,40,23.92
2013-05-31,41,24.28
2013-06-07,45,24.59
2013-06-14,43,24.92
2013-06-21,41,24.20
2013-06-28,42,24.23
2013-07-05,41,24.06
2013-07-12,41,23.90
2013-07-19,43,23.04
2013-07-26,40,23.26
2013-08-02,40,23.22
2013-08-09,41,22.51
2013-08-16,42,21.91
2013-08-23,41,22.44
2013-08-30,43,21.98
2013-09-06,41,22.67
2013-09-13,44,23.44
2013-09-20,42,23.77
2013-09-27,42,22.98
2013-10-04,42,22.81
2013-10-11,43,23.26
2013-10-18,42,23.88
2013-10-25,44,24.24
2013-11-01,45,24.33
2013-11-08,43,24.09
2013-11-15,45,24.52
2013-11-22,46,23.87
2013-11-29,49,23.84
2013-12-06,45,24.82
2013-12-13,45,24.29
2013-12-20,44,25.06
2013-12-27,47,25.60
2014-01-03,43,25.78
2014-01-10,47,25.53
2014-01-17,45,25.85
2014-01-24,45,24.81
2014-01-31,42,24.54
2014-02-07,41,24.21
2014-02-14,41,24.76
2014-02-21,41,24.42
2014-02-28,41,24.76
2014-03-07,40,24.64
2014-03-14,41,24.50
2014-03-21,41,25.17
2014-03-28,40,25.62
2014-04-04,39,26.16
2014-04-11,40,26.18
2014-04-18,40,
2014-04-25,39,26.26
2014-05-02,37,
