Date,Goldman Sachs,Price
2005-12-30,18,127.71
2006-01-06,23,128.84
2006-01-13,23,133.26
2006-01-20,24,131.44
2006-01-27,24,138.94
2006-02-03,25,142.74
2006-02-10,22,140.81
2006-02-17,21,145.54
2006-02-24,20,144.16
2006-03-03,21,146.00
2006-03-10,19,141.53
2006-03-17,22,150.36
2006-03-24,22,152.17
2006-03-31,20,156.96
2006-04-07,20,161.02
2006-04-14,21,
2006-04-21,20,165.89
2006-04-28,19,160.29
2006-05-05,23,164.39
2006-05-12,20,156.11
2006-05-19,18,149.41
2006-05-26,19,152.94
2006-06-02,27,154.09
2006-06-09,24,149.89
2006-06-16,23,144.00
2006-06-23,22,147.92
2006-06-30,20,150.43
2006-07-07,17,148.51
2006-07-14,21,140.10
2006-07-21,20,142.04
2006-07-28,19,151.72
2006-08-04,20,152.99
2006-08-11,20,151.11
2006-08-18,19,154.68
2006-08-25,18,150.07
2006-09-01,16,149.14
2006-09-08,18,149.80
2006-09-15,23,162.71
2006-09-22,23,167.52
2006-09-29,22,169.17
2006-10-06,24,175.65
2006-10-13,25,183.85
2006-10-20,23,180.40
2006-10-27,29,188.67
2006-11-03,24,187.13
2006-11-10,23,187.06
2006-11-17,22,195.04
2006-11-24,21,201.60
2006-12-01,23,194.50
2006-12-08,23,205.10
2006-12-15,52,199.84
2006-12-22,38,198.09
2006-12-29,24,199.35
2007-01-05,27,199.05
2007-01-12,28,213.99
2007-01-19,29,210.29
2007-01-26,29,213.50
2007-02-02,27,213.43
2007-02-09,27,213.28
2007-02-16,24,216.92
2007-02-23,25,216.50
2007-03-02,24,195.67
2007-03-09,22,201.70
2007-03-16,23,199.00
2007-03-23,23,211.89
2007-03-30,23,206.63
2007-04-06,19,
2007-04-13,21,206.50
2007-04-20,22,220.00
2007-04-27,21,224.28
2007-05-04,20,227.34
2007-05-11,21,227.50
2007-05-18,20,230.34
2007-05-25,18,225.53
2007-06-01,20,230.71
2007-06-08,22,225.06
2007-06-15,22,226.19
2007-06-22,21,222.40
2007-06-29,21,216.75
2007-07-06,26,223.64
2007-07-13,23,222.18
2007-07-20,23,205.94
2007-07-27,23,192.65
2007-08-03,21,179.68
2007-08-10,27,180.50
2007-08-17,25,175.00
2007-08-24,22,179.73
2007-08-31,18,176.01
2007-09-07,20,178.98
2007-09-14,21,190.59
2007-09-21,29,209.98
2007-09-28,24,216.74
2007-10-05,25,228.50
2007-10-12,26,233.56
2007-10-19,26,217.69
2007-10-26,23,235.92
2007-11-02,25,229.60
2007-11-09,25,211.33
2007-11-16,27,225.25
2007-11-23,25,216.48
2007-11-30,26,226.64
2007-12-07,25,217.89
2007-12-14,26,210.67
2007-12-21,32,209.60
2007-12-28,19,211.94
2008-01-04,21,199.93
2008-01-11,26,198.74
2008-01-18,27,187.21
2008-01-25,26,191.37
2008-02-01,24,207.78
2008-02-08,24,187.07
2008-02-15,22,178.41
2008-02-22,21,177.71
2008-02-29,23,169.63
2008-03-07,21,160.07
2008-03-14,22,156.86
2008-03-21,26,
2008-03-28,19,164.45
2008-04-04,19,175.40
2008-04-11,19,167.30
2008-04-18,18,179.93
2008-04-25,17,192.00
2008-05-02,18,200.27
2008-05-09,20,188.09
2008-05-16,18,187.14
2008-05-23,18,172.64
2008-05-30,16,176.41
2008-06-06,18,169.44
2008-06-13,18,178.29
2008-06-20,23,183.77
2008-06-27,22,174.56
2008-07-04,19,
2008-07-11,20,162.48
2008-07-18,19,182.84
2008-07-25,19,178.66
2008-08-01,17,182.00
2008-08-08,17,175.95
2008-08-15,19,163.18
2008-08-22,18,159.81
2008-08-29,16,163.97
2008-09-05,16,163.24
2008-09-12,19,154.21
2008-09-19,62,129.80
2008-09-26,60,137.99
2008-10-03,36,128.00
2008-10-10,32,88.80
2008-10-17,28,114.30
2008-10-24,26,100.40
2008-10-31,27,92.50
2008-11-07,24,77.78
2008-11-14,24,66.73
2008-11-21,23,53.31
2008-11-28,16,78.99
2008-12-05,21,70.72
2008-12-12,17,67.74
2008-12-19,22,80.73
2008-12-26,12,75.97
2009-01-02,11,86.76
2009-01-09,15,83.92
2009-01-16,15,73.05
2009-01-23,15,74.91
2009-01-30,17,80.73
2009-02-06,17,96.57
2009-02-13,16,96.45
2009-02-20,17,84.59
2009-02-27,16,91.08
2009-03-06,15,75.65
2009-03-13,14,98.80
2009-03-20,17,97.32
2009-03-27,16,108.08
2009-04-03,14,119.40
2009-04-10,14,
2009-04-17,27,120.60
2009-04-24,15,121.30
2009-05-01,15,127.08
2009-05-08,13,139.59
2009-05-15,13,134.40
2009-05-22,14,136.35
2009-05-29,12,144.57
2009-06-05,14,149.01
2009-06-12,15,145.64
2009-06-19,14,143.13
2009-06-26,16,146.74
2009-07-03,17,
2009-07-10,23,141.87
2009-07-17,48,156.84
2009-07-24,27,164.72
2009-07-31,24,163.30
2009-08-07,23,163.65
2009-08-14,17,162.73
2009-08-21,17,163.51
2009-08-28,17,164.42
2009-09-04,16,162.97
2009-09-11,19,174.70
2009-09-18,20,183.18
2009-09-25,20,179.50
2009-10-02,20,179.61
2009-10-09,21,189.30
2009-10-16,32,184.37
2009-10-23,24,180.36
2009-10-30,21,170.17
2009-11-06,23,171.78
2009-11-13,27,176.76
2009-11-20,26,170.01
2009-11-27,19,164.16
2009-12-04,21,167.24
2009-12-11,21,166.00
2009-12-18,17,163.19
2009-12-25,14,
2010-01-01,14,
2010-01-08,19,174.31
2010-01-15,23,165.21
2010-01-22,27,154.12
2010-01-29,22,148.72
2010-02-05,22,154.16
2010-02-12,20,153.93
2010-02-19,22,156.18
2010-02-26,21,156.35
2010-03-05,21,167.18
2010-03-12,19,174.96
2010-03-19,18,177.90
2010-03-26,17,172.87
2010-04-02,17,
2010-04-09,17,179.12
2010-04-16,49,160.70
2010-04-23,100,157.40
2010-04-30,80,145.20
2010-05-07,35,142.99
2010-05-14,25,143.23
2010-05-21,21,140.62
2010-05-28,18,144.26
2010-06-04,17,142.25
2010-06-11,20,135.64
2010-06-18,17,138.18
2010-06-25,15,139.66
2010-07-02,15,131.08
2010-07-09,14,138.06
2010-07-16,20,146.17
2010-07-23,21,147.38
2010-07-30,16,150.82
2010-08-06,18,155.18
2010-08-13,16,148.08
2010-08-20,15,148.24
2010-08-27,15,139.75
2010-09-03,14,147.29
2010-09-10,15,150.39
2010-09-17,19,150.98
2010-09-24,17,147.28
2010-10-01,18,147.70
2010-10-08,20,152.66
2010-10-15,18,150.69
2010-10-22,20,157.76
2010-10-29,18,161.13
2010-11-05,17,171.07
2010-11-12,19,165.83
2010-11-19,20,166.67
2010-11-26,16,158.22
2010-12-03,17,162.31
2010-12-10,16,168.47
2010-12-17,18,164.04
2010-12-24,14,
2010-12-31,13,168.16
2011-01-07,24,170.69
2011-01-14,21,175.00
2011-01-21,26,166.20
2011-01-28,20,161.77
2011-02-04,17,164.83
2011-02-11,17,166.66
2011-02-18,16,168.04
2011-02-25,17,165.12
2011-03-04,17,161.00
2011-03-11,15,160.68
2011-03-18,14,159.96
2011-03-25,16,157.97
2011-04-01,16,160.23
2011-04-08,16,160.96
2011-04-15,19,155.13
2011-04-22,18,
2011-04-29,15,151.01
2011-05-06,14,150.10
2011-05-13,16,141.46
2011-05-20,16,134.99
2011-05-27,16,138.66
2011-06-03,17,135.33
2011-06-10,15,135.92
2011-06-17,16,137.23
2011-06-24,15,130.91
2011-07-01,15,136.65
2011-07-08,14,134.08
2011-07-15,15,130.16
2011-07-22,17,135.49
2011-07-29,15,134.97
2011-08-05,15,125.18
2011-08-12,15,116.47
2011-08-19,14,111.76
2011-08-26,16,111.75
2011-09-02,13,107.06
2011-09-09,13,102.25
2011-09-16,14,107.49
2011-09-23,16,95.18
2011-09-30,57,94.55
2011-10-07,22,92.69
2011-10-14,19,96.73
2011-10-21,22,102.09
2011-10-28,18,115.86
2011-11-04,20,105.04
2011-11-11,21,101.66
2011-11-18,30,91.91
2011-11-25,19,88.75
2011-12-02,19,97.25
2011-12-09,19,101.45
2011-12-16,19,90.10
2011-12-23,17,93.79
2011-12-30,14,90.43
2012-01-06,17,93.42
2012-01-13,19,98.96
2012-01-20,21,108.74
2012-01-27,17,111.77
2012-02-03,18,117.53
2012-02-10,16,114.12
2012-02-17,17,115.91
2012-02-24,15,115.87
2012-03-02,15,119.96
2012-03-09,15,117.29
2012-03-16,62,122.93
2012-03-23,23,126.18
2012-03-30,16,124.37
2012-04-06,15,
2012-04-13,14,115.09
2012-04-20,16,112.44
2012-04-27,14,114.41
2012-05-04,13,108.99
2012-05-11,14,102.13
2012-05-18,14,95.49
2012-05-25,14,96.70
2012-06-01,13,92.64
2012-06-08,13,94.54
2012-06-15,14,95.66
2012-06-22,14,93.63
2012-06-29,13,95.86
2012-07-06,12,95.47
2012-07-13,13,97.43
2012-07-20,15,94.16
2012-07-27,13,101.64
2012-08-03,13,100.98
2012-08-10,14,103.02
2012-08-17,13,103.60
2012-08-24,12,104.96
2012-08-31,12,105.72
2012-09-07,27,116.33
2012-09-14,21,121.36
2012-09-21,17,116.72
2012-09-28,17,113.68
2012-10-05,16,119.31
2012-10-12,16,120.20
2012-10-19,20,123.62
2012-10-26,22,119.44
2012-11-02,17,123.25
2012-11-09,18,116.15
2012-11-16,19,115.84
2012-11-23,14,120.31
2012-11-30,17,117.79
2012-12-07,15,116.57
2012-12-14,14,119.36
2012-12-21,12,128.44
2012-12-28,10,125.52
2013-01-04,12,134.51
2013-01-11,15,137.13
2013-01-18,17,144.45
2013-01-25,15,144.46
2013-02-01,15,149.90
2013-02-08,14,151.60
2013-02-15,14,154.99
2013-02-22,12,154.09
2013-03-01,13,150.53
2013-03-08,13,152.98
2013-03-15,12,154.84
2013-03-22,12,146.60
2013-03-29,12,
2013-04-05,13,143.69
2013-04-12,12,149.12
2013-04-19,14,138.72
2013-04-26,12,144.11
2013-05-03,13,145.37
2013-05-10,11,149.10
2013-05-17,12,158.18
2013-05-24,12,158.72
2013-05-31,11,162.08
2013-06-07,12,166.01
2013-06-14,12,162.92
2013-06-21,12,154.25
2013-06-28,12,151.25
2013-07-05,11,153.24
2013-07-12,11,160.11
2013-07-19,15,164.36
2013-07-26,14,165.26
2013-08-02,14,167.62
2013-08-09,13,162.13
2013-08-16,12,160.66
2013-08-23,16,158.65
2013-08-30,13,152.13
2013-09-06,12,156.66
2013-09-13,15,164.00
2013-09-20,15,169.75
2013-09-27,18,159.85
2013-10-04,15,156.55
2013-10-11,15,160.00
2013-10-18,15,158.69
2013-10-25,15,162.09
2013-11-01,14,162.05
2013-11-08,16,163.17
2013-11-15,17,164.40
2013-11-22,15,168.10
2013-11-29,13,168.94
2013-12-06,13,167.21
2013-12-13,12,168.39
2013-12-20,12,175.16
2013-12-27,9,176.35
2014-01-03,10,178.15
2014-01-10,14,178.39
2014-01-17,16,176.28
2014-01-24,14,167.64
2014-01-31,17,164.12
2014-02-07,13,161.93
2014-02-14,13,163.72
2014-02-21,12,164.50
2014-02-28,13,166.45
2014-03-07,12,174.26
2014-03-14,11,165.35
2014-03-21,12,166.95
2014-03-28,12,162.30
2014-04-04,12,163.24
2014-04-11,11,152.72
2014-04-18,11,
2014-04-25,11,158.24
2014-05-02,10,
