Date,WalMart,Price
2008-05-16,18,57.04
2008-05-23,19,55.75
2008-05-30,19,57.74
2008-06-06,21,58.37
2008-06-13,22,59.18
2008-06-20,21,56.26
2008-06-27,21,56.30
2008-07-04,22,
2008-07-11,22,56.29
2008-07-18,23,57.92
2008-07-25,22,56.83
2008-08-01,22,57.75
2008-08-08,22,57.86
2008-08-15,23,59.37
2008-08-22,22,59.44
2008-08-29,21,59.07
2008-09-05,20,60.74
2008-09-12,20,62.41
2008-09-19,20,59.70
2008-09-26,20,60.71
2008-10-03,20,59.73
2008-10-10,20,50.95
2008-10-17,21,53.77
2008-10-24,22,51.40
2008-10-31,23,55.81
2008-11-07,25,54.39
2008-11-14,29,52.71
2008-11-21,31,52.92
2008-11-28,51,55.88
2008-12-05,41,58.21
2008-12-12,40,54.63
2008-12-19,41,55.74
2008-12-26,46,55.35
2009-01-02,33,57.18
2009-01-09,24,51.58
2009-01-16,22,51.56
2009-01-23,21,48.35
2009-01-30,22,47.12
2009-02-06,21,49.63
2009-02-13,21,46.53
2009-02-20,21,50.02
2009-02-27,20,49.24
2009-03-06,20,48.91
2009-03-13,20,49.19
2009-03-20,27,49.59
2009-03-27,20,52.57
2009-04-03,20,53.80
2009-04-10,22,
2009-04-17,21,50.20
2009-04-24,20,47.87
2009-05-01,21,50.05
2009-05-08,22,50.14
2009-05-15,21,48.15
2009-05-22,22,49.25
2009-05-29,21,49.74
2009-06-05,22,51.07
2009-06-12,22,49.84
2009-06-19,24,48.17
2009-06-26,21,48.63
2009-07-03,22,
2009-07-10,22,47.57
2009-07-17,24,48.49
2009-07-24,23,48.94
2009-07-31,24,49.88
2009-08-07,25,49.29
2009-08-14,24,51.79
2009-08-21,24,51.36
2009-08-28,23,51.13
2009-09-04,25,51.68
2009-09-11,23,50.72
2009-09-18,23,50.11
2009-09-25,24,49.47
2009-10-02,23,49.08
2009-10-09,23,49.97
2009-10-16,25,51.22
2009-10-23,25,50.44
2009-10-30,25,49.68
2009-11-06,27,51.25
2009-11-13,31,53.20
2009-11-20,37,54.28
2009-11-27,58,54.63
2009-12-04,42,54.24
2009-12-11,41,54.65
2009-12-18,42,52.85
2009-12-25,46,
2010-01-01,34,
2010-01-08,25,53.33
2010-01-15,23,53.68
2010-01-22,22,52.94
2010-01-29,23,53.43
2010-02-05,24,53.45
2010-02-12,23,52.90
2010-02-19,23,53.49
2010-02-26,22,54.07
2010-03-05,22,54.14
2010-03-12,23,53.90
2010-03-19,23,55.34
2010-03-26,23,55.51
2010-04-02,24,
2010-04-09,23,55.07
2010-04-16,22,54.11
2010-04-23,22,54.53
2010-04-30,23,53.64
2010-05-07,22,52.40
2010-05-14,22,52.12
2010-05-21,23,51.37
2010-05-28,25,50.56
2010-06-04,24,50.40
2010-06-11,23,50.86
2010-06-18,25,51.55
2010-06-25,25,48.80
2010-07-02,25,48.00
2010-07-09,27,49.43
2010-07-16,28,49.67
2010-07-23,28,51.67
2010-07-30,28,51.19
2010-08-06,29,51.79
2010-08-13,28,50.40
2010-08-20,29,50.22
2010-08-27,26,51.00
2010-09-03,25,52.04
2010-09-10,27,51.97
2010-09-17,27,53.01
2010-09-24,26,54.08
2010-10-01,27,53.36
2010-10-08,26,54.41
2010-10-15,26,53.35
2010-10-22,27,54.06
2010-10-29,28,54.17
2010-11-05,30,55.20
2010-11-12,34,54.13
2010-11-19,40,54.39
2010-11-26,67,53.74
2010-12-03,49,54.62
2010-12-10,45,54.28
2010-12-17,47,54.41
2010-12-24,55,
2010-12-31,44,53.93
2011-01-07,32,54.08
2011-01-14,29,54.81
2011-01-21,29,55.73
2011-01-28,30,56.70
2011-02-04,30,56.03
2011-02-11,29,55.69
2011-02-18,28,55.38
2011-02-25,29,51.75
2011-03-04,28,52.07
2011-03-11,27,52.59
2011-03-18,25,51.52
2011-03-25,27,52.35
2011-04-01,29,52.13
2011-04-08,28,52.54
2011-04-15,28,53.55
2011-04-22,30,
2011-04-29,29,54.98
2011-05-06,28,55.02
2011-05-13,28,55.72
2011-05-20,28,55.29
2011-05-27,31,54.70
2011-06-03,32,53.66
2011-06-10,31,52.72
2011-06-17,31,52.82
2011-06-24,31,52.41
2011-07-01,32,53.51
2011-07-08,31,54.08
2011-07-15,33,53.63
2011-07-22,34,54.52
2011-07-29,34,52.71
2011-08-05,35,50.85
2011-08-12,34,49.75
2011-08-19,34,52.30
2011-08-26,33,52.90
2011-09-02,33,52.03
2011-09-09,32,51.36
2011-09-16,32,52.65
2011-09-23,31,50.80
2011-09-30,32,51.90
2011-10-07,32,53.70
2011-10-14,32,55.46
2011-10-21,34,56.92
2011-10-28,35,57.15
2011-11-04,37,57.50
2011-11-11,44,59.20
2011-11-18,48,57.23
2011-11-25,82,56.89
2011-12-02,57,58.09
2011-12-09,49,58.32
2011-12-16,55,58.27
2011-12-23,60,59.99
2011-12-30,57,59.76
2012-01-06,40,59.00
2012-01-13,36,59.54
2012-01-20,35,61.01
2012-01-27,34,60.71
2012-02-03,36,62.03
2012-02-10,36,61.90
2012-02-17,35,62.48
2012-02-24,35,58.79
2012-03-02,33,59.01
2012-03-09,34,60.08
2012-03-16,34,60.84
2012-03-23,33,60.75
2012-03-30,31,61.20
2012-04-06,33,
2012-04-13,33,59.77
2012-04-20,30,62.45
2012-04-27,32,59.03
2012-05-04,33,58.70
2012-05-11,32,59.42
2012-05-18,32,62.43
2012-05-25,33,65.31
2012-06-01,34,65.55
2012-06-08,34,68.22
2012-06-15,35,67.75
2012-06-22,36,67.30
2012-06-29,36,69.72
2012-07-06,39,71.36
2012-07-13,37,73.18
2012-07-20,37,72.25
2012-07-27,36,74.52
2012-08-03,38,74.55
2012-08-10,38,73.68
2012-08-17,40,71.99
2012-08-24,39,72.11
2012-08-31,37,72.60
2012-09-07,36,73.82
2012-09-14,34,74.50
2012-09-21,37,74.45
2012-09-28,36,73.80
2012-10-05,36,75.13
2012-10-12,36,75.81
2012-10-19,36,75.62
2012-10-26,38,75.11
2012-11-02,36,72.77
2012-11-09,42,72.31
2012-11-16,53,68.03
2012-11-23,94,70.20
2012-11-30,62,72.02
2012-12-07,54,72.29
2012-12-14,56,68.75
2012-12-21,60,68.65
2012-12-28,68,67.61
2013-01-04,46,69.06
2013-01-11,37,68.63
2013-01-18,36,69.20
2013-01-25,35,69.00
2013-02-01,34,70.49
2013-02-08,34,71.48
2013-02-15,36,69.30
2013-02-22,35,70.40
2013-03-01,35,71.74
2013-03-08,36,73.03
2013-03-15,35,72.50
2013-03-22,34,74.28
2013-03-29,35,
2013-04-05,36,76.39
2013-04-12,34,78.56
2013-04-19,34,78.29
2013-04-26,34,79.04
2013-05-03,35,79.25
2013-05-10,36,78.89
2013-05-17,35,77.87
2013-05-24,36,77.31
2013-05-31,37,74.84
2013-06-07,37,76.33
2013-06-14,39,74.87
2013-06-21,38,73.51
2013-06-28,40,74.49
2013-07-05,43,75.21
2013-07-12,40,77.63
2013-07-19,42,78.08
2013-07-26,40,78.00
2013-08-02,41,78.75
2013-08-09,42,76.90
2013-08-16,42,74.11
2013-08-23,40,73.44
2013-08-30,40,72.98
2013-09-06,40,72.59
2013-09-13,37,74.36
2013-09-20,37,75.83
2013-09-27,37,74.36
2013-10-04,38,72.80
2013-10-11,37,74.82
2013-10-18,38,75.71
2013-10-25,38,76.08
2013-11-01,39,77.07
2013-11-08,43,77.96
2013-11-15,53,79.22
2013-11-22,58,79.81
2013-11-29,100,81.01
2013-12-06,67,79.94
2013-12-13,61,78.08
2013-12-20,63,77.43
2013-12-27,73,78.47
2014-01-03,47,78.65
2014-01-10,38,78.04
2014-01-17,36,76.19
2014-01-24,35,74.42
2014-01-31,35,74.68
2014-02-07,35,73.75
2014-02-14,39,75.79
2014-02-21,36,73.12
2014-02-28,36,74.70
2014-03-07,37,74.58
2014-03-14,36,74.28
2014-03-21,36,76.10
2014-03-28,36,76.01
2014-04-04,36,77.31
2014-04-11,36,76.50
2014-04-18,38,
2014-04-25,37,78.62
2014-05-02,37,
