Date,United Technologies,Price
2006-07-28,33,62.15
2006-08-04,45,62.57
2006-08-11,49,60.15
2006-08-18,42,61.84
2006-08-25,50,60.67
2006-09-01,42,63.26
2006-09-08,33,63.34
2006-09-15,45,64.61
2006-09-22,47,62.30
2006-09-29,47,63.35
2006-10-06,44,65.41
2006-10-13,46,66.50
2006-10-20,49,65.02
2006-10-27,43,64.94
2006-11-03,48,63.97
2006-11-10,43,65.06
2006-11-17,46,66.09
2006-11-24,35,65.99
2006-12-01,40,63.86
2006-12-08,44,64.72
2006-12-15,36,62.45
2006-12-22,36,62.56
2006-12-29,32,62.52
2007-01-05,37,62.68
2007-01-12,44,64.42
2007-01-19,28,65.18
2007-01-26,50,66.04
2007-02-02,42,68.00
2007-02-09,47,67.58
2007-02-16,46,68.68
2007-02-23,33,67.55
2007-03-02,40,64.35
2007-03-09,48,64.50
2007-03-16,39,64.60
2007-03-23,28,66.73
2007-03-30,37,65.00
2007-04-06,41,
2007-04-13,46,65.05
2007-04-20,42,67.48
2007-04-27,39,67.69
2007-05-04,34,68.00
2007-05-11,37,68.39
2007-05-18,35,69.19
2007-05-25,35,68.62
2007-06-01,28,70.78
2007-06-08,31,70.23
2007-06-15,35,72.01
2007-06-22,43,71.38
2007-06-29,30,70.93
2007-07-06,32,72.60
2007-07-13,42,75.00
2007-07-20,46,76.03
2007-07-27,43,73.29
2007-08-03,34,73.93
2007-08-10,39,73.08
2007-08-17,37,73.82
2007-08-24,37,74.33
2007-08-31,29,74.63
2007-09-07,44,73.79
2007-09-14,31,76.14
2007-09-21,43,79.43
2007-09-28,34,80.48
2007-10-05,36,80.84
2007-10-12,34,80.32
2007-10-19,45,76.00
2007-10-26,32,75.44
2007-11-02,36,75.65
2007-11-09,42,73.51
2007-11-16,34,74.30
2007-11-23,28,73.46
2007-11-30,38,74.77
2007-12-07,38,78.07
2007-12-14,33,76.69
2007-12-21,26,77.83
2007-12-28,30,76.87
2008-01-04,24,75.02
2008-01-11,36,71.68
2008-01-18,35,68.05
2008-01-25,41,72.75
2008-02-01,30,74.12
2008-02-08,29,71.35
2008-02-15,38,71.53
2008-02-22,37,72.23
2008-02-29,35,70.51
2008-03-07,56,67.49
2008-03-14,38,67.71
2008-03-21,33,
2008-03-28,36,68.55
2008-04-04,37,71.73
2008-04-11,33,69.53
2008-04-18,42,72.51
2008-04-25,41,72.68
2008-05-02,29,75.10
2008-05-09,36,73.13
2008-05-16,32,73.96
2008-05-23,33,70.01
2008-05-30,27,71.04
2008-06-06,34,67.01
2008-06-13,25,68.56
2008-06-20,30,68.80
2008-06-27,39,61.15
2008-07-04,26,
2008-07-11,25,60.69
2008-07-18,39,64.09
2008-07-25,31,65.23
2008-08-01,34,63.56
2008-08-08,32,66.86
2008-08-15,34,66.80
2008-08-22,33,65.98
2008-08-29,30,65.59
2008-09-05,31,64.08
2008-09-12,26,64.46
2008-09-19,25,64.30
2008-09-26,31,60.86
2008-10-03,35,54.86
2008-10-10,39,47.63
2008-10-17,38,50.71
2008-10-24,38,47.31
2008-10-31,35,54.96
2008-11-07,28,51.81
2008-11-14,38,50.23
2008-11-21,30,46.67
2008-11-28,27,48.53
2008-12-05,34,49.01
2008-12-12,34,48.82
2008-12-19,31,51.37
2008-12-26,19,51.13
2009-01-02,21,54.95
2009-01-09,34,52.70
2009-01-16,29,51.10
2009-01-23,25,47.41
2009-01-30,37,47.99
2009-02-06,28,49.03
2009-02-13,33,47.09
2009-02-20,37,43.99
2009-02-27,33,40.83
2009-03-06,30,38.54
2009-03-13,86,40.57
2009-03-20,45,40.53
2009-03-27,38,44.48
2009-04-03,36,45.63
2009-04-10,30,
2009-04-17,28,47.32
2009-04-24,32,49.37
2009-05-01,27,49.52
2009-05-08,27,53.55
2009-05-15,26,51.28
2009-05-22,26,51.04
2009-05-29,17,52.61
2009-06-05,28,56.39
2009-06-12,25,55.84
2009-06-19,23,54.20
2009-06-26,31,51.55
2009-07-03,20,
2009-07-10,33,49.64
2009-07-17,30,53.80
2009-07-24,29,52.23
2009-07-31,33,54.47
2009-08-07,21,55.59
2009-08-14,29,57.21
2009-08-21,28,58.71
2009-08-28,25,59.64
2009-09-04,23,60.52
2009-09-11,21,61.99
2009-09-18,29,62.82
2009-09-25,22,61.54
2009-10-02,27,59.63
2009-10-09,30,62.17
2009-10-16,25,64.89
2009-10-23,34,65.81
2009-10-30,31,61.45
2009-11-06,30,65.07
2009-11-13,37,67.99
2009-11-20,28,67.97
2009-11-27,23,67.20
2009-12-04,24,68.32
2009-12-11,31,69.40
2009-12-18,29,69.46
2009-12-25,11,
2010-01-01,18,
2010-01-08,27,70.63
2010-01-15,30,71.99
2010-01-22,28,69.08
2010-01-29,30,67.48
2010-02-05,31,66.50
2010-02-12,30,65.69
2010-02-19,24,68.52
2010-02-26,27,68.65
2010-03-05,25,71.25
2010-03-12,29,71.53
2010-03-19,28,73.24
2010-03-26,27,73.62
2010-04-02,23,
2010-04-09,30,73.99
2010-04-16,25,73.69
2010-04-23,28,76.47
2010-04-30,27,74.95
2010-05-07,23,69.46
2010-05-14,26,71.58
2010-05-21,23,66.44
2010-05-28,26,67.38
2010-06-04,19,65.14
2010-06-11,26,66.23
2010-06-18,28,69.18
2010-06-25,21,67.86
2010-07-02,25,64.29
2010-07-09,20,67.51
2010-07-16,23,66.03
2010-07-23,30,70.90
2010-07-30,33,71.10
2010-08-06,18,72.73
2010-08-13,20,70.70
2010-08-20,25,68.12
2010-08-27,24,66.57
2010-09-03,26,68.26
2010-09-10,24,68.89
2010-09-17,25,69.53
2010-09-24,27,71.50
2010-10-01,24,71.13
2010-10-08,24,72.91
2010-10-15,21,74.10
2010-10-22,24,74.94
2010-10-29,23,74.77
2010-11-05,19,76.75
2010-11-12,21,74.88
2010-11-19,22,75.31
2010-11-26,18,75.28
2010-12-03,21,78.74
2010-12-10,22,78.40
2010-12-17,22,78.80
2010-12-24,17,
2010-12-31,14,78.72
2011-01-07,20,79.08
2011-01-14,24,79.08
2011-01-21,24,80.20
2011-01-28,26,81.43
2011-02-04,22,82.52
2011-02-11,26,85.20
2011-02-18,25,85.01
2011-02-25,21,83.37
2011-03-04,27,82.86
2011-03-11,22,81.28
2011-03-18,22,80.16
2011-03-25,21,83.52
2011-04-01,28,85.32
2011-04-08,23,84.81
2011-04-15,26,83.45
2011-04-22,24,
2011-04-29,21,89.58
2011-05-06,24,89.21
2011-05-13,22,88.98
2011-05-20,23,87.50
2011-05-27,26,86.33
2011-06-03,23,83.24
2011-06-10,24,82.70
2011-06-17,22,84.57
2011-06-24,25,84.33
2011-07-01,27,90.13
2011-07-08,16,90.35
2011-07-15,21,88.32
2011-07-22,26,87.70
2011-07-29,21,82.84
2011-08-05,21,74.14
2011-08-12,22,72.45
2011-08-19,21,67.45
2011-08-26,19,71.56
2011-09-02,19,71.04
2011-09-09,19,70.53
2011-09-16,30,75.50
2011-09-23,80,68.92
2011-09-30,37,70.36
2011-10-07,29,71.46
2011-10-14,23,74.64
2011-10-21,28,75.56
2011-10-28,27,79.51
2011-11-04,23,77.80
2011-11-11,22,79.83
2011-11-18,22,76.11
2011-11-25,15,71.04
2011-12-02,23,76.54
2011-12-09,20,76.31
2011-12-16,19,72.39
2011-12-23,18,74.18
2011-12-30,15,73.09
2012-01-06,20,73.90
2012-01-13,25,76.08
2012-01-20,23,76.69
2012-01-27,23,77.62
2012-02-03,25,81.05
2012-02-10,22,83.50
2012-02-17,27,83.78
2012-02-24,22,83.97
2012-03-02,25,84.54
2012-03-09,20,83.55
2012-03-16,25,85.48
2012-03-23,22,81.80
2012-03-30,21,82.94
2012-04-06,27,
2012-04-13,19,79.80
2012-04-20,20,81.00
2012-04-27,25,82.00
2012-05-04,29,79.48
2012-05-11,28,77.18
2012-05-18,24,72.38
2012-05-25,23,73.02
2012-06-01,21,72.02
2012-06-08,24,75.50
2012-06-15,23,74.49
2012-06-22,22,75.20
2012-06-29,34,75.53
2012-07-06,22,74.09
2012-07-13,30,73.59
2012-07-20,27,74.23
2012-07-27,40,74.28
2012-08-03,30,76.81
2012-08-10,24,77.89
2012-08-17,32,80.37
2012-08-24,28,80.08
2012-08-31,27,79.85
2012-09-07,26,79.41
2012-09-14,26,82.45
2012-09-21,24,80.75
2012-09-28,23,78.29
2012-10-05,23,78.51
2012-10-12,26,75.96
2012-10-19,27,77.99
2012-10-26,26,78.20
2012-11-02,22,78.07
2012-11-09,24,75.84
2012-11-16,25,75.25
2012-11-23,20,78.61
2012-11-30,22,80.11
2012-12-07,23,80.99
2012-12-14,32,79.98
2012-12-21,22,82.54
2012-12-28,13,80.81
2013-01-04,17,84.98
2013-01-11,26,85.18
2013-01-18,23,86.95
2013-01-25,23,89.79
2013-02-01,24,89.84
2013-02-08,23,90.09
2013-02-15,27,90.78
2013-02-22,23,90.49
2013-03-01,24,90.13
2013-03-08,25,92.07
2013-03-15,23,93.28
2013-03-22,24,93.59
2013-03-29,22,
2013-04-05,22,92.64
2013-04-12,24,95.69
2013-04-19,24,93.22
2013-04-26,24,91.15
2013-05-03,23,93.11
2013-05-10,19,95.25
2013-05-17,21,97.35
2013-05-24,23,95.04
2013-05-31,17,94.90
2013-06-07,18,94.50
2013-06-14,21,94.02
2013-06-21,21,92.18
2013-06-28,20,92.94
2013-07-05,18,96.53
2013-07-12,22,99.83
2013-07-19,24,102.48
2013-07-26,25,104.97
2013-08-02,23,107.77
2013-08-09,21,105.62
2013-08-16,20,103.08
2013-08-23,18,102.80
2013-08-30,22,100.10
2013-09-06,20,103.23
2013-09-13,21,108.39
2013-09-20,25,109.58
2013-09-27,22,109.36
2013-10-04,25,104.27
2013-10-11,22,107.01
2013-10-18,21,107.74
2013-10-25,23,107.52
2013-11-01,21,107.51
2013-11-08,20,108.55
2013-11-15,20,108.59
2013-11-22,19,110.20
2013-11-29,17,110.86
2013-12-06,19,111.12
2013-12-13,21,107.35
2013-12-20,20,110.66
2013-12-27,11,112.80
2014-01-03,15,112.90
2014-01-10,21,113.83
2014-01-17,20,114.21
2014-01-24,26,111.80
2014-01-31,25,114.02
2014-02-07,21,110.73
2014-02-14,20,113.87
2014-02-21,20,115.38
2014-02-28,21,117.02
2014-03-07,24,118.31
2014-03-14,19,112.60
2014-03-21,17,114.57
2014-03-28,22,114.81
2014-04-04,20,118.18
2014-04-11,21,113.93
2014-04-18,21,
2014-04-25,21,117.21
2014-05-02,15,
