Date,Coca-Cola,Price
2007-08-31,59,53.78
2007-09-07,53,54.59
2007-09-14,57,56.40
2007-09-21,53,56.55
2007-09-28,56,57.47
2007-10-05,56,58.07
2007-10-12,53,57.80
2007-10-19,56,58.76
2007-10-26,55,61.57
2007-11-02,52,60.51
2007-11-09,53,60.83
2007-11-16,52,62.62
2007-11-23,55,62.30
2007-11-30,63,62.10
2007-12-07,63,63.15
2007-12-14,67,63.81
2007-12-21,62,63.07
2007-12-28,52,62.27
2008-01-04,46,61.85
2008-01-11,48,63.77
2008-01-18,48,60.74
2008-01-25,55,58.41
2008-02-01,50,59.26
2008-02-08,48,59.25
2008-02-15,48,58.76
2008-02-22,52,58.26
2008-02-29,52,58.46
2008-03-07,54,58.85
2008-03-14,52,57.53
2008-03-21,48,
2008-03-28,50,60.94
2008-04-04,53,60.25
2008-04-11,58,60.29
2008-04-18,56,60.11
2008-04-25,51,59.33
2008-05-02,51,58.77
2008-05-09,51,56.15
2008-05-16,55,57.07
2008-05-23,55,58.63
2008-05-30,54,57.26
2008-06-06,52,55.80
2008-06-13,53,55.42
2008-06-20,49,53.66
2008-06-27,46,51.84
2008-07-04,42,
2008-07-11,41,50.27
2008-07-18,43,50.03
2008-07-25,42,52.06
2008-08-01,45,53.14
2008-08-08,45,55.41
2008-08-15,50,55.06
2008-08-22,46,54.37
2008-08-29,43,52.07
2008-09-05,40,51.93
2008-09-12,43,54.50
2008-09-19,40,52.72
2008-09-26,41,52.48
2008-10-03,42,52.57
2008-10-10,44,41.50
2008-10-17,42,44.20
2008-10-24,42,41.61
2008-10-31,40,44.06
2008-11-07,41,46.25
2008-11-14,39,45.02
2008-11-21,46,44.00
2008-11-28,41,46.87
2008-12-05,42,45.98
2008-12-12,40,44.57
2008-12-19,34,44.43
2008-12-26,27,44.58
2009-01-02,24,45.90
2009-01-09,29,44.60
2009-01-16,33,43.84
2009-01-23,33,42.20
2009-01-30,33,42.72
2009-02-06,39,43.55
2009-02-13,39,43.85
2009-02-20,35,42.84
2009-02-27,32,40.85
2009-03-06,37,39.10
2009-03-13,37,41.22
2009-03-20,38,42.64
2009-03-27,38,45.10
2009-04-03,35,44.97
2009-04-10,32,
2009-04-17,34,45.02
2009-04-24,36,42.79
2009-05-01,35,42.47
2009-05-08,37,42.92
2009-05-15,34,44.96
2009-05-22,35,47.30
2009-05-29,38,49.16
2009-06-05,32,49.44
2009-06-12,31,48.89
2009-06-19,28,48.81
2009-06-26,26,48.13
2009-07-03,25,
2009-07-10,25,48.31
2009-07-17,25,50.32
2009-07-24,27,49.36
2009-07-31,26,49.84
2009-08-07,23,49.34
2009-08-14,28,48.47
2009-08-21,28,49.91
2009-08-28,27,49.06
2009-09-04,29,49.95
2009-09-11,29,51.51
2009-09-18,31,53.76
2009-09-25,33,52.97
2009-10-02,31,53.87
2009-10-09,30,54.65
2009-10-16,30,55.01
2009-10-23,31,53.24
2009-10-30,30,53.31
2009-11-06,26,54.49
2009-11-13,32,56.46
2009-11-20,31,57.48
2009-11-27,28,57.18
2009-12-04,29,57.49
2009-12-11,32,59.11
2009-12-18,25,56.92
2009-12-25,21,
2010-01-01,17,
2010-01-08,20,55.15
2010-01-15,21,56.29
2010-01-22,21,54.24
2010-01-29,23,54.25
2010-02-05,26,53.09
2010-02-12,26,53.98
2010-02-19,23,55.72
2010-02-26,27,52.72
2010-03-05,26,54.70
2010-03-12,25,53.35
2010-03-19,26,54.75
2010-03-26,27,54.65
2010-04-02,25,
2010-04-09,27,54.59
2010-04-16,30,54.97
2010-04-23,29,53.88
2010-04-30,31,53.45
2010-05-07,29,52.67
2010-05-14,32,53.34
2010-05-21,29,51.59
2010-05-28,35,51.40
2010-06-04,33,51.27
2010-06-11,37,51.65
2010-06-18,45,52.31
2010-06-25,33,50.26
2010-07-02,30,50.05
2010-07-09,22,52.40
2010-07-16,22,52.37
2010-07-23,21,54.75
2010-07-30,19,55.11
2010-08-06,19,56.75
2010-08-13,21,55.73
2010-08-20,23,55.30
2010-08-27,21,56.16
2010-09-03,23,57.56
2010-09-10,21,58.52
2010-09-17,21,57.56
2010-09-24,21,58.62
2010-10-01,23,59.12
2010-10-08,20,59.41
2010-10-15,22,59.94
2010-10-22,23,61.61
2010-10-29,22,61.32
2010-11-05,21,62.58
2010-11-12,23,62.92
2010-11-19,23,64.32
2010-11-26,22,64.11
2010-12-03,25,64.50
2010-12-10,24,64.65
2010-12-17,24,65.70
2010-12-24,19,
2010-12-31,16,65.77
2011-01-07,18,62.92
2011-01-14,18,63.13
2011-01-21,18,62.77
2011-01-28,20,62.21
2011-02-04,20,62.56
2011-02-11,21,63.57
2011-02-18,30,64.55
2011-02-25,22,64.31
2011-03-04,21,65.21
2011-03-11,18,64.81
2011-03-18,20,62.70
2011-03-25,22,65.22
2011-04-01,26,67.22
2011-04-08,26,67.27
2011-04-15,26,68.01
2011-04-22,20,
2011-04-29,24,67.46
2011-05-06,25,66.90
2011-05-13,28,68.18
2011-05-20,24,68.30
2011-05-27,24,66.51
2011-06-03,26,65.53
2011-06-10,22,65.39
2011-06-17,21,65.62
2011-06-24,21,64.93
2011-07-01,22,68.09
2011-07-08,18,68.68
2011-07-15,20,67.53
2011-07-22,19,69.73
2011-07-29,19,68.01
2011-08-05,19,66.77
2011-08-12,19,67.14
2011-08-19,20,67.10
2011-08-26,19,68.50
2011-09-02,19,69.74
2011-09-09,19,69.37
2011-09-16,22,71.23
2011-09-23,22,67.42
2011-09-30,23,67.56
2011-10-07,22,65.90
2011-10-14,23,67.85
2011-10-21,23,68.19
2011-10-28,23,68.93
2011-11-04,21,67.78
2011-11-11,23,68.12
2011-11-18,24,67.39
2011-11-25,22,64.74
2011-12-02,27,66.38
2011-12-09,28,67.57
2011-12-16,24,67.44
2011-12-23,21,69.94
2011-12-30,17,69.97
2012-01-06,18,68.93
2012-01-13,19,66.99
2012-01-20,18,68.09
2012-01-27,18,67.44
2012-02-03,19,68.08
2012-02-10,19,67.94
2012-02-17,18,69.05
2012-02-24,17,69.00
2012-03-02,21,69.18
2012-03-09,23,69.51
2012-03-16,23,70.16
2012-03-23,22,71.49
2012-03-30,21,74.01
2012-04-06,18,
2012-04-13,20,71.94
2012-04-20,22,74.13
2012-04-27,22,76.63
2012-05-04,22,77.00
2012-05-11,26,77.47
2012-05-18,25,74.05
2012-05-25,26,75.23
2012-06-01,25,73.09
2012-06-08,23,75.24
2012-06-15,24,76.09
2012-06-22,23,74.94
2012-06-29,22,78.19
2012-07-06,22,78.15
2012-07-13,22,77.28
2012-07-20,21,77.03
2012-07-27,21,80.01
2012-08-03,22,80.83
2012-08-10,21,78.79
2012-08-17,21,39.53
2012-08-24,21,38.47
2012-08-31,19,37.40
2012-09-07,19,37.90
2012-09-14,22,38.12
2012-09-21,23,38.03
2012-09-28,20,37.93
2012-10-05,21,38.58
2012-10-12,21,38.23
2012-10-19,22,37.40
2012-10-26,21,37.04
2012-11-02,21,37.08
2012-11-09,21,36.29
2012-11-16,21,36.56
2012-11-23,20,37.93
2012-11-30,22,37.92
2012-12-07,22,37.71
2012-12-14,24,37.66
2012-12-21,19,36.89
2012-12-28,15,35.97
2013-01-04,14,37.66
2013-01-11,18,36.91
2013-01-18,17,37.70
2013-01-25,17,37.05
2013-02-01,17,37.54
2013-02-08,17,38.77
2013-02-15,16,37.42
2013-02-22,16,38.52
2013-03-01,17,38.70
2013-03-08,16,39.22
2013-03-15,18,38.83
2013-03-22,17,40.04
2013-03-29,16,
2013-04-05,16,40.08
2013-04-12,17,41.08
2013-04-19,17,42.66
2013-04-26,17,42.10
2013-05-03,17,42.24
2013-05-10,18,42.15
2013-05-17,19,42.97
2013-05-24,19,42.24
2013-05-31,20,39.99
2013-06-07,17,41.41
2013-06-14,18,40.34
2013-06-21,19,39.76
2013-06-28,16,40.11
2013-07-05,15,40.52
2013-07-12,15,41.03
2013-07-19,16,41.09
2013-07-26,15,40.64
2013-08-02,15,40.22
2013-08-09,14,40.16
2013-08-16,14,39.05
2013-08-23,14,38.52
2013-08-30,16,38.18
2013-09-06,14,38.35
2013-09-13,19,38.69
2013-09-20,37,39.40
2013-09-27,24,38.40
2013-10-04,19,37.20
2013-10-11,16,37.77
2013-10-18,16,38.78
2013-10-25,16,39.03
2013-11-01,15,39.61
2013-11-08,15,40.05
2013-11-15,17,40.22
2013-11-22,18,40.43
2013-11-29,17,40.19
2013-12-06,17,40.46
2013-12-13,19,39.23
2013-12-20,15,40.04
2013-12-27,12,40.66
2014-01-03,12,40.46
2014-01-10,12,40.13
2014-01-17,15,39.28
2014-01-24,15,38.84
2014-01-31,15,37.82
2014-02-07,20,37.95
2014-02-14,16,38.93
2014-02-21,16,37.18
2014-02-28,16,38.20
2014-03-07,14,38.55
2014-03-14,15,38.17
2014-03-21,14,38.44
2014-03-28,15,38.95
2014-04-04,15,38.22
2014-04-11,14,38.63
2014-04-18,14,
2014-04-25,15,41.01
2014-05-02,13,
