Date,buy T,Price
2006-02-17,37,28.28
2006-02-24,36,27.57
2006-03-03,28,27.99
2006-03-10,30,27.23
2006-03-17,28,27.00
2006-03-24,31,27.37
2006-03-31,32,27.04
2006-04-07,33,26.16
2006-04-14,34,
2006-04-21,27,25.35
2006-04-28,24,26.21
2006-05-05,33,25.97
2006-05-12,34,25.62
2006-05-19,32,25.28
2006-05-26,32,26.23
2006-06-02,25,26.73
2006-06-09,36,26.62
2006-06-16,31,27.79
2006-06-23,29,27.37
2006-06-30,31,27.89
2006-07-07,45,27.74
2006-07-14,32,26.58
2006-07-21,31,27.34
2006-07-28,31,30.06
2006-08-04,33,30.97
2006-08-11,31,30.22
2006-08-18,29,30.51
2006-08-25,25,30.63
2006-09-01,32,31.61
2006-09-08,32,31.35
2006-09-15,31,31.86
2006-09-22,29,32.90
2006-09-29,32,32.56
2006-10-06,28,31.78
2006-10-13,39,33.60
2006-10-20,27,34.44
2006-10-27,31,34.22
2006-11-03,35,33.72
2006-11-10,26,33.05
2006-11-17,34,33.20
2006-11-24,36,32.67
2006-12-01,37,34.00
2006-12-08,34,34.97
2006-12-15,35,35.66
2006-12-22,32,34.98
2006-12-29,25,35.75
2007-01-05,29,33.96
2007-01-12,29,34.73
2007-01-19,33,35.07
2007-01-26,31,36.40
2007-02-02,32,38.12
2007-02-09,34,36.90
2007-02-16,33,37.48
2007-02-23,58,37.00
2007-03-02,48,36.44
2007-03-09,49,36.55
2007-03-16,54,36.98
2007-03-23,54,38.88
2007-03-30,62,39.43
2007-04-06,79,
2007-04-13,73,38.84
2007-04-20,83,39.87
2007-04-27,76,38.64
2007-05-04,71,39.48
2007-05-11,73,39.59
2007-05-18,91,41.10
2007-05-25,75,40.76
2007-06-01,75,40.53
2007-06-08,82,40.26
2007-06-15,75,40.28
2007-06-22,52,38.85
2007-06-29,68,41.50
2007-07-06,67,40.66
2007-07-13,62,40.40
2007-07-20,64,39.06
2007-07-27,57,39.24
2007-08-03,55,39.45
2007-08-10,51,38.87
2007-08-17,55,39.05
2007-08-24,57,40.36
2007-08-31,52,39.87
2007-09-07,51,38.73
2007-09-14,53,40.44
2007-09-21,45,42.53
2007-09-28,44,42.31
2007-10-05,42,42.14
2007-10-12,42,42.29
2007-10-19,42,41.37
2007-10-26,41,41.46
2007-11-02,47,40.42
2007-11-09,44,39.20
2007-11-16,44,39.55
2007-11-23,51,37.63
2007-11-30,55,38.21
2007-12-07,54,38.47
2007-12-14,53,41.14
2007-12-21,49,41.48
2007-12-28,47,42.44
2008-01-04,39,40.89
2008-01-11,34,38.20
2008-01-18,41,36.11
2008-01-25,36,35.26
2008-02-01,41,38.28
2008-02-08,36,36.37
2008-02-15,43,37.88
2008-02-22,37,34.98
2008-02-29,36,34.83
2008-03-07,38,35.01
2008-03-14,43,35.03
2008-03-21,46,
2008-03-28,38,37.66
2008-04-04,41,38.48
2008-04-11,42,37.30
2008-04-18,38,37.51
2008-04-25,40,38.58
2008-05-02,44,40.13
2008-05-09,40,38.59
2008-05-16,43,40.07
2008-05-23,41,38.53
2008-05-30,41,39.90
2008-06-06,49,38.21
2008-06-13,48,36.68
2008-06-20,49,34.43
2008-06-27,44,32.76
2008-07-04,48,
2008-07-11,59,32.58
2008-07-18,53,32.12
2008-07-25,51,31.40
2008-08-01,55,30.44
2008-08-08,61,30.97
2008-08-15,51,31.66
2008-08-22,52,31.17
2008-08-29,52,31.99
2008-09-05,54,31.50
2008-09-12,52,31.54
2008-09-19,48,30.43
2008-09-26,49,30.00
2008-10-03,56,28.12
2008-10-10,49,22.42
2008-10-17,55,25.29
2008-10-24,50,24.68
2008-10-31,55,26.77
2008-11-07,54,27.00
2008-11-14,57,27.65
2008-11-21,51,25.19
2008-11-28,58,28.56
2008-12-05,51,28.15
2008-12-12,60,28.18
2008-12-19,60,28.12
2008-12-26,58,27.94
2009-01-02,55,29.42
2009-01-09,41,26.68
2009-01-16,42,25.23
2009-01-23,47,26.12
2009-01-30,44,24.62
2009-02-06,49,26.08
2009-02-13,46,24.19
2009-02-20,46,23.58
2009-02-27,54,23.77
2009-03-06,51,22.58
2009-03-13,46,24.27
2009-03-20,48,25.33
2009-03-27,49,26.00
2009-04-03,44,26.83
2009-04-10,47,
2009-04-17,50,25.95
2009-04-24,49,25.16
2009-05-01,43,26.01
2009-05-08,48,25.25
2009-05-15,48,24.88
2009-05-22,46,23.68
2009-05-29,50,24.79
2009-06-05,44,24.56
2009-06-12,49,25.01
2009-06-19,54,24.04
2009-06-26,42,24.82
2009-07-03,50,
2009-07-10,55,23.44
2009-07-17,53,23.98
2009-07-24,56,25.45
2009-07-31,51,26.23
2009-08-07,60,25.62
2009-08-14,55,25.45
2009-08-21,49,26.00
2009-08-28,51,26.21
2009-09-04,49,25.51
2009-09-11,56,26.66
2009-09-18,52,27.05
2009-09-25,53,26.96
2009-10-02,47,26.52
2009-10-09,50,25.66
2009-10-16,54,25.70
2009-10-23,49,25.73
2009-10-30,51,25.67
2009-11-06,50,25.93
2009-11-13,53,26.25
2009-11-20,56,26.02
2009-11-27,71,26.99
2009-12-04,68,27.60
2009-12-11,59,28.01
2009-12-18,59,27.32
2009-12-25,60,
2010-01-01,54,
2010-01-08,55,27.10
2010-01-15,54,25.79
2010-01-22,49,25.39
2010-01-29,47,25.36
2010-02-05,52,25.24
2010-02-12,52,25.07
2010-02-19,47,25.10
2010-02-26,51,24.81
2010-03-05,47,24.99
2010-03-12,49,25.62
2010-03-19,46,26.24
2010-03-26,44,26.24
2010-04-02,54,
2010-04-09,50,26.44
2010-04-16,48,25.93
2010-04-23,51,26.25
2010-04-30,58,26.06
2010-05-07,49,25.10
2010-05-14,58,25.40
2010-05-21,50,24.85
2010-05-28,53,24.30
2010-06-04,55,24.17
2010-06-11,55,25.29
2010-06-18,59,25.43
2010-06-25,54,24.79
2010-07-02,57,24.29
2010-07-09,59,24.83
2010-07-16,62,24.69
2010-07-23,58,25.54
2010-07-30,55,25.94
2010-08-06,55,26.54
2010-08-13,54,26.72
2010-08-20,56,26.45
2010-08-27,56,26.94
2010-09-03,53,27.44
2010-09-10,52,27.83
2010-09-17,56,28.17
2010-09-24,52,28.58
2010-10-01,52,28.81
2010-10-08,54,28.22
2010-10-15,56,28.33
2010-10-22,57,28.29
2010-10-29,57,28.52
2010-11-05,53,29.27
2010-11-12,61,28.46
2010-11-19,60,28.32
2010-11-26,67,27.93
2010-12-03,69,28.49
2010-12-10,69,28.89
2010-12-17,73,29.21
2010-12-24,70,
2010-12-31,65,29.38
2011-01-07,56,28.85
2011-01-14,54,28.43
2011-01-21,52,28.33
2011-01-28,56,27.49
2011-02-04,60,27.97
2011-02-11,56,28.47
2011-02-18,55,28.57
2011-02-25,54,28.13
2011-03-04,61,27.92
2011-03-11,52,28.46
2011-03-18,58,27.94
2011-03-25,81,28.85
2011-04-01,58,30.62
2011-04-08,61,30.71
2011-04-15,56,30.65
2011-04-22,57,
2011-04-29,61,31.12
2011-05-06,56,31.26
2011-05-13,56,31.41
2011-05-20,54,31.32
2011-05-27,57,31.29
2011-06-03,58,30.65
2011-06-10,60,30.34
2011-06-17,62,30.77
2011-06-24,63,30.44
2011-07-01,63,31.68
2011-07-08,60,31.14
2011-07-15,58,30.31
2011-07-22,61,30.32
2011-07-29,62,29.26
2011-08-05,66,28.93
2011-08-12,66,28.22
2011-08-19,66,27.99
2011-08-26,66,29.04
2011-09-02,63,28.05
2011-09-09,58,27.54
2011-09-16,60,28.94
2011-09-23,53,27.85
2011-09-30,58,28.52
2011-10-07,60,28.44
2011-10-14,64,29.17
2011-10-21,64,29.13
2011-10-28,60,29.74
2011-11-04,57,29.16
2011-11-11,59,29.42
2011-11-18,71,28.64
2011-11-25,80,27.41
2011-12-02,76,28.96
2011-12-09,70,29.03
2011-12-16,74,28.85
2011-12-23,73,29.87
2011-12-30,72,30.24
2012-01-06,62,29.68
2012-01-13,56,30.07
2012-01-20,63,30.51
2012-01-27,66,29.16
2012-02-03,64,29.95
2012-02-10,63,29.84
2012-02-17,63,30.01
2012-02-24,66,30.34
2012-03-02,67,30.87
2012-03-09,63,31.18
2012-03-16,67,31.59
2012-03-23,61,31.52
2012-03-30,59,31.23
2012-04-06,60,
2012-04-13,60,30.54
2012-04-20,63,30.86
2012-04-27,61,32.67
2012-05-04,70,32.86
2012-05-11,60,33.59
2012-05-18,62,33.66
2012-05-25,63,33.69
2012-06-01,66,33.90
2012-06-08,70,34.55
2012-06-15,69,35.71
2012-06-22,71,35.17
2012-06-29,69,35.66
2012-07-06,67,35.44
2012-07-13,70,35.35
2012-07-20,67,35.29
2012-07-27,71,37.14
2012-08-03,72,37.58
2012-08-10,74,37.49
2012-08-17,74,37.17
2012-08-24,71,36.95
2012-08-31,73,36.64
2012-09-07,73,37.30
2012-09-14,75,37.26
2012-09-21,71,38.08
2012-09-28,76,37.70
2012-10-05,69,37.86
2012-10-12,65,35.63
2012-10-19,67,35.32
2012-10-26,75,34.63
2012-11-02,66,34.93
2012-11-09,68,33.54
2012-11-16,76,33.14
2012-11-23,94,34.36
2012-11-30,82,34.13
2012-12-07,76,33.74
2012-12-14,81,34.01
2012-12-21,86,33.67
2012-12-28,79,33.32
2013-01-04,73,35.23
2013-01-11,64,34.27
2013-01-18,62,33.44
2013-01-25,64,34.02
2013-02-01,63,35.51
2013-02-08,63,35.27
2013-02-15,66,35.36
2013-02-22,69,35.68
2013-03-01,67,36.01
2013-03-08,69,36.68
2013-03-15,73,36.43
2013-03-22,68,36.43
2013-03-29,69,
2013-04-05,68,38.02
2013-04-12,73,38.59
2013-04-19,77,38.28
2013-04-26,77,37.04
2013-05-03,78,37.34
2013-05-10,76,37.36
2013-05-17,66,37.44
2013-05-24,76,36.75
2013-05-31,73,34.99
2013-06-07,69,35.45
2013-06-14,74,35.91
2013-06-21,68,34.47
2013-06-28,72,35.40
2013-07-05,76,35.83
2013-07-12,71,35.81
2013-07-19,76,35.81
2013-07-26,74,35.60
2013-08-02,76,35.77
2013-08-09,72,34.80
2013-08-16,78,34.18
2013-08-23,74,34.29
2013-08-30,72,33.83
2013-09-06,74,33.41
2013-09-13,68,34.32
2013-09-20,75,34.31
2013-09-27,73,33.98
2013-10-04,68,33.75
2013-10-11,72,34.20
2013-10-18,72,34.61
2013-10-25,68,35.19
2013-11-01,71,36.24
2013-11-08,70,35.17
2013-11-15,78,35.43
2013-11-22,79,35.42
2013-11-29,100,35.21
2013-12-06,85,34.53
2013-12-13,85,33.85
2013-12-20,85,34.30
2013-12-27,86,35.18
2014-01-03,77,34.80
2014-01-10,71,33.62
2014-01-17,65,33.70
2014-01-24,65,33.42
2014-01-31,62,33.32
2014-02-07,65,32.30
2014-02-14,67,33.15
2014-02-21,63,32.80
2014-02-28,69,31.93
2014-03-07,65,32.54
2014-03-14,64,32.49
2014-03-21,66,34.30
2014-03-28,64,35.07
2014-04-04,66,35.55
2014-04-11,70,35.20
2014-04-18,71,
2014-04-25,70,34.49
2014-05-02,70,
