Date,IBM,Price
2006-08-04,58,75.91
2006-08-11,58,75.48
2006-08-18,60,79.90
2006-08-25,60,79.88
2006-09-01,57,81.41
2006-09-08,57,80.66
2006-09-15,59,82.94
2006-09-22,57,81.21
2006-09-29,58,81.94
2006-10-06,57,83.14
2006-10-13,56,86.08
2006-10-20,56,90.48
2006-10-27,57,90.76
2006-11-03,55,91.41
2006-11-10,54,91.76
2006-11-17,53,93.81
2006-11-24,54,93.35
2006-12-01,53,91.25
2006-12-08,52,93.86
2006-12-15,54,95.30
2006-12-22,50,95.25
2006-12-29,46,97.15
2007-01-05,46,97.42
2007-01-12,52,99.34
2007-01-19,53,96.17
2007-01-26,53,97.45
2007-02-02,53,99.17
2007-02-09,52,98.55
2007-02-16,49,98.99
2007-02-23,48,97.73
2007-03-02,49,90.90
2007-03-09,52,93.28
2007-03-16,51,93.25
2007-03-23,50,95.03
2007-03-30,50,94.26
2007-04-06,48,
2007-04-13,48,94.93
2007-04-20,50,94.58
2007-04-27,49,101.17
2007-05-04,45,102.96
2007-05-11,50,105.98
2007-05-18,48,107.99
2007-05-25,48,105.18
2007-06-01,48,106.54
2007-06-08,49,103.07
2007-06-15,49,105.09
2007-06-22,47,104.44
2007-06-29,47,105.25
2007-07-06,46,109.03
2007-07-13,48,108.60
2007-07-20,49,114.81
2007-07-27,47,115.62
2007-08-03,45,111.89
2007-08-10,48,112.64
2007-08-17,45,110.90
2007-08-24,45,113.24
2007-08-31,45,116.69
2007-09-07,45,115.55
2007-09-14,46,115.13
2007-09-21,53,116.78
2007-09-28,46,117.80
2007-10-05,46,116.30
2007-10-12,46,117.81
2007-10-19,45,112.28
2007-10-26,46,113.73
2007-11-02,45,114.59
2007-11-09,43,100.25
2007-11-16,45,104.79
2007-11-23,43,104.05
2007-11-30,43,105.18
2007-12-07,44,108.86
2007-12-14,42,105.77
2007-12-21,42,111.05
2007-12-28,36,110.09
2008-01-04,36,101.13
2008-01-11,41,97.67
2008-01-18,42,103.40
2008-01-25,43,104.52
2008-02-01,42,109.08
2008-02-08,40,103.27
2008-02-15,40,106.16
2008-02-22,43,108.07
2008-02-29,43,113.86
2008-03-07,42,113.94
2008-03-14,41,115.23
2008-03-21,39,
2008-03-28,40,114.57
2008-04-04,43,115.76
2008-04-11,42,116.00
2008-04-18,42,124.40
2008-04-25,41,123.08
2008-05-02,37,123.18
2008-05-09,40,124.06
2008-05-16,39,127.82
2008-05-23,40,124.20
2008-05-30,38,129.43
2008-06-06,38,124.94
2008-06-13,41,126.15
2008-06-20,39,122.74
2008-06-27,40,120.05
2008-07-04,38,
2008-07-11,39,122.12
2008-07-18,40,129.89
2008-07-25,39,128.53
2008-08-01,37,126.64
2008-08-08,38,128.81
2008-08-15,37,126.36
2008-08-22,38,124.93
2008-08-29,38,121.73
2008-09-05,37,114.33
2008-09-12,37,118.97
2008-09-19,38,118.85
2008-09-26,39,119.42
2008-10-03,37,103.44
2008-10-10,39,87.75
2008-10-17,37,90.78
2008-10-24,38,82.07
2008-10-31,38,92.97
2008-11-07,38,86.27
2008-11-14,37,80.33
2008-11-21,37,74.88
2008-11-28,35,81.60
2008-12-05,37,80.59
2008-12-12,34,82.20
2008-12-19,34,83.52
2008-12-26,30,81.33
2009-01-02,27,87.37
2009-01-09,35,84.70
2009-01-16,35,84.92
2009-01-23,38,89.49
2009-01-30,34,91.65
2009-02-06,35,96.14
2009-02-13,34,93.84
2009-02-20,35,88.79
2009-02-27,34,92.03
2009-03-06,34,85.81
2009-03-13,35,90.36
2009-03-20,41,92.51
2009-03-27,40,94.15
2009-04-03,36,102.22
2009-04-10,35,
2009-04-17,33,101.27
2009-04-24,34,100.08
2009-05-01,31,104.61
2009-05-08,31,101.49
2009-05-15,32,101.37
2009-05-22,31,101.89
2009-05-29,30,106.28
2009-06-05,30,107.24
2009-06-12,30,108.21
2009-06-19,31,105.89
2009-06-26,31,105.68
2009-07-03,29,
2009-07-10,31,100.83
2009-07-17,30,115.42
2009-07-24,30,117.64
2009-07-31,31,117.93
2009-08-07,30,119.33
2009-08-14,31,118.57
2009-08-21,30,119.90
2009-08-28,30,118.22
2009-09-04,30,117.46
2009-09-11,30,118.05
2009-09-18,32,122.11
2009-09-25,30,121.08
2009-10-02,29,119.02
2009-10-09,31,125.93
2009-10-16,31,121.64
2009-10-23,32,120.36
2009-10-30,31,120.61
2009-11-06,29,123.49
2009-11-13,30,127.03
2009-11-20,30,126.96
2009-11-27,28,125.70
2009-12-04,28,127.25
2009-12-11,28,129.68
2009-12-18,28,127.91
2009-12-25,24,
2010-01-01,22,
2010-01-08,27,130.85
2010-01-15,29,131.78
2010-01-22,28,125.50
2010-01-29,28,122.39
2010-02-05,28,123.52
2010-02-12,27,124.00
2010-02-19,26,127.19
2010-02-26,27,127.16
2010-03-05,30,127.25
2010-03-12,28,127.94
2010-03-19,28,127.71
2010-03-26,27,129.26
2010-04-02,26,
2010-04-09,27,128.76
2010-04-16,26,130.63
2010-04-23,27,129.99
2010-04-30,26,129.00
2010-05-07,25,122.10
2010-05-14,26,131.19
2010-05-21,26,125.42
2010-05-28,26,125.26
2010-06-04,25,125.28
2010-06-11,25,128.45
2010-06-18,25,130.15
2010-06-25,26,127.12
2010-07-02,25,121.86
2010-07-09,24,127.96
2010-07-16,24,128.03
2010-07-23,26,128.38
2010-07-30,25,128.40
2010-08-06,25,130.14
2010-08-13,24,127.87
2010-08-20,25,127.50
2010-08-27,25,124.73
2010-09-03,24,127.58
2010-09-10,24,127.99
2010-09-17,26,130.19
2010-09-24,25,134.11
2010-10-01,25,135.64
2010-10-08,24,138.85
2010-10-15,24,141.06
2010-10-22,25,139.67
2010-10-29,24,143.60
2010-11-05,23,146.92
2010-11-12,22,143.74
2010-11-19,23,145.05
2010-11-26,22,143.90
2010-12-03,22,145.38
2010-12-10,22,144.82
2010-12-17,22,145.00
2010-12-24,19,
2010-12-31,17,146.76
2011-01-07,20,147.93
2011-01-14,22,150.00
2011-01-21,23,155.50
2011-01-28,23,159.21
2011-02-04,21,164.00
2011-02-11,23,163.85
2011-02-18,27,164.84
2011-02-25,23,162.28
2011-03-04,22,161.83
2011-03-11,22,162.43
2011-03-18,21,155.89
2011-03-25,22,162.18
2011-04-01,21,164.27
2011-04-08,21,164.05
2011-04-15,21,166.21
2011-04-22,21,
2011-04-29,20,170.58
2011-05-06,19,168.89
2011-05-13,21,169.92
2011-05-20,21,170.16
2011-05-27,21,167.50
2011-06-03,20,165.05
2011-06-10,21,163.18
2011-06-17,23,164.44
2011-06-24,21,165.07
2011-07-01,20,174.54
2011-07-08,19,176.49
2011-07-15,20,175.54
2011-07-22,21,185.18
2011-07-29,20,181.85
2011-08-05,20,172.98
2011-08-12,20,168.20
2011-08-19,19,157.54
2011-08-26,20,169.14
2011-09-02,19,166.98
2011-09-09,19,161.37
2011-09-16,20,172.99
2011-09-23,20,169.34
2011-09-30,20,174.87
2011-10-07,19,182.39
2011-10-14,19,190.53
2011-10-21,21,181.63
2011-10-28,20,187.45
2011-11-04,18,186.38
2011-11-11,18,187.38
2011-11-18,20,185.24
2011-11-25,17,177.06
2011-12-02,18,189.66
2011-12-09,18,194.56
2011-12-16,17,183.57
2011-12-23,16,184.75
2011-12-30,14,183.88
2012-01-06,15,182.54
2012-01-13,17,179.16
2012-01-20,18,188.52
2012-01-27,17,190.46
2012-02-03,19,193.64
2012-02-10,18,192.42
2012-02-17,18,193.42
2012-02-24,18,197.76
2012-03-02,19,198.81
2012-03-09,18,200.62
2012-03-16,18,206.01
2012-03-23,18,205.48
2012-03-30,18,208.65
2012-04-06,17,
2012-04-13,17,202.80
2012-04-20,18,199.60
2012-04-27,18,206.81
2012-05-04,16,204.99
2012-05-11,17,201.17
2012-05-18,17,195.88
2012-05-25,17,194.30
2012-06-01,17,189.08
2012-06-08,17,195.14
2012-06-15,17,199.10
2012-06-22,17,193.70
2012-06-29,16,195.58
2012-07-06,16,191.41
2012-07-13,16,186.01
2012-07-20,16,192.45
2012-07-27,16,196.39
2012-08-03,16,198.52
2012-08-10,16,199.29
2012-08-17,15,201.22
2012-08-24,16,197.77
2012-08-31,18,194.85
2012-09-07,17,199.50
2012-09-14,18,206.81
2012-09-21,17,205.98
2012-09-28,17,207.45
2012-10-05,17,210.59
2012-10-12,17,207.80
2012-10-19,17,193.36
2012-10-26,16,193.27
2012-11-02,15,193.43
2012-11-09,15,189.64
2012-11-16,15,186.94
2012-11-23,14,193.49
2012-11-30,15,190.07
2012-12-07,15,191.95
2012-12-14,15,191.76
2012-12-21,14,193.42
2012-12-28,10,189.83
2013-01-04,11,193.99
2013-01-11,15,194.45
2013-01-18,15,194.47
2013-01-25,16,204.97
2013-02-01,15,205.18
2013-02-08,15,201.68
2013-02-15,14,200.98
2013-02-22,15,201.09
2013-03-01,15,202.91
2013-03-08,16,210.38
2013-03-15,15,214.92
2013-03-22,15,212.08
2013-03-29,14,
2013-04-05,14,209.41
2013-04-12,15,211.38
2013-04-19,16,190.00
2013-04-26,16,194.31
2013-05-03,15,204.51
2013-05-10,14,204.47
2013-05-17,15,208.44
2013-05-24,14,205.72
2013-05-31,14,208.02
2013-06-07,15,206.35
2013-06-14,16,202.20
2013-06-21,15,195.46
2013-06-28,15,191.11
2013-07-05,14,194.93
2013-07-12,14,192.07
2013-07-19,15,193.54
2013-07-26,14,197.35
2013-08-02,13,195.16
2013-08-09,14,187.82
2013-08-16,13,185.34
2013-08-23,14,185.42
2013-08-30,14,182.27
2013-09-06,14,183.03
2013-09-13,15,192.17
2013-09-20,14,190.02
2013-09-27,15,186.92
2013-10-04,14,184.10
2013-10-11,15,186.16
2013-10-18,15,173.78
2013-10-25,15,176.85
2013-11-01,14,179.23
2013-11-08,14,179.99
2013-11-15,15,183.19
2013-11-22,14,181.30
2013-11-29,13,179.68
2013-12-06,13,177.67
2013-12-13,13,172.80
2013-12-20,13,180.02
2013-12-27,9,185.08
2014-01-03,9,186.64
2014-01-10,14,187.26
2014-01-17,14,190.09
2014-01-24,17,179.64
2014-01-31,15,176.68
2014-02-07,14,177.25
2014-02-14,15,183.69
2014-02-21,14,182.79
2014-02-28,15,185.17
2014-03-07,14,187.68
2014-03-14,15,182.21
2014-03-21,14,186.67
2014-03-28,14,190.45
2014-04-04,14,191.77
2014-04-11,14,195.19
2014-04-18,14,
2014-04-25,13,189.63
2014-05-02,12,
