Date,Home Depot,Price
2007-01-12,56,40.11
2007-01-19,55,40.55
2007-01-26,53,39.94
2007-02-02,52,40.83
2007-02-09,51,41.00
2007-02-16,53,41.44
2007-02-23,56,40.96
2007-03-02,52,39.01
2007-03-09,56,38.67
2007-03-16,59,37.51
2007-03-23,55,38.22
2007-03-30,64,36.74
2007-04-06,67,
2007-04-13,61,37.89
2007-04-20,65,39.21
2007-04-27,68,38.47
2007-05-04,70,38.90
2007-05-11,69,38.86
2007-05-18,66,38.88
2007-05-25,71,38.38
2007-06-01,71,39.21
2007-06-08,66,37.95
2007-06-15,67,37.95
2007-06-22,62,39.36
2007-06-29,66,39.35
2007-07-06,70,40.30
2007-07-13,67,40.87
2007-07-20,68,39.39
2007-07-27,64,36.75
2007-08-03,66,36.19
2007-08-10,65,35.92
2007-08-17,64,33.31
2007-08-24,61,34.68
2007-08-31,62,38.31
2007-09-07,60,34.21
2007-09-14,55,35.68
2007-09-21,53,34.47
2007-09-28,52,32.44
2007-10-05,53,34.22
2007-10-12,54,33.44
2007-10-19,50,30.76
2007-10-26,50,31.35
2007-11-02,52,30.40
2007-11-09,53,28.05
2007-11-16,53,29.07
2007-11-23,64,28.95
2007-11-30,67,28.56
2007-12-07,63,29.49
2007-12-14,56,26.63
2007-12-21,52,26.66
2007-12-28,56,26.68
2008-01-04,60,24.96
2008-01-11,51,24.71
2008-01-18,50,26.28
2008-01-25,50,28.53
2008-02-01,48,30.45
2008-02-08,50,27.97
2008-02-15,48,27.52
2008-02-22,50,27.77
2008-02-29,51,26.55
2008-03-07,52,25.88
2008-03-14,54,25.75
2008-03-21,56,
2008-03-28,59,27.38
2008-04-04,58,28.79
2008-04-11,60,28.17
2008-04-18,66,28.68
2008-04-25,68,29.78
2008-05-02,73,30.12
2008-05-09,69,27.98
2008-05-16,68,29.10
2008-05-23,71,26.77
2008-05-30,71,27.36
2008-06-06,70,27.18
2008-06-13,74,27.53
2008-06-20,66,26.25
2008-06-27,69,24.02
2008-07-04,72,
2008-07-11,70,21.58
2008-07-18,66,23.44
2008-07-25,68,23.80
2008-08-01,65,23.90
2008-08-08,63,26.37
2008-08-15,61,27.53
2008-08-22,59,27.11
2008-08-29,60,27.12
2008-09-05,60,28.59
2008-09-12,56,28.80
2008-09-19,58,27.37
2008-09-26,57,26.46
2008-10-03,56,23.81
2008-10-10,54,19.75
2008-10-17,54,20.21
2008-10-24,55,18.51
2008-10-31,54,23.59
2008-11-07,52,21.06
2008-11-14,57,20.54
2008-11-21,59,19.29
2008-11-28,61,23.11
2008-12-05,61,24.40
2008-12-12,58,23.47
2008-12-19,55,24.22
2008-12-26,58,23.56
2009-01-02,68,24.13
2009-01-09,53,23.86
2009-01-16,51,23.20
2009-01-23,50,21.72
2009-01-30,56,21.53
2009-02-06,48,23.53
2009-02-13,49,21.22
2009-02-20,53,19.46
2009-02-27,52,20.89
2009-03-06,53,18.00
2009-03-13,54,20.71
2009-03-20,57,22.16
2009-03-27,59,23.63
2009-04-03,61,25.00
2009-04-10,63,
2009-04-17,63,26.10
2009-04-24,67,26.31
2009-05-01,67,25.77
2009-05-08,68,25.50
2009-05-15,67,24.40
2009-05-22,68,22.86
2009-05-29,68,23.16
2009-06-05,64,24.17
2009-06-12,63,24.15
2009-06-19,68,23.52
2009-06-26,62,23.61
2009-07-03,64,
2009-07-10,63,22.52
2009-07-17,63,24.67
2009-07-24,61,25.32
2009-07-31,63,25.94
2009-08-07,62,27.26
2009-08-14,61,27.14
2009-08-21,59,27.50
2009-08-28,58,27.69
2009-09-04,58,27.03
2009-09-11,57,27.34
2009-09-18,53,28.23
2009-09-25,54,26.85
2009-10-02,54,26.03
2009-10-09,54,26.96
2009-10-16,55,27.26
2009-10-23,52,26.27
2009-10-30,51,25.09
2009-11-06,52,26.08
2009-11-13,54,27.34
2009-11-20,56,27.18
2009-11-27,64,27.61
2009-12-04,60,28.08
2009-12-11,57,28.49
2009-12-18,53,28.65
2009-12-25,52,
2010-01-01,63,
2010-01-08,54,28.98
2010-01-15,51,28.57
2010-01-22,53,27.72
2010-01-29,51,28.01
2010-02-05,50,27.98
2010-02-12,52,29.00
2010-02-19,52,30.15
2010-02-26,50,31.20
2010-03-05,54,31.80
2010-03-12,56,32.45
2010-03-19,62,32.36
2010-03-26,62,32.75
2010-04-02,69,
2010-04-09,71,33.25
2010-04-16,69,35.01
2010-04-23,70,36.39
2010-04-30,69,35.23
2010-05-07,68,33.43
2010-05-14,64,35.20
2010-05-21,67,33.02
2010-05-28,69,33.86
2010-06-04,69,32.15
2010-06-11,63,32.22
2010-06-18,64,31.94
2010-06-25,61,30.20
2010-07-02,64,27.76
2010-07-09,67,28.26
2010-07-16,64,27.11
2010-07-23,63,28.25
2010-07-30,61,28.51
2010-08-06,62,28.68
2010-08-13,59,27.31
2010-08-20,60,28.17
2010-08-27,57,28.74
2010-09-03,59,29.85
2010-09-10,60,29.68
2010-09-17,55,29.89
2010-09-24,55,31.64
2010-10-01,55,31.82
2010-10-08,53,31.89
2010-10-15,53,30.70
2010-10-22,54,31.48
2010-10-29,52,30.90
2010-11-05,54,31.92
2010-11-12,61,31.44
2010-11-19,63,31.22
2010-11-26,74,31.00
2010-12-03,68,33.48
2010-12-10,62,34.40
2010-12-17,57,35.10
2010-12-24,53,
2010-12-31,67,35.06
2011-01-07,59,34.38
2011-01-14,53,35.89
2011-01-21,55,36.51
2011-01-28,54,36.70
2011-02-04,58,36.80
2011-02-11,53,37.48
2011-02-18,57,38.48
2011-02-25,58,37.08
2011-03-04,58,37.22
2011-03-11,57,37.14
2011-03-18,57,36.00
2011-03-25,64,37.42
2011-04-01,65,37.56
2011-04-08,66,37.46
2011-04-15,70,38.17
2011-04-22,72,
2011-04-29,73,37.15
2011-05-06,72,36.99
2011-05-13,71,37.01
2011-05-20,73,37.05
2011-05-27,79,36.00
2011-06-03,83,34.63
2011-06-10,73,33.47
2011-06-17,73,34.53
2011-06-24,70,35.08
2011-07-01,77,36.73
2011-07-08,76,36.62
2011-07-15,70,35.91
2011-07-22,73,36.52
2011-07-29,71,34.93
2011-08-05,73,30.74
2011-08-12,68,30.58
2011-08-19,70,31.88
2011-08-26,72,34.00
2011-09-02,73,32.18
2011-09-09,69,31.87
2011-09-16,64,34.61
2011-09-23,62,33.72
2011-09-30,61,32.87
2011-10-07,61,33.92
2011-10-14,58,35.05
2011-10-21,57,36.86
2011-10-28,58,36.12
2011-11-04,60,36.39
2011-11-11,63,38.06
2011-11-18,66,37.88
2011-11-25,78,36.47
2011-12-02,72,39.94
2011-12-09,65,40.23
2011-12-16,62,40.42
2011-12-23,60,42.09
2011-12-30,66,42.04
2012-01-06,63,43.20
2012-01-13,60,43.51
2012-01-20,63,44.51
2012-01-27,58,44.87
2012-02-03,61,45.17
2012-02-10,57,45.33
2012-02-17,57,46.71
2012-02-24,63,46.98
2012-03-02,62,47.41
2012-03-09,63,48.10
2012-03-16,67,49.05
2012-03-23,72,49.54
2012-03-30,72,50.31
2012-04-06,75,
2012-04-13,69,50.96
2012-04-20,72,51.46
2012-04-27,73,51.95
2012-05-04,74,51.96
2012-05-11,74,50.34
2012-05-18,73,47.05
2012-05-25,79,49.44
2012-06-01,83,47.96
2012-06-08,74,52.35
2012-06-15,74,51.87
2012-06-22,75,52.02
2012-06-29,76,52.99
2012-07-06,83,52.15
2012-07-13,72,52.09
2012-07-20,72,50.70
2012-07-27,71,53.71
2012-08-03,70,52.29
2012-08-10,70,53.06
2012-08-17,74,56.73
2012-08-24,72,56.96
2012-08-31,71,56.75
2012-09-07,73,57.26
2012-09-14,65,59.46
2012-09-21,64,59.42
2012-09-28,62,60.37
2012-10-05,65,63.20
2012-10-12,64,59.56
2012-10-19,61,61.89
2012-10-26,68,60.04
2012-11-02,70,62.02
2012-11-09,68,60.96
2012-11-16,72,62.12
2012-11-23,89,64.82
2012-11-30,78,65.07
2012-12-07,71,64.45
2012-12-14,66,62.06
2012-12-21,64,61.32
2012-12-28,69,60.65
2013-01-04,77,63.18
2013-01-11,63,63.70
2013-01-18,62,65.47
2013-01-25,65,67.82
2013-02-01,64,67.30
2013-02-08,64,67.01
2013-02-15,65,67.52
2013-02-22,68,65.58
2013-03-01,67,69.03
2013-03-08,67,71.37
2013-03-15,72,69.05
2013-03-22,71,69.56
2013-03-29,73,
2013-04-05,85,70.06
2013-04-12,86,73.62
2013-04-19,86,74.00
2013-04-26,88,73.35
2013-05-03,93,73.96
2013-05-10,91,76.01
2013-05-17,85,76.86
2013-05-24,91,78.99
2013-05-31,97,78.66
2013-06-07,88,78.74
2013-06-14,90,76.59
2013-06-21,85,73.82
2013-06-28,90,77.47
2013-07-05,99,78.29
2013-07-12,88,80.54
2013-07-19,87,79.89
2013-07-26,83,78.74
2013-08-02,83,80.23
2013-08-09,83,78.97
2013-08-16,79,75.38
2013-08-23,81,73.89
2013-08-30,81,74.49
2013-09-06,83,72.70
2013-09-13,73,75.11
2013-09-20,72,77.00
2013-09-27,70,75.96
2013-10-04,69,75.78
2013-10-11,71,76.32
2013-10-18,72,74.69
2013-10-25,69,76.25
2013-11-01,72,76.99
2013-11-08,76,75.48
2013-11-15,81,80.03
2013-11-22,82,79.18
2013-11-29,99,80.67
2013-12-06,87,79.84
2013-12-13,75,79.01
2013-12-20,71,80.04
2013-12-27,76,81.64
2014-01-03,87,81.89
2014-01-10,72,82.01
2014-01-17,70,81.00
2014-01-24,72,79.16
2014-01-31,71,76.85
2014-02-07,66,76.45
2014-02-14,73,77.93
2014-02-21,73,77.74
2014-02-28,76,82.03
2014-03-07,75,82.55
2014-03-14,77,79.38
2014-03-21,78,80.42
2014-03-28,80,78.72
2014-04-04,86,78.72
2014-04-11,91,75.70
2014-04-18,94,
2014-04-25,95,79.38
2014-05-02,100,
