Date,buy IBM,Price
2007-09-14,20,115.13
2007-09-21,22,116.78
2007-09-28,15,117.80
2007-10-05,13,116.30
2007-10-12,18,117.81
2007-10-19,19,112.28
2007-10-26,23,113.73
2007-11-02,19,114.59
2007-11-09,17,100.25
2007-11-16,28,104.79
2007-11-23,23,104.05
2007-11-30,22,105.18
2007-12-07,19,108.86
2007-12-14,19,105.77
2007-12-21,18,111.05
2007-12-28,18,110.09
2008-01-04,19,101.13
2008-01-11,16,97.67
2008-01-18,12,103.40
2008-01-25,17,104.52
2008-02-01,19,109.08
2008-02-08,17,103.27
2008-02-15,20,106.16
2008-02-22,15,108.07
2008-02-29,23,113.86
2008-03-07,14,113.94
2008-03-14,14,115.23
2008-03-21,16,
2008-03-28,12,114.57
2008-04-04,16,115.76
2008-04-11,14,116.00
2008-04-18,19,124.40
2008-04-25,15,123.08
2008-05-02,18,123.18
2008-05-09,18,124.06
2008-05-16,15,127.82
2008-05-23,11,124.20
2008-05-30,14,129.43
2008-06-06,14,124.94
2008-06-13,17,126.15
2008-06-20,11,122.74
2008-06-27,13,120.05
2008-07-04,16,
2008-07-11,13,122.12
2008-07-18,11,129.89
2008-07-25,15,128.53
2008-08-01,17,126.64
2008-08-08,17,128.81
2008-08-15,15,126.36
2008-08-22,18,124.93
2008-08-29,12,121.73
2008-09-05,18,114.33
2008-09-12,14,118.97
2008-09-19,14,118.85
2008-09-26,19,119.42
2008-10-03,13,103.44
2008-10-10,13,87.75
2008-10-17,10,90.78
2008-10-24,15,82.07
2008-10-31,16,92.97
2008-11-07,13,86.27
2008-11-14,15,80.33
2008-11-21,11,74.88
2008-11-28,15,81.60
2008-12-05,15,80.59
2008-12-12,12,82.20
2008-12-19,18,83.52
2008-12-26,14,81.33
2009-01-02,16,87.37
2009-01-09,17,84.70
2009-01-16,13,84.92
2009-01-23,14,89.49
2009-01-30,13,91.65
2009-02-06,14,96.14
2009-02-13,13,93.84
2009-02-20,13,88.79
2009-02-27,13,92.03
2009-03-06,15,85.81
2009-03-13,15,90.36
2009-03-20,100,92.51
2009-03-27,48,94.15
2009-04-03,39,102.22
2009-04-10,33,
2009-04-17,17,101.27
2009-04-24,19,100.08
2009-05-01,15,104.61
2009-05-08,14,101.49
2009-05-15,10,101.37
2009-05-22,12,101.89
2009-05-29,13,106.28
2009-06-05,10,107.24
2009-06-12,10,108.21
2009-06-19,10,105.89
2009-06-26,11,105.68
2009-07-03,12,
2009-07-10,14,100.83
2009-07-17,12,115.42
2009-07-24,13,117.64
2009-07-31,9,117.93
2009-08-07,12,119.33
2009-08-14,11,118.57
2009-08-21,13,119.90
2009-08-28,15,118.22
2009-09-04,15,117.46
2009-09-11,13,118.05
2009-09-18,11,122.11
2009-09-25,14,121.08
2009-10-02,12,119.02
2009-10-09,14,125.93
2009-10-16,11,121.64
2009-10-23,13,120.36
2009-10-30,13,120.61
2009-11-06,11,123.49
2009-11-13,13,127.03
2009-11-20,14,126.96
2009-11-27,14,125.70
2009-12-04,13,127.25
2009-12-11,13,129.68
2009-12-18,11,127.91
2009-12-25,12,
2010-01-01,8,
2010-01-08,9,130.85
2010-01-15,6,131.78
2010-01-22,9,125.50
2010-01-29,9,122.39
2010-02-05,8,123.52
2010-02-12,12,124.00
2010-02-19,14,127.19
2010-02-26,12,127.16
2010-03-05,9,127.25
2010-03-12,9,127.94
2010-03-19,12,127.71
2010-03-26,8,129.26
2010-04-02,8,
2010-04-09,10,128.76
2010-04-16,10,130.63
2010-04-23,8,129.99
2010-04-30,12,129.00
2010-05-07,7,122.10
2010-05-14,9,131.19
2010-05-21,10,125.42
2010-05-28,12,125.26
2010-06-04,8,125.28
2010-06-11,8,128.45
2010-06-18,9,130.15
2010-06-25,7,127.12
2010-07-02,9,121.86
2010-07-09,7,127.96
2010-07-16,12,128.03
2010-07-23,8,128.38
2010-07-30,9,128.40
2010-08-06,9,130.14
2010-08-13,10,127.87
2010-08-20,9,127.50
2010-08-27,9,124.73
2010-09-03,9,127.58
2010-09-10,8,127.99
2010-09-17,10,130.19
2010-09-24,15,134.11
2010-10-01,8,135.64
2010-10-08,10,138.85
2010-10-15,13,141.06
2010-10-22,10,139.67
2010-10-29,8,143.60
2010-11-05,10,146.92
2010-11-12,8,143.74
2010-11-19,9,145.05
2010-11-26,11,143.90
2010-12-03,9,145.38
2010-12-10,7,144.82
2010-12-17,6,145.00
2010-12-24,10,
2010-12-31,7,146.76
2011-01-07,9,147.93
2011-01-14,9,150.00
2011-01-21,8,155.50
2011-01-28,10,159.21
2011-02-04,7,164.00
2011-02-11,8,163.85
2011-02-18,8,164.84
2011-02-25,8,162.28
2011-03-04,9,161.83
2011-03-11,8,162.43
2011-03-18,8,155.89
2011-03-25,8,162.18
2011-04-01,8,164.27
2011-04-08,10,164.05
2011-04-15,8,166.21
2011-04-22,8,
2011-04-29,6,170.58
2011-05-06,8,168.89
2011-05-13,7,169.92
2011-05-20,10,170.16
2011-05-27,6,167.50
2011-06-03,7,165.05
2011-06-10,6,163.18
2011-06-17,7,164.44
2011-06-24,7,165.07
2011-07-01,9,174.54
2011-07-08,5,176.49
2011-07-15,7,175.54
2011-07-22,6,185.18
2011-07-29,9,181.85
2011-08-05,7,172.98
2011-08-12,8,168.20
2011-08-19,8,157.54
2011-08-26,8,169.14
2011-09-02,7,166.98
2011-09-09,5,161.37
2011-09-16,6,172.99
2011-09-23,6,169.34
2011-09-30,7,174.87
2011-10-07,6,182.39
2011-10-14,5,190.53
2011-10-21,7,181.63
2011-10-28,8,187.45
2011-11-04,7,186.38
2011-11-11,5,187.38
2011-11-18,7,185.24
2011-11-25,6,177.06
2011-12-02,7,189.66
2011-12-09,7,194.56
2011-12-16,7,183.57
2011-12-23,6,184.75
2011-12-30,6,183.88
2012-01-06,6,182.54
2012-01-13,8,179.16
2012-01-20,7,188.52
2012-01-27,5,190.46
2012-02-03,6,193.64
2012-02-10,7,192.42
2012-02-17,6,193.42
2012-02-24,6,197.76
2012-03-02,8,198.81
2012-03-09,7,200.62
2012-03-16,6,206.01
2012-03-23,6,205.48
2012-03-30,5,208.65
2012-04-06,5,
2012-04-13,6,202.80
2012-04-20,6,199.60
2012-04-27,6,206.81
2012-05-04,7,204.99
2012-05-11,4,201.17
2012-05-18,5,195.88
2012-05-25,5,194.30
2012-06-01,7,189.08
2012-06-08,4,195.14
2012-06-15,5,199.10
2012-06-22,6,193.70
2012-06-29,5,195.58
2012-07-06,6,191.41
2012-07-13,5,186.01
2012-07-20,5,192.45
2012-07-27,5,196.39
2012-08-03,6,198.52
2012-08-10,6,199.29
2012-08-17,6,201.22
2012-08-24,7,197.77
2012-08-31,6,194.85
2012-09-07,6,199.50
2012-09-14,5,206.81
2012-09-21,6,205.98
2012-09-28,5,207.45
2012-10-05,8,210.59
2012-10-12,5,207.80
2012-10-19,6,193.36
2012-10-26,7,193.27
2012-11-02,6,193.43
2012-11-09,5,189.64
2012-11-16,6,186.94
2012-11-23,6,193.49
2012-11-30,6,190.07
2012-12-07,7,191.95
2012-12-14,6,191.76
2012-12-21,5,193.42
2012-12-28,4,189.83
2013-01-04,5,193.99
2013-01-11,5,194.45
2013-01-18,5,194.47
2013-01-25,5,204.97
2013-02-01,5,205.18
2013-02-08,7,201.68
2013-02-15,5,200.98
2013-02-22,5,201.09
2013-03-01,6,202.91
2013-03-08,5,210.38
2013-03-15,6,214.92
2013-03-22,6,212.08
2013-03-29,3,
2013-04-05,5,209.41
2013-04-12,5,211.38
2013-04-19,7,190.00
2013-04-26,7,194.31
2013-05-03,6,204.51
2013-05-10,5,204.47
2013-05-17,5,208.44
2013-05-24,5,205.72
2013-05-31,4,208.02
2013-06-07,6,206.35
2013-06-14,4,202.20
2013-06-21,6,195.46
2013-06-28,5,191.11
2013-07-05,5,194.93
2013-07-12,5,192.07
2013-07-19,4,193.54
2013-07-26,5,197.35
2013-08-02,6,195.16
2013-08-09,4,187.82
2013-08-16,5,185.34
2013-08-23,6,185.42
2013-08-30,5,182.27
2013-09-06,5,183.03
2013-09-13,6,192.17
2013-09-20,5,190.02
2013-09-27,6,186.92
2013-10-04,5,184.10
2013-10-11,4,186.16
2013-10-18,8,173.78
2013-10-25,6,176.85
2013-11-01,5,179.23
2013-11-08,6,179.99
2013-11-15,4,183.19
2013-11-22,5,181.30
2013-11-29,7,179.68
2013-12-06,6,177.67
2013-12-13,5,172.80
2013-12-20,6,180.02
2013-12-27,4,185.08
2014-01-03,4,186.64
2014-01-10,6,187.26
2014-01-17,5,190.09
2014-01-24,12,179.64
2014-01-31,7,176.68
2014-02-07,7,177.25
2014-02-14,5,183.69
2014-02-21,5,182.79
2014-02-28,6,185.17
2014-03-07,6,187.68
2014-03-14,5,182.21
2014-03-21,5,186.67
2014-03-28,6,190.45
2014-04-04,6,191.77
2014-04-11,3,195.19
2014-04-18,5,
2014-04-25,4,189.63
2014-05-02,6,
