Date,Verizon,Price
2009-04-10,51,
2009-04-17,49,31.78
2009-04-24,46,31.00
2009-05-01,48,30.55
2009-05-08,47,29.85
2009-05-15,49,29.61
2009-05-22,47,28.81
2009-05-29,48,29.26
2009-06-05,50,29.25
2009-06-12,54,29.92
2009-06-19,56,29.66
2009-06-26,53,30.99
2009-07-03,50,
2009-07-10,54,28.62
2009-07-17,55,29.59
2009-07-24,54,31.50
2009-07-31,58,32.07
2009-08-07,56,31.08
2009-08-14,59,31.08
2009-08-21,57,31.37
2009-08-28,54,31.02
2009-09-04,51,30.60
2009-09-11,50,31.26
2009-09-18,51,29.59
2009-09-25,49,29.94
2009-10-02,48,29.89
2009-10-09,51,29.16
2009-10-16,49,28.90
2009-10-23,54,28.85
2009-10-30,56,29.59
2009-11-06,65,29.56
2009-11-13,59,30.13
2009-11-20,57,30.43
2009-11-27,51,31.63
2009-12-04,56,32.70
2009-12-11,53,33.73
2009-12-18,53,32.80
2009-12-25,53,
2010-01-01,58,
2010-01-08,55,31.75
2010-01-15,48,30.58
2010-01-22,51,30.34
2010-01-29,55,29.42
2010-02-05,49,28.74
2010-02-12,48,28.93
2010-02-19,48,29.02
2010-02-26,47,28.93
2010-03-05,48,29.23
2010-03-12,46,29.73
2010-03-19,46,30.41
2010-03-26,50,30.37
2010-04-02,57,
2010-04-09,52,30.08
2010-04-16,50,29.58
2010-04-23,53,29.05
2010-04-30,53,28.90
2010-05-07,49,28.19
2010-05-14,51,28.51
2010-05-21,50,27.96
2010-05-28,49,27.52
2010-06-04,49,27.21
2010-06-11,57,28.56
2010-06-18,53,29.13
2010-06-25,54,28.55
2010-07-02,60,26.81
2010-07-09,53,26.65
2010-07-16,59,26.69
2010-07-23,57,28.02
2010-07-30,55,29.06
2010-08-06,57,29.55
2010-08-13,59,30.03
2010-08-20,57,29.37
2010-08-27,54,29.84
2010-09-03,51,30.20
2010-09-10,53,30.82
2010-09-17,52,31.68
2010-09-24,52,32.64
2010-10-01,49,32.89
2010-10-08,54,32.83
2010-10-15,52,32.43
2010-10-22,50,32.09
2010-10-29,48,32.48
2010-11-05,51,33.43
2010-11-12,52,32.56
2010-11-19,53,32.59
2010-11-26,52,32.21
2010-12-03,57,32.90
2010-12-10,54,34.04
2010-12-17,55,34.64
2010-12-24,55,
2010-12-31,62,35.78
2011-01-07,68,35.93
2011-01-14,100,35.46
2011-01-21,60,34.95
2011-01-28,59,35.63
2011-02-04,65,36.31
2011-02-11,74,36.39
2011-02-18,58,36.62
2011-02-25,54,35.97
2011-03-04,54,36.08
2011-03-11,51,35.85
2011-03-18,50,35.84
2011-03-25,53,37.29
2011-04-01,50,38.47
2011-04-08,48,37.72
2011-04-15,48,37.85
2011-04-22,52,
2011-04-29,54,37.78
2011-05-06,50,37.28
2011-05-13,48,37.26
2011-05-20,50,37.15
2011-05-27,48,36.67
2011-06-03,51,35.63
2011-06-10,50,35.19
2011-06-17,51,35.51
2011-06-24,54,36.00
2011-07-01,52,37.80
2011-07-08,53,37.48
2011-07-15,54,36.82
2011-07-22,53,36.74
2011-07-29,55,35.29
2011-08-05,57,35.05
2011-08-12,59,34.30
2011-08-19,56,34.71
2011-08-26,51,35.76
2011-09-02,51,35.56
2011-09-09,51,35.24
2011-09-16,50,36.72
2011-09-23,50,35.88
2011-09-30,50,36.80
2011-10-07,58,36.16
2011-10-14,56,37.33
2011-10-21,54,37.42
2011-10-28,51,37.63
2011-11-04,49,37.17
2011-11-11,51,37.52
2011-11-18,50,36.46
2011-11-25,48,35.35
2011-12-02,54,37.85
2011-12-09,51,38.43
2011-12-16,53,38.78
2011-12-23,52,39.98
2011-12-30,59,40.12
2012-01-06,50,38.33
2012-01-13,46,38.92
2012-01-20,45,38.97
2012-01-27,46,37.21
2012-02-03,44,37.84
2012-02-10,44,37.69
2012-02-17,45,38.46
2012-02-24,43,38.14
2012-03-02,42,38.67
2012-03-09,43,39.10
2012-03-16,42,39.57
2012-03-23,41,39.42
2012-03-30,40,38.23
2012-04-06,40,
2012-04-13,40,37.26
2012-04-20,38,38.73
2012-04-27,40,40.23
2012-05-04,41,40.26
2012-05-11,39,41.16
2012-05-18,43,41.53
2012-05-25,41,41.45
2012-06-01,41,41.03
2012-06-08,45,42.44
2012-06-15,49,43.55
2012-06-22,47,43.95
2012-06-29,47,44.44
2012-07-06,47,44.42
2012-07-13,48,45.21
2012-07-20,47,44.49
2012-07-27,47,44.90
2012-08-03,47,44.46
2012-08-10,46,44.60
2012-08-17,47,44.06
2012-08-24,47,43.17
2012-08-31,44,42.94
2012-09-07,43,43.72
2012-09-14,59,44.53
2012-09-21,60,45.64
2012-09-28,53,45.57
2012-10-05,49,47.05
2012-10-12,47,44.62
2012-10-19,45,45.16
2012-10-26,46,44.73
2012-11-02,46,44.52
2012-11-09,47,42.64
2012-11-16,46,41.40
2012-11-23,48,43.76
2012-11-30,51,44.12
2012-12-07,47,44.41
2012-12-14,47,44.21
2012-12-21,47,43.57
2012-12-28,51,42.90
2013-01-04,49,44.30
2013-01-11,42,43.30
2013-01-18,40,42.54
2013-01-25,39,42.67
2013-02-01,40,44.56
2013-02-08,40,44.35
2013-02-15,39,44.40
2013-02-22,39,45.40
2013-03-01,40,46.72
2013-03-08,39,47.96
2013-03-15,38,48.02
2013-03-22,38,49.02
2013-03-29,39,
2013-04-05,37,49.56
2013-04-12,37,50.86
2013-04-19,37,52.25
2013-04-26,38,53.63
2013-05-03,40,52.68
2013-05-10,39,52.89
2013-05-17,39,53.35
2013-05-24,42,51.39
2013-05-31,38,48.48
2013-06-07,44,50.24
2013-06-14,43,51.07
2013-06-21,41,49.52
2013-06-28,43,50.34
2013-07-05,42,51.30
2013-07-12,44,50.41
2013-07-19,44,49.95
2013-07-26,43,51.02
2013-08-02,44,50.25
2013-08-09,45,49.32
2013-08-16,43,47.71
2013-08-23,43,47.61
2013-08-30,42,47.38
2013-09-06,42,46.34
2013-09-13,47,47.76
2013-09-20,49,47.78
2013-09-27,45,47.00
2013-10-04,41,47.10
2013-10-11,40,47.09
2013-10-18,40,50.01
2013-10-25,39,50.71
2013-11-01,41,50.49
2013-11-08,40,50.20
2013-11-15,41,50.31
2013-11-22,41,50.22
2013-11-29,43,49.62
2013-12-06,44,49.48
2013-12-13,41,47.84
2013-12-20,42,48.08
2013-12-27,44,49.17
2014-01-03,44,48.42
2014-01-10,40,47.75
2014-01-17,40,48.35
2014-01-24,37,47.63
2014-01-31,36,48.02
2014-02-07,37,46.81
2014-02-14,40,46.51
2014-02-21,39,47.27
2014-02-28,41,47.58
2014-03-07,39,47.15
2014-03-14,38,46.08
2014-03-21,37,46.91
2014-03-28,37,47.42
2014-04-04,37,48.04
2014-04-11,37,47.07
2014-04-18,39,
2014-04-25,38,45.94
2014-05-02,36,
