Date,Travelers,Price
2007-05-04,40,54.70
2007-05-11,36,56.76
2007-05-18,38,56.29
2007-05-25,38,54.57
2007-06-01,39,54.58
2007-06-08,40,54.60
2007-06-15,38,53.92
2007-06-22,50,52.38
2007-06-29,43,53.50
2007-07-06,38,54.52
2007-07-13,39,53.58
2007-07-20,39,51.73
2007-07-27,40,50.65
2007-08-03,39,48.92
2007-08-10,39,50.63
2007-08-17,36,52.93
2007-08-24,33,52.51
2007-08-31,34,50.54
2007-09-07,31,49.85
2007-09-14,30,49.69
2007-09-21,32,51.01
2007-09-28,32,50.34
2007-10-05,32,53.81
2007-10-12,32,54.17
2007-10-19,32,51.21
2007-10-26,33,53.21
2007-11-02,34,52.42
2007-11-09,30,51.40
2007-11-16,30,52.72
2007-11-23,27,51.61
2007-11-30,33,53.11
2007-12-07,35,54.16
2007-12-14,31,52.69
2007-12-21,31,53.71
2007-12-28,29,54.14
2008-01-04,30,51.39
2008-01-11,35,51.46
2008-01-18,32,46.19
2008-01-25,31,45.43
2008-02-01,31,49.63
2008-02-08,33,46.56
2008-02-15,33,47.87
2008-02-22,33,47.90
2008-02-29,30,46.41
2008-03-07,32,46.63
2008-03-14,31,44.92
2008-03-21,30,
2008-03-28,35,47.42
2008-04-04,36,49.30
2008-04-11,33,49.30
2008-04-18,35,50.31
2008-04-25,33,50.21
2008-05-02,35,52.06
2008-05-09,34,50.18
2008-05-16,35,50.82
2008-05-23,34,48.31
2008-05-30,33,49.81
2008-06-06,36,47.25
2008-06-13,37,47.84
2008-06-20,43,45.63
2008-06-27,40,44.30
2008-07-04,34,
2008-07-11,35,44.12
2008-07-18,33,43.95
2008-07-25,33,42.33
2008-08-01,36,44.06
2008-08-08,35,44.39
2008-08-15,33,44.46
2008-08-22,33,44.31
2008-08-29,32,44.16
2008-09-05,27,43.28
2008-09-12,32,45.05
2008-09-19,31,50.76
2008-09-26,29,44.00
2008-10-03,31,38.80
2008-10-10,30,30.50
2008-10-17,27,34.03
2008-10-24,27,41.74
2008-10-31,29,42.55
2008-11-07,27,39.61
2008-11-14,27,41.88
2008-11-21,27,38.77
2008-11-28,26,43.65
2008-12-05,27,43.41
2008-12-12,28,40.58
2008-12-19,30,42.84
2008-12-26,24,42.47
2009-01-02,27,45.20
2009-01-09,29,41.98
2009-01-16,30,41.05
2009-01-23,31,37.92
2009-01-30,30,38.64
2009-02-06,30,39.72
2009-02-13,31,40.37
2009-02-20,31,38.34
2009-02-27,30,36.15
2009-03-06,31,34.44
2009-03-13,30,38.34
2009-03-20,31,38.81
2009-03-27,30,39.35
2009-04-03,30,42.61
2009-04-10,29,
2009-04-17,31,42.53
2009-04-24,31,39.50
2009-05-01,32,41.21
2009-05-08,30,38.82
2009-05-15,32,39.76
2009-05-22,28,40.26
2009-05-29,29,40.66
2009-06-05,35,43.75
2009-06-12,35,43.20
2009-06-19,37,42.08
2009-06-26,47,40.88
2009-07-03,36,
2009-07-10,38,39.00
2009-07-17,42,40.42
2009-07-24,54,43.22
2009-07-31,56,43.07
2009-08-07,57,47.46
2009-08-14,100,47.25
2009-08-21,84,48.20
2009-08-28,51,49.61
2009-09-04,46,50.12
2009-09-11,42,48.41
2009-09-18,37,47.37
2009-09-25,34,47.75
2009-10-02,34,49.04
2009-10-09,36,48.81
2009-10-16,37,48.67
2009-10-23,37,51.30
2009-10-30,33,49.79
2009-11-06,34,51.90
2009-11-13,31,53.28
2009-11-20,34,52.38
2009-11-27,29,51.65
2009-12-04,32,51.04
2009-12-11,30,50.70
2009-12-18,32,48.14
2009-12-25,27,
2010-01-01,42,
2010-01-08,46,48.56
2010-01-15,37,48.79
2010-01-22,36,48.31
2010-01-29,36,50.67
2010-02-05,38,50.28
2010-02-12,46,50.45
2010-02-19,40,52.88
2010-02-26,36,52.59
2010-03-05,36,53.94
2010-03-12,34,53.16
2010-03-19,31,53.46
2010-03-26,31,54.35
2010-04-02,32,
2010-04-09,31,52.40
2010-04-16,33,52.14
2010-04-23,32,53.38
2010-04-30,33,50.74
2010-05-07,32,49.26
2010-05-14,32,50.12
2010-05-21,33,49.23
2010-05-28,32,49.47
2010-06-04,31,48.61
2010-06-11,32,50.41
2010-06-18,33,51.35
2010-06-25,41,51.12
2010-07-02,37,48.54
2010-07-09,33,51.15
2010-07-16,32,49.62
2010-07-23,33,50.14
2010-07-30,33,50.45
2010-08-06,34,50.27
2010-08-13,33,50.14
2010-08-20,32,50.09
2010-08-27,30,49.87
2010-09-03,32,51.03
2010-09-10,30,50.06
2010-09-17,30,52.67
2010-09-24,28,53.12
2010-10-01,29,52.12
2010-10-08,30,52.81
2010-10-15,27,53.63
2010-10-22,29,55.10
2010-10-29,30,55.20
2010-11-05,28,57.44
2010-11-12,28,56.31
2010-11-19,29,55.49
2010-11-26,23,54.37
2010-12-03,27,54.86
2010-12-10,26,54.78
2010-12-17,27,55.18
2010-12-24,25,
2010-12-31,26,55.71
2011-01-07,30,53.33
2011-01-14,29,54.63
2011-01-21,29,55.00
2011-01-28,29,55.81
2011-02-04,28,57.41
2011-02-11,31,58.99
2011-02-18,28,60.92
2011-02-25,31,59.60
2011-03-04,30,59.18
2011-03-11,28,58.88
2011-03-18,25,58.06
2011-03-25,29,58.98
2011-04-01,28,59.71
2011-04-08,29,59.58
2011-04-15,28,59.80
2011-04-22,30,
2011-04-29,29,63.28
2011-05-06,29,63.43
2011-05-13,30,62.33
2011-05-20,30,62.25
2011-05-27,29,61.52
2011-06-03,35,61.18
2011-06-10,37,59.21
2011-06-17,36,57.92
2011-06-24,48,56.68
2011-07-01,47,59.11
2011-07-08,34,58.66
2011-07-15,32,57.90
2011-07-22,34,57.58
2011-07-29,34,55.13
2011-08-05,32,52.57
2011-08-12,33,51.13
2011-08-19,30,49.46
2011-08-26,30,48.30
2011-09-02,31,48.87
2011-09-09,27,48.14
2011-09-16,29,50.61
2011-09-23,30,47.12
2011-09-30,28,48.73
2011-10-07,27,49.00
2011-10-14,26,51.27
2011-10-21,26,57.35
2011-10-28,25,59.48
2011-11-04,26,58.14
2011-11-11,26,58.43
2011-11-18,26,56.22
2011-11-25,22,53.41
2011-12-02,27,54.24
2011-12-09,26,56.02
2011-12-16,26,57.28
2011-12-23,26,59.35
2011-12-30,26,59.17
2012-01-06,28,59.35
2012-01-13,27,59.37
2012-01-20,26,61.59
2012-01-27,26,58.05
2012-02-03,26,60.12
2012-02-10,27,59.38
2012-02-17,26,59.85
2012-02-24,25,58.60
2012-03-02,27,58.01
2012-03-09,26,57.61
2012-03-16,26,59.20
2012-03-23,27,58.20
2012-03-30,27,59.20
2012-04-06,28,
2012-04-13,29,58.12
2012-04-20,28,62.75
2012-04-27,28,64.01
2012-05-04,31,64.50
2012-05-11,27,64.62
2012-05-18,30,62.18
2012-05-25,29,62.60
2012-06-01,28,60.58
2012-06-08,29,62.14
2012-06-15,29,63.41
2012-06-22,44,63.35
2012-06-29,36,63.84
2012-07-06,28,63.26
2012-07-13,30,63.13
2012-07-20,29,62.71
2012-07-27,30,62.72
2012-08-03,29,63.71
2012-08-10,28,63.98
2012-08-17,28,65.13
2012-08-24,29,65.40
2012-08-31,27,64.74
2012-09-07,25,65.21
2012-09-14,26,68.58
2012-09-21,26,68.61
2012-09-28,26,68.26
2012-10-05,25,69.56
2012-10-12,25,68.72
2012-10-19,24,73.51
2012-10-26,25,71.56
2012-11-02,26,69.62
2012-11-09,24,68.98
2012-11-16,24,68.65
2012-11-23,20,71.27
2012-11-30,24,70.82
2012-12-07,24,73.39
2012-12-14,25,73.37
2012-12-21,24,72.82
2012-12-28,22,71.24
2013-01-04,25,74.06
2013-01-11,26,74.85
2013-01-18,24,76.31
2013-01-25,24,78.35
2013-02-01,24,79.89
2013-02-08,23,78.86
2013-02-15,24,80.39
2013-02-22,23,81.01
2013-03-01,25,80.69
2013-03-08,24,81.65
2013-03-15,23,82.28
2013-03-22,25,83.69
2013-03-29,29,
2013-04-05,26,84.41
2013-04-12,26,86.26
2013-04-19,25,84.81
2013-04-26,25,85.15
2013-05-03,26,85.41
2013-05-10,26,86.49
2013-05-17,26,86.50
2013-05-24,26,83.60
2013-05-31,25,83.72
2013-06-07,26,83.44
2013-06-14,29,82.15
2013-06-21,39,79.07
2013-06-28,41,79.92
2013-07-05,24,81.34
2013-07-12,26,84.18
2013-07-19,27,84.66
2013-07-26,28,83.60
2013-08-02,27,84.00
2013-08-09,26,82.10
2013-08-16,27,81.10
2013-08-23,24,80.19
2013-08-30,24,79.90
2013-09-06,23,80.49
2013-09-13,23,83.56
2013-09-20,23,86.06
2013-09-27,23,85.41
2013-10-04,24,84.68
2013-10-11,23,84.66
2013-10-18,23,86.58
2013-10-25,22,86.63
2013-11-01,23,86.40
2013-11-08,23,87.80
2013-11-15,23,88.67
2013-11-22,23,90.52
2013-11-29,20,90.74
2013-12-06,24,89.01
2013-12-13,24,86.49
2013-12-20,24,89.18
2013-12-27,19,89.85
2014-01-03,24,89.16
2014-01-10,25,87.49
2014-01-17,24,86.47
2014-01-24,23,81.61
2014-01-31,24,81.28
2014-02-07,24,80.88
2014-02-14,24,84.02
2014-02-21,24,83.79
2014-02-28,25,83.84
2014-03-07,26,83.93
2014-03-14,24,82.66
2014-03-21,24,83.78
2014-03-28,25,83.99
2014-04-04,26,85.20
2014-04-11,26,85.30
2014-04-18,25,
2014-04-25,26,88.31
2014-05-02,24,
