Date,Chevron,Price
2009-07-31,48,69.47
2009-08-07,47,69.50
2009-08-14,42,68.63
2009-08-21,49,69.73
2009-08-28,48,70.68
2009-09-04,49,68.96
2009-09-11,44,70.75
2009-09-18,48,72.64
2009-09-25,44,70.66
2009-10-02,44,68.14
2009-10-09,45,72.76
2009-10-16,42,76.81
2009-10-23,43,76.68
2009-10-30,43,76.54
2009-11-06,41,77.53
2009-11-13,39,77.94
2009-11-20,40,76.77
2009-11-27,36,78.17
2009-12-04,64,78.07
2009-12-11,53,77.76
2009-12-18,38,76.90
2009-12-25,32,
2010-01-01,34,
2010-01-08,46,79.47
2010-01-15,43,79.23
2010-01-22,47,74.59
2010-01-29,43,72.12
2010-02-05,41,71.18
2010-02-12,41,71.01
2010-02-19,41,74.05
2010-02-26,39,72.30
2010-03-05,41,74.30
2010-03-12,42,73.72
2010-03-19,39,74.98
2010-03-26,43,74.43
2010-04-02,43,
2010-04-09,43,79.50
2010-04-16,38,80.75
2010-04-23,40,82.67
2010-04-30,40,81.44
2010-05-07,41,77.10
2010-05-14,41,77.83
2010-05-21,43,74.48
2010-05-28,40,73.87
2010-06-04,41,71.28
2010-06-11,43,74.06
2010-06-18,45,75.52
2010-06-25,39,70.06
2010-07-02,40,67.31
2010-07-09,39,71.84
2010-07-16,44,71.50
2010-07-23,42,73.52
2010-07-30,49,76.21
2010-08-06,50,78.73
2010-08-13,43,77.40
2010-08-20,45,75.05
2010-08-27,45,74.93
2010-09-03,42,78.00
2010-09-10,41,78.82
2010-09-17,41,78.46
2010-09-24,43,80.12
2010-10-01,42,81.95
2010-10-08,41,83.94
2010-10-15,40,83.61
2010-10-22,43,84.55
2010-10-29,39,82.60
2010-11-05,41,84.98
2010-11-12,44,85.44
2010-11-19,41,83.94
2010-11-26,37,82.05
2010-12-03,77,84.89
2010-12-10,81,87.03
2010-12-17,39,88.49
2010-12-24,37,
2010-12-31,36,91.25
2011-01-07,42,91.19
2011-01-14,43,92.83
2011-01-21,42,93.78
2011-01-28,44,93.37
2011-02-04,48,97.11
2011-02-11,39,96.45
2011-02-18,48,98.72
2011-02-25,45,102.10
2011-03-04,44,103.75
2011-03-11,44,99.93
2011-03-18,46,102.80
2011-03-25,45,106.78
2011-04-01,44,108.32
2011-04-08,47,109.66
2011-04-15,44,106.24
2011-04-22,44,
2011-04-29,45,109.44
2011-05-06,42,102.88
2011-05-13,46,102.39
2011-05-20,44,102.57
2011-05-27,44,103.21
2011-06-03,52,101.00
2011-06-10,47,99.67
2011-06-17,44,99.17
2011-06-24,46,97.90
2011-07-01,46,104.09
2011-07-08,44,105.89
2011-07-15,47,106.19
2011-07-22,46,108.97
2011-07-29,48,104.02
2011-08-05,48,97.61
2011-08-12,47,95.86
2011-08-19,46,93.29
2011-08-26,44,96.85
2011-09-02,43,96.41
2011-09-09,43,95.19
2011-09-16,45,99.63
2011-09-23,45,90.01
2011-09-30,47,92.59
2011-10-07,46,94.40
2011-10-14,44,100.47
2011-10-21,45,105.53
2011-10-28,45,109.64
2011-11-04,45,106.43
2011-11-11,46,107.05
2011-11-18,51,97.88
2011-11-25,56,92.29
2011-12-02,86,101.69
2011-12-09,86,104.25
2011-12-16,46,100.86
2011-12-23,41,107.50
2011-12-30,40,106.40
2012-01-06,46,108.31
2012-01-13,49,106.09
2012-01-20,52,106.89
2012-01-27,45,103.96
2012-02-03,45,105.50
2012-02-10,47,105.28
2012-02-17,49,106.66
2012-02-24,48,109.08
2012-03-02,48,109.61
2012-03-09,46,109.57
2012-03-16,48,110.28
2012-03-23,55,106.36
2012-03-30,51,107.21
2012-04-06,49,
2012-04-13,53,100.78
2012-04-20,54,102.52
2012-04-27,53,106.20
2012-05-04,53,103.72
2012-05-11,53,102.69
2012-05-18,53,98.46
2012-05-25,52,98.86
2012-06-01,52,96.41
2012-06-08,54,100.84
2012-06-15,50,104.33
2012-06-22,53,100.44
2012-06-29,53,105.50
2012-07-06,54,105.07
2012-07-13,58,106.01
2012-07-20,58,109.19
2012-07-27,63,109.26
2012-08-03,59,111.12
2012-08-10,100,113.55
2012-08-17,63,112.66
2012-08-24,63,112.01
2012-08-31,61,112.16
2012-09-07,57,114.00
2012-09-14,62,117.25
2012-09-21,59,117.80
2012-09-28,56,116.56
2012-10-05,58,117.50
2012-10-12,56,112.07
2012-10-19,55,113.38
2012-10-26,57,111.18
2012-11-02,54,108.37
2012-11-09,55,105.84
2012-11-16,56,102.40
2012-11-23,52,105.47
2012-11-30,58,105.69
2012-12-07,55,106.99
2012-12-14,51,107.82
2012-12-21,49,109.71
2012-12-28,48,106.45
2013-01-04,60,110.50
2013-01-11,64,111.73
2013-01-18,64,115.24
2013-01-25,62,116.20
2013-02-01,65,116.50
2013-02-08,64,115.64
2013-02-15,62,114.96
2013-02-22,64,115.96
2013-03-01,70,116.90
2013-03-08,69,118.57
2013-03-15,67,119.68
2013-03-22,68,121.18
2013-03-29,70,
2013-04-05,71,117.52
2013-04-12,71,119.94
2013-04-19,70,115.90
2013-04-26,70,120.04
2013-05-03,74,123.49
2013-05-10,71,123.23
2013-05-17,71,123.42
2013-05-24,73,125.45
2013-05-31,73,122.75
2013-06-07,75,121.70
2013-06-14,76,120.28
2013-06-21,74,118.93
2013-06-28,76,118.34
2013-07-05,78,120.51
2013-07-12,84,124.06
2013-07-19,95,126.91
2013-07-26,90,127.56
2013-08-02,93,124.95
2013-08-09,90,122.50
2013-08-16,88,119.88
2013-08-23,86,119.53
2013-08-30,87,120.43
2013-09-06,77,121.21
2013-09-13,81,124.14
2013-09-20,86,124.92
2013-09-27,78,122.64
2013-10-04,76,118.13
2013-10-11,90,117.67
2013-10-18,80,119.65
2013-10-25,71,120.59
2013-11-01,72,118.01
2013-11-08,73,121.19
2013-11-15,81,120.06
2013-11-22,76,124.03
2013-11-29,73,122.44
2013-12-06,79,122.29
2013-12-13,77,119.90
2013-12-20,70,122.78
2013-12-27,69,125.23
2014-01-03,75,124.35
2014-01-10,76,121.01
2014-01-17,78,119.29
2014-01-24,77,116.29
2014-01-31,76,111.63
2014-02-07,71,112.05
2014-02-14,79,113.48
2014-02-21,81,112.68
2014-02-28,79,115.33
2014-03-07,83,115.08
2014-03-14,80,114.10
2014-03-21,76,115.63
2014-03-28,75,118.50
2014-04-04,75,118.80
2014-04-11,77,117.03
2014-04-18,77,
2014-04-25,75,123.99
2014-05-02,72,
