Date,MRK,Price
2008-11-07,36,28.92
2008-11-14,36,27.33
2008-11-21,39,24.40
2008-11-28,42,26.72
2008-12-05,35,26.49
2008-12-12,38,27.04
2008-12-19,31,28.56
2008-12-26,37,29.00
2009-01-02,37,31.00
2009-01-09,43,28.73
2009-01-16,36,28.19
2009-01-23,38,28.20
2009-01-30,33,28.55
2009-02-06,37,30.77
2009-02-13,43,28.75
2009-02-20,37,28.10
2009-02-27,44,24.20
2009-03-06,39,22.74
2009-03-13,49,27.07
2009-03-20,47,26.72
2009-03-27,37,27.16
2009-04-03,37,26.46
2009-04-10,39,
2009-04-17,39,25.73
2009-04-24,39,23.45
2009-05-01,34,24.30
2009-05-08,35,24.82
2009-05-15,35,25.47
2009-05-22,34,26.17
2009-05-29,31,27.58
2009-06-05,33,26.07
2009-06-12,35,26.08
2009-06-19,30,25.91
2009-06-26,35,27.00
2009-07-03,30,
2009-07-10,32,26.45
2009-07-17,35,27.68
2009-07-24,37,30.99
2009-07-31,33,30.01
2009-08-07,38,30.10
2009-08-14,33,30.98
2009-08-21,37,32.56
2009-08-28,32,32.32
2009-09-04,36,30.70
2009-09-11,34,32.54
2009-09-18,30,31.88
2009-09-25,30,31.25
2009-10-02,30,31.65
2009-10-09,31,32.56
2009-10-16,34,33.21
2009-10-23,37,32.43
2009-10-30,27,30.93
2009-11-06,36,32.59
2009-11-13,28,33.10
2009-11-20,33,36.46
2009-11-27,34,36.29
2009-12-04,27,36.70
2009-12-11,31,37.07
2009-12-18,33,37.40
2009-12-25,31,
2010-01-01,35,
2010-01-08,33,37.70
2010-01-15,39,39.47
2010-01-22,40,38.87
2010-01-29,34,38.18
2010-02-05,39,36.73
2010-02-12,33,36.92
2010-02-19,32,37.49
2010-02-26,32,36.88
2010-03-05,38,37.49
2010-03-12,36,37.16
2010-03-19,33,38.06
2010-03-26,33,37.43
2010-04-02,28,
2010-04-09,29,36.97
2010-04-16,31,35.71
2010-04-23,31,35.46
2010-04-30,30,35.04
2010-05-07,30,33.49
2010-05-14,34,32.88
2010-05-21,31,32.04
2010-05-28,31,33.69
2010-06-04,30,33.17
2010-06-11,29,34.86
2010-06-18,29,35.67
2010-06-25,32,35.93
2010-07-02,30,34.22
2010-07-09,32,36.30
2010-07-16,39,35.91
2010-07-23,29,34.87
2010-07-30,33,34.46
2010-08-06,33,34.98
2010-08-13,37,35.00
2010-08-20,25,34.44
2010-08-27,32,35.00
2010-09-03,25,35.59
2010-09-10,28,36.65
2010-09-17,32,36.33
2010-09-24,27,37.34
2010-10-01,29,36.60
2010-10-08,29,36.91
2010-10-15,32,36.95
2010-10-22,29,37.10
2010-10-29,31,36.31
2010-11-05,36,35.70
2010-11-12,31,34.71
2010-11-19,31,35.33
2010-11-26,26,34.79
2010-12-03,34,35.30
2010-12-10,36,35.99
2010-12-17,27,36.48
2010-12-24,42,
2010-12-31,31,36.04
2011-01-07,49,37.35
2011-01-14,38,34.23
2011-01-21,36,33.90
2011-01-28,37,33.07
2011-02-04,33,32.89
2011-02-11,27,33.07
2011-02-18,34,32.85
2011-02-25,31,32.19
2011-03-04,30,33.06
2011-03-11,34,32.73
2011-03-18,32,31.91
2011-03-25,31,32.57
2011-04-01,30,33.07
2011-04-08,29,33.67
2011-04-15,33,34.51
2011-04-22,28,
2011-04-29,38,35.95
2011-05-06,34,36.39
2011-05-13,34,37.08
2011-05-20,31,37.06
2011-05-27,29,36.21
2011-06-03,31,35.82
2011-06-10,30,35.45
2011-06-17,72,35.39
2011-06-24,25,34.55
2011-07-01,31,35.60
2011-07-08,25,36.12
2011-07-15,25,35.93
2011-07-22,26,36.09
2011-07-29,27,34.13
2011-08-05,30,31.71
2011-08-12,33,31.34
2011-08-19,31,31.26
2011-08-26,23,31.92
2011-09-02,26,32.37
2011-09-09,25,31.84
2011-09-16,26,32.68
2011-09-23,27,31.05
2011-09-30,27,32.70
2011-10-07,26,31.61
2011-10-14,28,32.98
2011-10-21,29,33.35
2011-10-28,30,35.11
2011-11-04,28,34.02
2011-11-11,26,35.97
2011-11-18,28,34.95
2011-11-25,27,33.16
2011-12-02,27,35.48
2011-12-09,32,35.68
2011-12-16,28,36.25
2011-12-23,29,37.90
2011-12-30,22,37.70
2012-01-06,30,38.47
2012-01-13,34,38.32
2012-01-20,30,39.20
2012-01-27,28,38.52
2012-02-03,32,38.37
2012-02-10,31,37.91
2012-02-17,32,38.56
2012-02-24,32,38.20
2012-03-02,34,37.93
2012-03-09,30,37.60
2012-03-16,30,38.03
2012-03-23,29,38.01
2012-03-30,31,38.40
2012-04-06,30,
2012-04-13,30,37.78
2012-04-20,28,38.73
2012-04-27,29,38.46
2012-05-04,32,38.84
2012-05-11,26,38.03
2012-05-18,27,37.82
2012-05-25,28,37.55
2012-06-01,28,37.18
2012-06-08,31,38.46
2012-06-15,27,38.94
2012-06-22,28,40.18
2012-06-29,27,41.75
2012-07-06,29,41.51
2012-07-13,30,43.47
2012-07-20,29,43.41
2012-07-27,26,45.10
2012-08-03,29,44.15
2012-08-10,31,44.57
2012-08-17,26,43.34
2012-08-24,26,43.12
2012-08-31,28,43.05
2012-09-07,25,44.05
2012-09-14,28,43.62
2012-09-21,27,44.91
2012-09-28,27,45.10
2012-10-05,32,46.28
2012-10-12,30,45.62
2012-10-19,26,47.03
2012-10-26,34,46.15
2012-11-02,28,46.00
2012-11-09,28,44.05
2012-11-16,27,43.07
2012-11-23,24,44.28
2012-11-30,28,44.30
2012-12-07,29,44.63
2012-12-14,29,43.54
2012-12-21,29,41.52
2012-12-28,26,40.64
2013-01-04,25,41.97
2013-01-11,27,43.23
2013-01-18,27,42.98
2013-01-25,26,43.46
2013-02-01,27,41.83
2013-02-08,31,41.18
2013-02-15,31,41.42
2013-02-22,28,42.97
2013-03-01,26,42.63
2013-03-08,29,42.97
2013-03-15,32,44.09
2013-03-22,28,43.90
2013-03-29,29,
2013-04-05,31,45.13
2013-04-12,34,47.11
2013-04-19,29,47.49
2013-04-26,53,47.87
2013-05-03,34,45.67
2013-05-10,31,45.95
2013-05-17,30,45.99
2013-05-24,35,47.16
2013-05-31,33,46.70
2013-06-07,30,48.19
2013-06-14,33,47.95
2013-06-21,26,47.00
2013-06-28,27,46.45
2013-07-05,26,47.16
2013-07-12,25,48.54
2013-07-19,27,47.79
2013-07-26,24,48.49
2013-08-02,28,48.54
2013-08-09,24,48.39
2013-08-16,24,47.70
2013-08-23,23,47.73
2013-08-30,26,47.29
2013-09-06,24,47.49
2013-09-13,28,47.79
2013-09-20,25,48.01
2013-09-27,26,47.79
2013-10-04,30,48.23
2013-10-11,25,47.29
2013-10-18,29,46.61
2013-10-25,29,46.54
2013-11-01,29,45.23
2013-11-08,30,46.80
2013-11-15,30,48.07
2013-11-22,32,48.94
2013-11-29,29,49.83
2013-12-06,30,49.39
2013-12-13,35,48.38
2013-12-20,28,49.32
2013-12-27,26,49.79
2014-01-03,30,49.73
2014-01-10,32,49.88
2014-01-17,38,51.95
2014-01-24,27,51.98
2014-01-31,28,52.97
2014-02-07,36,54.77
2014-02-14,31,55.44
2014-02-21,31,56.03
2014-02-28,33,56.99
2014-03-07,31,57.47
2014-03-14,32,55.70
2014-03-21,30,54.66
2014-03-28,28,55.98
2014-04-04,28,56.12
2014-04-11,30,55.92
2014-04-18,39,
2014-04-25,33,57.24
2014-05-02,40,
