Date,Caterpillar,Price
2009-12-18,72,57.19
2009-12-25,63,
2010-01-01,61,
2010-01-08,73,60.34
2010-01-15,74,60.12
2010-01-22,70,54.25
2010-01-29,72,52.24
2010-02-05,73,51.75
2010-02-12,75,56.20
2010-02-19,72,58.25
2010-02-26,75,57.05
2010-03-05,74,59.23
2010-03-12,75,60.36
2010-03-19,74,59.37
2010-03-26,79,62.44
2010-04-02,75,
2010-04-09,72,65.27
2010-04-16,82,66.88
2010-04-23,80,68.78
2010-04-30,87,68.09
2010-05-07,81,62.10
2010-05-14,86,64.88
2010-05-21,81,60.09
2010-05-28,79,60.76
2010-06-04,78,57.76
2010-06-11,76,60.23
2010-06-18,71,65.85
2010-06-25,72,64.71
2010-07-02,71,59.18
2010-07-09,66,64.72
2010-07-16,71,63.94
2010-07-23,75,69.31
2010-07-30,75,69.75
2010-08-06,78,71.56
2010-08-13,78,68.01
2010-08-20,80,68.86
2010-08-27,82,65.90
2010-09-03,78,70.08
2010-09-10,79,71.26
2010-09-17,80,73.18
2010-09-24,79,79.73
2010-10-01,81,78.22
2010-10-08,77,80.37
2010-10-15,77,79.75
2010-10-22,81,78.33
2010-10-29,80,78.60
2010-11-05,75,83.54
2010-11-12,74,81.04
2010-11-19,79,83.97
2010-11-26,74,84.13
2010-12-03,81,89.38
2010-12-10,76,89.94
2010-12-17,74,92.59
2010-12-24,66,
2010-12-31,60,93.66
2011-01-07,66,93.73
2011-01-14,66,94.01
2011-01-21,68,92.75
2011-01-28,68,95.68
2011-02-04,65,99.59
2011-02-11,65,103.54
2011-02-18,70,105.86
2011-02-25,68,102.00
2011-03-04,68,103.04
2011-03-11,67,100.02
2011-03-18,68,105.06
2011-03-25,71,109.09
2011-04-01,77,113.12
2011-04-08,75,109.82
2011-04-15,75,107.21
2011-04-22,71,
2011-04-29,74,115.41
2011-05-06,73,110.34
2011-05-13,76,106.33
2011-05-20,74,104.33
2011-05-27,73,104.60
2011-06-03,72,101.10
2011-06-10,73,96.79
2011-06-17,68,95.95
2011-06-24,73,100.01
2011-07-01,69,108.62
2011-07-08,71,110.41
2011-07-15,72,109.36
2011-07-22,74,105.15
2011-07-29,75,98.79
2011-08-05,77,90.99
2011-08-12,80,89.81
2011-08-19,81,79.97
2011-08-26,79,85.16
2011-09-02,80,85.38
2011-09-09,82,83.96
2011-09-16,86,85.90
2011-09-23,86,73.86
2011-09-30,83,73.84
2011-10-07,81,75.52
2011-10-14,77,84.09
2011-10-21,83,87.39
2011-10-28,82,96.85
2011-11-04,76,95.74
2011-11-11,78,96.13
2011-11-18,80,93.93
2011-11-25,72,86.72
2011-12-02,75,96.29
2011-12-09,73,95.97
2011-12-16,73,87.20
2011-12-23,65,92.25
2011-12-30,59,90.60
2012-01-06,69,95.76
2012-01-13,74,102.48
2012-01-20,75,105.64
2012-01-27,77,111.28
2012-02-03,81,113.94
2012-02-10,79,111.75
2012-02-17,75,113.95
2012-02-24,76,116.00
2012-03-02,75,112.49
2012-03-09,77,110.22
2012-03-16,76,113.58
2012-03-23,79,107.83
2012-03-30,80,106.52
2012-04-06,75,
2012-04-13,78,105.89
2012-04-20,83,107.73
2012-04-27,83,104.56
2012-05-04,82,98.44
2012-05-11,81,95.50
2012-05-18,77,88.68
2012-05-25,80,89.94
2012-06-01,77,85.52
2012-06-08,74,87.60
2012-06-15,77,86.93
2012-06-22,76,84.96
2012-06-29,73,84.91
2012-07-06,71,84.61
2012-07-13,75,82.07
2012-07-20,77,80.95
2012-07-27,78,86.16
2012-08-03,74,85.02
2012-08-10,78,88.94
2012-08-17,84,90.01
2012-08-24,86,87.47
2012-08-31,83,85.33
2012-09-07,86,88.10
2012-09-14,88,93.17
2012-09-21,87,91.72
2012-09-28,83,86.04
2012-10-05,82,85.43
2012-10-12,78,82.82
2012-10-19,81,83.86
2012-10-26,82,84.25
2012-11-02,73,85.79
2012-11-09,75,84.95
2012-11-16,72,81.93
2012-11-23,70,84.16
2012-11-30,71,85.24
2012-12-07,76,86.99
2012-12-14,72,89.00
2012-12-21,63,87.90
2012-12-28,57,86.81
2013-01-04,60,94.92
2013-01-11,69,95.19
2013-01-18,71,97.62
2013-01-25,73,95.58
2013-02-01,71,99.49
2013-02-08,68,96.85
2013-02-15,69,95.61
2013-02-22,67,91.54
2013-03-01,75,91.36
2013-03-08,76,90.51
2013-03-15,73,88.83
2013-03-22,75,87.48
2013-03-29,68,
2013-04-05,70,84.60
2013-04-12,77,85.05
2013-04-19,82,80.43
2013-04-26,84,84.68
2013-05-03,81,86.98
2013-05-10,79,88.62
2013-05-17,82,87.67
2013-05-24,79,86.21
2013-05-31,78,85.80
2013-06-07,77,84.65
2013-06-14,80,83.87
2013-06-21,74,83.12
2013-06-28,76,82.49
2013-07-05,76,82.14
2013-07-12,76,87.17
2013-07-19,79,85.65
2013-07-26,82,82.06
2013-08-02,78,84.30
2013-08-09,87,84.51
2013-08-16,85,85.16
2013-08-23,86,83.89
2013-08-30,91,82.54
2013-09-06,90,83.39
2013-09-13,92,87.01
2013-09-20,90,84.75
2013-09-27,95,83.80
2013-10-04,96,84.20
2013-10-11,87,85.61
2013-10-18,84,87.34
2013-10-25,83,84.77
2013-11-01,81,83.59
2013-11-08,78,84.24
2013-11-15,80,83.74
2013-11-22,78,82.88
2013-11-29,79,84.60
2013-12-06,76,85.50
2013-12-13,76,86.05
2013-12-20,68,88.93
2013-12-27,59,90.87
2014-01-03,60,89.82
2014-01-10,72,90.51
2014-01-17,72,91.44
2014-01-24,68,86.17
2014-01-31,74,93.91
2014-02-07,70,94.87
2014-02-14,68,96.55
2014-02-21,70,97.50
2014-02-28,70,96.97
2014-03-07,72,97.05
2014-03-14,72,95.39
2014-03-21,73,97.39
2014-03-28,76,99.39
2014-04-04,76,102.17
2014-04-11,75,101.45
2014-04-18,73,
2014-04-25,78,104.69
2014-05-02,80,
