Date,American Express,Price
2005-09-09,70,58.19
2005-09-16,69,59.46
2005-09-23,69,56.90
2005-09-30,72,57.44
2005-10-07,83,49.82
2005-10-14,78,47.95
2005-10-21,70,47.15
2005-10-28,71,49.54
2005-11-04,74,49.40
2005-11-11,71,50.45
2005-11-18,71,49.91
2005-11-25,68,52.62
2005-12-02,88,51.61
2005-12-09,91,51.15
2005-12-16,95,51.93
2005-12-23,100,52.31
2005-12-30,80,51.46
2006-01-06,79,52.68
2006-01-13,73,53.44
2006-01-20,71,51.40
2006-01-27,73,53.30
2006-02-03,76,52.33
2006-02-10,69,53.00
2006-02-17,67,54.45
2006-02-24,68,54.87
2006-03-03,71,53.75
2006-03-10,68,54.23
2006-03-17,67,54.65
2006-03-24,67,53.18
2006-03-31,69,52.55
2006-04-07,70,51.70
2006-04-14,70,
2006-04-21,70,52.25
2006-04-28,71,53.81
2006-05-05,74,53.75
2006-05-12,71,52.89
2006-05-19,68,52.23
2006-05-26,67,54.41
2006-06-02,69,54.72
2006-06-09,74,53.46
2006-06-16,75,52.92
2006-06-23,70,52.59
2006-06-30,78,53.22
2006-07-07,72,51.98
2006-07-14,77,51.27
2006-07-21,76,50.62
2006-07-28,83,52.19
2006-08-04,80,52.21
2006-08-11,77,51.80
2006-08-18,79,53.26
2006-08-25,74,52.92
2006-09-01,73,52.55
2006-09-08,74,52.62
2006-09-15,73,53.75
2006-09-22,70,54.11
2006-09-29,74,56.08
2006-10-06,76,56.59
2006-10-13,69,58.02
2006-10-20,70,58.04
2006-10-27,68,57.27
2006-11-03,69,57.06
2006-11-10,66,58.86
2006-11-17,72,59.84
2006-11-24,67,59.90
2006-12-01,85,58.55
2006-12-08,86,59.83
2006-12-15,86,61.64
2006-12-22,89,60.85
2006-12-29,78,60.67
2007-01-05,78,59.13
2007-01-12,72,59.01
2007-01-19,69,58.09
2007-01-26,72,57.85
2007-02-02,74,58.16
2007-02-09,67,57.53
2007-02-16,70,59.02
2007-02-23,70,58.02
2007-03-02,72,55.44
2007-03-09,72,56.90
2007-03-16,70,55.55
2007-03-23,66,57.43
2007-03-30,70,56.40
2007-04-06,71,
2007-04-13,71,57.36
2007-04-20,69,61.00
2007-04-27,65,62.14
2007-05-04,70,63.39
2007-05-11,66,62.97
2007-05-18,67,63.96
2007-05-25,68,63.63
2007-06-01,69,65.07
2007-06-08,78,63.04
2007-06-15,76,63.77
2007-06-22,70,61.79
2007-06-29,75,61.18
2007-07-06,75,61.51
2007-07-13,80,62.83
2007-07-20,80,64.51
2007-07-27,76,58.55
2007-08-03,75,57.49
2007-08-10,74,60.78
2007-08-17,76,58.89
2007-08-24,73,60.89
2007-08-31,69,58.62
2007-09-07,71,57.75
2007-09-14,73,58.94
2007-09-21,72,59.28
2007-09-28,68,59.37
2007-10-05,71,61.10
2007-10-12,72,63.23
2007-10-19,69,57.11
2007-10-26,66,60.67
2007-11-02,68,58.42
2007-11-09,69,56.49
2007-11-16,71,58.67
2007-11-23,66,55.63
2007-11-30,80,58.98
2007-12-07,80,56.96
2007-12-14,81,52.29
2007-12-21,85,51.95
2007-12-28,75,50.84
2008-01-04,83,49.14
2008-01-11,72,44.00
2008-01-18,70,43.61
2008-01-25,67,45.44
2008-02-01,68,49.60
2008-02-08,69,44.98
2008-02-15,70,45.11
2008-02-22,68,45.06
2008-02-29,69,42.30
2008-03-07,70,41.53
2008-03-14,65,41.01
2008-03-21,64,
2008-03-28,69,43.15
2008-04-04,69,46.11
2008-04-11,65,43.39
2008-04-18,68,45.53
2008-04-25,65,47.77
2008-05-02,72,50.40
2008-05-09,68,48.96
2008-05-16,65,48.68
2008-05-23,67,45.45
2008-05-30,66,46.35
2008-06-06,69,44.65
2008-06-13,68,44.66
2008-06-20,68,41.18
2008-06-27,70,38.04
2008-07-04,69,
2008-07-11,75,39.21
2008-07-18,75,42.19
2008-07-25,76,36.62
2008-08-01,75,37.19
2008-08-08,73,37.81
2008-08-15,75,39.07
2008-08-22,68,38.79
2008-08-29,71,39.68
2008-09-05,68,39.40
2008-09-12,69,38.95
2008-09-19,69,40.40
2008-09-26,69,39.50
2008-10-03,68,30.87
2008-10-10,70,23.15
2008-10-17,67,23.33
2008-10-24,68,24.05
2008-10-31,66,27.50
2008-11-07,66,25.31
2008-11-14,69,19.99
2008-11-21,66,18.69
2008-11-28,65,23.31
2008-12-05,77,21.78
2008-12-12,79,20.34
2008-12-19,77,19.43
2008-12-26,68,17.91
2009-01-02,77,19.33
2009-01-09,77,19.23
2009-01-16,70,17.01
2009-01-23,64,16.00
2009-01-30,66,16.73
2009-02-06,69,17.93
2009-02-13,63,15.74
2009-02-20,63,12.97
2009-02-27,66,12.06
2009-03-06,67,10.26
2009-03-13,63,13.09
2009-03-20,63,12.26
2009-03-27,62,14.45
2009-04-03,65,15.33
2009-04-10,62,
2009-04-17,64,21.81
2009-04-24,62,25.30
2009-05-01,60,24.29
2009-05-08,62,28.40
2009-05-15,63,24.23
2009-05-22,63,23.40
2009-05-29,61,24.85
2009-06-05,63,24.95
2009-06-12,65,25.16
2009-06-19,64,24.64
2009-06-26,63,23.76
2009-07-03,64,
2009-07-10,65,23.22
2009-07-17,70,28.03
2009-07-24,67,29.51
2009-07-31,69,28.33
2009-08-07,68,32.69
2009-08-14,67,31.72
2009-08-21,65,32.85
2009-08-28,65,34.24
2009-09-04,66,32.84
2009-09-11,63,34.17
2009-09-18,65,34.77
2009-09-25,61,33.07
2009-10-02,70,32.49
2009-10-09,63,34.94
2009-10-16,63,34.95
2009-10-23,61,34.58
2009-10-30,60,34.84
2009-11-06,64,37.21
2009-11-13,63,40.35
2009-11-20,65,40.93
2009-11-27,64,40.84
2009-12-04,72,39.30
2009-12-11,71,40.73
2009-12-18,73,40.51
2009-12-25,66,
2010-01-01,72,
2010-01-08,72,41.95
2010-01-15,65,42.39
2010-01-22,63,38.59
2010-01-29,64,37.66
2010-02-05,66,37.85
2010-02-12,62,38.42
2010-02-19,61,39.06
2010-02-26,62,38.19
2010-03-05,65,40.20
2010-03-12,64,40.76
2010-03-19,61,40.33
2010-03-26,61,41.12
2010-04-02,63,
2010-04-09,64,43.88
2010-04-16,63,45.10
2010-04-23,61,48.05
2010-04-30,60,46.12
2010-05-07,63,40.60
2010-05-14,63,40.64
2010-05-21,62,39.82
2010-05-28,58,39.87
2010-06-04,62,38.41
2010-06-11,60,40.13
2010-06-18,63,42.03
2010-06-25,61,42.67
2010-07-02,62,39.42
2010-07-09,61,42.58
2010-07-16,62,41.38
2010-07-23,65,44.79
2010-07-30,61,44.64
2010-08-06,66,43.50
2010-08-13,64,41.73
2010-08-20,63,40.76
2010-08-27,58,40.91
2010-09-03,61,41.80
2010-09-10,60,40.19
2010-09-17,63,41.37
2010-09-24,61,43.13
2010-10-01,64,41.78
2010-10-08,64,37.99
2010-10-15,61,39.09
2010-10-22,60,39.03
2010-10-29,59,41.46
2010-11-05,63,44.07
2010-11-12,64,42.70
2010-11-19,65,42.75
2010-11-26,61,42.27
2010-12-03,71,44.88
2010-12-10,68,46.26
2010-12-17,71,44.01
2010-12-24,66,
2010-12-31,70,42.92
2011-01-07,72,44.36
2011-01-14,65,46.25
2011-01-21,65,46.00
2011-01-28,61,43.86
2011-02-04,61,43.82
2011-02-11,61,46.75
2011-02-18,61,45.53
2011-02-25,59,43.53
2011-03-04,62,43.72
2011-03-11,61,44.28
2011-03-18,58,44.17
2011-03-25,60,45.59
2011-04-01,62,45.36
2011-04-08,62,46.28
2011-04-15,63,46.25
2011-04-22,60,
2011-04-29,62,49.08
2011-05-06,64,50.20
2011-05-13,62,49.49
2011-05-20,60,51.19
2011-05-27,61,51.13
2011-06-03,63,49.28
2011-06-10,61,47.74
2011-06-17,63,48.50
2011-06-24,62,48.34
2011-07-01,65,52.34
2011-07-08,64,53.07
2011-07-15,65,51.81
2011-07-22,64,52.24
2011-07-29,66,50.04
2011-08-05,69,47.21
2011-08-12,64,44.89
2011-08-19,64,44.47
2011-08-26,62,48.48
2011-09-02,63,48.51
2011-09-09,62,47.28
2011-09-16,63,50.12
2011-09-23,63,46.45
2011-09-30,64,44.90
2011-10-07,63,43.43
2011-10-14,60,46.10
2011-10-21,62,48.46
2011-10-28,60,52.10
2011-11-04,64,51.18
2011-11-11,63,50.37
2011-11-18,63,46.88
2011-11-25,65,45.00
2011-12-02,69,48.23
2011-12-09,65,48.80
2011-12-16,70,46.88
2011-12-23,66,47.95
2011-12-30,67,47.17
2012-01-06,68,48.27
2012-01-13,65,49.76
2012-01-20,61,50.04
2012-01-27,60,49.85
2012-02-03,63,52.25
2012-02-10,62,51.81
2012-02-17,59,52.86
2012-02-24,59,53.33
2012-03-02,61,52.99
2012-03-09,61,53.20
2012-03-16,59,56.55
2012-03-23,59,57.25
2012-03-30,58,57.86
2012-04-06,59,
2012-04-13,59,57.28
2012-04-20,58,57.45
2012-04-27,57,60.17
2012-05-04,61,60.10
2012-05-11,59,59.64
2012-05-18,58,55.40
2012-05-25,58,55.81
2012-06-01,58,53.43
2012-06-08,58,55.86
2012-06-15,59,56.28
2012-06-22,59,56.79
2012-06-29,59,58.21
2012-07-06,60,58.63
2012-07-13,62,57.93
2012-07-20,61,55.81
2012-07-27,60,58.53
2012-08-03,62,57.61
2012-08-10,60,55.85
2012-08-17,60,57.59
2012-08-24,61,57.49
2012-08-31,58,58.30
2012-09-07,62,57.73
2012-09-14,61,59.27
2012-09-21,59,57.86
2012-09-28,58,56.86
2012-10-05,63,58.56
2012-10-12,59,57.89
2012-10-19,59,56.86
2012-10-26,59,55.75
2012-11-02,58,56.71
2012-11-09,62,55.83
2012-11-16,64,54.30
2012-11-23,63,56.51
2012-11-30,64,55.90
2012-12-07,65,56.61
2012-12-14,64,56.65
2012-12-21,63,57.65
2012-12-28,59,56.67
2013-01-04,67,59.61
2013-01-11,63,61.24
2013-01-18,60,59.78
2013-01-25,58,59.50
2013-02-01,57,59.91
2013-02-08,57,61.80
2013-02-15,57,61.69
2013-02-22,55,62.57
2013-03-01,59,62.37
2013-03-08,62,64.70
2013-03-15,59,66.09
2013-03-22,56,66.22
2013-03-29,58,
2013-04-05,59,65.30
2013-04-12,60,65.68
2013-04-19,62,67.24
2013-04-26,60,67.75
2013-05-03,63,70.23
2013-05-10,61,70.08
2013-05-17,60,73.32
2013-05-24,58,75.27
2013-05-31,60,75.71
2013-06-07,66,78.04
2013-06-14,64,72.97
2013-06-21,63,73.31
2013-06-28,66,74.76
2013-07-05,64,76.31
2013-07-12,67,78.33
2013-07-19,65,74.06
2013-07-26,62,75.34
2013-08-02,67,75.69
2013-08-09,65,75.50
2013-08-16,66,75.17
2013-08-23,62,73.65
2013-08-30,60,71.91
2013-09-06,60,73.35
2013-09-13,59,75.30
2013-09-20,60,77.32
2013-09-27,61,75.89
2013-10-04,63,74.31
2013-10-11,59,75.40
2013-10-18,60,80.52
2013-10-25,56,82.61
2013-11-01,60,82.16
2013-11-08,61,81.78
2013-11-15,63,82.80
2013-11-22,61,83.85
2013-11-29,64,85.80
2013-12-06,70,85.93
2013-12-13,67,83.68
2013-12-20,69,87.57
2013-12-27,64,89.19
2014-01-03,67,89.74
2014-01-10,64,88.55
2014-01-17,62,90.97
2014-01-24,58,86.95
2014-01-31,59,85.02
2014-02-07,60,87.00
2014-02-14,56,89.00
2014-02-21,56,88.75
2014-02-28,61,91.28
2014-03-07,62,93.86
2014-03-14,59,90.17
2014-03-21,58,91.52
2014-03-28,57,90.46
2014-04-04,60,89.17
2014-04-11,58,84.54
2014-04-18,60,
2014-04-25,58,87.03
2014-05-02,58,
