"Date","FTR","Price"
2006-06-02,62,12.81
2006-06-09,49,12.53
2006-06-16,65,12.51
2006-06-23,62,12.36
2006-06-30,50,13.05
2006-07-07,54,12.98
2006-07-14,59,12.51
2006-07-21,71,12.42
2006-07-28,67,12.91
2006-08-04,72,13.22
2006-08-11,60,13.13
2006-08-18,60,13.51
2006-08-25,53,13.5
2006-09-01,53,13.74
2006-09-08,77,13.53
2006-09-15,69,13.55
2006-09-22,51,13.85
2006-09-29,63,14.04
2006-10-06,62,14.28
2006-10-13,74,14.55
2006-10-20,47,14.49
2006-10-27,54,14.78
2006-11-03,61,14.62
2006-11-10,54,13.95
2006-11-17,47,14.03
2006-11-24,53,14.05
2006-12-01,47,14.04
2006-12-08,51,14.06
2006-12-15,42,14.31
2006-12-22,53,14.08
2006-12-29,44,14.37
2007-01-05,39,14.11
2007-01-12,45,14.2
2007-01-19,58,14.28
2007-01-26,46,14.42
2007-02-02,46,14.74
2007-02-09,68,14.68
2007-02-16,64,14.94
2007-02-23,43,14.86
2007-03-02,50,14.8
2007-03-09,53,14.46
2007-03-16,48,14.31
2007-03-23,66,14.63
2007-03-30,63,14.95
2007-04-13,62,15.32
2007-04-20,51,15.86
2007-04-27,41,15.61
2007-05-04,45,15.69
2007-05-11,55,15.49
2007-05-18,65,15.59
2007-05-25,66,15.67
2007-06-01,64,15.8
2007-06-08,65,15.3
2007-06-15,66,15.14
2007-06-22,64,15.06
2007-06-29,56,15.27
2007-07-06,57,15.32
2007-07-13,43,15.55
2007-07-20,58,15.16
2007-07-27,65,14.36
2007-08-03,65,13.28
2007-08-10,49,13.52
2007-08-17,62,13.8
2007-08-24,44,14.41
2007-08-31,53,14.51
2007-09-07,67,13.84
2007-09-14,55,13.54
2007-09-21,69,13.84
2007-09-28,58,14.32
2007-10-05,76,14.27
2007-10-12,56,13.74
2007-10-19,62,13.2
2007-10-26,49,13.11
2007-11-02,53,12.91
2007-11-09,51,12.6
2007-11-16,51,12.89
2007-11-23,57,12.64
2007-11-30,65,12.98
2007-12-07,59,12.68
2007-12-14,51,12.05
2007-12-21,39,12.78
2007-12-28,50,12.83
2008-01-04,54,12.06
2008-01-11,56,11.28
2008-01-18,63,10.52
2008-01-25,55,10.75
2008-02-01,52,11.51
2008-02-08,54,10.94
2008-02-15,56,11.55
2008-02-22,54,10.95
2008-02-29,41,10.74
2008-03-07,60,10.64
2008-03-14,57,10.16
2008-03-28,65,10.45
2008-04-04,53,10.79
2008-04-11,45,10.2
2008-04-18,61,10.4
2008-04-25,51,10.61
2008-05-02,56,11.3
2008-05-09,57,10.66
2008-05-16,51,11.02
2008-05-23,54,11.02
2008-05-30,55,11.66
2008-06-06,55,11.2
2008-06-13,57,11.11
2008-06-20,57,11.06
2008-06-27,58,10.97
2008-07-11,59,11.46
2008-07-18,69,11.63
2008-07-25,56,11.9
2008-08-01,52,11.43
2008-08-08,49,12.19
2008-08-15,61,12.66
2008-08-22,59,12.65
2008-08-29,63,12.57
2008-09-05,54,12.09
2008-09-12,67,12.28
2008-09-19,49,11.86
2008-09-26,52,11.84
2008-10-03,57,11.15
2008-10-10,60,8.13
2008-10-17,52,8.53
2008-10-24,55,7.71
2008-10-31,53,7.61
2008-11-07,54,8.8
2008-11-14,45,8.49
2008-11-21,54,7.04
2008-11-28,53,8.72
2008-12-05,45,8.18
2008-12-12,43,8.32
2008-12-19,57,8.56
2008-12-26,48,8.54
2009-01-02,29,8.81
2009-01-09,57,8.4
2009-01-16,58,7.81
2009-01-23,51,8.34
2009-01-30,56,8.11
2009-02-06,49,8.53
2009-02-13,52,8.15
2009-02-20,60,7.54
2009-02-27,58,7.2
2009-03-06,56,5.86
2009-03-13,54,6.33
2009-03-20,57,6.61
2009-03-27,51,6.98
2009-04-03,54,7.65
2009-04-17,55,7.18
2009-04-24,53,7.17
2009-05-01,52,7.1
2009-05-08,54,7.99
2009-05-15,62,7.18
2009-05-22,59,7.01
2009-05-29,58,7.28
2009-06-05,58,7.17
2009-06-12,48,7.03
2009-06-19,45,6.65
2009-06-26,50,7.04
2009-07-10,57,6.52
2009-07-17,64,6.8
2009-07-24,54,7
2009-07-31,59,7
2009-08-07,52,7.07
2009-08-14,57,6.94
2009-08-21,49,7.04
2009-08-28,56,7.07
2009-09-04,58,7.01
2009-09-11,53,6.93
2009-09-18,59,7.31
2009-09-25,58,7.29
2009-10-02,55,7.27
2009-10-09,57,7.39
2009-10-16,52,7.37
2009-10-23,46,7.33
2009-10-30,53,7.17
2009-11-06,46,7.39
2009-11-13,49,7.27
2009-11-20,51,7.49
2009-11-27,48,7.91
2009-12-04,50,8.46
2009-12-11,54,7.94
2009-12-18,46,7.51
2010-01-08,48,7.68
2010-01-15,49,7.49
2010-01-22,50,7.53
2010-01-29,55,7.61
2010-02-05,45,7.62
2010-02-12,44,7.59
2010-02-19,56,7.64
2010-02-26,53,7.79
2010-03-05,48,7.31
2010-03-12,44,7.5
2010-03-19,55,7.49
2010-03-26,44,7.35
2010-04-09,54,7.45
2010-04-16,55,7.76
2010-04-23,53,7.82
2010-04-30,43,7.96
2010-05-07,53,7.5
2010-05-14,52,7.84
2010-05-21,46,7.71
2010-05-28,51,7.95
2010-06-04,51,8.34
2010-06-11,62,7.85
2010-06-18,50,7.83
2010-06-25,55,7.55
2010-07-02,68,7.35
2010-07-09,86,7.39
2010-07-16,65,7.39
2010-07-23,74,7.43
2010-07-30,71,7.64
2010-08-06,68,7.65
2010-08-13,66,7.6
2010-08-20,63,7.72
2010-08-27,62,7.7
2010-09-03,59,7.94
2010-09-10,56,7.72
2010-09-17,53,7.96
2010-09-24,63,8.07
2010-10-01,67,8.18
2010-10-08,65,8.39
2010-10-15,62,8.54
2010-10-22,59,8.79
2010-10-29,61,8.78
2010-11-05,58,9
2010-11-12,56,9
2010-11-19,52,9.17
2010-11-26,45,9.1
2010-12-03,56,9.46
2010-12-10,57,9.37
2010-12-17,59,9.25
2010-12-31,57,9.73
2011-01-07,52,9.59
2011-01-14,63,9.39
2011-01-21,52,9.18
2011-01-28,64,9.07
2011-02-04,57,9.39
2011-02-11,60,9.51
2011-02-18,66,9.46
2011-02-25,59,8.42
2011-03-04,65,8.13
2011-03-11,56,7.92
2011-03-18,49,8.13
2011-03-25,55,8.09
2011-04-01,59,8.1
2011-04-08,61,7.99
2011-04-15,55,8.07
2011-04-29,57,8.27
2011-05-06,65,8.43
2011-05-13,59,8.66
2011-05-20,57,8.81
2011-05-27,54,8.81
2011-06-03,58,8.52
2011-06-10,60,7.9
2011-06-17,61,7.87
2011-06-24,56,7.87
2011-07-01,64,8.2
2011-07-08,59,8.2
2011-07-15,57,7.71
2011-07-22,65,7.85
2011-07-29,65,7.49
2011-08-05,69,6.76
2011-08-12,64,6.95
2011-08-19,57,6.97
2011-08-26,67,7.22
2011-09-02,65,7.25
2011-09-09,68,6.82
2011-09-16,58,7.11
2011-09-23,61,6.28
2011-09-30,62,6.11
2011-10-07,68,5.88
2011-10-14,49,5.97
2011-10-21,57,6.13
2011-10-28,54,6.28
2011-11-04,62,5.66
2011-11-11,60,5.69
2011-11-18,63,5.3
2011-11-25,48,5.39
2011-12-02,54,5.55
2011-12-09,64,5.16
2011-12-16,60,4.92
2011-12-23,54,5.12
2011-12-30,58,5.15
2012-01-06,53,5.11
2012-01-13,57,5.1
2012-01-20,62,4.87
2012-01-27,68,4.31
2012-02-03,63,4.51
2012-02-10,61,4.04
2012-02-17,65,4.78
2012-02-24,63,4.64
2012-03-02,68,4.55
2012-03-09,60,4.42
2012-03-16,67,4.33
2012-03-23,67,4.19
2012-03-30,58,4.17
2012-04-13,66,4.12
2012-04-20,60,4.13
2012-04-27,53,4.06
2012-05-04,57,3.89
2012-05-11,61,3.47
2012-05-18,57,3.22
2012-05-25,62,3.5
2012-06-01,61,3.52
2012-06-08,56,3.45
2012-06-15,62,3.93
2012-06-22,66,4.02
2012-06-29,59,3.83
2012-07-06,57,4.01
2012-07-13,55,3.93
2012-07-20,60,3.74
2012-07-27,69,3.72
2012-08-03,71,4.4
2012-08-10,56,4.75
2012-08-17,69,4.63
2012-08-24,66,4.63
2012-08-31,55,4.62
2012-09-07,63,4.55
2012-09-14,59,4.65
2012-09-21,62,4.98
2012-09-28,58,4.92
2012-10-05,65,4.77
2012-10-12,55,4.81
2012-10-19,57,4.76
2012-10-26,53,4.74
2012-11-02,53,4.51
2012-11-09,50,4.35
2012-11-16,53,4.29
2012-11-23,48,4.49
2012-11-30,52,4.81
2012-12-07,50,4.71
2012-12-14,48,4.6
2012-12-21,54,4.28
2012-12-28,51,4.19
2013-01-04,49,4.36
2013-01-11,55,4.35
2013-01-18,53,4.48
2013-01-25,50,4.46
2013-02-01,53,4.4
2013-02-08,56,4.66
2013-02-15,59,4.1
2013-02-22,57,4.09
2013-03-01,58,4.19
2013-03-08,59,4.07
2013-03-15,61,4.09
2013-03-22,48,3.98
2013-04-05,58,4.12
2013-04-12,60,4.22
2013-04-19,57,4.03
2013-04-26,54,4.08
2013-05-03,59,4.03
2013-05-10,60,4.25
2013-05-17,65,4.42
2013-05-24,57,4.4
2013-05-31,55,4.15
2013-06-07,54,4.16
2013-06-14,57,4.22
2013-06-21,57,3.92
2013-06-28,61,4.05
2013-07-05,77,3.98
2013-07-12,71,4.03
2013-07-19,76,4.27
2013-07-26,68,4.27
2013-08-02,67,4.49
2013-08-09,72,4.55
2013-08-16,69,4.61
2013-08-23,68,4.55
2013-08-30,66,4.33
2013-09-06,69,4.28
2013-09-13,77,4.35
2013-09-20,63,4.18
2013-09-27,70,4.29
2013-10-04,71,4.28
2013-10-11,72,4.41
2013-10-18,63,4.47
2013-10-25,63,4.48
2013-11-01,77,4.45
2013-11-08,63,4.69
2013-11-15,74,4.9
2013-11-22,68,4.7
2013-11-29,65,4.68
2013-12-06,69,4.56
2013-12-13,65,4.44
2013-12-20,71,4.69
2013-12-27,62,4.7
2014-01-03,66,4.7
2014-01-10,75,4.73
2014-01-17,75,4.83
2014-01-24,71,4.8
2014-01-31,70,4.68
2014-02-07,71,4.54
2014-02-14,78,4.68
2014-02-21,73,4.63
2014-02-28,82,4.88
2014-03-07,74,4.91
2014-03-14,78,4.99
2014-03-21,83,5.41
2014-03-28,84,5.62
2014-04-04,88,5.55
2014-04-11,89,5.43
2014-04-25,82,5.74
