Date,"AT&T, Inc.",Price
2008-05-23,74,38.53
2008-05-30,71,39.90
2008-06-06,73,38.21
2008-06-13,74,36.68
2008-06-20,75,34.43
2008-06-27,79,32.76
2008-07-04,78,
2008-07-11,77,32.58
2008-07-18,78,32.12
2008-07-25,79,31.40
2008-08-01,78,30.44
2008-08-08,78,30.97
2008-08-15,83,31.66
2008-08-22,78,31.17
2008-08-29,78,31.99
2008-09-05,74,31.50
2008-09-12,75,31.54
2008-09-19,76,30.43
2008-09-26,76,30.00
2008-10-03,76,28.12
2008-10-10,75,22.42
2008-10-17,78,25.29
2008-10-24,76,24.68
2008-10-31,74,26.77
2008-11-07,75,27.00
2008-11-14,80,27.65
2008-11-21,80,25.19
2008-11-28,73,28.56
2008-12-05,78,28.15
2008-12-12,78,28.18
2008-12-19,78,28.12
2008-12-26,70,27.94
2009-01-02,79,29.42
2009-01-09,78,26.68
2009-01-16,79,25.23
2009-01-23,82,26.12
2009-01-30,79,24.62
2009-02-06,77,26.08
2009-02-13,78,24.19
2009-02-20,78,23.58
2009-02-27,82,23.77
2009-03-06,79,22.58
2009-03-13,77,24.27
2009-03-20,79,25.33
2009-03-27,77,26.00
2009-04-03,80,26.83
2009-04-10,79,
2009-04-17,79,25.95
2009-04-24,76,25.16
2009-05-01,76,26.01
2009-05-08,79,25.25
2009-05-15,77,24.88
2009-05-22,80,23.68
2009-05-29,76,24.79
2009-06-05,79,24.56
2009-06-12,78,25.01
2009-06-19,79,24.04
2009-06-26,77,24.82
2009-07-03,76,
2009-07-10,83,23.44
2009-07-17,81,23.98
2009-07-24,83,25.45
2009-07-31,80,26.23
2009-08-07,80,25.62
2009-08-14,82,25.45
2009-08-21,86,26.00
2009-08-28,77,26.21
2009-09-04,81,25.51
2009-09-11,78,26.66
2009-09-18,84,27.05
2009-09-25,81,26.96
2009-10-02,80,26.52
2009-10-09,79,25.66
2009-10-16,81,25.70
2009-10-23,80,25.73
2009-10-30,81,25.67
2009-11-06,83,25.93
2009-11-13,82,26.25
2009-11-20,82,26.02
2009-11-27,79,26.99
2009-12-04,79,27.60
2009-12-11,77,28.01
2009-12-18,77,27.32
2009-12-25,71,
2010-01-01,76,
2010-01-08,80,27.10
2010-01-15,81,25.79
2010-01-22,81,25.39
2010-01-29,77,25.36
2010-02-05,84,25.24
2010-02-12,80,25.07
2010-02-19,80,25.10
2010-02-26,82,24.81
2010-03-05,84,24.99
2010-03-12,82,25.62
2010-03-19,79,26.24
2010-03-26,81,26.24
2010-04-02,83,
2010-04-09,83,26.44
2010-04-16,83,25.93
2010-04-23,82,26.25
2010-04-30,82,26.06
2010-05-07,83,25.10
2010-05-14,80,25.40
2010-05-21,83,24.85
2010-05-28,81,24.30
2010-06-04,80,24.17
2010-06-11,82,25.29
2010-06-18,84,25.43
2010-06-25,82,24.79
2010-07-02,86,24.29
2010-07-09,84,24.83
2010-07-16,90,24.69
2010-07-23,89,25.54
2010-07-30,87,25.94
2010-08-06,89,26.54
2010-08-13,86,26.72
2010-08-20,91,26.45
2010-08-27,86,26.94
2010-09-03,85,27.44
2010-09-10,83,27.83
2010-09-17,84,28.17
2010-09-24,85,28.58
2010-10-01,83,28.81
2010-10-08,83,28.22
2010-10-15,82,28.33
2010-10-22,84,28.29
2010-10-29,81,28.52
2010-11-05,84,29.27
2010-11-12,85,28.46
2010-11-19,86,28.32
2010-11-26,82,27.93
2010-12-03,83,28.49
2010-12-10,82,28.89
2010-12-17,80,29.21
2010-12-24,76,
2010-12-31,82,29.38
2011-01-07,85,28.85
2011-01-14,85,28.43
2011-01-21,84,28.33
2011-01-28,85,27.49
2011-02-04,84,27.97
2011-02-11,86,28.47
2011-02-18,87,28.57
2011-02-25,85,28.13
2011-03-04,88,27.92
2011-03-11,88,28.46
2011-03-18,84,27.94
2011-03-25,87,28.85
2011-04-01,89,30.62
2011-04-08,93,30.71
2011-04-15,90,30.65
2011-04-22,91,
2011-04-29,93,31.12
2011-05-06,96,31.26
2011-05-13,91,31.41
2011-05-20,91,31.32
2011-05-27,89,31.29
2011-06-03,89,30.65
2011-06-10,90,30.34
2011-06-17,94,30.77
2011-06-24,93,30.44
2011-07-01,93,31.68
2011-07-08,92,31.14
2011-07-15,95,30.31
2011-07-22,93,30.32
2011-07-29,92,29.26
2011-08-05,93,28.93
2011-08-12,92,28.22
2011-08-19,89,27.99
2011-08-26,90,29.04
2011-09-02,90,28.05
2011-09-09,89,27.54
2011-09-16,90,28.94
2011-09-23,89,27.85
2011-09-30,88,28.52
2011-10-07,89,28.44
2011-10-14,85,29.17
2011-10-21,86,29.13
2011-10-28,88,29.74
2011-11-04,88,29.16
2011-11-11,90,29.42
2011-11-18,89,28.64
2011-11-25,85,27.41
2011-12-02,88,28.96
2011-12-09,89,29.03
2011-12-16,84,28.85
2011-12-23,84,29.87
2011-12-30,82,30.24
2012-01-06,86,29.68
2012-01-13,89,30.07
2012-01-20,87,30.51
2012-01-27,89,29.16
2012-02-03,89,29.95
2012-02-10,90,29.84
2012-02-17,93,30.01
2012-02-24,92,30.34
2012-03-02,92,30.87
2012-03-09,89,31.18
2012-03-16,89,31.59
2012-03-23,88,31.52
2012-03-30,88,31.23
2012-04-06,89,
2012-04-13,93,30.54
2012-04-20,91,30.86
2012-04-27,92,32.67
2012-05-04,93,32.86
2012-05-11,90,33.59
2012-05-18,89,33.66
2012-05-25,89,33.69
2012-06-01,88,33.90
2012-06-08,92,34.55
2012-06-15,92,35.71
2012-06-22,90,35.17
2012-06-29,90,35.66
2012-07-06,91,35.44
2012-07-13,92,35.35
2012-07-20,93,35.29
2012-07-27,95,37.14
2012-08-03,97,37.58
2012-08-10,99,37.49
2012-08-17,100,37.17
2012-08-24,97,36.95
2012-08-31,96,36.64
2012-09-07,97,37.30
2012-09-14,93,37.26
2012-09-21,95,38.08
2012-09-28,93,37.70
2012-10-05,92,37.86
2012-10-12,90,35.63
2012-10-19,90,35.32
2012-10-26,89,34.63
2012-11-02,86,34.93
2012-11-09,91,33.54
2012-11-16,90,33.14
2012-11-23,86,34.36
2012-11-30,90,34.13
2012-12-07,92,33.74
2012-12-14,92,34.01
2012-12-21,84,33.67
2012-12-28,84,33.32
2013-01-04,91,35.23
2013-01-11,91,34.27
2013-01-18,90,33.44
2013-01-25,93,34.02
2013-02-01,89,35.51
2013-02-08,91,35.27
2013-02-15,94,35.36
2013-02-22,90,35.68
2013-03-01,95,36.01
2013-03-08,92,36.68
2013-03-15,91,36.43
2013-03-22,92,36.43
2013-03-29,94,
2013-04-05,90,38.02
2013-04-12,94,38.59
2013-04-19,96,38.28
2013-04-26,94,37.04
2013-05-03,95,37.34
2013-05-10,97,37.36
2013-05-17,93,37.44
2013-05-24,93,36.75
2013-05-31,90,34.99
2013-06-07,91,35.45
2013-06-14,92,35.91
2013-06-21,94,34.47
2013-06-28,93,35.40
2013-07-05,96,35.83
2013-07-12,93,35.81
2013-07-19,96,35.81
2013-07-26,95,35.60
2013-08-02,96,35.77
2013-08-09,93,34.80
2013-08-16,97,34.18
2013-08-23,94,34.29
2013-08-30,96,33.83
2013-09-06,91,33.41
2013-09-13,92,34.32
2013-09-20,92,34.31
2013-09-27,93,33.98
2013-10-04,91,33.75
2013-10-11,96,34.20
2013-10-18,92,34.61
2013-10-25,91,35.19
2013-11-01,93,36.24
2013-11-08,91,35.17
2013-11-15,96,35.43
2013-11-22,92,35.42
2013-11-29,89,35.21
2013-12-06,92,34.53
2013-12-13,96,33.85
2013-12-20,91,34.30
2013-12-27,83,35.18
2014-01-03,93,34.80
2014-01-10,91,33.62
2014-01-17,95,33.70
2014-01-24,93,33.42
2014-01-31,95,33.32
2014-02-07,93,32.30
2014-02-14,94,33.15
2014-02-21,95,32.80
2014-02-28,94,31.93
2014-03-07,99,32.54
2014-03-14,95,32.49
2014-03-21,94,34.30
2014-03-28,97,35.07
2014-04-04,96,35.55
2014-04-11,96,35.20
2014-04-18,99,
2014-04-25,97,34.49
2014-05-02,94,
