Date,AXP,Price
2006-10-20,33,58.04
2006-10-27,40,57.27
2006-11-03,23,57.06
2006-11-10,41,58.86
2006-11-17,39,59.84
2006-11-24,34,59.90
2006-12-01,28,58.55
2006-12-08,25,59.83
2006-12-15,36,61.64
2006-12-22,37,60.85
2006-12-29,24,60.67
2007-01-05,45,59.13
2007-01-12,25,59.01
2007-01-19,34,58.09
2007-01-26,37,57.85
2007-02-02,41,58.16
2007-02-09,38,57.53
2007-02-16,32,59.02
2007-02-23,33,58.02
2007-03-02,48,55.44
2007-03-09,45,56.90
2007-03-16,32,55.55
2007-03-23,39,57.43
2007-03-30,23,56.40
2007-04-06,40,
2007-04-13,38,57.36
2007-04-20,45,61.00
2007-04-27,33,62.14
2007-05-04,43,63.39
2007-05-11,24,62.97
2007-05-18,29,63.96
2007-05-25,37,63.63
2007-06-01,27,65.07
2007-06-08,29,63.04
2007-06-15,42,63.77
2007-06-22,42,61.79
2007-06-29,34,61.18
2007-07-06,29,61.51
2007-07-13,32,62.83
2007-07-20,40,64.51
2007-07-27,47,58.55
2007-08-03,45,57.49
2007-08-10,39,60.78
2007-08-17,41,58.89
2007-08-24,34,60.89
2007-08-31,48,58.62
2007-09-07,38,57.75
2007-09-14,27,58.94
2007-09-21,50,59.28
2007-09-28,34,59.37
2007-10-05,23,61.10
2007-10-12,32,63.23
2007-10-19,38,57.11
2007-10-26,56,60.67
2007-11-02,52,58.42
2007-11-09,34,56.49
2007-11-16,40,58.67
2007-11-23,44,55.63
2007-11-30,42,58.98
2007-12-07,56,56.96
2007-12-14,47,52.29
2007-12-21,39,51.95
2007-12-28,47,50.84
2008-01-04,54,49.14
2008-01-11,67,44.00
2008-01-18,80,43.61
2008-01-25,49,45.44
2008-02-01,67,49.60
2008-02-08,43,44.98
2008-02-15,36,45.11
2008-02-22,45,45.06
2008-02-29,39,42.30
2008-03-07,63,41.53
2008-03-14,48,41.01
2008-03-21,42,
2008-03-28,53,43.15
2008-04-04,49,46.11
2008-04-11,50,43.39
2008-04-18,41,45.53
2008-04-25,66,47.77
2008-05-02,61,50.40
2008-05-09,44,48.96
2008-05-16,63,48.68
2008-05-23,62,45.45
2008-05-30,50,46.35
2008-06-06,66,44.65
2008-06-13,54,44.66
2008-06-20,60,41.18
2008-06-27,66,38.04
2008-07-04,61,
2008-07-11,53,39.21
2008-07-18,66,42.19
2008-07-25,96,36.62
2008-08-01,50,37.19
2008-08-08,49,37.81
2008-08-15,57,39.07
2008-08-22,50,38.79
2008-08-29,47,39.68
2008-09-05,38,39.40
2008-09-12,51,38.95
2008-09-19,78,40.40
2008-09-26,58,39.50
2008-10-03,74,30.87
2008-10-10,70,23.15
2008-10-17,73,23.33
2008-10-24,93,24.05
2008-10-31,73,27.50
2008-11-07,55,25.31
2008-11-14,91,19.99
2008-11-21,80,18.69
2008-11-28,56,23.31
2008-12-05,49,21.78
2008-12-12,63,20.34
2008-12-19,51,19.43
2008-12-26,47,17.91
2009-01-02,54,19.33
2009-01-09,52,19.23
2009-01-16,50,17.01
2009-01-23,47,16.00
2009-01-30,91,16.73
2009-02-06,55,17.93
2009-02-13,41,15.74
2009-02-20,54,12.97
2009-02-27,74,12.06
2009-03-06,74,10.26
2009-03-13,81,13.09
2009-03-20,68,12.26
2009-03-27,64,14.45
2009-04-03,52,15.33
2009-04-10,63,
2009-04-17,79,21.81
2009-04-24,92,25.30
2009-05-01,85,24.29
2009-05-08,75,28.40
2009-05-15,76,24.23
2009-05-22,68,23.40
2009-05-29,37,24.85
2009-06-05,60,24.95
2009-06-12,46,25.16
2009-06-19,53,24.64
2009-06-26,46,23.76
2009-07-03,50,
2009-07-10,47,23.22
2009-07-17,58,28.03
2009-07-24,62,29.51
2009-07-31,36,28.33
2009-08-07,49,32.69
2009-08-14,47,31.72
2009-08-21,42,32.85
2009-08-28,45,34.24
2009-09-04,49,32.84
2009-09-11,35,34.17
2009-09-18,50,34.77
2009-09-25,36,33.07
2009-10-02,40,32.49
2009-10-09,44,34.94
2009-10-16,33,34.95
2009-10-23,60,34.58
2009-10-30,41,34.84
2009-11-06,40,37.21
2009-11-13,35,40.35
2009-11-20,43,40.93
2009-11-27,36,40.84
2009-12-04,40,39.30
2009-12-11,37,40.73
2009-12-18,36,40.51
2009-12-25,32,
2010-01-01,34,
2010-01-08,39,41.95
2010-01-15,40,42.39
2010-01-22,44,38.59
2010-01-29,40,37.66
2010-02-05,38,37.85
2010-02-12,46,38.42
2010-02-19,43,39.06
2010-02-26,34,38.19
2010-03-05,31,40.20
2010-03-12,28,40.76
2010-03-19,27,40.33
2010-03-26,32,41.12
2010-04-02,18,
2010-04-09,34,43.88
2010-04-16,37,45.10
2010-04-23,48,48.05
2010-04-30,38,46.12
2010-05-07,34,40.60
2010-05-14,37,40.64
2010-05-21,35,39.82
2010-05-28,36,39.87
2010-06-04,28,38.41
2010-06-11,29,40.13
2010-06-18,32,42.03
2010-06-25,29,42.67
2010-07-02,31,39.42
2010-07-09,23,42.58
2010-07-16,31,41.38
2010-07-23,47,44.79
2010-07-30,29,44.64
2010-08-06,38,43.50
2010-08-13,35,41.73
2010-08-20,23,40.76
2010-08-27,28,40.91
2010-09-03,31,41.80
2010-09-10,34,40.19
2010-09-17,27,41.37
2010-09-24,32,43.13
2010-10-01,23,41.78
2010-10-08,43,37.99
2010-10-15,44,39.09
2010-10-22,44,39.03
2010-10-29,37,41.46
2010-11-05,34,44.07
2010-11-12,33,42.70
2010-11-19,46,42.75
2010-11-26,31,42.27
2010-12-03,28,44.88
2010-12-10,39,46.26
2010-12-17,34,44.01
2010-12-24,36,
2010-12-31,31,42.92
2011-01-07,33,44.36
2011-01-14,35,46.25
2011-01-21,27,46.00
2011-01-28,37,43.86
2011-02-04,29,43.82
2011-02-11,31,46.75
2011-02-18,38,45.53
2011-02-25,30,43.53
2011-03-04,27,43.72
2011-03-11,32,44.28
2011-03-18,18,44.17
2011-03-25,36,45.59
2011-04-01,26,45.36
2011-04-08,28,46.28
2011-04-15,28,46.25
2011-04-22,29,
2011-04-29,23,49.08
2011-05-06,26,50.20
2011-05-13,25,49.49
2011-05-20,23,51.19
2011-05-27,23,51.13
2011-06-03,24,49.28
2011-06-10,18,47.74
2011-06-17,21,48.50
2011-06-24,23,48.34
2011-07-01,32,52.34
2011-07-08,26,53.07
2011-07-15,22,51.81
2011-07-22,32,52.24
2011-07-29,24,50.04
2011-08-05,32,47.21
2011-08-12,30,44.89
2011-08-19,27,44.47
2011-08-26,26,48.48
2011-09-02,29,48.51
2011-09-09,21,47.28
2011-09-16,21,50.12
2011-09-23,22,46.45
2011-09-30,23,44.90
2011-10-07,21,43.43
2011-10-14,28,46.10
2011-10-21,24,48.46
2011-10-28,27,52.10
2011-11-04,26,51.18
2011-11-11,26,50.37
2011-11-18,25,46.88
2011-11-25,20,45.00
2011-12-02,26,48.23
2011-12-09,22,48.80
2011-12-16,21,46.88
2011-12-23,21,47.95
2011-12-30,16,47.17
2012-01-06,25,48.27
2012-01-13,21,49.76
2012-01-20,25,50.04
2012-01-27,25,49.85
2012-02-03,26,52.25
2012-02-10,23,51.81
2012-02-17,25,52.86
2012-02-24,19,53.33
2012-03-02,27,52.99
2012-03-09,25,53.20
2012-03-16,21,56.55
2012-03-23,20,57.25
2012-03-30,24,57.86
2012-04-06,27,
2012-04-13,24,57.28
2012-04-20,26,57.45
2012-04-27,26,60.17
2012-05-04,27,60.10
2012-05-11,23,59.64
2012-05-18,22,55.40
2012-05-25,22,55.81
2012-06-01,22,53.43
2012-06-08,20,55.86
2012-06-15,18,56.28
2012-06-22,16,56.79
2012-06-29,23,58.21
2012-07-06,15,58.63
2012-07-13,22,57.93
2012-07-20,30,55.81
2012-07-27,18,58.53
2012-08-03,17,57.61
2012-08-10,22,55.85
2012-08-17,16,57.59
2012-08-24,21,57.49
2012-08-31,19,58.30
2012-09-07,25,57.73
2012-09-14,22,59.27
2012-09-21,22,57.86
2012-09-28,18,56.86
2012-10-05,24,58.56
2012-10-12,21,57.89
2012-10-19,21,56.86
2012-10-26,21,55.75
2012-11-02,16,56.71
2012-11-09,17,55.83
2012-11-16,21,54.30
2012-11-23,19,56.51
2012-11-30,22,55.90
2012-12-07,20,56.61
2012-12-14,21,56.65
2012-12-21,21,57.65
2012-12-28,18,56.67
2013-01-04,17,59.61
2013-01-11,23,61.24
2013-01-18,28,59.78
2013-01-25,19,59.50
2013-02-01,22,59.91
2013-02-08,24,61.80
2013-02-15,20,61.69
2013-02-22,20,62.57
2013-03-01,24,62.37
2013-03-08,28,64.70
2013-03-15,26,66.09
2013-03-22,22,66.22
2013-03-29,20,
2013-04-05,18,65.30
2013-04-12,22,65.68
2013-04-19,27,67.24
2013-04-26,23,67.75
2013-05-03,26,70.23
2013-05-10,22,70.08
2013-05-17,20,73.32
2013-05-24,16,75.27
2013-05-31,17,75.71
2013-06-07,21,78.04
2013-06-14,23,72.97
2013-06-21,21,73.31
2013-06-28,20,74.76
2013-07-05,17,76.31
2013-07-12,21,78.33
2013-07-19,31,74.06
2013-07-26,20,75.34
2013-08-02,26,75.69
2013-08-09,17,75.50
2013-08-16,20,75.17
2013-08-23,19,73.65
2013-08-30,17,71.91
2013-09-06,22,73.35
2013-09-13,23,75.30
2013-09-20,16,77.32
2013-09-27,21,75.89
2013-10-04,19,74.31
2013-10-11,22,75.40
2013-10-18,33,80.52
2013-10-25,24,82.61
2013-11-01,21,82.16
2013-11-08,24,81.78
2013-11-15,23,82.80
2013-11-22,22,83.85
2013-11-29,21,85.80
2013-12-06,18,85.93
2013-12-13,18,83.68
2013-12-20,16,87.57
2013-12-27,19,89.19
2014-01-03,21,89.74
2014-01-10,21,88.55
2014-01-17,32,90.97
2014-01-24,24,86.95
2014-01-31,22,85.02
2014-02-07,22,87.00
2014-02-14,23,89.00
2014-02-21,19,88.75
2014-02-28,27,91.28
2014-03-07,23,93.86
2014-03-14,25,90.17
2014-03-21,20,91.52
2014-03-28,20,90.46
2014-04-04,21,89.17
2014-04-11,20,84.54
2014-04-18,26,
2014-04-25,20,87.03
2014-05-02,22,
