Date,CSCO,Price
2007-08-17,51,29.99
2007-08-24,42,30.73
2007-08-31,37,31.92
2007-09-07,32,31.52
2007-09-14,32,31.56
2007-09-21,40,32.30
2007-09-28,34,33.13
2007-10-05,36,32.65
2007-10-12,38,32.92
2007-10-19,36,31.50
2007-10-26,37,31.90
2007-11-02,45,32.51
2007-11-09,100,28.58
2007-11-16,53,29.94
2007-11-23,42,28.69
2007-11-30,54,28.02
2007-12-07,49,27.45
2007-12-14,43,28.65
2007-12-21,31,28.60
2007-12-28,30,27.56
2008-01-04,34,26.12
2008-01-11,32,25.87
2008-01-18,34,24.30
2008-01-25,44,24.20
2008-02-01,40,24.94
2008-02-08,75,23.54
2008-02-15,38,23.30
2008-02-22,26,23.60
2008-02-29,35,24.39
2008-03-07,32,24.11
2008-03-14,32,24.32
2008-03-21,28,
2008-03-28,26,24.08
2008-04-04,30,24.39
2008-04-11,25,23.38
2008-04-18,29,24.51
2008-04-25,31,25.60
2008-05-02,33,26.75
2008-05-09,47,25.49
2008-05-16,24,26.51
2008-05-23,20,25.10
2008-05-30,22,26.72
2008-06-06,27,26.54
2008-06-13,22,26.37
2008-06-20,26,24.64
2008-06-27,29,23.61
2008-07-04,25,
2008-07-11,29,21.82
2008-07-18,26,21.66
2008-07-25,23,22.43
2008-08-01,28,21.99
2008-08-08,41,24.25
2008-08-15,27,24.91
2008-08-22,21,24.71
2008-08-29,22,24.05
2008-09-05,23,22.26
2008-09-12,21,23.46
2008-09-19,35,24.29
2008-09-26,26,23.82
2008-10-03,33,21.25
2008-10-10,42,17.23
2008-10-17,38,17.91
2008-10-24,32,16.31
2008-10-31,32,17.77
2008-11-07,37,17.58
2008-11-14,25,16.62
2008-11-21,26,15.17
2008-11-28,21,16.54
2008-12-05,24,15.94
2008-12-12,22,16.99
2008-12-19,20,16.64
2008-12-26,10,16.27
2009-01-02,13,16.96
2009-01-09,21,16.70
2009-01-16,19,15.82
2009-01-23,18,15.89
2009-01-30,24,14.97
2009-02-06,36,17.04
2009-02-13,20,16.10
2009-02-20,20,15.08
2009-02-27,20,14.57
2009-03-06,23,14.18
2009-03-13,23,15.51
2009-03-20,25,15.91
2009-03-27,22,16.95
2009-04-03,22,18.16
2009-04-10,23,
2009-04-17,24,17.99
2009-04-24,22,18.42
2009-05-01,21,19.58
2009-05-08,36,18.73
2009-05-15,23,17.92
2009-05-22,19,17.90
2009-05-29,13,18.50
2009-06-05,28,19.87
2009-06-12,19,19.91
2009-06-19,16,18.92
2009-06-26,16,18.91
2009-07-03,14,
2009-07-10,16,18.34
2009-07-17,21,20.51
2009-07-24,24,21.88
2009-07-31,25,22.01
2009-08-07,44,22.19
2009-08-14,19,21.31
2009-08-21,19,22.19
2009-08-28,15,22.00
2009-09-04,13,21.84
2009-09-11,14,23.09
2009-09-18,19,23.40
2009-09-25,18,22.62
2009-10-02,19,22.67
2009-10-09,22,24.03
2009-10-16,28,24.02
2009-10-23,21,24.17
2009-10-30,18,22.81
2009-11-06,25,23.82
2009-11-13,19,23.71
2009-11-20,14,23.46
2009-11-27,13,23.38
2009-12-04,15,24.16
2009-12-11,13,23.77
2009-12-18,13,23.33
2009-12-25,12,
2010-01-01,13,
2010-01-08,16,24.66
2010-01-15,15,24.40
2010-01-22,14,22.97
2010-01-29,13,22.47
2010-02-05,26,23.70
2010-02-12,17,23.76
2010-02-19,13,24.36
2010-02-26,12,24.33
2010-03-05,15,25.21
2010-03-12,31,25.88
2010-03-19,17,26.15
2010-03-26,18,26.47
2010-04-02,18,
2010-04-09,17,26.60
2010-04-16,19,26.98
2010-04-23,20,27.47
2010-04-30,20,26.93
2010-05-07,22,24.71
2010-05-14,30,24.94
2010-05-21,17,23.46
2010-05-28,15,23.16
2010-06-04,12,22.96
2010-06-11,15,22.91
2010-06-18,16,23.49
2010-06-25,13,22.18
2010-07-02,17,21.13
2010-07-09,16,22.70
2010-07-16,18,22.75
2010-07-23,14,23.35
2010-07-30,19,23.07
2010-08-06,18,24.07
2010-08-13,40,21.36
2010-08-20,22,22.23
2010-08-27,16,20.81
2010-09-03,17,21.04
2010-09-10,13,20.62
2010-09-17,20,21.86
2010-09-24,14,22.09
2010-10-01,15,21.91
2010-10-08,14,22.48
2010-10-15,19,23.36
2010-10-22,14,23.48
2010-10-29,13,22.86
2010-11-05,16,24.26
2010-11-12,62,20.15
2010-11-19,44,19.61
2010-11-26,24,19.49
2010-12-03,30,19.07
2010-12-10,24,19.70
2010-12-17,21,19.55
2010-12-24,20,
2010-12-31,26,20.23
2011-01-07,33,20.97
2011-01-14,24,21.21
2011-01-21,20,20.73
2011-01-28,22,20.93
2011-02-04,25,22.05
2011-02-11,63,18.70
2011-02-18,35,18.85
2011-02-25,27,18.64
2011-03-04,24,18.40
2011-03-11,26,17.95
2011-03-18,26,17.14
2011-03-25,25,17.28
2011-04-01,27,17.04
2011-04-08,34,17.65
2011-04-15,28,17.03
2011-04-22,28,
2011-04-29,27,17.52
2011-05-06,24,17.56
2011-05-13,42,16.88
2011-05-20,26,16.53
2011-05-27,21,16.46
2011-06-03,21,16.01
2011-06-10,26,15.12
2011-06-17,24,14.97
2011-06-24,24,14.93
2011-07-01,25,15.86
2011-07-08,22,15.74
2011-07-15,25,15.59
2011-07-22,28,16.46
2011-07-29,24,15.97
2011-08-05,30,14.94
2011-08-12,63,15.99
2011-08-19,29,15.08
2011-08-26,22,15.32
2011-09-02,19,15.41
2011-09-09,18,15.82
2011-09-16,23,16.62
2011-09-23,21,15.61
2011-09-30,17,15.50
2011-10-07,20,16.66
2011-10-14,20,17.55
2011-10-21,20,17.38
2011-10-28,21,18.56
2011-11-04,18,18.03
2011-11-11,31,19.02
2011-11-18,20,18.42
2011-11-25,12,17.50
2011-12-02,17,18.55
2011-12-09,15,18.88
2011-12-16,12,17.94
2011-12-23,14,18.47
2011-12-30,10,18.08
2012-01-06,15,18.85
2012-01-13,17,19.06
2012-01-20,17,19.92
2012-01-27,17,19.56
2012-02-03,17,20.09
2012-02-10,31,19.90
2012-02-17,18,20.29
2012-02-24,15,20.14
2012-03-02,14,19.76
2012-03-09,14,19.80
2012-03-16,14,20.03
2012-03-23,14,20.53
2012-03-30,14,21.15
2012-04-06,15,
2012-04-13,13,19.85
2012-04-20,13,19.91
2012-04-27,10,19.98
2012-05-04,12,19.12
2012-05-11,28,16.51
2012-05-18,17,16.47
2012-05-25,13,16.33
2012-06-01,11,15.96
2012-06-08,13,16.73
2012-06-15,11,17.10
2012-06-22,12,17.13
2012-06-29,10,17.17
2012-07-06,13,16.77
2012-07-13,11,16.31
2012-07-20,12,16.36
2012-07-27,16,15.69
2012-08-03,12,16.35
2012-08-10,16,17.54
2012-08-17,36,19.06
2012-08-24,24,19.20
2012-08-31,18,19.08
2012-09-07,16,19.56
2012-09-14,14,19.49
2012-09-21,13,18.90
2012-09-28,12,19.10
2012-10-05,13,18.86
2012-10-12,11,18.41
2012-10-19,11,18.04
2012-10-26,12,17.29
2012-11-02,10,17.35
2012-11-09,11,16.82
2012-11-16,21,17.99
2012-11-23,12,18.84
2012-11-30,14,18.91
2012-12-07,15,19.34
2012-12-14,14,19.86
2012-12-21,15,19.96
2012-12-28,8,19.45
2013-01-04,17,20.48
2013-01-11,16,20.48
2013-01-18,16,21.02
2013-01-25,15,21.15
2013-02-01,14,20.83
2013-02-08,13,21.16
2013-02-15,22,20.99
2013-02-22,13,20.90
2013-03-01,13,20.83
2013-03-08,16,21.83
2013-03-15,13,21.93
2013-03-22,14,20.75
2013-03-29,10,
2013-04-05,12,20.61
2013-04-12,12,21.54
2013-04-19,11,20.46
2013-04-26,11,20.67
2013-05-03,12,20.83
2013-05-10,12,21.10
2013-05-17,35,24.24
2013-05-24,21,23.53
2013-05-31,17,24.12
2013-06-07,15,24.49
2013-06-14,13,24.09
2013-06-21,15,24.48
2013-06-28,13,24.34
2013-07-05,14,24.57
2013-07-12,18,25.94
2013-07-19,16,25.82
2013-07-26,15,25.50
2013-08-02,14,26.19
2013-08-09,13,26.05
2013-08-16,38,24.27
2013-08-23,19,23.86
2013-08-30,14,23.31
2013-09-06,13,23.55
2013-09-13,13,24.32
2013-09-20,13,24.51
2013-09-27,14,23.33
2013-10-04,14,23.02
2013-10-11,12,23.28
2013-10-18,14,22.96
2013-10-25,12,22.46
2013-11-01,12,22.57
2013-11-08,14,23.51
2013-11-15,36,21.54
2013-11-22,17,21.46
2013-11-29,11,21.25
2013-12-06,12,21.28
2013-12-13,13,20.24
2013-12-20,12,21.13
2013-12-27,11,22.02
2014-01-03,15,21.98
2014-01-10,16,22.22
2014-01-17,14,22.74
2014-01-24,12,22.20
2014-01-31,14,21.91
2014-02-07,11,22.67
2014-02-14,28,22.56
2014-02-21,13,22.13
2014-02-28,11,21.80
2014-03-07,11,21.73
2014-03-14,10,21.35
2014-03-21,11,21.64
2014-03-28,11,22.33
2014-04-04,13,22.71
2014-04-11,12,22.46
2014-04-18,11,
2014-04-25,12,23.00
2014-05-02,11,
