Date,JNJ,Price
2005-07-15,38,65.03
2005-07-22,68,64.32
2005-07-29,55,63.96
2005-08-05,59,63.54
2005-08-12,62,63.56
2005-08-19,43,63.57
2005-08-26,57,61.94
2005-09-02,56,62.90
2005-09-09,54,64.73
2005-09-16,44,65.18
2005-09-23,62,63.99
2005-09-30,39,63.28
2005-10-07,73,61.34
2005-10-14,58,63.70
2005-10-21,59,64.07
2005-10-28,58,62.95
2005-11-04,61,60.88
2005-11-11,70,60.92
2005-11-18,67,62.55
2005-11-25,51,62.15
2005-12-02,55,61.21
2005-12-09,69,60.10
2005-12-16,56,60.86
2005-12-23,54,61.11
2005-12-30,38,60.10
2006-01-06,51,62.60
2006-01-13,54,61.82
2006-01-20,55,60.80
2006-01-27,71,58.71
2006-02-03,66,57.38
2006-02-10,87,58.39
2006-02-17,60,59.07
2006-02-24,63,57.76
2006-03-03,70,57.47
2006-03-10,52,59.04
2006-03-17,60,60.34
2006-03-24,73,60.39
2006-03-31,59,59.22
2006-04-07,41,57.83
2006-04-14,36,
2006-04-21,77,58.37
2006-04-28,75,58.61
2006-05-05,54,58.70
2006-05-12,57,58.83
2006-05-19,75,59.90
2006-05-26,79,60.69
2006-06-02,55,60.74
2006-06-09,62,61.38
2006-06-16,77,61.68
2006-06-23,56,61.32
2006-06-30,71,59.92
2006-07-07,60,60.62
2006-07-14,69,60.46
2006-07-21,66,61.73
2006-07-28,72,62.92
2006-08-04,57,63.53
2006-08-11,61,63.47
2006-08-18,71,64.42
2006-08-25,74,64.67
2006-09-01,62,64.72
2006-09-08,63,63.59
2006-09-15,49,63.79
2006-09-22,57,63.96
2006-09-29,68,64.94
2006-10-06,43,65.06
2006-10-13,63,64.58
2006-10-20,74,68.62
2006-10-27,70,68.17
2006-11-03,58,67.81
2006-11-10,59,66.29
2006-11-17,63,67.24
2006-11-24,47,65.85
2006-12-01,65,65.97
2006-12-08,58,65.95
2006-12-15,64,66.29
2006-12-22,55,65.65
2006-12-29,45,66.02
2007-01-05,48,66.62
2007-01-12,60,66.64
2007-01-19,48,67.76
2007-01-26,64,66.07
2007-02-02,46,66.58
2007-02-09,42,65.60
2007-02-16,60,65.51
2007-02-23,45,64.15
2007-03-02,63,61.95
2007-03-09,72,62.14
2007-03-16,68,60.51
2007-03-23,60,60.51
2007-03-30,69,60.26
2007-04-06,66,
2007-04-13,75,62.35
2007-04-20,74,65.12
2007-04-27,64,64.17
2007-05-04,72,64.48
2007-05-11,64,62.27
2007-05-18,70,63.42
2007-05-25,59,63.19
2007-06-01,47,63.41
2007-06-08,55,62.13
2007-06-15,54,62.77
2007-06-22,49,60.73
2007-06-29,51,61.62
2007-07-06,41,62.13
2007-07-13,62,63.43
2007-07-20,69,61.79
2007-07-27,54,59.77
2007-08-03,75,60.55
2007-08-10,58,61.15
2007-08-17,58,62.02
2007-08-24,43,61.88
2007-08-31,46,61.79
2007-09-07,39,61.68
2007-09-14,50,63.20
2007-09-21,46,65.12
2007-09-28,48,65.70
2007-10-05,55,66.25
2007-10-12,52,65.94
2007-10-19,57,64.23
2007-10-26,43,64.30
2007-11-02,49,64.78
2007-11-09,45,65.16
2007-11-16,44,67.75
2007-11-23,61,66.88
2007-11-30,58,67.74
2007-12-07,55,67.68
2007-12-14,41,67.59
2007-12-21,45,68.03
2007-12-28,35,67.38
2008-01-04,47,65.84
2008-01-11,45,67.88
2008-01-18,51,66.29
2008-01-25,58,62.46
2008-02-01,49,63.36
2008-02-08,42,62.03
2008-02-15,47,62.90
2008-02-22,40,63.18
2008-02-29,46,61.96
2008-03-07,40,61.51
2008-03-14,49,62.65
2008-03-21,42,
2008-03-28,47,64.18
2008-04-04,42,65.73
2008-04-11,48,66.00
2008-04-18,58,66.51
2008-04-25,47,67.31
2008-05-02,56,68.26
2008-05-09,33,66.55
2008-05-16,37,66.68
2008-05-23,36,64.92
2008-05-30,44,66.74
2008-06-06,39,65.76
2008-06-13,40,66.27
2008-06-20,39,64.06
2008-06-27,42,63.57
2008-07-04,37,
2008-07-11,41,66.26
2008-07-18,56,67.82
2008-07-25,47,69.03
2008-08-01,40,68.10
2008-08-08,47,71.55
2008-08-15,47,71.33
2008-08-22,42,71.42
2008-08-29,40,70.43
2008-09-05,42,70.67
2008-09-12,46,70.59
2008-09-19,51,69.99
2008-09-26,50,69.40
2008-10-03,51,66.16
2008-10-10,80,55.85
2008-10-17,100,62.65
2008-10-24,66,60.79
2008-10-31,68,61.34
2008-11-07,59,60.22
2008-11-14,70,60.05
2008-11-21,61,58.35
2008-11-28,49,58.58
2008-12-05,55,58.23
2008-12-12,55,57.25
2008-12-19,48,58.84
2008-12-26,31,58.56
2009-01-02,37,60.65
2009-01-09,60,59.05
2009-01-16,48,57.44
2009-01-23,52,55.97
2009-01-30,56,57.69
2009-02-06,43,58.51
2009-02-13,46,57.10
2009-02-20,49,54.65
2009-02-27,55,50.00
2009-03-06,59,47.97
2009-03-13,67,50.64
2009-03-20,59,51.67
2009-03-27,55,52.83
2009-04-03,52,52.15
2009-04-10,55,
2009-04-17,68,53.05
2009-04-24,55,50.92
2009-05-01,52,52.59
2009-05-08,43,54.98
2009-05-15,46,55.41
2009-05-22,44,54.77
2009-05-29,48,55.16
2009-06-05,41,55.93
2009-06-12,44,56.06
2009-06-19,33,56.09
2009-06-26,40,56.60
2009-07-03,41,
2009-07-10,42,56.93
2009-07-17,57,59.23
2009-07-24,47,61.51
2009-07-31,43,60.89
2009-08-07,47,59.90
2009-08-14,39,60.08
2009-08-21,44,61.03
2009-08-28,43,60.29
2009-09-04,37,60.32
2009-09-11,40,60.42
2009-09-18,45,60.78
2009-09-25,39,60.62
2009-10-02,45,59.73
2009-10-09,43,61.74
2009-10-16,61,60.46
2009-10-23,41,60.54
2009-10-30,37,59.05
2009-11-06,57,60.30
2009-11-13,47,61.43
2009-11-20,35,62.31
2009-11-27,41,62.89
2009-12-04,42,64.36
2009-12-11,46,64.85
2009-12-18,35,64.37
2009-12-25,23,
2010-01-01,32,
2010-01-08,37,64.21
2010-01-15,44,64.56
2010-01-22,48,63.20
2010-01-29,39,62.86
2010-02-05,39,62.64
2010-02-12,35,62.72
2010-02-19,36,63.81
2010-02-26,39,63.00
2010-03-05,47,64.04
2010-03-12,33,64.18
2010-03-19,39,65.11
2010-03-26,35,64.38
2010-04-02,38,
2010-04-09,38,65.14
2010-04-16,33,65.02
2010-04-23,49,65.04
2010-04-30,39,64.30
2010-05-07,56,63.31
2010-05-14,45,63.97
2010-05-21,38,60.88
2010-05-28,47,58.30
2010-06-04,37,58.01
2010-06-11,38,58.46
2010-06-18,36,59.18
2010-06-25,34,58.70
2010-07-02,31,59.08
2010-07-09,42,60.54
2010-07-16,38,59.44
2010-07-23,41,57.63
2010-07-30,41,58.09
2010-08-06,39,59.96
2010-08-13,41,58.15
2010-08-20,48,58.74
2010-08-27,53,57.60
2010-09-03,41,58.93
2010-09-10,38,59.98
2010-09-17,42,61.57
2010-09-24,43,62.14
2010-10-01,48,61.75
2010-10-08,43,63.23
2010-10-15,38,63.57
2010-10-22,51,63.81
2010-10-29,41,63.74
2010-11-05,45,64.65
2010-11-12,38,63.67
2010-11-19,40,63.83
2010-11-26,39,62.30
2010-12-03,41,62.56
2010-12-10,39,61.91
2010-12-17,33,62.54
2010-12-24,33,
2010-12-31,33,61.85
2011-01-07,47,62.60
2011-01-14,44,62.55
2011-01-21,41,62.66
2011-01-28,52,60.01
2011-02-04,39,60.84
2011-02-11,42,60.70
2011-02-18,45,61.11
2011-02-25,46,59.64
2011-03-04,41,61.06
2011-03-11,44,59.69
2011-03-18,41,58.57
2011-03-25,38,58.98
2011-04-01,38,59.49
2011-04-08,42,59.46
2011-04-15,47,60.56
2011-04-22,58,
2011-04-29,65,65.72
2011-05-06,45,65.27
2011-05-13,49,66.62
2011-05-20,46,65.69
2011-05-27,43,66.77
2011-06-03,37,66.09
2011-06-10,41,66.09
2011-06-17,44,66.29
2011-06-24,43,65.06
2011-07-01,40,67.30
2011-07-08,43,67.57
2011-07-15,46,67.45
2011-07-22,44,66.72
2011-07-29,40,64.79
2011-08-05,47,62.71
2011-08-12,58,63.36
2011-08-19,46,63.14
2011-08-26,43,64.28
2011-09-02,41,64.07
2011-09-09,41,63.64
2011-09-16,39,64.59
2011-09-23,41,61.59
2011-09-30,43,63.69
2011-10-07,38,63.13
2011-10-14,44,64.72
2011-10-21,43,63.78
2011-10-28,43,65.60
2011-11-04,38,64.12
2011-11-11,40,65.25
2011-11-18,42,63.85
2011-11-25,33,61.27
2011-12-02,43,63.47
2011-12-09,40,64.53
2011-12-16,41,64.30
2011-12-23,33,65.98
2011-12-30,31,65.58
2012-01-06,43,64.83
2012-01-13,42,65.26
2012-01-20,39,65.27
2012-01-27,43,65.56
2012-02-03,44,65.64
2012-02-10,41,64.60
2012-02-17,40,64.99
2012-02-24,48,64.46
2012-03-02,41,64.77
2012-03-09,38,64.74
2012-03-16,39,65.12
2012-03-23,41,64.55
2012-03-30,39,65.96
2012-04-06,38,
2012-04-13,43,63.54
2012-04-20,44,63.71
2012-04-27,43,64.84
2012-05-04,39,64.74
2012-05-11,34,64.34
2012-05-18,37,63.35
2012-05-25,36,62.51
2012-06-01,40,61.78
2012-06-08,37,62.98
2012-06-15,41,66.01
2012-06-22,47,66.63
2012-06-29,35,67.56
2012-07-06,35,67.64
2012-07-13,38,68.61
2012-07-20,47,68.63
2012-07-27,42,69.52
2012-08-03,40,69.12
2012-08-10,35,68.64
2012-08-17,42,67.80
2012-08-24,41,67.60
2012-08-31,36,67.43
2012-09-07,40,67.88
2012-09-14,40,68.47
2012-09-21,41,69.06
2012-09-28,37,68.91
2012-10-05,38,69.65
2012-10-12,37,67.97
2012-10-19,45,71.86
2012-10-26,39,70.90
2012-11-02,36,70.90
2012-11-09,40,69.87
2012-11-16,39,69.19
2012-11-23,33,69.56
2012-11-30,37,69.73
2012-12-07,39,70.45
2012-12-14,37,70.69
2012-12-21,33,70.27
2012-12-28,32,69.48
2013-01-04,43,71.55
2013-01-11,39,72.35
2013-01-18,38,73.23
2013-01-25,44,73.92
2013-02-01,47,74.18
2013-02-08,40,75.48
2013-02-15,43,76.16
2013-02-22,46,76.25
2013-03-01,41,76.70
2013-03-08,43,78.19
2013-03-15,44,79.19
2013-03-22,42,79.74
2013-03-29,48,
2013-04-05,51,82.04
2013-04-12,51,82.74
2013-04-19,51,84.49
2013-04-26,52,85.12
2013-05-03,49,85.75
2013-05-10,48,85.76
2013-05-17,44,88.09
2013-05-24,44,86.82
2013-05-31,43,84.18
2013-06-07,43,84.91
2013-06-14,40,84.91
2013-06-21,43,83.20
2013-06-28,39,85.86
2013-07-05,38,87.87
2013-07-12,39,89.99
2013-07-19,55,92.23
2013-07-26,48,92.83
2013-08-02,48,94.39
2013-08-09,42,92.36
2013-08-16,44,89.37
2013-08-23,45,88.41
2013-08-30,41,86.41
2013-09-06,38,87.16
2013-09-13,40,88.57
2013-09-20,41,89.68
2013-09-27,43,86.73
2013-10-04,40,87.31
2013-10-11,41,89.45
2013-10-18,57,91.63
2013-10-25,40,92.09
2013-11-01,41,93.37
2013-11-08,50,94.05
2013-11-15,44,94.39
2013-11-22,46,95.25
2013-11-29,36,94.66
2013-12-06,37,94.44
2013-12-13,40,91.35
2013-12-20,39,92.09
2013-12-27,31,92.35
2014-01-03,38,91.85
2014-01-10,41,94.74
2014-01-17,45,95.06
2014-01-24,50,90.61
2014-01-31,43,88.47
2014-02-07,44,90.04
2014-02-14,44,92.76
2014-02-21,41,91.52
2014-02-28,42,92.12
2014-03-07,41,93.32
2014-03-14,44,92.81
2014-03-21,42,95.93
2014-03-28,44,97.44
2014-04-04,49,98.42
2014-04-11,48,96.87
2014-04-18,50,
2014-04-25,51,99.79
2014-05-02,46,
