Date,TRV,Price
2013-04-05,15,84.41
2013-04-12,16,86.26
2013-04-19,14,84.81
2013-04-26,15,85.15
2013-05-03,14,85.41
2013-05-10,14,86.49
2013-05-17,14,86.50
2013-05-24,14,83.60
2013-05-31,13,83.72
2013-06-07,12,83.44
2013-06-14,14,82.15
2013-06-21,13,79.07
2013-06-28,14,79.92
2013-07-05,14,81.34
2013-07-12,12,84.18
2013-07-19,14,84.66
2013-07-26,13,83.60
2013-08-02,14,84.00
2013-08-09,13,82.10
2013-08-16,14,81.10
2013-08-23,13,80.19
2013-08-30,13,79.90
2013-09-06,14,80.49
2013-09-13,13,83.56
2013-09-20,14,86.06
2013-09-27,14,85.41
2013-10-04,13,84.68
2013-10-11,14,84.66
2013-10-18,15,86.58
2013-10-25,15,86.63
2013-11-01,15,86.40
2013-11-08,15,87.80
2013-11-15,15,88.67
2013-11-22,15,90.52
2013-11-29,14,90.74
2013-12-06,14,89.01
2013-12-13,14,86.49
2013-12-20,15,89.18
2013-12-27,14,89.85
2014-01-03,15,89.16
2014-01-10,15,87.49
2014-01-17,14,86.47
2014-01-24,15,81.61
2014-01-31,16,81.28
2014-02-07,16,80.88
2014-02-14,14,84.02
2014-02-21,14,83.79
2014-02-28,14,83.84
2014-03-07,13,83.93
2014-03-14,14,82.66
2014-03-21,14,83.78
2014-03-28,14,83.99
2014-04-04,13,85.20
2014-04-11,12,85.30
2014-04-18,13,
2014-04-25,13,88.31
2014-05-02,11,
