Date,"The Travelers Companies, Inc.",Price
2007-07-13,54,53.58
2007-07-20,53,51.73
2007-07-27,52,50.65
2007-08-03,51,48.92
2007-08-10,53,50.63
2007-08-17,52,52.93
2007-08-24,52,52.51
2007-08-31,49,50.54
2007-09-07,44,49.85
2007-09-14,50,49.69
2007-09-21,49,51.01
2007-09-28,48,50.34
2007-10-05,46,53.81
2007-10-12,47,54.17
2007-10-19,49,51.21
2007-10-26,45,53.21
2007-11-02,44,52.42
2007-11-09,44,51.40
2007-11-16,44,52.72
2007-11-23,34,51.61
2007-11-30,44,53.11
2007-12-07,42,54.16
2007-12-14,41,52.69
2007-12-21,40,53.71
2007-12-28,30,54.14
2008-01-04,38,51.39
2008-01-11,45,51.46
2008-01-18,44,46.19
2008-01-25,44,45.43
2008-02-01,45,49.63
2008-02-08,44,46.56
2008-02-15,43,47.87
2008-02-22,42,47.90
2008-02-29,43,46.41
2008-03-07,43,46.63
2008-03-14,41,44.92
2008-03-21,41,
2008-03-28,43,47.42
2008-04-04,44,49.30
2008-04-11,43,49.30
2008-04-18,42,50.31
2008-04-25,44,50.21
2008-05-02,42,52.06
2008-05-09,43,50.18
2008-05-16,40,50.82
2008-05-23,41,48.31
2008-05-30,38,49.81
2008-06-06,41,47.25
2008-06-13,40,47.84
2008-06-20,39,45.63
2008-06-27,41,44.30
2008-07-04,36,
2008-07-11,42,44.12
2008-07-18,43,43.95
2008-07-25,42,42.33
2008-08-01,41,44.06
2008-08-08,40,44.39
2008-08-15,42,44.46
2008-08-22,40,44.31
2008-08-29,37,44.16
2008-09-05,32,43.28
2008-09-12,37,45.05
2008-09-19,36,50.76
2008-09-26,36,44.00
2008-10-03,34,38.80
2008-10-10,37,30.50
2008-10-17,33,34.03
2008-10-24,34,41.74
2008-10-31,34,42.55
2008-11-07,32,39.61
2008-11-14,34,41.88
2008-11-21,33,38.77
2008-11-28,27,43.65
2008-12-05,33,43.41
2008-12-12,33,40.58
2008-12-19,30,42.84
2008-12-26,21,42.47
2009-01-02,26,45.20
2009-01-09,34,41.98
2009-01-16,34,41.05
2009-01-23,32,37.92
2009-01-30,34,38.64
2009-02-06,34,39.72
2009-02-13,33,40.37
2009-02-20,33,38.34
2009-02-27,34,36.15
2009-03-06,33,34.44
2009-03-13,33,38.34
2009-03-20,33,38.81
2009-03-27,33,39.35
2009-04-03,35,42.61
2009-04-10,34,
2009-04-17,34,42.53
2009-04-24,34,39.50
2009-05-01,33,41.21
2009-05-08,33,38.82
2009-05-15,33,39.76
2009-05-22,32,40.26
2009-05-29,30,40.66
2009-06-05,34,43.75
2009-06-12,32,43.20
2009-06-19,33,42.08
2009-06-26,31,40.88
2009-07-03,29,
2009-07-10,33,39.00
2009-07-17,33,40.42
2009-07-24,33,43.22
2009-07-31,34,43.07
2009-08-07,33,47.46
2009-08-14,33,47.25
2009-08-21,33,48.20
2009-08-28,32,49.61
2009-09-04,30,50.12
2009-09-11,28,48.41
2009-09-18,32,47.37
2009-09-25,32,47.75
2009-10-02,30,49.04
2009-10-09,31,48.81
2009-10-16,30,48.67
2009-10-23,30,51.30
2009-10-30,29,49.79
2009-11-06,30,51.90
2009-11-13,30,53.28
2009-11-20,30,52.38
2009-11-27,23,51.65
2009-12-04,30,51.04
2009-12-11,29,50.70
2009-12-18,27,48.14
2009-12-25,20,
2010-01-01,21,
2010-01-08,26,48.56
2010-01-15,25,48.79
2010-01-22,25,48.31
2010-01-29,25,50.67
2010-02-05,25,50.28
2010-02-12,24,50.45
2010-02-19,24,52.88
2010-02-26,25,52.59
2010-03-05,25,53.94
2010-03-12,26,53.16
2010-03-19,25,53.46
2010-03-26,25,54.35
2010-04-02,24,
2010-04-09,26,52.40
2010-04-16,24,52.14
2010-04-23,25,53.38
2010-04-30,24,50.74
2010-05-07,23,49.26
2010-05-14,24,50.12
2010-05-21,23,49.23
2010-05-28,22,49.47
2010-06-04,22,48.61
2010-06-11,23,50.41
2010-06-18,23,51.35
2010-06-25,23,51.12
2010-07-02,22,48.54
2010-07-09,20,51.15
2010-07-16,22,49.62
2010-07-23,23,50.14
2010-07-30,22,50.45
2010-08-06,22,50.27
2010-08-13,22,50.14
2010-08-20,23,50.09
2010-08-27,22,49.87
2010-09-03,21,51.03
2010-09-10,19,50.06
2010-09-17,21,52.67
2010-09-24,21,53.12
2010-10-01,20,52.12
2010-10-08,20,52.81
2010-10-15,20,53.63
2010-10-22,20,55.10
2010-10-29,20,55.20
2010-11-05,19,57.44
2010-11-12,20,56.31
2010-11-19,19,55.49
2010-11-26,15,54.37
2010-12-03,19,54.86
2010-12-10,18,54.78
2010-12-17,17,55.18
2010-12-24,14,
2010-12-31,13,55.71
2011-01-07,19,53.33
2011-01-14,18,54.63
2011-01-21,19,55.00
2011-01-28,19,55.81
2011-02-04,18,57.41
2011-02-11,19,58.99
2011-02-18,19,60.92
2011-02-25,18,59.60
2011-03-04,18,59.18
2011-03-11,19,58.88
2011-03-18,18,58.06
2011-03-25,19,58.98
2011-04-01,19,59.71
2011-04-08,19,59.58
2011-04-15,19,59.80
2011-04-22,18,
2011-04-29,19,63.28
2011-05-06,18,63.43
2011-05-13,19,62.33
2011-05-20,18,62.25
2011-05-27,17,61.52
2011-06-03,17,61.18
2011-06-10,18,59.21
2011-06-17,18,57.92
2011-06-24,18,56.68
2011-07-01,17,59.11
2011-07-08,16,58.66
2011-07-15,18,57.90
2011-07-22,18,57.58
2011-07-29,18,55.13
2011-08-05,18,52.57
2011-08-12,17,51.13
2011-08-19,17,49.46
2011-08-26,17,48.30
2011-09-02,16,48.87
2011-09-09,14,48.14
2011-09-16,17,50.61
2011-09-23,17,47.12
2011-09-30,17,48.73
2011-10-07,16,49.00
2011-10-14,15,51.27
2011-10-21,16,57.35
2011-10-28,16,59.48
2011-11-04,16,58.14
2011-11-11,16,58.43
2011-11-18,15,56.22
2011-11-25,12,53.41
2011-12-02,15,54.24
2011-12-09,14,56.02
2011-12-16,15,57.28
2011-12-23,12,59.35
2011-12-30,10,59.17
2012-01-06,14,59.35
2012-01-13,15,59.37
2012-01-20,15,61.59
2012-01-27,15,58.05
2012-02-03,16,60.12
2012-02-10,15,59.38
2012-02-17,15,59.85
2012-02-24,15,58.60
2012-03-02,15,58.01
2012-03-09,15,57.61
2012-03-16,14,59.20
2012-03-23,14,58.20
2012-03-30,15,59.20
2012-04-06,14,
2012-04-13,14,58.12
2012-04-20,14,62.75
2012-04-27,14,64.01
2012-05-04,14,64.50
2012-05-11,14,64.62
2012-05-18,15,62.18
2012-05-25,14,62.60
2012-06-01,13,60.58
2012-06-08,15,62.14
2012-06-15,15,63.41
2012-06-22,14,63.35
2012-06-29,14,63.84
2012-07-06,12,63.26
2012-07-13,15,63.13
2012-07-20,14,62.71
2012-07-27,15,62.72
2012-08-03,15,63.71
2012-08-10,14,63.98
2012-08-17,15,65.13
2012-08-24,15,65.40
2012-08-31,14,64.74
2012-09-07,13,65.21
2012-09-14,14,68.58
2012-09-21,14,68.61
2012-09-28,14,68.26
2012-10-05,13,69.56
2012-10-12,13,68.72
2012-10-19,13,73.51
2012-10-26,13,71.56
2012-11-02,12,69.62
2012-11-09,13,68.98
2012-11-16,13,68.65
2012-11-23,10,71.27
2012-11-30,13,70.82
2012-12-07,12,73.39
2012-12-14,12,73.37
2012-12-21,11,72.82
2012-12-28,7,71.24
2013-01-04,10,74.06
2013-01-11,13,74.85
2013-01-18,13,76.31
2013-01-25,13,78.35
2013-02-01,14,79.89
2013-02-08,13,78.86
2013-02-15,13,80.39
2013-02-22,12,81.01
2013-03-01,13,80.69
2013-03-08,13,81.65
2013-03-15,12,82.28
2013-03-22,12,83.69
2013-03-29,11,
2013-04-05,12,84.41
2013-04-12,12,86.26
2013-04-19,12,84.81
2013-04-26,12,85.15
2013-05-03,12,85.41
2013-05-10,12,86.49
2013-05-17,11,86.50
2013-05-24,11,83.60
2013-05-31,11,83.72
2013-06-07,12,83.44
2013-06-14,12,82.15
2013-06-21,12,79.07
2013-06-28,11,79.92
2013-07-05,10,81.34
2013-07-12,12,84.18
2013-07-19,12,84.66
2013-07-26,12,83.60
2013-08-02,12,84.00
2013-08-09,12,82.10
2013-08-16,12,81.10
2013-08-23,11,80.19
2013-08-30,11,79.90
2013-09-06,10,80.49
2013-09-13,11,83.56
2013-09-20,11,86.06
2013-09-27,12,85.41
2013-10-04,11,84.68
2013-10-11,12,84.66
2013-10-18,11,86.58
2013-10-25,11,86.63
2013-11-01,11,86.40
2013-11-08,11,87.80
2013-11-15,11,88.67
2013-11-22,11,90.52
2013-11-29,9,90.74
2013-12-06,11,89.01
2013-12-13,11,86.49
2013-12-20,10,89.18
2013-12-27,6,89.85
2014-01-03,8,89.16
2014-01-10,11,87.49
2014-01-17,11,86.47
2014-01-24,11,81.61
2014-01-31,11,81.28
2014-02-07,11,80.88
2014-02-14,11,84.02
2014-02-21,11,83.79
2014-02-28,12,83.84
2014-03-07,12,83.93
2014-03-14,12,82.66
2014-03-21,11,83.78
2014-03-28,11,83.99
2014-04-04,11,85.20
2014-04-11,11,85.30
2014-04-18,11,
2014-04-25,11,88.31
2014-05-02,10,
