Date,PG,Price
2006-03-10,49,62.25
2006-03-17,47,59.10
2006-03-24,49,58.74
2006-03-31,47,57.63
2006-04-07,52,57.28
2006-04-14,49,
2006-04-21,50,56.34
2006-04-28,54,58.21
2006-05-05,52,55.73
2006-05-12,51,55.01
2006-05-19,53,54.15
2006-05-26,50,55.13
2006-06-02,51,53.95
2006-06-09,53,54.45
2006-06-16,55,55.02
2006-06-23,54,55.73
2006-06-30,50,55.60
2006-07-07,49,56.50
2006-07-14,48,55.66
2006-07-21,52,56.07
2006-07-28,56,56.81
2006-08-04,51,59.45
2006-08-11,49,60.26
2006-08-18,50,60.39
2006-08-25,51,60.87
2006-09-01,50,61.91
2006-09-08,49,61.14
2006-09-15,47,60.90
2006-09-22,48,61.81
2006-09-29,47,61.98
2006-10-06,50,63.09
2006-10-13,53,62.13
2006-10-20,48,62.68
2006-10-27,48,63.56
2006-11-03,50,63.40
2006-11-10,45,63.70
2006-11-17,47,63.86
2006-11-24,46,63.53
2006-12-01,48,62.69
2006-12-08,45,63.89
2006-12-15,48,64.11
2006-12-22,47,63.80
2006-12-29,47,64.27
2007-01-05,46,63.50
2007-01-12,55,65.00
2007-01-19,51,66.09
2007-01-26,50,64.86
2007-02-02,52,65.34
2007-02-09,50,64.43
2007-02-16,58,65.07
2007-02-23,58,64.82
2007-03-02,54,63.16
2007-03-09,56,62.16
2007-03-16,52,61.61
2007-03-23,53,63.80
2007-03-30,62,63.16
2007-04-06,60,
2007-04-13,55,63.38
2007-04-20,53,63.80
2007-04-27,55,62.98
2007-05-04,52,62.41
2007-05-11,55,61.65
2007-05-18,56,63.48
2007-05-25,56,62.96
2007-06-01,58,63.48
2007-06-08,55,63.07
2007-06-15,57,62.57
2007-06-22,57,61.03
2007-06-29,60,61.19
2007-07-06,60,61.48
2007-07-13,58,62.66
2007-07-20,57,62.15
2007-07-27,54,62.82
2007-08-03,56,62.88
2007-08-10,53,65.39
2007-08-17,51,65.35
2007-08-24,50,65.93
2007-08-31,54,65.31
2007-09-07,56,65.47
2007-09-14,56,67.81
2007-09-21,55,69.39
2007-09-28,55,70.34
2007-10-05,57,70.83
2007-10-12,56,71.70
2007-10-19,52,70.80
2007-10-26,54,71.75
2007-11-02,57,69.55
2007-11-09,54,70.42
2007-11-16,54,73.19
2007-11-23,53,72.86
2007-11-30,55,74.00
2007-12-07,55,74.12
2007-12-14,55,73.90
2007-12-21,55,74.08
2007-12-28,48,74.25
2008-01-04,58,72.02
2008-01-11,58,70.18
2008-01-18,58,67.15
2008-01-25,60,65.31
2008-02-01,60,66.05
2008-02-08,60,65.02
2008-02-15,64,66.30
2008-02-22,61,66.21
2008-02-29,62,66.18
2008-03-07,60,65.80
2008-03-14,61,66.74
2008-03-21,66,
2008-03-28,57,69.44
2008-04-04,61,70.60
2008-04-11,60,70.00
2008-04-18,62,67.17
2008-04-25,62,66.55
2008-05-02,62,66.80
2008-05-09,60,65.21
2008-05-16,61,66.75
2008-05-23,63,65.27
2008-05-30,60,66.05
2008-06-06,63,65.37
2008-06-13,66,66.45
2008-06-20,67,63.16
2008-06-27,64,60.49
2008-07-04,66,
2008-07-11,63,63.45
2008-07-18,68,63.67
2008-07-25,66,64.46
2008-08-01,60,64.95
2008-08-08,59,69.63
2008-08-15,58,71.60
2008-08-22,63,71.61
2008-08-29,63,69.77
2008-09-05,61,70.78
2008-09-12,63,73.15
2008-09-19,64,70.36
2008-09-26,62,68.84
2008-10-03,66,71.02
2008-10-10,76,59.56
2008-10-17,69,61.74
2008-10-24,65,58.87
2008-10-31,64,64.54
2008-11-07,66,64.49
2008-11-14,62,63.11
2008-11-21,62,63.09
2008-11-28,61,64.35
2008-12-05,64,62.63
2008-12-12,63,58.94
2008-12-19,61,60.18
2008-12-26,56,60.53
2009-01-02,59,62.80
2009-01-09,65,59.86
2009-01-16,65,57.73
2009-01-23,62,56.00
2009-01-30,70,54.50
2009-02-06,70,54.00
2009-02-13,66,51.09
2009-02-20,71,50.25
2009-02-27,67,48.17
2009-03-06,68,45.71
2009-03-13,65,46.95
2009-03-20,73,45.59
2009-03-27,71,48.57
2009-04-03,71,49.63
2009-04-10,67,
2009-04-17,68,51.66
2009-04-24,70,49.51
2009-05-01,68,49.50
2009-05-08,67,51.57
2009-05-15,68,50.67
2009-05-22,70,53.03
2009-05-29,67,51.94
2009-06-05,68,53.18
2009-06-12,71,52.55
2009-06-19,73,50.64
2009-06-26,71,51.75
2009-07-03,72,
2009-07-10,72,52.22
2009-07-17,69,55.92
2009-07-24,68,55.84
2009-07-31,68,55.51
2009-08-07,67,52.03
2009-08-14,66,52.37
2009-08-21,69,53.58
2009-08-28,65,53.19
2009-09-04,72,52.86
2009-09-11,69,55.64
2009-09-18,67,57.32
2009-09-25,68,58.01
2009-10-02,66,56.75
2009-10-09,69,57.56
2009-10-16,65,57.44
2009-10-23,64,57.64
2009-10-30,66,58.00
2009-11-06,64,61.04
2009-11-13,66,61.61
2009-11-20,64,61.80
2009-11-27,65,62.48
2009-12-04,67,62.60
2009-12-11,65,62.34
2009-12-18,62,61.55
2009-12-25,59,
2010-01-01,58,
2010-01-08,64,60.44
2010-01-15,65,60.82
2010-01-22,67,60.31
2010-01-29,69,61.55
2010-02-05,66,61.30
2010-02-12,67,61.76
2010-02-19,73,63.45
2010-02-26,69,63.28
2010-03-05,68,63.69
2010-03-12,69,63.32
2010-03-19,68,63.84
2010-03-26,70,63.69
2010-04-02,67,
2010-04-09,69,62.73
2010-04-16,69,62.85
2010-04-23,67,63.54
2010-04-30,68,62.16
2010-05-07,73,60.31
2010-05-14,71,62.54
2010-05-21,71,61.85
2010-05-28,73,61.09
2010-06-04,74,60.80
2010-06-11,72,61.01
2010-06-18,74,61.30
2010-06-25,75,59.79
2010-07-02,77,59.38
2010-07-09,75,61.75
2010-07-16,74,61.99
2010-07-23,71,61.91
2010-07-30,70,61.16
2010-08-06,70,60.02
2010-08-13,67,59.82
2010-08-20,73,59.98
2010-08-27,70,59.80
2010-09-03,72,60.29
2010-09-10,75,60.40
2010-09-17,73,60.97
2010-09-24,73,61.64
2010-10-01,71,60.16
2010-10-08,68,61.86
2010-10-15,68,62.76
2010-10-22,68,63.40
2010-10-29,69,63.57
2010-11-05,66,65.00
2010-11-12,71,64.33
2010-11-19,71,64.05
2010-11-26,68,62.13
2010-12-03,70,62.33
2010-12-10,69,63.20
2010-12-17,69,64.81
2010-12-24,64,
2010-12-31,61,64.33
2011-01-07,69,64.50
2011-01-14,72,65.53
2011-01-21,72,65.91
2011-01-28,72,64.20
2011-02-04,67,63.61
2011-02-11,68,64.73
2011-02-18,73,64.30
2011-02-25,73,62.84
2011-03-04,69,62.03
2011-03-11,68,61.49
2011-03-18,69,60.60
2011-03-25,71,60.88
2011-04-01,72,62.08
2011-04-08,73,61.90
2011-04-15,70,64.18
2011-04-22,70,
2011-04-29,70,64.90
2011-05-06,72,65.27
2011-05-13,72,66.86
2011-05-20,74,67.36
2011-05-27,75,66.20
2011-06-03,77,65.43
2011-06-10,76,64.70
2011-06-17,77,64.69
2011-06-24,78,62.59
2011-07-01,82,64.27
2011-07-08,79,64.93
2011-07-15,79,64.83
2011-07-22,71,64.25
2011-07-29,73,61.49
2011-08-05,75,60.59
2011-08-12,70,61.14
2011-08-19,69,60.96
2011-08-26,73,62.57
2011-09-02,75,62.55
2011-09-09,74,61.84
2011-09-16,72,64.33
2011-09-23,72,61.25
2011-09-30,73,63.18
2011-10-07,69,63.91
2011-10-14,68,64.89
2011-10-21,71,66.26
2011-10-28,70,64.73
2011-11-04,69,63.03
2011-11-11,69,63.89
2011-11-18,72,63.24
2011-11-25,71,61.00
2011-12-02,73,64.66
2011-12-09,70,64.97
2011-12-16,71,65.14
2011-12-23,67,66.67
2011-12-30,62,66.71
2012-01-06,68,66.36
2012-01-13,71,65.81
2012-01-20,70,66.23
2012-01-27,71,64.30
2012-02-03,72,62.77
2012-02-10,75,63.88
2012-02-17,72,64.91
2012-02-24,72,66.71
2012-03-02,76,66.67
2012-03-09,75,66.93
2012-03-16,72,67.25
2012-03-23,74,67.43
2012-03-30,72,67.21
2012-04-06,71,
2012-04-13,73,65.81
2012-04-20,71,67.51
2012-04-27,71,64.44
2012-05-04,71,64.28
2012-05-11,73,63.68
2012-05-18,74,63.52
2012-05-25,78,62.49
2012-06-01,79,61.55
2012-06-08,78,62.75
2012-06-15,78,62.88
2012-06-22,80,59.83
2012-06-29,79,61.25
2012-07-06,77,61.28
2012-07-13,77,65.09
2012-07-20,77,64.73
2012-07-27,76,65.09
2012-08-03,73,65.50
2012-08-10,71,66.77
2012-08-17,68,67.00
2012-08-24,78,67.02
2012-08-31,78,67.19
2012-09-07,77,68.52
2012-09-14,75,69.16
2012-09-21,77,69.42
2012-09-28,83,69.36
2012-10-05,83,69.63
2012-10-12,76,67.94
2012-10-19,75,68.57
2012-10-26,76,69.44
2012-11-02,72,69.19
2012-11-09,73,67.01
2012-11-16,69,66.82
2012-11-23,72,69.59
2012-11-30,73,69.83
2012-12-07,72,70.29
2012-12-14,73,69.93
2012-12-21,67,68.72
2012-12-28,63,67.15
2013-01-04,67,69.09
2013-01-11,70,69.22
2013-01-18,73,69.94
2013-01-25,72,73.25
2013-02-01,75,75.92
2013-02-08,75,75.75
2013-02-15,74,76.54
2013-02-22,75,76.99
2013-03-01,78,76.49
2013-03-08,78,77.18
2013-03-15,75,76.34
2013-03-22,75,77.27
2013-03-29,76,
2013-04-05,79,78.23
2013-04-12,81,80.08
2013-04-19,77,81.43
2013-04-26,80,77.10
2013-05-03,75,78.19
2013-05-10,81,78.76
2013-05-17,100,80.02
2013-05-24,87,81.88
2013-05-31,85,76.76
2013-06-07,90,77.75
2013-06-14,86,78.03
2013-06-21,86,77.43
2013-06-28,88,76.99
2013-07-05,89,78.34
2013-07-12,82,81.55
2013-07-19,90,81.37
2013-07-26,82,80.39
2013-08-02,82,81.29
2013-08-09,75,81.64
2013-08-16,77,79.90
2013-08-23,76,80.01
2013-08-30,77,77.89
2013-09-06,75,77.15
2013-09-13,77,79.05
2013-09-20,75,79.39
2013-09-27,80,77.21
2013-10-04,79,76.02
2013-10-11,80,78.48
2013-10-18,80,79.41
2013-10-25,82,80.00
2013-11-01,75,81.15
2013-11-08,76,82.51
2013-11-15,78,84.84
2013-11-22,79,84.95
2013-11-29,79,84.22
2013-12-06,78,84.52
2013-12-13,79,82.37
2013-12-20,77,81.84
2013-12-27,66,82.01
2014-01-03,69,80.45
2014-01-10,78,80.30
2014-01-17,77,79.88
2014-01-24,79,79.18
2014-01-31,81,76.62
2014-02-07,74,77.31
2014-02-14,76,79.40
2014-02-21,78,77.97
2014-02-28,79,78.66
2014-03-07,79,78.38
2014-03-14,78,78.98
2014-03-21,78,77.88
2014-03-28,81,79.76
2014-04-04,80,79.77
2014-04-11,78,80.76
2014-04-18,78,
2014-04-25,77,81.41
2014-05-02,81,
