Date,GE,Price
2005-11-11,85,34.65
2005-11-18,86,35.75
2005-11-25,82,36.20
2005-12-02,88,35.50
2005-12-09,85,35.53
2005-12-16,81,36.06
2005-12-23,78,35.42
2005-12-30,81,35.05
2006-01-06,86,35.47
2006-01-13,84,35.10
2006-01-20,83,33.37
2006-01-27,88,32.95
2006-02-03,84,32.85
2006-02-10,84,33.28
2006-02-17,81,33.61
2006-02-24,84,33.14
2006-03-03,85,33.06
2006-03-10,81,33.65
2006-03-17,80,34.51
2006-03-24,82,33.95
2006-03-31,82,34.78
2006-04-07,82,34.03
2006-04-14,81,
2006-04-21,82,33.97
2006-04-28,85,34.59
2006-05-05,81,35.16
2006-05-12,83,34.28
2006-05-19,81,34.16
2006-05-26,78,34.33
2006-06-02,84,34.66
2006-06-09,82,34.07
2006-06-16,83,33.93
2006-06-23,85,33.16
2006-06-30,80,32.96
2006-07-07,79,33.30
2006-07-14,85,32.11
2006-07-21,90,32.25
2006-07-28,91,33.02
2006-08-04,87,32.80
2006-08-11,84,32.50
2006-08-18,85,34.00
2006-08-25,86,33.84
2006-09-01,86,34.14
2006-09-08,79,34.01
2006-09-15,84,34.85
2006-09-22,81,34.40
2006-09-29,81,35.30
2006-10-06,83,36.14
2006-10-13,85,35.98
2006-10-20,83,35.47
2006-10-27,82,35.21
2006-11-03,82,34.77
2006-11-10,82,35.17
2006-11-17,83,36.25
2006-11-24,81,35.69
2006-12-01,86,35.28
2006-12-08,81,35.27
2006-12-15,80,37.36
2006-12-22,78,37.57
2006-12-29,75,37.21
2007-01-05,83,37.56
2007-01-12,84,37.89
2007-01-19,90,36.95
2007-01-26,86,36.07
2007-02-02,83,36.27
2007-02-09,85,35.53
2007-02-16,80,35.87
2007-02-23,84,35.10
2007-03-02,81,34.87
2007-03-09,82,34.32
2007-03-16,84,34.36
2007-03-23,81,35.82
2007-03-30,82,35.36
2007-04-06,80,
2007-04-13,84,35.38
2007-04-20,81,35.13
2007-04-27,81,36.84
2007-05-04,77,37.15
2007-05-11,79,36.97
2007-05-18,100,36.96
2007-05-25,89,37.56
2007-06-01,84,37.45
2007-06-08,86,37.32
2007-06-15,82,38.12
2007-06-22,84,38.24
2007-06-29,83,38.28
2007-07-06,82,38.48
2007-07-13,89,39.50
2007-07-20,84,40.12
2007-07-27,87,38.79
2007-08-03,86,38.06
2007-08-10,86,38.23
2007-08-17,84,38.45
2007-08-24,85,39.41
2007-08-31,82,38.87
2007-09-07,80,38.75
2007-09-14,81,40.35
2007-09-21,83,41.25
2007-09-28,80,41.40
2007-10-05,83,41.77
2007-10-12,83,41.03
2007-10-19,80,40.04
2007-10-26,79,40.38
2007-11-02,82,40.33
2007-11-09,83,38.38
2007-11-16,82,38.65
2007-11-23,81,37.67
2007-11-30,84,38.29
2007-12-07,94,37.23
2007-12-14,81,36.91
2007-12-21,78,37.14
2007-12-28,74,37.34
2008-01-04,81,36.04
2008-01-11,84,35.17
2008-01-18,83,34.31
2008-01-25,82,34.00
2008-02-01,82,36.16
2008-02-08,80,33.84
2008-02-15,80,34.37
2008-02-22,83,33.55
2008-02-29,83,33.14
2008-03-07,78,32.23
2008-03-14,79,33.82
2008-03-21,79,
2008-03-28,77,36.61
2008-04-04,82,37.56
2008-04-11,83,32.05
2008-04-18,86,32.69
2008-04-25,80,33.33
2008-05-02,78,33.34
2008-05-09,79,32.27
2008-05-16,80,32.13
2008-05-23,81,30.43
2008-05-30,78,30.72
2008-06-06,77,30.02
2008-06-13,83,29.15
2008-06-20,81,27.38
2008-06-27,84,26.26
2008-07-04,78,
2008-07-11,87,27.66
2008-07-18,86,28.00
2008-07-25,83,28.71
2008-08-01,81,28.21
2008-08-08,82,29.64
2008-08-15,80,29.80
2008-08-22,78,29.12
2008-08-29,78,28.10
2008-09-05,75,27.88
2008-09-12,75,26.75
2008-09-19,84,26.62
2008-09-26,84,25.25
2008-10-03,89,21.57
2008-10-10,92,21.50
2008-10-17,89,19.63
2008-10-24,82,17.83
2008-10-31,82,19.51
2008-11-07,80,18.86
2008-11-14,82,16.02
2008-11-21,86,14.03
2008-11-28,78,17.17
2008-12-05,84,17.85
2008-12-12,80,17.11
2008-12-19,77,16.50
2008-12-26,69,15.97
2009-01-02,76,17.07
2009-01-09,80,16.00
2009-01-16,81,13.96
2009-01-23,84,12.03
2009-01-30,79,12.13
2009-02-06,83,11.10
2009-02-13,79,11.44
2009-02-20,84,9.38
2009-02-27,86,8.51
2009-03-06,95,7.06
2009-03-13,93,9.62
2009-03-20,90,9.54
2009-03-27,86,10.78
2009-04-03,85,10.94
2009-04-10,79,
2009-04-17,82,12.39
2009-04-24,83,12.11
2009-05-01,81,12.69
2009-05-08,81,14.53
2009-05-15,79,12.86
2009-05-22,77,13.10
2009-05-29,75,13.48
2009-06-05,75,13.54
2009-06-12,75,13.51
2009-06-19,76,12.10
2009-06-26,74,11.75
2009-07-03,73,
2009-07-10,79,10.78
2009-07-17,79,11.65
2009-07-24,78,12.03
2009-07-31,78,13.40
2009-08-07,76,14.70
2009-08-14,77,13.92
2009-08-21,75,14.21
2009-08-28,77,14.08
2009-09-04,76,13.87
2009-09-11,73,14.67
2009-09-18,75,16.50
2009-09-25,75,16.37
2009-10-02,72,15.36
2009-10-09,72,16.18
2009-10-16,76,16.08
2009-10-23,72,15.20
2009-10-30,70,14.26
2009-11-06,73,15.33
2009-11-13,74,15.66
2009-11-20,72,15.59
2009-11-27,71,15.94
2009-12-04,75,16.20
2009-12-11,74,15.92
2009-12-18,70,15.59
2009-12-25,62,
2010-01-01,69,
2010-01-08,72,16.60
2010-01-15,71,16.44
2010-01-22,70,16.11
2010-01-29,69,16.08
2010-02-05,70,15.79
2010-02-12,67,15.55
2010-02-19,69,16.17
2010-02-26,69,16.06
2010-03-05,70,16.35
2010-03-12,69,17.04
2010-03-19,67,18.07
2010-03-26,67,18.34
2010-04-02,68,
2010-04-09,65,18.52
2010-04-16,71,18.97
2010-04-23,68,19.07
2010-04-30,67,18.86
2010-05-07,65,16.88
2010-05-14,64,17.64
2010-05-21,66,16.42
2010-05-28,66,16.35
2010-06-04,66,15.71
2010-06-11,66,15.56
2010-06-18,63,15.95
2010-06-25,64,14.91
2010-07-02,65,13.88
2010-07-09,65,14.95
2010-07-16,67,14.55
2010-07-23,69,15.71
2010-07-30,68,16.12
2010-08-06,70,16.45
2010-08-13,67,15.38
2010-08-20,67,15.03
2010-08-27,65,14.71
2010-09-03,63,15.39
2010-09-10,67,15.98
2010-09-17,68,16.29
2010-09-24,66,16.66
2010-10-01,66,16.36
2010-10-08,69,17.12
2010-10-15,66,16.30
2010-10-22,69,16.06
2010-10-29,65,16.02
2010-11-05,66,16.73
2010-11-12,69,16.25
2010-11-19,69,16.22
2010-11-26,68,15.80
2010-12-03,68,16.78
2010-12-10,70,17.72
2010-12-17,66,17.70
2010-12-24,62,
2010-12-31,64,18.29
2011-01-07,70,18.43
2011-01-14,67,18.82
2011-01-21,72,19.74
2011-01-28,68,20.20
2011-02-04,66,20.56
2011-02-11,69,21.33
2011-02-18,68,21.44
2011-02-25,68,20.82
2011-03-04,65,20.37
2011-03-11,65,20.36
2011-03-18,68,19.25
2011-03-25,69,19.75
2011-04-01,72,20.34
2011-04-08,72,20.19
2011-04-15,67,20.04
2011-04-22,69,
2011-04-29,70,20.45
2011-05-06,74,20.01
2011-05-13,68,19.89
2011-05-20,66,19.62
2011-05-27,67,19.44
2011-06-03,66,18.82
2011-06-10,65,18.32
2011-06-17,64,18.49
2011-06-24,65,17.97
2011-07-01,65,19.20
2011-07-08,65,18.99
2011-07-15,66,18.41
2011-07-22,66,19.04
2011-07-29,67,17.91
2011-08-05,68,16.51
2011-08-12,66,15.88
2011-08-19,64,15.09
2011-08-26,66,15.54
2011-09-02,65,15.76
2011-09-09,62,15.09
2011-09-16,66,16.33
2011-09-23,67,15.21
2011-09-30,68,15.22
2011-10-07,66,15.50
2011-10-14,65,16.60
2011-10-21,69,16.31
2011-10-28,65,17.25
2011-11-04,67,16.39
2011-11-11,68,16.30
2011-11-18,67,15.65
2011-11-25,68,14.70
2011-12-02,71,16.09
2011-12-09,69,16.84
2011-12-16,67,17.01
2011-12-23,64,18.23
2011-12-30,62,17.91
2012-01-06,66,18.65
2012-01-13,65,18.84
2012-01-20,66,19.15
2012-01-27,66,19.03
2012-02-03,67,19.02
2012-02-10,66,18.88
2012-02-17,70,19.28
2012-02-24,67,19.24
2012-03-02,68,18.97
2012-03-09,68,19.04
2012-03-16,66,20.20
2012-03-23,64,19.78
2012-03-30,65,20.07
2012-04-06,66,
2012-04-13,63,18.88
2012-04-20,64,19.36
2012-04-27,64,19.78
2012-05-04,63,19.34
2012-05-11,62,19.01
2012-05-18,63,18.95
2012-05-25,63,19.20
2012-06-01,62,18.54
2012-06-08,63,19.20
2012-06-15,62,20.00
2012-06-22,62,19.81
2012-06-29,64,20.84
2012-07-06,62,20.00
2012-07-13,64,19.77
2012-07-20,63,19.87
2012-07-27,63,20.92
2012-08-03,64,20.96
2012-08-10,70,21.10
2012-08-17,65,21.00
2012-08-24,64,20.80
2012-08-31,61,20.71
2012-09-07,62,21.59
2012-09-14,64,22.11
2012-09-21,63,22.53
2012-09-28,61,22.71
2012-10-05,63,23.12
2012-10-12,62,22.48
2012-10-19,62,22.03
2012-10-26,62,21.11
2012-11-02,58,21.31
2012-11-09,62,21.00
2012-11-16,62,20.15
2012-11-23,62,21.04
2012-11-30,61,21.13
2012-12-07,61,21.46
2012-12-14,61,21.62
2012-12-21,60,20.88
2012-12-28,55,20.44
2013-01-04,59,21.20
2013-01-11,61,21.13
2013-01-18,61,22.04
2013-01-25,62,22.29
2013-02-01,59,22.62
2013-02-08,60,22.50
2013-02-15,61,23.29
2013-02-22,59,23.39
2013-03-01,59,23.19
2013-03-08,60,23.77
2013-03-15,59,23.44
2013-03-22,58,23.37
2013-03-29,58,
2013-04-05,59,22.93
2013-04-12,58,23.46
2013-04-19,58,21.75
2013-04-26,59,22.21
2013-05-03,59,22.57
2013-05-10,61,22.90
2013-05-17,58,23.46
2013-05-24,58,23.53
2013-05-31,56,23.32
2013-06-07,58,23.86
2013-06-14,58,23.52
2013-06-21,58,23.36
2013-06-28,57,23.19
2013-07-05,60,23.24
2013-07-12,60,23.76
2013-07-19,60,24.72
2013-07-26,59,24.65
2013-08-02,59,24.70
2013-08-09,56,24.25
2013-08-16,56,23.95
2013-08-23,55,23.78
2013-08-30,57,23.14
2013-09-06,57,23.16
2013-09-13,57,23.78
2013-09-20,56,24.01
2013-09-27,56,24.05
2013-10-04,57,24.05
2013-10-11,57,24.40
2013-10-18,58,25.55
2013-10-25,56,25.88
2013-11-01,57,26.54
2013-11-08,59,27.05
2013-11-15,62,27.20
2013-11-22,60,27.08
2013-11-29,61,26.66
2013-12-06,60,26.94
2013-12-13,58,26.84
2013-12-20,57,27.36
2013-12-27,52,27.83
2014-01-03,56,27.48
2014-01-10,59,26.96
2014-01-17,60,26.58
2014-01-24,58,24.95
2014-01-31,57,25.13
2014-02-07,57,25.19
2014-02-14,59,25.74
2014-02-21,59,24.94
2014-02-28,58,25.47
2014-03-07,57,26.13
2014-03-14,58,25.11
2014-03-21,56,25.40
2014-03-28,56,25.88
2014-04-04,55,26.02
2014-04-11,58,25.43
2014-04-18,56,
2014-04-25,57,26.60
2014-05-02,59,
