Date,DD,Price
2005-08-05,62,42.71
2005-08-12,62,41.35
2005-08-19,67,40.73
2005-08-26,63,39.74
2005-09-02,59,38.85
2005-09-09,58,39.84
2005-09-16,56,40.51
2005-09-23,56,38.78
2005-09-30,56,39.17
2005-10-07,58,37.88
2005-10-14,56,38.00
2005-10-21,57,38.64
2005-10-28,65,42.00
2005-11-04,64,43.31
2005-11-11,55,42.50
2005-11-18,63,42.45
2005-11-25,56,43.15
2005-12-02,57,43.16
2005-12-09,58,42.86
2005-12-16,57,42.50
2005-12-23,60,43.01
2005-12-30,57,42.50
2006-01-06,58,42.92
2006-01-13,60,40.07
2006-01-20,57,39.52
2006-01-27,63,39.83
2006-02-03,62,38.90
2006-02-10,60,40.69
2006-02-17,59,41.51
2006-02-24,55,40.32
2006-03-03,61,41.00
2006-03-10,61,40.90
2006-03-17,60,42.56
2006-03-24,60,42.55
2006-03-31,58,42.21
2006-04-07,58,42.70
2006-04-14,60,
2006-04-21,60,44.61
2006-04-28,58,44.10
2006-05-05,57,45.15
2006-05-12,61,44.19
2006-05-19,59,42.81
2006-05-26,58,42.56
2006-06-02,59,43.30
2006-06-09,60,40.66
2006-06-16,59,40.84
2006-06-23,59,41.81
2006-06-30,59,41.60
2006-07-07,56,40.54
2006-07-14,58,39.67
2006-07-21,59,40.01
2006-07-28,59,40.14
2006-08-04,61,39.64
2006-08-11,58,39.07
2006-08-18,64,40.33
2006-08-25,62,39.25
2006-09-01,66,40.48
2006-09-08,59,40.00
2006-09-15,60,42.25
2006-09-22,65,42.32
2006-09-29,64,42.84
2006-10-06,63,44.95
2006-10-13,61,45.08
2006-10-20,61,44.97
2006-10-27,63,45.55
2006-11-03,60,45.08
2006-11-10,59,47.30
2006-11-17,59,47.26
2006-11-24,59,48.43
2006-12-01,62,46.45
2006-12-08,62,46.90
2006-12-15,60,48.75
2006-12-22,64,48.57
2006-12-29,62,48.71
2007-01-05,62,48.05
2007-01-12,61,49.73
2007-01-19,61,50.84
2007-01-26,64,49.19
2007-02-02,65,50.25
2007-02-09,66,51.07
2007-02-16,64,52.47
2007-02-23,65,52.99
2007-03-02,65,50.09
2007-03-09,65,51.14
2007-03-16,66,49.96
2007-03-23,64,51.03
2007-03-30,65,49.43
2007-04-06,65,
2007-04-13,61,49.31
2007-04-20,69,49.28
2007-04-27,67,49.69
2007-05-04,67,51.24
2007-05-11,68,50.42
2007-05-18,66,52.38
2007-05-25,65,51.46
2007-06-01,68,53.10
2007-06-08,70,51.13
2007-06-15,65,51.47
2007-06-22,69,52.30
2007-06-29,69,50.84
2007-07-06,69,51.97
2007-07-13,71,51.55
2007-07-20,68,52.62
2007-07-27,69,46.82
2007-08-03,68,46.35
2007-08-10,71,48.59
2007-08-17,68,47.31
2007-08-24,72,49.08
2007-08-31,72,48.75
2007-09-07,71,47.50
2007-09-14,75,48.04
2007-09-21,72,49.69
2007-09-28,75,49.56
2007-10-05,77,49.55
2007-10-12,73,49.06
2007-10-19,69,46.87
2007-10-26,70,48.37
2007-11-02,74,47.96
2007-11-09,73,46.79
2007-11-16,72,45.31
2007-11-23,73,44.69
2007-11-30,73,46.15
2007-12-07,71,47.19
2007-12-14,72,44.73
2007-12-21,74,45.35
2007-12-28,78,44.30
2008-01-04,77,43.38
2008-01-11,78,44.66
2008-01-18,76,42.70
2008-01-25,78,44.72
2008-02-01,78,45.95
2008-02-08,81,45.44
2008-02-15,75,45.49
2008-02-22,79,45.96
2008-02-29,80,46.42
2008-03-07,78,45.00
2008-03-14,79,46.98
2008-03-21,80,
2008-03-28,79,46.44
2008-04-04,78,49.50
2008-04-11,78,49.33
2008-04-18,79,52.02
2008-04-25,78,49.88
2008-05-02,80,49.86
2008-05-09,79,48.44
2008-05-16,78,49.63
2008-05-23,80,47.62
2008-05-30,79,47.91
2008-06-06,82,46.32
2008-06-13,84,47.20
2008-06-20,81,46.23
2008-06-27,81,42.69
2008-07-04,84,
2008-07-11,84,41.47
2008-07-18,85,44.20
2008-07-25,87,43.81
2008-08-01,85,43.31
2008-08-08,87,45.31
2008-08-15,90,45.70
2008-08-22,91,44.79
2008-08-29,85,44.44
2008-09-05,83,44.25
2008-09-12,85,46.39
2008-09-19,86,48.04
2008-09-26,88,41.99
2008-10-03,89,38.80
2008-10-10,86,33.40
2008-10-17,87,33.77
2008-10-24,89,29.33
2008-10-31,86,32.04
2008-11-07,86,30.46
2008-11-14,87,27.43
2008-11-21,87,23.03
2008-11-28,92,25.06
2008-12-05,94,24.12
2008-12-12,93,26.61
2008-12-19,87,25.60
2008-12-26,95,24.98
2009-01-02,96,26.18
2009-01-09,92,25.41
2009-01-16,88,24.97
2009-01-23,92,24.16
2009-01-30,92,22.96
2009-02-06,93,24.57
2009-02-13,87,22.40
2009-02-20,89,20.38
2009-02-27,92,18.76
2009-03-06,91,16.87
2009-03-13,90,19.49
2009-03-20,93,20.66
2009-03-27,91,22.70
2009-04-03,93,25.97
2009-04-10,95,
2009-04-17,94,28.42
2009-04-24,91,28.78
2009-05-01,93,27.87
2009-05-08,92,28.38
2009-05-15,100,26.93
2009-05-22,93,27.77
2009-05-29,89,28.47
2009-06-05,92,27.00
2009-06-12,90,27.00
2009-06-19,88,24.97
2009-06-26,90,25.38
2009-07-03,90,
2009-07-10,94,24.61
2009-07-17,96,27.57
2009-07-24,95,30.04
2009-07-31,94,30.93
2009-08-07,93,32.83
2009-08-14,95,32.36
2009-08-21,95,32.71
2009-08-28,95,32.56
2009-09-04,95,31.71
2009-09-11,93,31.81
2009-09-18,94,33.74
2009-09-25,95,31.74
2009-10-02,88,30.54
2009-10-09,87,32.95
2009-10-16,85,34.10
2009-10-23,89,33.23
2009-10-30,89,31.82
2009-11-06,89,33.38
2009-11-13,83,34.31
2009-11-20,87,34.51
2009-11-27,87,34.40
2009-12-04,83,32.34
2009-12-11,87,32.23
2009-12-18,87,31.87
2009-12-25,89,
2010-01-01,91,
2010-01-08,87,33.94
2010-01-15,83,34.01
2010-01-22,84,32.50
2010-01-29,81,32.61
2010-02-05,81,32.73
2010-02-12,82,32.28
2010-02-19,83,34.03
2010-02-26,81,33.72
2010-03-05,81,34.97
2010-03-12,81,35.49
2010-03-19,83,36.86
2010-03-26,83,37.69
2010-04-02,89,
2010-04-09,86,39.19
2010-04-16,81,38.66
2010-04-23,79,40.22
2010-04-30,78,39.84
2010-05-07,81,36.23
2010-05-14,84,37.65
2010-05-21,80,36.10
2010-05-28,82,36.17
2010-06-04,79,34.41
2010-06-11,80,37.61
2010-06-18,79,38.36
2010-06-25,78,36.66
2010-07-02,77,34.06
2010-07-09,76,36.90
2010-07-16,75,35.98
2010-07-23,76,38.34
2010-07-30,79,40.67
2010-08-06,80,42.13
2010-08-13,81,40.32
2010-08-20,80,40.34
2010-08-27,80,41.01
2010-09-03,78,42.51
2010-09-10,77,42.29
2010-09-17,79,43.95
2010-09-24,81,45.58
2010-10-01,88,44.85
2010-10-08,96,46.66
2010-10-15,92,46.67
2010-10-22,83,46.83
2010-10-29,84,47.28
2010-11-05,85,48.18
2010-11-12,85,46.52
2010-11-19,85,47.10
2010-11-26,84,46.31
2010-12-03,84,49.24
2010-12-10,87,48.62
2010-12-17,83,49.86
2010-12-24,84,
2010-12-31,83,49.88
2011-01-07,84,49.76
2011-01-14,84,49.80
2011-01-21,84,48.35
2011-01-28,84,50.29
2011-02-04,79,52.53
2011-02-11,82,54.58
2011-02-18,86,55.98
2011-02-25,83,54.07
2011-03-04,83,53.87
2011-03-11,85,52.90
2011-03-18,77,52.99
2011-03-25,87,54.10
2011-04-01,96,55.19
2011-04-08,82,55.40
2011-04-15,83,54.89
2011-04-22,88,
2011-04-29,87,56.79
2011-05-06,86,54.63
2011-05-13,85,52.91
2011-05-20,81,52.74
2011-05-27,83,52.56
2011-06-03,87,50.29
2011-06-10,85,49.78
2011-06-17,81,49.57
2011-06-24,84,51.96
2011-07-01,81,54.47
2011-07-08,83,55.42
2011-07-15,84,54.09
2011-07-22,83,54.85
2011-07-29,84,51.42
2011-08-05,84,47.27
2011-08-12,81,47.36
2011-08-19,84,43.79
2011-08-26,83,46.09
2011-09-02,82,46.76
2011-09-09,81,45.27
2011-09-16,82,47.12
2011-09-23,78,40.46
2011-09-30,80,39.97
2011-10-07,78,41.90
2011-10-14,77,45.09
2011-10-21,80,45.15
2011-10-28,79,49.36
2011-11-04,75,48.70
2011-11-11,77,48.52
2011-11-18,75,46.41
2011-11-25,75,43.86
2011-12-02,76,47.02
2011-12-09,78,45.04
2011-12-16,77,43.98
2011-12-23,76,46.17
2011-12-30,78,45.78
2012-01-06,77,46.04
2012-01-13,77,48.40
2012-01-20,77,49.42
2012-01-27,80,50.72
2012-02-03,79,52.01
2012-02-10,78,51.15
2012-02-17,75,51.48
2012-02-24,76,50.99
2012-03-02,77,51.45
2012-03-09,77,51.50
2012-03-16,77,53.38
2012-03-23,80,52.63
2012-03-30,72,52.90
2012-04-06,84,
2012-04-13,77,52.02
2012-04-20,79,52.62
2012-04-27,78,53.72
2012-05-04,77,52.89
2012-05-11,80,51.57
2012-05-18,82,47.97
2012-05-25,93,48.40
2012-06-01,74,47.21
2012-06-08,74,49.50
2012-06-15,74,50.24
2012-06-22,72,49.96
2012-06-29,72,50.57
2012-07-06,71,48.90
2012-07-13,71,47.63
2012-07-20,72,48.87
2012-07-27,74,49.71
2012-08-03,84,49.47
2012-08-10,76,51.08
2012-08-17,73,50.65
2012-08-24,71,50.35
2012-08-31,67,49.75
2012-09-07,71,50.56
2012-09-14,69,52.24
2012-09-21,71,51.80
2012-09-28,68,50.27
2012-10-05,68,50.35
2012-10-12,67,48.69
2012-10-19,68,49.34
2012-10-26,68,45.18
2012-11-02,64,44.15
2012-11-09,65,43.34
2012-11-16,64,41.95
2012-11-23,62,43.12
2012-11-30,65,43.14
2012-12-07,63,43.18
2012-12-14,65,44.09
2012-12-21,65,44.93
2012-12-28,69,44.71
2013-01-04,72,45.73
2013-01-11,71,46.15
2013-01-18,71,46.99
2013-01-25,73,48.33
2013-02-01,68,47.98
2013-02-08,68,47.50
2013-02-15,65,46.94
2013-02-22,65,47.24
2013-03-01,69,48.09
2013-03-08,67,49.15
2013-03-15,65,49.90
2013-03-22,65,49.27
2013-03-29,66,
2013-04-05,84,48.69
2013-04-12,76,49.82
2013-04-19,80,49.19
2013-04-26,74,52.90
2013-05-03,74,53.94
2013-05-10,74,55.46
2013-05-17,72,55.89
2013-05-24,67,55.35
2013-05-31,65,55.79
2013-06-07,66,55.44
2013-06-14,69,52.68
2013-06-21,68,52.91
2013-06-28,67,52.50
2013-07-05,66,53.00
2013-07-12,70,54.41
2013-07-19,65,57.14
2013-07-26,68,57.66
2013-08-02,66,59.92
2013-08-09,64,59.74
2013-08-16,65,58.28
2013-08-23,66,57.90
2013-08-30,65,56.62
2013-09-06,61,57.11
2013-09-13,63,58.88
2013-09-20,61,59.42
2013-09-27,61,59.01
2013-10-04,61,58.65
2013-10-11,63,57.93
2013-10-18,70,59.62
2013-10-25,66,61.90
2013-11-01,70,61.09
2013-11-08,66,62.00
2013-11-15,67,62.11
2013-11-22,65,61.70
2013-11-29,66,61.38
2013-12-06,64,61.34
2013-12-13,66,60.24
2013-12-20,63,62.55
2013-12-27,63,64.25
2014-01-03,64,63.78
2014-01-10,65,63.54
2014-01-17,65,64.02
2014-01-24,68,59.97
2014-01-31,71,61.01
2014-02-07,68,63.45
2014-02-14,68,64.50
2014-02-21,66,64.87
2014-02-28,71,66.62
2014-03-07,72,67.24
2014-03-14,65,65.77
2014-03-21,70,66.98
2014-03-28,68,66.62
2014-04-04,71,67.34
2014-04-11,72,66.09
2014-04-18,85,
2014-04-25,81,66.66
2014-05-02,77,
