Date,UNH,Price
2007-03-09,74,53.00
2007-03-16,59,53.13
2007-03-23,72,56.51
2007-03-30,67,52.97
2007-04-06,59,
2007-04-13,63,52.95
2007-04-20,56,53.20
2007-04-27,67,53.15
2007-05-04,65,53.57
2007-05-11,55,53.59
2007-05-18,50,53.47
2007-05-25,46,54.41
2007-06-01,36,55.21
2007-06-08,40,53.67
2007-06-15,45,52.90
2007-06-22,33,51.30
2007-06-29,41,51.14
2007-07-06,39,53.02
2007-07-13,45,52.98
2007-07-20,44,51.32
2007-07-27,46,49.13
2007-08-03,42,47.50
2007-08-10,45,47.48
2007-08-17,53,49.80
2007-08-24,49,49.61
2007-08-31,59,50.01
2007-09-07,79,49.19
2007-09-14,68,49.91
2007-09-21,63,49.91
2007-09-28,61,48.43
2007-10-05,68,47.70
2007-10-12,66,49.69
2007-10-19,55,47.45
2007-10-26,55,47.99
2007-11-02,61,48.94
2007-11-09,68,51.67
2007-11-16,64,53.42
2007-11-23,56,54.07
2007-11-30,73,55.00
2007-12-07,80,56.65
2007-12-14,57,56.73
2007-12-21,57,58.99
2007-12-28,41,58.28
2008-01-04,54,56.00
2008-01-11,51,55.91
2008-01-18,53,54.40
2008-01-25,57,50.00
2008-02-01,53,50.10
2008-02-08,62,48.20
2008-02-15,59,47.74
2008-02-22,56,47.36
2008-02-29,64,46.48
2008-03-07,62,45.21
2008-03-14,62,37.19
2008-03-21,58,
2008-03-28,66,34.40
2008-04-04,64,36.50
2008-04-11,60,35.87
2008-04-18,59,37.25
2008-04-25,51,33.99
2008-05-02,58,33.47
2008-05-09,56,32.94
2008-05-16,48,32.32
2008-05-23,40,34.75
2008-05-30,37,34.21
2008-06-06,36,33.03
2008-06-13,32,30.74
2008-06-20,42,27.12
2008-06-27,41,26.01
2008-07-04,39,
2008-07-11,40,22.16
2008-07-18,39,23.90
2008-07-25,43,27.45
2008-08-01,43,28.13
2008-08-08,44,31.00
2008-08-15,44,33.01
2008-08-22,45,30.61
2008-08-29,50,30.45
2008-09-05,67,27.71
2008-09-12,60,29.61
2008-09-19,61,26.79
2008-09-26,62,25.81
2008-10-03,64,24.11
2008-10-10,63,17.35
2008-10-17,60,24.39
2008-10-24,55,22.91
2008-10-31,61,23.73
2008-11-07,54,22.43
2008-11-14,55,20.02
2008-11-21,57,17.15
2008-11-28,45,21.01
2008-12-05,58,21.41
2008-12-12,68,23.54
2008-12-19,53,26.49
2008-12-26,31,26.30
2009-01-02,37,27.59
2009-01-09,46,26.45
2009-01-16,53,25.50
2009-01-23,58,28.04
2009-01-30,59,28.33
2009-02-06,52,28.94
2009-02-13,48,28.96
2009-02-20,53,27.98
2009-02-27,62,19.65
2009-03-06,60,17.90
2009-03-13,53,21.36
2009-03-20,53,20.63
2009-03-27,54,21.08
2009-04-03,81,20.54
2009-04-10,51,
2009-04-17,60,24.14
2009-04-24,50,23.06
2009-05-01,45,22.97
2009-05-08,44,28.87
2009-05-15,40,27.51
2009-05-22,37,26.30
2009-05-29,35,26.60
2009-06-05,32,27.10
2009-06-12,31,24.21
2009-06-19,36,25.43
2009-06-26,32,24.77
2009-07-03,28,
2009-07-10,37,24.67
2009-07-17,35,25.09
2009-07-24,43,27.32
2009-07-31,41,28.06
2009-08-07,40,26.51
2009-08-14,41,28.06
2009-08-21,43,28.92
2009-08-28,52,28.18
2009-09-04,63,28.88
2009-09-11,55,29.07
2009-09-18,59,28.58
2009-09-25,56,25.34
2009-10-02,51,24.28
2009-10-09,55,24.67
2009-10-16,51,24.45
2009-10-23,56,25.85
2009-10-30,49,25.95
2009-11-06,51,28.67
2009-11-13,51,29.08
2009-11-20,46,28.56
2009-11-27,45,29.44
2009-12-04,55,27.46
2009-12-11,55,30.48
2009-12-18,45,31.54
2009-12-25,39,
2010-01-01,35,
2010-01-08,45,32.70
2010-01-15,40,33.75
2010-01-22,44,33.16
2010-01-29,49,33.00
2010-02-05,48,32.54
2010-02-12,44,32.18
2010-02-19,48,31.94
2010-02-26,46,33.86
2010-03-05,47,33.74
2010-03-12,49,32.91
2010-03-19,39,34.39
2010-03-26,57,32.63
2010-04-02,51,
2010-04-09,50,32.26
2010-04-16,53,30.73
2010-04-23,48,30.95
2010-04-30,49,30.31
2010-05-07,47,29.02
2010-05-14,40,30.39
2010-05-21,41,28.70
2010-05-28,34,29.07
2010-06-04,32,30.34
2010-06-11,34,30.67
2010-06-18,31,31.33
2010-06-25,31,29.88
2010-07-02,31,28.30
2010-07-09,29,29.97
2010-07-16,34,30.34
2010-07-23,32,30.92
2010-07-30,34,30.45
2010-08-06,36,33.45
2010-08-13,35,32.03
2010-08-20,44,31.61
2010-08-27,50,32.37
2010-09-03,57,33.91
2010-09-10,54,34.49
2010-09-17,54,34.13
2010-09-24,54,35.73
2010-10-01,50,35.43
2010-10-08,52,34.35
2010-10-15,53,35.98
2010-10-22,61,37.26
2010-10-29,54,36.05
2010-11-05,51,36.86
2010-11-12,56,36.67
2010-11-19,58,36.00
2010-11-26,41,35.88
2010-12-03,54,37.82
2010-12-10,61,36.67
2010-12-17,62,35.05
2010-12-24,37,
2010-12-31,40,36.11
2011-01-07,50,38.45
2011-01-14,40,40.77
2011-01-21,49,40.41
2011-01-28,55,40.93
2011-02-04,55,42.49
2011-02-11,55,42.38
2011-02-18,52,42.84
2011-02-25,50,42.52
2011-03-04,54,44.45
2011-03-11,52,43.59
2011-03-18,45,42.60
2011-03-25,64,43.75
2011-04-01,70,45.61
2011-04-08,53,44.38
2011-04-15,52,44.98
2011-04-22,47,
2011-04-29,45,49.23
2011-05-06,45,50.12
2011-05-13,43,49.95
2011-05-20,42,49.74
2011-05-27,33,48.30
2011-06-03,29,48.85
2011-06-10,32,49.41
2011-06-17,30,49.96
2011-06-24,31,50.46
2011-07-01,30,53.13
2011-07-08,31,52.08
2011-07-15,33,51.97
2011-07-22,37,52.75
2011-07-29,31,49.63
2011-08-05,36,45.56
2011-08-12,34,44.81
2011-08-19,37,43.32
2011-08-26,48,45.72
2011-09-02,60,45.73
2011-09-09,52,45.52
2011-09-16,55,50.76
2011-09-23,49,47.60
2011-09-30,55,46.12
2011-10-07,55,44.89
2011-10-14,54,47.22
2011-10-21,56,47.92
2011-10-28,61,48.85
2011-11-04,59,45.58
2011-11-11,68,47.13
2011-11-18,59,44.55
2011-11-25,45,43.67
2011-12-02,56,48.23
2011-12-09,51,48.91
2011-12-16,50,49.00
2011-12-23,32,51.35
2011-12-30,32,50.68
2012-01-06,38,52.78
2012-01-13,44,52.70
2012-01-20,45,52.27
2012-01-27,59,51.02
2012-02-03,53,51.31
2012-02-10,46,53.32
2012-02-17,49,54.68
2012-02-24,51,55.65
2012-03-02,50,55.84
2012-03-09,47,55.78
2012-03-16,41,55.59
2012-03-23,49,53.66
2012-03-30,47,58.94
2012-04-06,48,
2012-04-13,49,58.05
2012-04-20,47,59.51
2012-04-27,47,57.91
2012-05-04,50,54.72
2012-05-11,47,55.20
2012-05-18,40,53.99
2012-05-25,33,56.12
2012-06-01,26,55.04
2012-06-08,28,58.00
2012-06-15,27,58.90
2012-06-22,33,59.07
2012-06-29,33,58.50
2012-07-06,29,55.82
2012-07-13,31,55.20
2012-07-20,31,55.41
2012-07-27,32,53.34
2012-08-03,33,51.61
2012-08-10,31,51.90
2012-08-17,37,53.13
2012-08-24,49,54.16
2012-08-31,66,54.30
2012-09-07,56,54.88
2012-09-14,55,54.25
2012-09-21,53,56.18
2012-09-28,53,55.41
2012-10-05,56,57.13
2012-10-12,69,57.07
2012-10-19,88,55.66
2012-10-26,66,55.78
2012-11-02,56,56.05
2012-11-09,52,52.90
2012-11-16,56,51.90
2012-11-23,41,53.92
2012-11-30,57,54.39
2012-12-07,57,53.87
2012-12-14,48,54.05
2012-12-21,34,55.03
2012-12-28,28,53.86
2013-01-04,36,52.09
2013-01-11,42,52.82
2013-01-18,45,54.56
2013-01-25,57,56.04
2013-02-01,52,55.77
2013-02-08,47,57.74
2013-02-15,45,57.32
2013-02-22,49,54.47
2013-03-01,50,53.52
2013-03-08,55,53.81
2013-03-15,38,54.73
2013-03-22,50,54.46
2013-03-29,64,
2013-04-05,53,62.10
2013-04-12,60,63.03
2013-04-19,45,60.04
2013-04-26,48,59.48
2013-05-03,51,58.92
2013-05-10,41,62.91
2013-05-17,42,62.84
2013-05-24,38,62.06
2013-05-31,28,62.63
2013-06-07,29,62.57
2013-06-14,28,63.80
2013-06-21,28,63.90
2013-06-28,27,65.48
2013-07-05,26,66.17
2013-07-12,33,68.00
2013-07-19,30,71.45
2013-07-26,30,72.21
2013-08-02,32,72.26
2013-08-09,34,72.93
2013-08-16,37,71.43
2013-08-23,44,72.54
2013-08-30,62,71.74
2013-09-06,58,74.06
2013-09-13,62,74.48
2013-09-20,54,70.57
2013-09-27,51,71.99
2013-10-04,52,72.99
2013-10-11,53,74.27
2013-10-18,54,68.76
2013-10-25,51,67.62
2013-11-01,54,68.63
2013-11-08,54,70.50
2013-11-15,54,71.87
2013-11-22,54,73.74
2013-11-29,46,74.48
2013-12-06,73,73.50
2013-12-13,58,70.48
2013-12-20,60,73.35
2013-12-27,28,74.69
2014-01-03,32,75.10
2014-01-10,39,74.70
2014-01-17,45,72.52
2014-01-24,56,71.60
2014-01-31,54,72.28
2014-02-07,48,71.36
2014-02-14,48,73.52
2014-02-21,53,73.81
2014-02-28,46,77.27
2014-03-07,49,77.40
2014-03-14,36,75.70
2014-03-21,56,81.34
2014-03-28,53,81.62
2014-04-04,52,81.53
2014-04-11,49,78.95
2014-04-18,49,
2014-04-25,50,75.66
2014-05-02,51,
