Date,KO,Price
2006-03-17,19,42.79
2006-03-24,20,42.66
2006-03-31,20,41.87
2006-04-07,20,41.35
2006-04-14,19,
2006-04-21,21,41.85
2006-04-28,20,41.96
2006-05-05,21,42.71
2006-05-12,19,43.18
2006-05-19,19,43.65
2006-05-26,20,44.49
2006-06-02,20,43.89
2006-06-09,19,43.55
2006-06-16,19,43.21
2006-06-23,20,42.75
2006-06-30,18,43.02
2006-07-07,20,43.18
2006-07-14,19,42.65
2006-07-21,21,43.90
2006-07-28,23,44.52
2006-08-04,23,43.85
2006-08-11,22,43.76
2006-08-18,23,44.31
2006-08-25,23,44.52
2006-09-01,22,45.07
2006-09-08,22,44.60
2006-09-15,21,44.60
2006-09-22,21,43.99
2006-09-29,20,44.68
2006-10-06,20,44.76
2006-10-13,21,44.02
2006-10-20,21,46.75
2006-10-27,21,46.87
2006-11-03,21,46.50
2006-11-10,21,46.47
2006-11-17,22,47.26
2006-11-24,23,46.92
2006-12-01,22,46.57
2006-12-08,23,48.91
2006-12-15,23,48.93
2006-12-22,23,48.38
2006-12-29,24,48.25
2007-01-05,24,48.26
2007-01-12,22,48.55
2007-01-19,23,48.26
2007-01-26,23,47.83
2007-02-02,23,48.24
2007-02-09,22,47.76
2007-02-16,23,47.87
2007-02-23,23,47.26
2007-03-02,23,45.89
2007-03-09,22,47.57
2007-03-16,22,47.21
2007-03-23,22,48.05
2007-03-30,22,48.00
2007-04-06,23,
2007-04-13,22,49.88
2007-04-20,23,52.09
2007-04-27,22,52.06
2007-05-04,22,53.21
2007-05-11,22,52.69
2007-05-18,23,52.63
2007-05-25,22,51.89
2007-06-01,23,52.80
2007-06-08,24,51.67
2007-06-15,23,51.58
2007-06-22,24,51.62
2007-06-29,23,52.31
2007-07-06,25,52.60
2007-07-13,25,53.11
2007-07-20,25,53.21
2007-07-27,24,52.28
2007-08-03,25,53.28
2007-08-10,26,54.98
2007-08-17,24,54.45
2007-08-24,26,54.00
2007-08-31,25,53.78
2007-09-07,25,54.59
2007-09-14,26,56.40
2007-09-21,22,56.55
2007-09-28,25,57.47
2007-10-05,25,58.07
2007-10-12,25,57.80
2007-10-19,25,58.76
2007-10-26,23,61.57
2007-11-02,24,60.51
2007-11-09,25,60.83
2007-11-16,25,62.62
2007-11-23,26,62.30
2007-11-30,25,62.10
2007-12-07,26,63.15
2007-12-14,28,63.81
2007-12-21,26,63.07
2007-12-28,29,62.27
2008-01-04,29,61.85
2008-01-11,27,63.77
2008-01-18,28,60.74
2008-01-25,28,58.41
2008-02-01,28,59.26
2008-02-08,28,59.25
2008-02-15,27,58.76
2008-02-22,28,58.26
2008-02-29,28,58.46
2008-03-07,28,58.85
2008-03-14,28,57.53
2008-03-21,28,
2008-03-28,26,60.94
2008-04-04,28,60.25
2008-04-11,28,60.29
2008-04-18,29,60.11
2008-04-25,28,59.33
2008-05-02,28,58.77
2008-05-09,29,56.15
2008-05-16,30,57.07
2008-05-23,30,58.63
2008-05-30,31,57.26
2008-06-06,32,55.80
2008-06-13,32,55.42
2008-06-20,32,53.66
2008-06-27,33,51.84
2008-07-04,33,
2008-07-11,31,50.27
2008-07-18,33,50.03
2008-07-25,33,52.06
2008-08-01,34,53.14
2008-08-08,36,55.41
2008-08-15,33,55.06
2008-08-22,34,54.37
2008-08-29,35,52.07
2008-09-05,34,51.93
2008-09-12,32,54.50
2008-09-19,33,52.72
2008-09-26,33,52.48
2008-10-03,33,52.57
2008-10-10,34,41.50
2008-10-17,34,44.20
2008-10-24,33,41.61
2008-10-31,33,44.06
2008-11-07,32,46.25
2008-11-14,33,45.02
2008-11-21,34,44.00
2008-11-28,33,46.87
2008-12-05,33,45.98
2008-12-12,35,44.57
2008-12-19,33,44.43
2008-12-26,36,44.58
2009-01-02,36,45.90
2009-01-09,35,44.60
2009-01-16,35,43.84
2009-01-23,36,42.20
2009-01-30,35,42.72
2009-02-06,36,43.55
2009-02-13,34,43.85
2009-02-20,34,42.84
2009-02-27,37,40.85
2009-03-06,38,39.10
2009-03-13,37,41.22
2009-03-20,37,42.64
2009-03-27,36,45.10
2009-04-03,36,44.97
2009-04-10,37,
2009-04-17,36,45.02
2009-04-24,37,42.79
2009-05-01,36,42.47
2009-05-08,39,42.92
2009-05-15,39,44.96
2009-05-22,39,47.30
2009-05-29,40,49.16
2009-06-05,40,49.44
2009-06-12,40,48.89
2009-06-19,40,48.81
2009-06-26,38,48.13
2009-07-03,38,
2009-07-10,39,48.31
2009-07-17,42,50.32
2009-07-24,40,49.36
2009-07-31,40,49.84
2009-08-07,42,49.34
2009-08-14,42,48.47
2009-08-21,43,49.91
2009-08-28,42,49.06
2009-09-04,41,49.95
2009-09-11,40,51.51
2009-09-18,40,53.76
2009-09-25,39,52.97
2009-10-02,37,53.87
2009-10-09,39,54.65
2009-10-16,39,55.01
2009-10-23,37,53.24
2009-10-30,38,53.31
2009-11-06,38,54.49
2009-11-13,39,56.46
2009-11-20,40,57.48
2009-11-27,40,57.18
2009-12-04,38,57.49
2009-12-11,40,59.11
2009-12-18,40,56.92
2009-12-25,46,
2010-01-01,45,
2010-01-08,40,55.15
2010-01-15,41,56.29
2010-01-22,42,54.24
2010-01-29,41,54.25
2010-02-05,42,53.09
2010-02-12,40,53.98
2010-02-19,39,55.72
2010-02-26,41,52.72
2010-03-05,42,54.70
2010-03-12,42,53.35
2010-03-19,42,54.75
2010-03-26,44,54.65
2010-04-02,44,
2010-04-09,43,54.59
2010-04-16,41,54.97
2010-04-23,40,53.88
2010-04-30,41,53.45
2010-05-07,41,52.67
2010-05-14,42,53.34
2010-05-21,43,51.59
2010-05-28,41,51.40
2010-06-04,42,51.27
2010-06-11,43,51.65
2010-06-18,44,52.31
2010-06-25,44,50.26
2010-07-02,44,50.05
2010-07-09,47,52.40
2010-07-16,45,52.37
2010-07-23,47,54.75
2010-07-30,47,55.11
2010-08-06,50,56.75
2010-08-13,48,55.73
2010-08-20,50,55.30
2010-08-27,49,56.16
2010-09-03,47,57.56
2010-09-10,47,58.52
2010-09-17,48,57.56
2010-09-24,47,58.62
2010-10-01,47,59.12
2010-10-08,46,59.41
2010-10-15,49,59.94
2010-10-22,47,61.61
2010-10-29,48,61.32
2010-11-05,47,62.58
2010-11-12,49,62.92
2010-11-19,49,64.32
2010-11-26,49,64.11
2010-12-03,49,64.50
2010-12-10,50,64.65
2010-12-17,49,65.70
2010-12-24,53,
2010-12-31,56,65.77
2011-01-07,52,62.92
2011-01-14,49,63.13
2011-01-21,53,62.77
2011-01-28,51,62.21
2011-02-04,48,62.56
2011-02-11,52,63.57
2011-02-18,51,64.55
2011-02-25,52,64.31
2011-03-04,50,65.21
2011-03-11,51,64.81
2011-03-18,50,62.70
2011-03-25,52,65.22
2011-04-01,52,67.22
2011-04-08,52,67.27
2011-04-15,53,68.01
2011-04-22,60,
2011-04-29,67,67.46
2011-05-06,63,66.90
2011-05-13,63,68.18
2011-05-20,62,68.30
2011-05-27,61,66.51
2011-06-03,63,65.53
2011-06-10,62,65.39
2011-06-17,63,65.62
2011-06-24,62,64.93
2011-07-01,62,68.09
2011-07-08,64,68.68
2011-07-15,67,67.53
2011-07-22,65,69.73
2011-07-29,67,68.01
2011-08-05,67,66.77
2011-08-12,65,67.14
2011-08-19,65,67.10
2011-08-26,63,68.50
2011-09-02,63,69.74
2011-09-09,65,69.37
2011-09-16,64,71.23
2011-09-23,70,67.42
2011-09-30,66,67.56
2011-10-07,64,65.90
2011-10-14,67,67.85
2011-10-21,66,68.19
2011-10-28,65,68.93
2011-11-04,69,67.78
2011-11-11,72,68.12
2011-11-18,69,67.39
2011-11-25,71,64.74
2011-12-02,70,66.38
2011-12-09,67,67.57
2011-12-16,72,67.44
2011-12-23,73,69.94
2011-12-30,75,69.97
2012-01-06,72,68.93
2012-01-13,69,66.99
2012-01-20,70,68.09
2012-01-27,73,67.44
2012-02-03,82,68.08
2012-02-10,78,67.94
2012-02-17,81,69.05
2012-02-24,83,69.00
2012-03-02,80,69.18
2012-03-09,81,69.51
2012-03-16,82,70.16
2012-03-23,79,71.49
2012-03-30,83,74.01
2012-04-06,82,
2012-04-13,80,71.94
2012-04-20,76,74.13
2012-04-27,75,76.63
2012-05-04,78,77.00
2012-05-11,80,77.47
2012-05-18,84,74.05
2012-05-25,85,75.23
2012-06-01,88,73.09
2012-06-08,88,75.24
2012-06-15,84,76.09
2012-06-22,80,74.94
2012-06-29,83,78.19
2012-07-06,89,78.15
2012-07-13,93,77.28
2012-07-20,93,77.03
2012-07-27,98,80.01
2012-08-03,100,80.83
2012-08-10,96,78.79
2012-08-17,99,39.53
2012-08-24,93,38.47
2012-08-31,91,37.40
2012-09-07,86,37.90
2012-09-14,86,38.12
2012-09-21,91,38.03
2012-09-28,90,37.93
2012-10-05,92,38.58
2012-10-12,86,38.23
2012-10-19,83,37.40
2012-10-26,80,37.04
2012-11-02,77,37.08
2012-11-09,79,36.29
2012-11-16,78,36.56
2012-11-23,77,37.93
2012-11-30,83,37.92
2012-12-07,73,37.71
2012-12-14,79,37.66
2012-12-21,70,36.89
2012-12-28,77,35.97
2013-01-04,72,37.66
2013-01-11,67,36.91
2013-01-18,69,37.70
2013-01-25,68,37.05
2013-02-01,65,37.54
2013-02-08,66,38.77
2013-02-15,65,37.42
2013-02-22,68,38.52
2013-03-01,67,38.70
2013-03-08,68,39.22
2013-03-15,68,38.83
2013-03-22,70,40.04
2013-03-29,71,
2013-04-05,71,40.08
2013-04-12,68,41.08
2013-04-19,69,42.66
2013-04-26,68,42.10
2013-05-03,71,42.24
2013-05-10,68,42.15
2013-05-17,68,42.97
2013-05-24,69,42.24
2013-05-31,72,39.99
2013-06-07,70,41.41
2013-06-14,72,40.34
2013-06-21,73,39.76
2013-06-28,71,40.11
2013-07-05,75,40.52
2013-07-12,76,41.03
2013-07-19,74,41.09
2013-07-26,75,40.64
2013-08-02,74,40.22
2013-08-09,74,40.16
2013-08-16,77,39.05
2013-08-23,76,38.52
2013-08-30,79,38.18
2013-09-06,74,38.35
2013-09-13,73,38.69
2013-09-20,73,39.40
2013-09-27,77,38.40
2013-10-04,79,37.20
2013-10-11,83,37.77
2013-10-18,86,38.78
2013-10-25,84,39.03
2013-11-01,81,39.61
2013-11-08,80,40.05
2013-11-15,83,40.22
2013-11-22,82,40.43
2013-11-29,85,40.19
2013-12-06,80,40.46
2013-12-13,83,39.23
2013-12-20,88,40.04
2013-12-27,93,40.66
2014-01-03,88,40.46
2014-01-10,87,40.13
2014-01-17,86,39.28
2014-01-24,85,38.84
2014-01-31,84,37.82
2014-02-07,84,37.95
2014-02-14,87,38.93
2014-02-21,88,37.18
2014-02-28,88,38.20
2014-03-07,87,38.55
2014-03-14,91,38.17
2014-03-21,89,38.44
2014-03-28,92,38.95
2014-04-04,88,38.22
2014-04-11,92,38.63
2014-04-18,97,
2014-04-25,93,41.01
2014-05-02,99,
